name,price,year,state
dodge door,8000,2017,pennsylvania
dodge challenger,18700,2018,new jersey
dodge journey,8350,2017,florida
dodge charger,27900,2017,florida
dodge door,14500,2016,pennsylvania
dodge door,6200,2016,pennsylvania
dodge door,7500,2012,pennsylvania
dodge caravan,20200,2019,illinois
dodge durango,29300,2019,illinois
dodge durango,31000,2019,illinois
dodge durango,32400,2019,illinois
dodge door,5800,2012,minnesota
dodge charger,21500,2019,texas
dodge charger,23100,2018,michigan
dodge van,4500,2014,texas
dodge charger,24800,2018,michigan
dodge charger,23000,2018,michigan
dodge journey,26900,2019,wisconsin
dodge challenger,21500,2018,wisconsin
dodge journey,15700,2018,wisconsin
dodge caravan,15200,2018,wisconsin
dodge charger,23300,2018,wisconsin
dodge door,6100,2015,minnesota
dodge journey,20000,2017,wisconsin
dodge challenger,53000,2017,illinois
dodge door,3000,2013,minnesota
dodge door,18200,2016,new jersey
dodge challenger,21800,2019,arizona
dodge charger,52000,2016,illinois
dodge charger,19000,2019,arizona
dodge challenger,25000,2016,illinois
dodge challenger,36000,2016,illinois
dodge caravan,17000,2019,georgia
dodge door,25300,2015,wisconsin
dodge journey,14900,2017,wisconsin
dodge caravan,15000,2017,wisconsin
dodge doors,12995,2014,massachusetts
dodge doors,17750,2014,massachusetts
dodge doors,10295,2014,pennsylvania
dodge doors,16995,2014,connecticut
dodge doors,25000,2014,new york
dodge doors,23995,2014,rhode island
dodge doors,14900,2014,new jersey
dodge doors,15810,2014,new york
dodge doors,20227,2014,new york
dodge doors,20999,2014,new york
dodge doors,22499,2014,new jersey
dodge doors,23495,2014,new york
dodge doors,25250,2014,new york
dodge doors,15322,2014,new jersey
dodge charger,21232,2019,texas
dodge journey,5800,2013,wisconsin
dodge door,29000,2012,illinois
dodge caravan,17000,2018,new jersey
dodge journey,13800,2018,florida
dodge durango,30000,2019,missouri
dodge caravan,14800,2017,florida
dodge journey,8500,2017,missouri
dodge door,9800,2013,missouri
dodge door,4200,2014,nevada
dodge van,2500,2013,tennessee
dodge charger,28700,2018,california
dodge challenger,18500,2018,california
dodge challenger,17300,2018,california
dodge door,7100,2016,louisiana
dodge door,3250,2015,minnesota
dodge durango,30700,2017,california
dodge door,3000,2012,missouri
dodge durango,26500,2019,california
dodge charger,20800,2019,california
dodge charger,20800,2019,california
dodge door,5100,2015,california
dodge challenger,18900,2019,california
dodge durango,24000,2019,california
dodge challenger,38800,2015,california
dodge durango,24500,2019,california
dodge durango,24500,2019,california
dodge door,6500,2016,new jersey
dodge durango,24000,2019,california
dodge door,18000,2014,california
dodge durango,24000,2019,california
dodge durango,23500,2019,california
dodge van,4500,2014,california
dodge durango,25900,2019,california
dodge caravan,13900,2019,california
dodge journey,14200,2019,california
dodge caravan,15400,2019,california
dodge challenger,17500,2019,texas
dodge caravan,17500,2019,texas
dodge caravan,18000,2019,texas
dodge door,25200,2012,new jersey
dodge caravan,14100,2018,texas
dodge caravan,13300,2018,california
dodge caravan,16200,2019,oklahoma
dodge caravan,13300,2018,california
dodge caravan,13100,2018,california
dodge caravan,15500,2017,california
dodge door,4500,2013,california
dodge durango,28400,2019,colorado
dodge caravan,17400,2019,colorado
dodge door,6000,2014,florida
dodge challenger,20700,2019,virginia
dodge challenger,20300,2019,virginia
dodge journey,14000,2018,oklahoma
dodge challenger,22000,2019,virginia
dodge journey,17200,2019,virginia
dodge door,15000,2016,oklahoma
dodge journey,17500,2019,virginia
dodge door,1300,2013,michigan
dodge door,1750,2014,nevada
dodge caravan,16300,2019,florida
dodge caravan,15700,2019,florida
dodge journey,10000,2017,florida
dodge charger,23100,2019,florida
dodge caravan,14900,2019,florida
dodge journey,16700,2019,virginia
dodge caravan,16300,2019,florida
dodge durango,25800,2019,north carolina
dodge challenger,23800,2019,north carolina
dodge journey,16800,2019,north carolina
dodge journey,15500,2019,north carolina
dodge door,6000,2014,florida
dodge durango,26900,2019,arizona
dodge caravan,16900,2019,arizona
dodge caravan,19500,2019,arizona
dodge caravan,15400,2019,arizona
dodge door,2300,2012,texas
dodge charger,17000,2019,california
dodge durango,34000,2019,new jersey
dodge journey,13700,2017,pennsylvania
dodge challenger,19100,2018,west virginia
dodge journey,11800,2018,west virginia
dodge durango,27500,2019,nevada
dodge durango,26900,2019,nevada
dodge durango,27100,2019,nevada
dodge durango,27200,2019,nevada
dodge caravan,9000,2017,florida
dodge challenger,22500,2019,south carolina
dodge door,7700,2015,west virginia
dodge van,4500,2013,florida
dodge door,2200,2013,illinois
dodge charger,21500,2019,pennsylvania
dodge challenger,18800,2019,pennsylvania
dodge charger,21800,2019,pennsylvania
dodge challenger,20300,2019,pennsylvania
dodge van,8200,2016,south carolina
dodge caravan,19000,2019,pennsylvania
dodge door,8400,2016,south carolina
dodge caravan,19500,2019,pennsylvania
dodge door,7000,2015,south carolina
dodge challenger,19500,2019,pennsylvania
dodge van,8500,2014,missouri
dodge challenger,20500,2019,pennsylvania
dodge door,4900,2014,south carolina
dodge door,20800,2014,missouri
dodge durango,28500,2019,pennsylvania
dodge caravan,21900,2019,pennsylvania
dodge caravan,15800,2019,nevada
dodge durango,33000,2019,colorado
dodge challenger,22700,2019,nevada
dodge charger,21900,2019,pennsylvania
dodge charger,19300,2019,pennsylvania
dodge durango,30700,2019,nevada
dodge challenger,19300,2019,pennsylvania
dodge caravan,13750,2014,california
dodge caravan,16400,2019,nevada
dodge caravan,19500,2019,pennsylvania
dodge caravan,15100,2019,nevada
dodge durango,28500,2019,pennsylvania
dodge caravan,15300,2019,nevada
dodge challenger,20300,2019,pennsylvania
dodge charger,22000,2019,pennsylvania
dodge journey,16700,2019,nevada
dodge challenger,19300,2019,pennsylvania
dodge durango,34100,2019,michigan
dodge caravan,14600,2019,nevada
dodge caravan,18200,2019,pennsylvania
dodge durango,33800,2019,michigan
dodge journey,15900,2019,nevada
dodge caravan,16500,2019,pennsylvania
dodge durango,29600,2019,michigan
dodge caravan,14100,2019,nevada
dodge caravan,18200,2019,pennsylvania
dodge caravan,18200,2019,pennsylvania
dodge charger,24300,2019,michigan
dodge journey,15400,2019,nevada
dodge journey,19000,2019,pennsylvania
dodge journey,19000,2019,pennsylvania
dodge challenger,27800,2017,georgia
dodge journey,18200,2019,pennsylvania
dodge journey,15000,2018,pennsylvania
dodge caravan,19200,2017,michigan
dodge caravan,15500,2018,pennsylvania
dodge challenger,24900,2017,michigan
dodge journey,15500,2018,pennsylvania
dodge door,7600,2012,texas
dodge journey,18400,2017,michigan
dodge caravan,14700,2018,florida
dodge door,3900,2015,florida
dodge door,5200,2015,florida
dodge caravan,17200,2019,minnesota
dodge caravan,18700,2019,minnesota
dodge durango,32000,2019,minnesota
dodge door,14500,2015,michigan
dodge caravan,19400,2019,minnesota
dodge caravan,17300,2019,minnesota
dodge journey,16700,2019,minnesota
dodge caravan,19100,2019,minnesota
dodge door,11100,2013,illinois
dodge durango,32000,2019,minnesota
dodge caravan,16900,2019,minnesota
dodge charger,18000,2017,massachusetts
dodge caravan,17800,2019,minnesota
dodge caravan,18000,2019,minnesota
dodge caravan,17500,2019,minnesota
dodge caravan,14500,2018,nevada
dodge caravan,18500,2019,minnesota
dodge caravan,18600,2019,minnesota
dodge durango,32000,2019,minnesota
dodge caravan,17000,2019,minnesota
dodge caravan,16000,2019,minnesota
dodge caravan,18000,2019,minnesota
dodge charger,15900,2020,pennsylvania
dodge door,6200,2016,alabama
dodge door,3700,2013,alabama
dodge door,24000,2012,mississippi
dodge van,20800,2013,nevada
dodge door,18500,2012,mississippi
dodge challenger,18300,2019,pennsylvania
dodge charger,21000,2019,pennsylvania
dodge van,1300,2013,tennessee
dodge charger,11900,2019,pennsylvania
dodge van,950,2012,maryland
dodge durango,26800,2019,pennsylvania
dodge van,800,2012,north carolina
dodge caravan,21000,2019,pennsylvania
dodge door,1900,2012,georgia
dodge durango,33500,2019,pennsylvania
dodge door,900,2013,connecticut
dodge caravan,21000,2019,pennsylvania
dodge durango,26800,2019,pennsylvania
dodge van,5700,2016,texas
dodge challenger,18500,2019,pennsylvania
dodge durango,33000,2019,pennsylvania
dodge caravan,11000,2019,texas
dodge caravan,15800,2019,pennsylvania
dodge door,3600,2013,michigan
dodge caravan,16300,2019,pennsylvania
dodge door,2700,2015,texas
dodge caravan,12800,2019,pennsylvania
dodge door,9700,2015,texas
dodge journey,18300,2019,pennsylvania
dodge charger,16000,2019,illinois
dodge caravan,21000,2019,pennsylvania
dodge door,3700,2014,texas
dodge durango,33000,2019,illinois
dodge caravan,14700,2019,pennsylvania
dodge durango,33000,2019,illinois
dodge caravan,15900,2019,pennsylvania
dodge durango,33000,2019,illinois
dodge durango,33000,2019,illinois
dodge durango,32500,2019,illinois
dodge durango,33000,2019,illinois
dodge caravan,13000,2018,virginia
dodge durango,33000,2019,illinois
dodge charger,16500,2019,illinois
dodge durango,33000,2019,illinois
dodge challenger,34500,2017,north carolina
dodge durango,33500,2019,illinois
dodge durango,48000,2018,pennsylvania
dodge durango,54500,2019,illinois
dodge caravan,13200,2018,pennsylvania
dodge durango,31500,2018,illinois
dodge durango,17400,2017,illinois
dodge durango,26000,2017,illinois
dodge door,1700,2013,texas
dodge door,11000,2013,illinois
dodge charger,21000,2018,texas
dodge door,5500,2015,texas
dodge door,7500,2014,texas
dodge caravan,15800,2019,michigan
dodge journey,16900,2019,michigan
dodge durango,25000,2019,michigan
dodge door,18000,2019,massachusetts
dodge caravan,15600,2019,michigan
dodge durango,23800,2019,north carolina
dodge journey,16800,2019,michigan
dodge durango,22700,2019,north carolina
dodge challenger,23300,2019,north carolina
dodge challenger,23500,2019,north carolina
dodge durango,25500,2019,north carolina
dodge challenger,21800,2019,north carolina
dodge durango,22800,2019,north carolina
dodge caravan,18200,2019,michigan
dodge challenger,23500,2019,north carolina
dodge durango,25700,2019,north carolina
dodge caravan,15700,2019,north carolina
dodge journey,17500,2018,michigan
dodge caravan,15700,2019,north carolina
dodge caravan,16500,2018,indiana
dodge caravan,16100,2019,north carolina
dodge caravan,15600,2019,north carolina
dodge caravan,15400,2019,north carolina
dodge durango,28200,2017,michigan
dodge caravan,15300,2019,north carolina
dodge caravan,15900,2019,north carolina
dodge door,17700,2016,indiana
dodge caravan,15800,2019,north carolina
dodge caravan,15900,2019,north carolina
dodge charger,25300,2019,new mexico
dodge caravan,16300,2019,north carolina
dodge durango,29500,2019,new mexico
dodge caravan,14500,2019,north carolina
dodge caravan,15400,2019,north carolina
dodge caravan,15400,2019,north carolina
dodge caravan,15100,2019,north carolina
dodge caravan,15000,2019,north carolina
dodge caravan,15500,2019,north carolina
dodge caravan,15000,2019,north carolina
dodge caravan,15200,2019,north carolina
dodge caravan,15700,2019,north carolina
dodge journey,16100,2019,north carolina
dodge journey,16300,2018,texas
dodge journey,16000,2019,north carolina
dodge journey,16900,2019,north carolina
dodge journey,17000,2019,north carolina
dodge journey,17300,2019,north carolina
dodge journey,15900,2019,north carolina
dodge journey,15700,2019,north carolina
dodge journey,16900,2019,north carolina
dodge journey,15500,2019,north carolina
dodge journey,15100,2019,north carolina
dodge journey,15500,2019,north carolina
dodge journey,15400,2019,north carolina
dodge journey,16500,2019,north carolina
dodge challenger,42500,2015,texas
dodge journey,16600,2019,north carolina
dodge journey,15200,2019,north carolina
dodge journey,15800,2019,north carolina
dodge journey,16900,2019,north carolina
dodge caravan,11100,2017,north carolina
dodge journey,15600,2019,north carolina
dodge journey,16900,2019,north carolina
dodge journey,15300,2019,north carolina
dodge journey,16600,2019,north carolina
dodge durango,21800,2017,pennsylvania
dodge charger,36500,2018,virginia
dodge durango,26300,2019,georgia
dodge challenger,20900,2019,georgia
dodge challenger,20100,2019,georgia
dodge charger,26700,2019,georgia
dodge charger,23900,2019,georgia
dodge caravan,14500,2018,florida
dodge durango,23000,2017,virginia
dodge journey,15000,2018,north carolina
dodge journey,15000,2018,north carolina
ford door,28500,2017,texas
ford door,28000,2017,texas
ford door,9000,2017,texas
ford doors,28700,2015,connecticut
ford door,25000,2017,texas
ford doors,17347,2015,massachusetts
ford door,13800,2016,texas
ford doors,25888,2015,new jersey
ford fusion,8500,2017,tennessee
ford doors,21289,2015,new york
ford doors,17999,2015,new jersey
ford door,2700,2012,texas
ford doors,30977,2015,pennsylvania
ford doors,13799,2015,new jersey
ford srw,20500,2014,arizona
ford drw,8500,2012,texas
ford door,9900,2015,florida
ford srw,65500,2019,indiana
ford wagon,24500,2018,florida
ford explorer,32500,2020,missouri
ford fusion,9200,2018,pennsylvania
ford door,17700,2017,pennsylvania
ford fusion,18300,2020,california
ford srw,43500,2019,illinois
ford door,15200,2016,pennsylvania
ford srw,36200,2019,illinois
ford mustang,21900,2018,new jersey
ford wagon,20700,2019,california
ford fusion,12300,2019,california
ford door,4200,2016,pennsylvania
ford transit,19500,2019,california
ford fusion,14300,2020,california
ford van,13700,2016,pennsylvania
ford door,13200,2015,pennsylvania
ford door,6200,2014,pennsylvania
ford door,6500,2015,pennsylvania
ford door,1500,2013,pennsylvania
ford door,2200,2013,pennsylvania
ford door,4200,2013,pennsylvania
ford van,8700,2013,pennsylvania
ford door,3200,2012,pennsylvania
ford door,9000,2012,pennsylvania
ford edge,20000,2018,illinois
ford door,33000,2017,texas
ford f-150,23300,2019,south carolina
ford van,8750,2017,illinois
ford door,11975,2012,texas
ford transit,23600,2019,south carolina
ford explorer,12000,2016,texas
ford f-150,30900,2018,indiana
ford transit,23900,2019,south carolina
ford f-150,40400,2018,indiana
ford srw,38000,2019,minnesota
ford flex,27000,2019,illinois
ford transit,24000,2019,south carolina
ford ranger,30000,2019,wisconsin
ford fusion,16200,2019,south carolina
ford flex,30000,2019,wisconsin
ford transit,23900,2019,south carolina
ford taurus,13800,2018,missouri
ford transit,23700,2019,south carolina
ford f-150,24300,2018,illinois
ford srw,54900,2019,nevada
ford taurus,22500,2018,wisconsin
ford f-150,39000,2018,illinois
ford escape,13900,2018,wisconsin
ford explorer,24700,2018,illinois
ford transit,20100,2018,california
ford mustang,22000,2018,illinois
ford mustang,38200,2019,florida
ford transit,24400,2018,california
ford mustang,35000,2018,illinois
ford flex,18600,2019,florida
ford transit,22700,2018,california
ford f-150,38000,2018,illinois
ford door,17000,2014,illinois
ford escape,17500,2017,wisconsin
ford f-150,23200,2019,michigan
ford explorer,30700,2017,wisconsin
ford transit,23500,2019,michigan
ford edge,26400,2017,wisconsin
ford transit,23500,2019,michigan
ford door,38000,2017,wisconsin
ford transit,23600,2019,michigan
ford edge,19300,2017,wisconsin
ford f-150,23200,2019,michigan
ford door,13800,2017,wisconsin
ford transit,23600,2019,michigan
ford f-150,23200,2019,michigan
ford door,40000,2017,wisconsin
ford f-150,23400,2019,michigan
ford transit,23600,2019,michigan
ford f-150,23000,2019,michigan
ford door,25500,2017,wisconsin
ford transit,23500,2019,michigan
ford door,29900,2017,wisconsin
ford transit,23200,2019,michigan
ford f-150,50500,2017,wisconsin
ford transit,23400,2019,michigan
ford transit,24500,2017,wisconsin
ford mustang,49000,2017,illinois
ford transit,25400,2017,wisconsin
ford flex,23000,2017,illinois
ford door,6000,2012,minnesota
ford edge,22400,2016,wisconsin
ford edge,22500,2016,wisconsin
ford edge,25200,2019,virginia
ford door,36000,2016,wisconsin
ford edge,26700,2019,virginia
ford door,30500,2016,wisconsin
ford edge,26700,2019,virginia
ford edge,25000,2019,virginia
ford door,35200,2016,wisconsin
ford f-150,30300,2019,tennessee
ford door,25000,2016,illinois
ford door,26500,2016,wisconsin
ford mustang,21600,2019,virginia
ford edge,18800,2016,wisconsin
ford mustang,21500,2019,virginia
ford door,9000,2016,new jersey
ford cutaway,16700,2015,wisconsin
ford cutaway,16800,2015,wisconsin
ford cutaway,15700,2015,wisconsin
ford cutaway,16800,2015,wisconsin
ford door,19500,2015,wisconsin
ford door,20500,2015,wisconsin
ford cutaway,17400,2015,wisconsin
ford door,17500,2014,wisconsin
ford door,26000,2014,illinois
ford f-150,56700,2019,kentucky
ford door,5000,2013,wisconsin
ford f-150,40200,2019,kentucky
ford door,54000,2013,illinois
ford max,65200,2019,kentucky
ford srw,32500,2017,minnesota
ford transit,25500,2019,illinois
ford srw,63000,2019,illinois
ford srw,44000,2019,illinois
ford drw,70000,2019,illinois
ford srw,56200,2019,kentucky
ford srw,35000,2019,wisconsin
ford srw,57700,2019,kentucky
ford drw,74000,2019,illinois
ford srw,60200,2019,kentucky
ford srw,60000,2018,illinois
ford srw,63000,2018,illinois
ford door,22500,2014,wisconsin
ford energi,8300,2014,wisconsin
ford door,8300,2012,wisconsin
ford door,21000,2013,wisconsin
ford fusion,19300,2019,mississippi
ford fusion,16400,2019,alabama
ford f-150,27300,2019,mississippi
ford cab,26400,2012,wisconsin
ford mustang,35100,2019,mississippi
ford f-150,41500,2018,new jersey
ford mustang,34100,2019,mississippi
ford f-150,28600,2019,california
ford mustang,34100,2019,mississippi
ford ranger,28700,2019,california
ford edge,24700,2019,california
ford expedition,46500,2019,california
ford f-150,29000,2019,california
ford edge,25500,2019,california
ford f-150,39500,2019,california
ford f-150,33100,2019,california
ford f-150,30500,2019,california
ford fiesta,3600,2018,arizona
ford fusion,16800,2019,california
ford f-150,24000,2019,texas
ford expedition,58500,2019,california
ford door,55000,2017,texas
ford f-150,28800,2019,california
ford door,26800,2015,new jersey
ford max,36000,2018,wisconsin
ford wagon,20000,2018,wisconsin
ford drw,46700,2019,alabama
ford srw,42800,2019,alabama
ford mustang,21800,2018,california
ford mustang,18800,2018,california
ford flex,18800,2018,california
ford f-150,30200,2018,california
ford explorer,27500,2018,california
ford transit,37500,2018,california
ford mustang,19100,2018,california
ford flex,17100,2018,california
ford escape,13500,2018,florida
ford srw,54500,2018,california
ford fiesta,9000,2018,florida
ford f-150,16400,2020,pennsylvania
ford fusion,17000,2020,pennsylvania
ford door,24800,2017,california
ford door,26800,2017,california
ford door,19400,2017,california
ford flex,20000,2017,california
ford door,7000,2012,texas
ford explorer,25100,2017,california
ford door,2000,2013,oklahoma
ford fusion,18200,2020,pennsylvania
ford fusion,14200,2018,illinois
ford door,56500,2017,california
ford door,2000,2016,oklahoma
ford van,26500,2020,pennsylvania
ford srw,34300,2019,florida
ford f-150,43500,2017,california
ford door,3500,2016,oklahoma
ford srw,37200,2019,florida
ford door,12800,2017,california
ford door,15000,2013,texas
ford door,12500,2017,california
ford f-150,21500,2017,california
ford fusion,17300,2019,north carolina
ford explorer,27000,2017,california
ford el,31800,2017,florida
ford door,13000,2017,california
ford el,31800,2017,florida
ford door,46300,2016,california
ford door,6000,2015,missouri
ford door,22800,2016,california
ford expedition,45000,2019,pennsylvania
ford expedition,49500,2019,pennsylvania
ford van,3000,2012,missouri
ford door,20000,2015,california
ford edge,25300,2019,pennsylvania
ford door,4000,2015,south carolina
ford expedition,45500,2019,pennsylvania
ford fiesta,9100,2018,minnesota
ford expedition,48000,2019,pennsylvania
ford max,47000,2019,pennsylvania
ford expedition,49500,2019,pennsylvania
ford wagon,31200,2019,pennsylvania
ford door,18500,2014,california
ford escape,15500,2019,pennsylvania
ford wagon,30500,2019,pennsylvania
ford max,45500,2019,pennsylvania
ford wagon,31500,2019,pennsylvania
ford door,11000,2013,new jersey
ford max,46500,2019,pennsylvania
ford wagon,31500,2019,pennsylvania
ford f-150,32000,2018,ohio
ford edge,23900,2019,pennsylvania
ford wagon,31500,2019,pennsylvania
ford taurus,18500,2016,ohio
ford door,1500,2013,georgia
ford max,46000,2019,pennsylvania
ford wagon,31500,2019,pennsylvania
ford van,14700,2015,new jersey
ford door,2700,2013,michigan
ford expedition,47500,2019,pennsylvania
ford wagon,31500,2019,pennsylvania
ford door,8900,2014,new jersey
ford door,7000,2019,michigan
ford expedition,49000,2019,pennsylvania
ford wagon,31500,2019,pennsylvania
ford door,8900,2014,new jersey
ford max,48000,2019,pennsylvania
ford max,50000,2019,pennsylvania
ford max,47300,2019,pennsylvania
ford f-150,45000,2017,louisiana
ford max,49000,2019,pennsylvania
ford f-150,40200,2019,texas
ford max,48000,2019,pennsylvania
ford door,5000,2015,louisiana
ford bus,8200,2013,new jersey
ford max,49000,2019,pennsylvania
ford door,4000,2015,louisiana
ford expedition,39000,2019,pennsylvania
ford door,29000,2015,louisiana
ford max,46500,2019,pennsylvania
ford door,7805,2015,louisiana
ford mustang,22000,2018,texas
ford max,18800,2019,pennsylvania
ford door,33000,2015,louisiana
ford expedition,39500,2019,pennsylvania
ford door,16900,2015,louisiana
ford max,42500,2019,pennsylvania
ford expedition,39500,2019,pennsylvania
ford f-150,25500,2018,illinois
ford max,49500,2019,pennsylvania
ford f-150,25000,2018,illinois
ford f-150,40000,2019,pennsylvania
ford f-150,26000,2018,illinois
ford f-150,29500,2019,pennsylvania
ford f-150,23000,2019,oklahoma
ford f-150,25500,2018,illinois
ford f-150,44500,2019,pennsylvania
ford escape,15600,2019,missouri
ford f-150,23100,2019,oklahoma
ford f-150,37000,2019,pennsylvania
ford fusion,14500,2019,missouri
ford f-150,23000,2019,oklahoma
ford f-150,26500,2019,pennsylvania
ford fusion,18000,2017,missouri
ford expedition,35700,2019,oklahoma
ford f-150,31000,2019,pennsylvania
ford door,2000,2013,missouri
ford max,40400,2019,oklahoma
ford f-150,43600,2019,pennsylvania
ford f-150,22600,2019,oklahoma
ford f-150,26000,2019,pennsylvania
ford f-150,23200,2019,oklahoma
ford f-150,29000,2019,pennsylvania
ford f-150,22800,2019,oklahoma
ford door,3450,2015,oregon
ford f-150,31000,2019,pennsylvania
ford f-150,22900,2019,oklahoma
ford door,3000,2014,oregon
ford f-150,28000,2019,pennsylvania
ford f-150,23200,2019,oklahoma
ford f-150,27000,2019,pennsylvania
ford f-150,22800,2019,oklahoma
ford f-150,31500,2019,pennsylvania
ford transit,23400,2019,oklahoma
ford f-150,28000,2019,pennsylvania
ford transit,23400,2019,oklahoma
ford f-150,28000,2018,texas
ford f-150,24900,2019,pennsylvania
ford transit,23500,2019,oklahoma
ford f-150,36000,2018,texas
ford f-150,28700,2019,pennsylvania
ford fusion,16000,2018,oregon
ford f-150,31000,2019,pennsylvania
ford f-150,16500,2017,oregon
ford f-150,28500,2019,pennsylvania
ford escape,10800,2017,oregon
ford f-150,28500,2019,pennsylvania
ford explorer,25000,2017,oregon
ford f-150,31000,2019,pennsylvania
ford door,7800,2016,oregon
ford f-150,28500,2019,pennsylvania
ford door,9500,2016,oregon
ford f-150,28500,2019,pennsylvania
ford door,14500,2016,oregon
ford f-150,25000,2019,pennsylvania
ford door,14500,2016,oregon
ford f-150,28500,2019,pennsylvania
ford door,12100,2016,oregon
ford f-150,29400,2019,pennsylvania
ford f-150,24700,2019,california
ford door,8700,2016,oregon
ford f-150,29500,2019,pennsylvania
ford f-150,25800,2019,california
ford door,17500,2016,oregon
ford f-150,23900,2019,pennsylvania
ford f-150,22900,2019,california
ford edge,19500,2016,oregon
ford f-150,29500,2019,pennsylvania
ford f-150,24500,2019,california
ford door,11000,2016,oregon
ford f-150,22400,2019,pennsylvania
ford escape,15700,2019,california
ford door,11000,2015,oregon
ford f-150,28000,2019,pennsylvania
ford fusion,13500,2019,california
ford f-150,7300,2013,oregon
ford f-150,25100,2019,pennsylvania
ford transit,24100,2019,california
ford f-150,6500,2014,oregon
ford f-150,10500,2019,pennsylvania
ford fusion,16900,2019,california
ford door,6000,2013,oregon
ford f-150,28500,2019,pennsylvania
ford fusion,16200,2019,california
ford f-150,6500,2013,oregon
ford flex,24500,2019,pennsylvania
ford fusion,16500,2019,california
ford door,56500,2017,texas
ford fusion,10400,2019,pennsylvania
ford explorer,22800,2018,oklahoma
ford flex,26500,2019,pennsylvania
ford flex,23800,2019,pennsylvania
ford f-150,24700,2018,oklahoma
ford fusion,12400,2019,pennsylvania
ford fusion,16600,2019,pennsylvania
ford door,11200,2015,oklahoma
ford fusion,15900,2019,pennsylvania
ford door,7700,2015,oklahoma
ford fusion,15100,2019,pennsylvania
ford door,7200,2013,oklahoma
ford fusion,15600,2019,pennsylvania
ford srw,39700,2019,oklahoma
ford fusion,16000,2019,pennsylvania
ford door,7500,2012,oklahoma
ford srw,15500,2017,oregon
ford taurus,19000,2019,pennsylvania
ford door,5500,2015,oklahoma
ford drw,38700,2018,oklahoma
ford taurus,21000,2019,pennsylvania
ford door,28500,2016,oklahoma
ford drw,37200,2018,oklahoma
ford taurus,18500,2019,pennsylvania
ford door,15000,2015,oklahoma
ford drw,37700,2017,oklahoma
ford transit,22200,2019,pennsylvania
ford f-150,39950,2019,georgia
ford drw,37600,2017,oklahoma
ford taurus,18500,2019,pennsylvania
ford door,10000,2013,florida
ford taurus,20500,2019,pennsylvania
ford door,5700,2013,florida
ford transit,21000,2019,pennsylvania
ford transit,22500,2019,pennsylvania
ford f-150,29000,2019,colorado
ford door,13200,2013,florida
ford transit,25500,2019,pennsylvania
ford door,25700,2016,texas
ford doors,18900,2015,new york
ford wagon,31500,2019,pennsylvania
ford door,45500,2017,florida
ford door,11000,2017,pennsylvania
ford doors,18288,2015,new york
ford door,20000,2017,florida
ford door,36600,2016,pennsylvania
ford doors,18299,2015,pennsylvania
ford escape,10000,2017,colorado
ford door,4100,2012,pennsylvania
ford door,30995,2015,texas
ford door,1750,2012,minnesota
ford wagon,31500,2019,pennsylvania
ford door,13500,2016,colorado
ford door,7500,2014,texas
ford door,650,2017,california
ford wagon,22800,2019,pennsylvania
ford door,11300,2016,colorado
ford door,32700,2014,texas
ford door,1350,2012,virginia
ford wagon,21900,2019,pennsylvania
ford door,11700,2014,texas
ford door,6500,2014,georgia
ford door,9800,2014,colorado
ford door,11000,2014,texas
ford door,1150,2014,georgia
ford cutaway,13000,2013,colorado
ford door,5500,2013,texas
ford door,6000,2014,massachusetts
ford door,11200,2013,texas
ford door,5000,2016,massachusetts
ford f-150,23400,2019,missouri
ford door,13500,2019,massachusetts
ford f-150,22900,2019,missouri
ford fusion,20000,2020,virginia
ford f-150,22900,2019,missouri
ford mustang,27000,2020,virginia
ford expedition,54500,2019,oklahoma
ford fusion,20600,2020,virginia
ford f-150,23500,2019,missouri
ford expedition,53000,2019,oklahoma
ford transit,23600,2019,missouri
ford wagon,33500,2019,oklahoma
ford edge,24400,2019,virginia
ford focus,13000,2016,west virginia
ford max,48400,2019,virginia
ford door,26500,2014,west virginia
ford max,46200,2019,virginia
ford door,9300,2013,west virginia
ford door,13500,2012,west virginia
ford edge,27600,2019,virginia
ford door,7400,2013,west virginia
ford edge,26500,2019,virginia
ford door,26000,2013,west virginia
ford edge,24500,2019,virginia
ford door,2100,2012,west virginia
ford ecosport,16700,2019,virginia
ford edge,17500,2015,missouri
ford escape,17000,2019,virginia
ford door,22500,2015,oklahoma
ford f-150,34500,2019,michigan
ford ecosport,16600,2019,virginia
ford door,7500,2014,missouri
ford f-150,34500,2019,michigan
ford edge,25000,2019,virginia
ford f-150,36000,2019,michigan
ford edge,23700,2019,virginia
ford explorer,28600,2019,michigan
ford door,23500,2013,oklahoma
ford explorer,25300,2019,michigan
ford flex,24900,2019,virginia
ford f-750,20300,2012,missouri
ford fusion,23400,2020,michigan
ford fusion,14600,2019,virginia
ford f-150,25500,2019,virginia
ford fusion,14700,2019,virginia
ford f-150,33700,2019,virginia
ford f-150,33400,2019,virginia
ford f-150,34000,2019,michigan
ford fusion,17500,2019,virginia
ford fusion,14100,2019,michigan
ford f-150,30000,2019,virginia
ford fusion,16500,2019,michigan
ford f-150,30600,2019,virginia
ford ecosport,12800,2019,nevada
ford wagon,26000,2019,virginia
ford max,46000,2019,texas
ford ranger,28500,2019,virginia
ford edge,24300,2019,nevada
ford explorer,29000,2019,texas
ford escape,15300,2019,nevada
ford mustang,27900,2019,new mexico
ford edge,24700,2019,nevada
ford escape,14400,2019,texas
ford ecosport,15000,2019,nevada
ford door,17200,2014,florida
ford ecosport,12800,2019,nevada
