name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Esmail KHATIB,us-cia-iran-esmail-khatib-minister-of-intelligence-security,Person,Esmail KHATIB,,,ir,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ezatollah ZARQAMI,us-cia-iran-ezatollah-zarqami-minister-of-cultural-heritage-handicrafts-tourism,Person,Ezatollah ZARQAMI,,,ir,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Hosein AMIR-ABDOLLAHIAN,us-cia-iran-hosein-amir-abdollahian-minister-of-foreign-affairs,Person,Hosein AMIR-ABDOLLAHIAN,,,ir,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Hosein Simai SARAF,us-cia-iran-hosein-simai-saraf-secretary-of-the-cabinet,Person,Hosein Simai SARAF,,,ir,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Isa ZAREH-PUR,us-cia-iran-isa-zareh-pur-minister-of-communication-information-technology,Person,Isa ZAREH-PUR,,,ir,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Javad OJI,us-cia-iran-javad-oji-minister-of-petroleum,Person,Javad OJI,,,ir,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Kiumars HASHEMI,us-cia-iran-kiumars-hashemi-minister-of-sports-youth,Person,Kiumars HASHEMI,,,ir,,,,,,CIA World Leaders,2023-08-18T00:07:43,2023-12-04T21:58:26,2023-08-18T00:07:43
Meisam LATIFI,us-cia-iran-meisam-latifi-vice-president-head-administrative-and-employment-affairs,Person,Meisam LATIFI,,,ir,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Mohamad-Reza FARZIN,us-cia-iran-mohamad-reza-farzin-governor-central-bank-of-iran,Person,Mohamad-Reza FARZIN,,,ir,,,,,,CIA World Leaders,2023-08-18T00:07:43,2023-12-04T21:58:26,2023-08-18T00:07:43
Mohammad DEHQAN,us-cia-iran-mohammad-dehqan-vice-president-for-legal-affairs,Person,Mohammad DEHQAN,,,ir,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Mohammad HOSEINI,us-cia-iran-mohammad-hoseini-vice-president-for-parliamentary-affairs,Person,Mohammad HOSEINI,,,ir,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Mohammad Mahdi ESMAILI,us-cia-iran-mohammad-mahdi-esmaili-minister-of-culture-islamic-guidance,Person,Mohammad Mahdi ESMAILI,,,ir,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Qolam Hosein ESMAILI,us-cia-iran-qolam-hosein-esmaili-chief-of-staff,Person,Qolam Hosein ESMAILI,,,ir,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Reza-Morad SAHRAEI,us-cia-iran-reza-morad-sahraei-minister-of-education,Person,Reza-Morad SAHRAEI,,,ir,,,,,,CIA World Leaders,2023-08-18T00:07:43,2023-12-04T21:58:26,2023-08-18T00:07:43
Rohollah DEHGHANI FIROUZABADI,us-cia-iran-rohollah-dehghani-firouzabadi-vice-president-for-science-technology,Person,Rohollah DEHGHANI FIROUZABADI,,,ir,,,,,,CIA World Leaders,2023-08-18T00:07:43,2023-12-04T21:58:26,2023-08-18T00:07:43
Solat MORTAZAVI,us-cia-iran-solat-mortazavi-minister-of-labor-cooperatives-social-welfare,Person,Solat MORTAZAVI,,,ir,,,,,,CIA World Leaders,2023-08-18T00:07:43,2023-12-04T21:58:26,2023-08-18T00:07:43
Abbas al-ALYAWY,us-cia-iraq-abbas-al-alyawy-minister-of-agriculture,Person,Abbas al-ALYAWY,,,iq,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Abd al-Amir al-SHAMMARI,us-cia-iraq-abd-al-amir-al-shammari-minister-of-interior,Person,Abd al-Amir al-SHAMMARI,,,iq,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ahmad al-ASADI,us-cia-iraq-ahmad-al-asadi-minister-of-labor-social-affairs,Person,Ahmad al-ASADI,,,iq,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
