Name,iso3c,cowc,cown,wb,State,Name,Type,Twitter_personal,Twitter_institution,Facebook_personal,Facebook_institution,Twitter_personal_id,Twitter_institution_id,Facebook_personal_id,Facebook_institution_id
Juan Orlando Hernández,HND,HON,91,HND,Honduras,Juan Orlando Hernández,President,JuanOrlandoH,NA,juanorlandoh,NA,58244743,NA,124300620957187,NA
Xanana Gusmão,TLS,ETM,860,TMP,East Timor,Xanana Gusmão,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
José Mújica,URY,URU,165,URY,Uruguay,José Mújica,President,CordanoJose,NA,NA,NA,991512475,NA,NA,NA
Hassan Rouhani,IRN,IRN,630,IRN,Iran,Hassan Rouhani,President,HassanRouhani,NA,rouhani.ir,NA,1404590618,NA,320374868088939,NA
Nouri Al-Maliki,IRQ,IRQ,645,IRQ,Iraq,Nouri Al-Maliki,Prime Minister,nourialmalikiiq,NA,NA,NA,379741993,NA,NA,NA
Luc-Adolphe Tiao,BFA,BFO,439,BFA,Burkina Faso,Luc-Adolphe Tiao,Acting Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Keith Mitchell,GRD,GRN,55,GRD,Grenada,Keith Mitchell,Prime Minister ,NA,NA,drkeithcmitchell,NA,NA,NA,285442564821627,NA
Mikhail Myasnikovich,BLR,BLR,370,BLR,Belarus,Mikhail Myasnikovich,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Philémon Yang,CMR,CAO,471,CMR,Cameroon,Philémon Yang,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Sam Hinds,GUY,GUY,110,GUY,Guyana,Sam Hinds,Prime Minister ,NA,NA,NA,gina.gov,NA,NA,NA,275385732567266
Manny Mori,FSM,FSM,987,FSM,Micronesia,Manny Mori,President,NA,NA,NA,NA,NA,NA,NA,NA
Helle Thorning-Schmidt,DNK,DEN,390,DNK,Denmark,Helle Thorning-Schmidt,Prime Minister,NA,NA,hellethorningschmidt,NA,NA,NA,11060438851,NA
Tammam Salam,LBN,LEB,660,LBN,Lebanon,Tammam Salam,President,SalamTammam,NA,TammamSalam,NA,599985251,NA,485067324853989,NA
Yahya Jammeh,GMB,GAM,420,GMB,"Gambia, The",Yahya Jammeh,President,NA,NA,NA,NA,NA,NA,NA,NA
Li Keqiang,CHN,CHN,710,CHN,China,Li Keqiang,Premier of the State Council ,NA,NA,NA,NA,NA,NA,NA,NA
Sheikh Jaber Al-Mubarak Al-Hamad Al-Sabah,KWT,KUW,690,KWT,Kuwait,Sheikh Jaber Al-Mubarak Al-Hamad Al-Sabah,Prime Minister,NA,NA,NA,NA,NA,NA,NA,NA
Alberto Vaquina,MOZ,MZM,541,MOZ,Mozambique,Alberto Vaquina,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Wael Nader Al-Halqi,SYR,SYR,652,SYR,Syria,Wael Nader Al-Halqi,Prime Minister,NA,NA,NA,NA,NA,NA,NA,NA
Didier Burkhalter,CHE,SWZ,225,CHE,Switzerland,Didier Burkhalter,Federal Council,BR_Sprecher,NA,NA,NA,311941092,NA,NA,NA
Gordon Darcy Lilo,SLB,SOL,940,SLB,Solomon Islands,Gordon Darcy Lilo,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Yingluck Shinawatra,THA,THI,800,THA,Thailand,Yingluck Shinawatra,Prime Minister,PouYingluck,NA,y.shinawatra,NA,301933967,NA,105044319540032,NA
Tommy Remengesau,PLW,PAL,986,PLW,Palau,Tommy Remengesau,President,TommyRemengesau,NA,100003751498550,167766706708770,2349626330,NA,100003751498550,167766706708770
Mehdi Jomaa,TUN,TUN,616,TUN,Tunisia,Mehdi Jomaa,Head of Government ,Mehdi_Jomaa,NA,M.mehdi.jomaa,NA,2246134207,NA,694337433939801,NA
D. M. Jayaratne,LKA,SRI,780,LKA,Sri Lanka,D. M. Jayaratne,Prime Minister ,NA,NA,158543450978266,NA,NA,NA,158543450978266,NA
Gabriel Costa,STP,STP,403,STP,São Tomé and Príncipe,Gabriel Costa,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Thein Sein,MMR,MYA,775,MMR,Myanmar,Thein Sein,President,TheinSein,NA,MMPresidentUTheinSein,NA,247643084,NA,465933336832151,NA
Abdiweli Sheikh Ahmed,SOM,SOM,520,SOM,Somalia,Abdiweli Sheikh Ahmed,Prime Minister ,SomaliPM,NA,921126674571298,NA,1144935463,NA,921126674571298,NA
Benigno Aquino III,PHL,PHI,840,PHL,Philippines,Benigno Aquino III,President,noynoyaquino,NA,presidentnoy,NA,69209858,NA,141976959168393,NA
Anote Tong,KIR,KIR,946,KIR,Kiribati,Anote Tong,President,NA,NA,NA,NA,NA,NA,NA,NA
