Name,iso3c,cowc,cown,wb,State,Name,Type,Twitter_personal,Twitter_institution,Facebook_personal,Facebook_institution,Twitter_personal_id,Twitter_institution_id,Facebook_personal_id,Facebook_institution_id
Zhantoro Satybaldiyev,KGZ,KYR,703,KGZ,Kyrgyzstan,Zhantoro Satybaldiyev,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
John Key,NZL,NEW,920,NZL,New Zealand,John Key,Prime Minister ,johnkeypm,NA,pmjohnkey,NA,17380167,NA,12635800428,NA
Nguyễn Tấn Dũng,VNM,DRV,816,VNM,Vietnam,Nguyễn Tấn Dũng,Prime Minister ,nguyen_tandung,NA,thutuongofficial,NA,250761116,NA,573973985948239,NA
Ralph Gonsalves,VCT,SVG,57,VCT,Saint Vincent and the Grenadines,Ralph Gonsalves,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Moana Carcasses Kalosil,VUT,VAN,935,VUT,Vanuatu,Moana Carcasses Kalosil,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Tom Thabane,LSO,LES,570,LSO,Lesotho,Tom Thabane,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Moulaye Ouid Mohamed Laghdaf,MRT,MAA,435,MRT,Mauritania,Moulaye Ouid Mohamed Laghdaf,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Navin Ramgoolam,MUS,MAS,590,MUS,Mauritius,Navin Ramgoolam,Prime Minister ,NA,NA,DrNavinRamgoolam,NA,NA,NA,172292952809,NA
Brigi Rafini,NER,NIR,436,NER,Niger,Brigi Rafini,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Omer Beriziky,MDG,MAG,580,MDG,Madagascar,Omer Beriziky,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Thongsing Thammavong,LAO,LAO,812,LAO,Laos,Thongsing Thammavong,Prime Minister ,NA,NA,NA,LaosKingdom,NA,NA,NA,301011583326485
Robert Mugabe,ZWE,ZIM,552,ZWE,Zimbabwe,Robert Mugabe,President,NA,NA,NA,NA,NA,NA,NA,NA
Gian Carlo Capicchioni,SMR,SNM,331,SMR,San Marino,Gian Carlo Capicchioni,Captain Regent,NA,NA,NA,NA,NA,NA,NA,NA
Michael Sata,ZMB,ZAM,551,ZMB,Zambia,Michael Sata,President,NA,NA,NA,NA,NA,NA,NA,NA
Hun Sen,KHM,CAM,811,KHM,Cambodia,Hun Sen,Prime Minister ,NA,NA,111975152184324,NA,NA,NA,111975152184324,NA
Kokhir Rasulzoda,TJK,TAJ,702,TJK,Tajikistan,Kokhir Rasulzoda,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Enele Sopoaga,TUV,TUV,947,TUV,Tuvalu,Enele Sopoaga,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Rui Duarte de Barros,GNB,GNB,404,GNB,Guinea-Bissau,Rui Duarte de Barros,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Mohamed Said Fofana,GIN,GUI,438,GIN,Guinea,Mohamed Said Fofana,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Augustin Matata Ponyo,COD,DRC,490,ZAR,"Congo, Democratic Republic of the",Augustin Matata Ponyo,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Omar al-Bashir,SDN,SUD,625,SDN,Sudan,Omar al-Bashir,President,NA,NA,NA,NA,NA,NA,NA,NA
