Name,iso3c,cowc,cown,wb,State,Name,Type,Twitter_personal,Twitter_institution,Facebook_personal,Facebook_institution,Twitter_personal_id,Twitter_institution_id,Facebook_personal_id,Facebook_institution_id
Gurbanguly Berdimuhamedow,TKM,TKM,701,TKM,Turkmenistan,Gurbanguly Berdimuhamedow,President,NA,NA,NA,NA,NA,NA,NA,NA
Vjekoslav Bevanda,BIH,BOS,346,BIH,Bosnia and Herzegovina,Vjekoslav Bevanda,Chairman of the Council of Ministers ,vbevanda,NA,NA,NA,611770712,NA,NA,NA
Ali Zeidan,LBY,LIB,620,LBY,Libya,Ali Zeidan,Prime Minister,AliZeidanZ,NA,NA,NA,2420331025,NA,NA,NA
Adrian Hasler,LIE,LIE,223,LIE,Liechtenstein,Adrian Hasler,Head of Government ,adrian_hasler,NA,adrian.hasler1964,1411588962478510,316668206,NA,171989386301782,1411588962478510
Qaboos bin Said al Said,OMN,OMA,698,OMN,Oman,Qaboos bin Said al Said,Sultan and Prime Minister,NA,NA,NA,NA,NA,NA,NA,NA
Ikililou Dhoinine,COM,COM,581,COM,Comoros,Ikililou Dhoinine,President,NA,NA,NA,NA,NA,NA,NA,NA
Fredrik Reinfeldt,SWE,SWD,380,SWE,Sweden,Fredrik Reinfeldt,Prime Minister ,freinfeldt,NA,314249689102,NA,224759878,NA,314249689102,NA
Mahamat Kamoun,CAF,CEN,482,CAF,Central African Republic,Mahamat Kamoun,Prime Minister,MKOfficiel,NA,NA,NA,2886990785,NA,NA,NA
Mizengo Pinda,TZA,TAZ,510,TZA,Tanzania,Mizengo Pinda,Prime Minister ,mizengo_pinda,NA,129833770423360,NA,3063832462,NA,129833770423360,NA
Denis Sassou Nguesso,COG,CON,484,COG,"Congo, Republic of the",Denis Sassou Nguesso,President,SassouCG,NA,SassouCG,NA,1106069527,NA,122785784486304,NA
Kamla Persad-Bissessar,TTO,TRI,52,TTO,Trinidad and Tobago,Kamla Persad-Bissessar,Prime Minister,PMKamla,NA,KamlaPersadBissessar,NA,388639092,NA,348203869797,NA
Raúl Castro,CUB,CUB,40,CUB,Cuba,Raúl Castro,President of the Council of Ministers,raulcastror,NA,presidenteraulcastro,NA,291220589,NA,198887700111,NA
Recep Tayyip Erdogan,TUR,TUR,640,TUR,Turkey,Recep Tayyip Erdogan,Prime Minister ,RT_Erdogan,NA,RecepTayyipErdogan,NA,68034431,NA,344704883576,NA
Mohammed Basindawa,YEM,YEM,679,YEM,Yemen,Mohammed Basindawa,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Roosevelt Skerrit,DMA,DMA,54,DMA,Dominica,Roosevelt Skerrit,Prime Minister ,SkerritR,NA,SupportRooseveltSkerrit,NA,2168930017,NA,301127620029099,NA
Hage Geingob,NAM,NAM,565,NAM,Namibia,Hage Geingob,Prime Minister ,hagegeingob,NA,DrHageGeingob,NA,2515899612,NA,124256077730891,NA
Baron Waqa,NRU,NAU,970,NRU,Nauru,Baron Waqa,President,NauruBwiema,NA,NA,NA,2442197798,NA,NA,NA
Khil Raj Regmi,NPL,NEP,790,NPL,Nepal,Khil Raj Regmi,Prime Minister ,KhilRajRegmi,NA,khilrajregmi.org,NA,1217414348,NA,536045939751492,NA
Cardinal Giuseppe Bertello,VAT,PAP,327,VAT,Vatican City,Cardinal Giuseppe Bertello,President of the Governorate ,pontifex,NA,PopeFranciscus,NA,500704345,NA,595373890489979,NA
Hailemariam Desalegn,ETH,ETH,530,ETH,Ethiopia,Hailemariam Desalegn,Prime Minister ,HailemariamD,NA,130218980457764,115463705238286,307850736,NA,130218980457764,115463705238286
Daniel Ortega,NIC,NIC,93,NIC,Nicaragua,Daniel Ortega,President,DanielOrtega_Ni,NA,NA,NA,766895953,NA,NA,NA
Vicente Ehate Tomi,GNQ,EQG,411,GNQ,Equatorial Guinea,Vicente Ehate Tomi,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Isaias Afwerki,ERI,ERI,531,ERI,Eritrea,Isaias Afwerki,President,NA,NA,NA,NA,NA,NA,NA,NA
Raymond Ndong Sima,GAB,GAB,481,GAB,Gabon,Raymond Ndong Sima,Prime Minister ,TeamNdongSima,NA,RaymondNdongSimaOfficiel,NA,3091686274,NA,731196176963824,NA
Siale'ataongo Tu'ivakano,TON,TON,955,TON,Tonga,Siale'ataongo Tu'ivakano,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Ricardo Martinelli,PAN,PAN,95,PAN,Panama,Ricardo Martinelli,President,rmartinelli,NA,RiMartinelli,NA,250265046,NA,203949323023957,NA
Peter O'Neill,PNG,PNG,910,PNG,Papua New Guinea,Peter O'Neill,Prime Minister ,PM_GOV_PG,NA,NA,NA,2726058284,NA,NA,NA
Aminata Touré,SEN,SEN,433,SEN,Senegal,Aminata Touré,Prime Minister ,NA,NA,475022169208287,NA,NA,NA,475022169208287,NA
Barnabas Sibusiso Dlamini,SWZ,SWA,572,SWZ,Swaziland,Barnabas Sibusiso Dlamini,Prime Minister ,NA,NA,100005431028380,NA,NA,NA,100005431028380,NA
