name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Anatole HYMACK,us-cia-vanuatu-anatole-hymack-minister-for-tourism-trade-commerce-ni-vanuatu-business,Person,Anatole HYMACK,,,vu,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Charlot SALWAI,us-cia-vanuatu-charlot-salwai-prime-minister,Person,Charlot SALWAI,,,vu,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Christophe EMELEE,us-cia-vanuatu-christophe-emelee-minister-for-education-training,Person,Christophe EMELEE,,,vu,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Don KEN,us-cia-vanuatu-don-ken-minister-for-infrastructure-public-utilities,Person,Don KEN,,,vu,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
John AMOS,us-cia-vanuatu-john-amos-minister-for-justice-community-services,Person,John AMOS,,,vu,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
John SALONG,us-cia-vanuatu-john-salong-minister-for-finance-economic-management,Person,John SALONG,,,vu,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
John Still Tari QETU,us-cia-vanuatu-john-still-tari-qetu-minister-for-health,Person,John Still Tari QETU,,,vu,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
John William TIMAKATA,us-cia-vanuatu-john-william-timakata-minister-for-lands-natural-resources,Person,John William TIMAKATA,,,vu,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Nako NATUMAN,us-cia-vanuatu-nako-natuman-minister-for-agriculture-livestock-forestry-fisheries-biosecurity,Person,Nako NATUMAN,,,vu,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Ralph REGENVANU,us-cia-vanuatu-ralph-regenvanu-minister-for-climate-change-adaptation-meteorology,Person,Ralph REGENVANU,,,vu,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Rick MAHE,us-cia-vanuatu-rick-mahe-minister-for-internal-affairs,Person,Rick MAHE,,,vu,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Tomker NETVUNEI,us-cia-vanuatu-tomker-netvunei-minister-for-youth-development-sports,Person,Tomker NETVUNEI,,,vu,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Ali Ernesto PADRON,us-cia-venezuela-ali-ernesto-padron-minister-of-tourism,Person,Ali Ernesto PADRON,,,ve,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
