name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Ivan ACOSTA,us-cia-nicaragua-ivan-acosta-minister-of-finance-public-credit,Person,Ivan ACOSTA,,,ni,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Jaime HERMIDA Castillo,us-cia-nicaragua-jaime-hermida-castillo-permanent-representative-to-the-un-new-york,Person,Jaime HERMIDA Castillo,,,ni,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Jessica PADILLA,us-cia-nicaragua-jessica-padilla-minister-of-women,Person,Jessica PADILLA,,,ni,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Johana Vanessa FLORES,us-cia-nicaragua-johana-vanessa-flores-minister-of-family,Person,Johana Vanessa FLORES,,,ni,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Lilliam Esperanza HERRERA,us-cia-nicaragua-lilliam-esperanza-herrera-minister-of-education-culture-sports,Person,Lilliam Esperanza HERRERA,,,ni,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Martha REYES,us-cia-nicaragua-martha-reyes-minister-of-health,Person,Martha REYES,,,ni,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Salvador MANSELL,us-cia-nicaragua-salvador-mansell-minister-of-energy-mines,Person,Salvador MANSELL,,,ni,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Sumaya CASTILLO,us-cia-nicaragua-sumaya-castillo-minister-of-environment-natural-resources,Person,Sumaya CASTILLO,,,ni,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Wendy MORALES Urbina,us-cia-nicaragua-wendy-morales-urbina-attorney-general,Person,Wendy MORALES Urbina,,,ni,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Abdou ABARRY,us-cia-niger-abdou-abarry-permanent-representative-to-the-un-new-york,Person,Abdou ABARRY,,,ne,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Adamou MAHAMAN,us-cia-niger-adamou-mahaman-minister-of-water-sanitation,Person,Adamou MAHAMAN,,,ne,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ahmat JIHOUD,us-cia-niger-ahmat-jihoud-minister-of-finance,Person,Ahmat JIHOUD,,,ne,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Alambedji Abba ISSA,us-cia-niger-alambedji-abba-issa-minister-of-state-for-agriculture,Person,Alambedji Abba ISSA,,,ne,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Alkassoum INDATOU,us-cia-niger-alkassoum-indatou-minister-of-defense,Person,Alkassoum INDATOU,,,ne,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Daoura Hadizatou KAFOUGOU,us-cia-niger-daoura-hadizatou-kafougou-minister-of-public-service-administrative-reform,Person,Daoura Hadizatou KAFOUGOU,,,ne,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Dardaou ZANEIDOU,us-cia-niger-dardaou-zaneidou-minister-del-to-the-minister-of-state-for-interior-decentralization-public-security-customary-religious-affairs-in-charge-of-decentralization,Person,Dardaou ZANEIDOU,,,ne,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ibrahim BOUKARY,us-cia-niger-ibrahim-boukary-minister-of-employment-labor-social-security,Person,Ibrahim BOUKARY,,,ne,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ibrahim GAMBARI,us-cia-niger-ibrahim-gambari-chief-of-staff-to-the-president,Person,Ibrahim GAMBARI,,,ne,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ibrahim YACOUBOU,us-cia-niger-ibrahim-yacoubou-minister-of-foreign-affairs,Person,Ibrahim YACOUBOU,,,ne,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
