name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Filipus Nino PEREIRA,us-cia-timor-leste-filipus-nino-pereira-minister-of-commerce-industry,Person,Filipus Nino PEREIRA,,,tl,,,,,,CIA World Leaders,2023-11-09T21:58:18,2023-12-04T21:58:26,2023-11-09T21:58:18
Fracisco da Costa MONTEIRO,us-cia-timor-leste-fracisco-da-costa-monteiro-minister-of-petroleum,Person,Fracisco da Costa MONTEIRO,,,tl,,,,,,CIA World Leaders,2023-11-09T21:58:18,2023-12-04T21:58:26,2023-11-09T21:58:18
Francisco de SOUSA,us-cia-timor-leste-francisco-de-sousa-minister-of-strategic-investment,Person,Francisco de SOUSA,,,tl,,,,,,CIA World Leaders,2023-11-09T21:58:18,2023-12-04T21:58:26,2023-11-09T21:58:18
Isilio COELHO,us-cia-timor-leste-isilio-coelho-ambassador-to-the-us,Person,Isilio COELHO,,,tl,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Jose Honorio da Costa PEREIRA GERONIMO,us-cia-timor-leste-jose-honorio-da-costa-pereira-geronimo-minister-of-higher-education-science-culture,Person,Jose Honorio da Costa PEREIRA GERONIMO,,,tl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Karlito NUNES,us-cia-timor-leste-karlito-nunes-permanent-representative-to-the-un-new-york,Person,Karlito NUNES,,,tl,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Marcos DA CRUZ,us-cia-timor-leste-marcos-da-cruz-minister-of-agriculture-livestock-fisheries-forestry,Person,Marcos DA CRUZ,,,tl,,,,,,CIA World Leaders,2023-11-09T21:58:18,2023-12-04T21:58:26,2023-11-09T21:58:18
Mariano Assanami Sabino LOPES,us-cia-timor-leste-mariano-assanami-sabino-lopes-deputy-prime-minister-coordinating-minister-for-rural-development-affairs,Person,Mariano Assanami Sabino LOPES,,,tl,,,,,,CIA World Leaders,2023-11-09T21:58:18,2023-12-04T21:58:26,2023-11-09T21:58:18
Miguel Marque CONCALVES,us-cia-timor-leste-miguel-marque-concalves-minister-of-transports-telecommunications,Person,Miguel Marque CONCALVES,,,tl,,,,,,CIA World Leaders,2023-11-09T21:58:18,2023-12-04T21:58:26,2023-11-09T21:58:18
Nelio Isac SARMENTO,us-cia-timor-leste-nelio-isac-sarmento-minister-of-youth-sports-arts-culture,Person,Nelio Isac SARMENTO,,,tl,,,,,,CIA World Leaders,2023-11-09T21:58:18,2023-12-04T21:58:26,2023-11-09T21:58:18
Roasio GOMES,us-cia-timor-leste-roasio-gomes-minister-of-defense,Person,Roasio GOMES,,,tl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Samuel MARCAL,us-cia-timor-leste-samuel-marcal-minister-of-public-works,Person,Samuel MARCAL,,,tl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Santina Jose Rodrigues Ferreira VIEGAS Cardoso,us-cia-timor-leste-santina-jose-rodrigues-ferreira-viegas-cardoso-minister-of-finance,Person,Santina Jose Rodrigues Ferreira VIEGAS Cardoso,,,tl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Tomas do Rosario CABRAL,us-cia-timor-leste-tomas-do-rosario-cabral-minister-of-state-administration,Person,Tomas do Rosario CABRAL,,,tl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Veronica DAS DORES,us-cia-timor-leste-veronica-das-dores-minister-of-solidarity-social-inclusion,Person,Veronica DAS DORES,,,tl,,,,,,CIA World Leaders,2023-11-09T21:58:18,2023-12-04T21:58:26,2023-11-09T21:58:18
Andre JOHNSON,us-cia-togo-andre-johnson-minister-of-environment-forest-resources,Person,Andre JOHNSON,,,tg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Batienne KPABRE-SYLLI,us-cia-togo-batienne-kpabre-sylli-minister-in-the-presidency,Person,Batienne KPABRE-SYLLI,,,tg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Cina LAWSON,us-cia-togo-cina-lawson-minister-of-mail-telecommunication,Person,Cina LAWSON,,,tg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Damehane YARK,us-cia-togo-damehane-yark-minister-of-security-civil-protection,Person,Damehane YARK,,,tg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Dederiwe ABLI-BIDAMON,us-cia-togo-dederiwe-abli-bidamon-minister-of-mining-energy,Person,Dederiwe ABLI-BIDAMON,,,tg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Elliott OHIN,us-cia-togo-elliott-ohin-minister-in-the-prime-minister-s-office,Person,Elliott OHIN,,,tg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Faure GNASSINGBE,us-cia-togo-faure-gnassingbe-president,Person,Faure GNASSINGBE,,,tg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Fiatuwo Kwadjo SESSENOU,us-cia-togo-fiatuwo-kwadjo-sessenou-minister-of-urban-planning-housing-living,Person,Fiatuwo Kwadjo SESSENOU,,,tg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Frederic Edem HEGBE,us-cia-togo-frederic-edem-hegbe-ambassador-to-the-us,Person,Frederic Edem HEGBE,,,tg,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Gabriel IHOU,us-cia-togo-gabriel-ihou-minister-of-industry-tourism,Person,Gabriel IHOU,,,tg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Georges Kwawu AIDAM,us-cia-togo-georges-kwawu-aidam-minister-del-to-the-minister-of-primary-secondary-education-charged-with-technical-education-vocational-training,Person,Georges Kwawu AIDAM,,,tg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Gilbert BAWARA,us-cia-togo-gilbert-bawara-minister-of-public-service-labor-admin-reform,Person,Gilbert BAWARA,,,tg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Guy Madje LORENZO,us-cia-togo-guy-madje-lorenzo-minister-of-communication-culture-sports-civic-education,Person,Guy Madje LORENZO,,,tg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Kokou KPAYEDO,us-cia-togo-kokou-kpayedo-permanent-representative-to-the-un-new-york,Person,Kokou KPAYEDO,,,tg,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
