name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Abdelouafi LAFTIT,Q30308949,Person,Abdelouafi LAFTIT,,,ma,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Dominic NITIWUL,Q30323575,Person,Dominic NITIWUL,,,gh,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Stanislas GUERINI,Q30343112,Person,Stanislas GUERINI,,,fr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Rosario MURILLO Zambrana de Ortega,Q3034382,Person,Rosario MURILLO Zambrana de Ortega,,,ni,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Dominic LEBLANC,Q3034854,Person,Dominic LEBLANC,,,ca,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Eamon COURTENAY,Q3046363,Person,Eamon COURTENAY,,,bz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Edgars RINKEVICS,Q3047551,Person,Edgars RINKEVICS,,,lv,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Samuel MONCADA Acosta,Q30505969,Person,Samuel MONCADA Acosta,,,ve,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Emmanuel MACRON,Q3052772,Person,Emmanuel MACRON,,,ad;fr,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-08-16T06:02:46
Tijjani Muhammad Bande,Q30558371,Person,Tijjani Muhammad Bande,,,ng,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Eugenia ROCCELLA,Q3059585,Person,Eugenia ROCCELLA,,,it,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Fatima Ezzahra EL MANSOURI,Q3067221,Person,Fatima Ezzahra EL MANSOURI,,,ma,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Fernando HADDAD,Q3069485,Person,Fernando HADDAD,,,br,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Selibe MOCHOBOROANE,Q30702245,Person,Selibe MOCHOBOROANE,,,ls,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Troels Lund POULSEN,Q3080572,Person,Troels Lund POULSEN,,,dk,,,,,,CIA World Leaders,2023-08-31T12:01:28,2023-12-04T21:58:26,2023-08-31T12:01:28
Francois BAUSCH,Q3083923,Person,Francois BAUSCH,,,lu,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Francois VILLEROY de Galhau,Q3086015,Person,Francois VILLEROY de Galhau,,,fr,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Dominique HASLER,Q30883975,Person,Dominique HASLER,,,li,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Justin Pierre James TRUDEAU,Q3099714,Person,Justin Pierre James TRUDEAU,,,ca,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Genevieve DARRIEUSSECQ,Q3100615,Person,Genevieve DARRIEUSSECQ,,,fr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Manuel CASTELLS Olivan,Q310161,Person,Manuel CASTELLS Olivan,,,es,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Georges GILKINET,Q3102773,Person,Georges GILKINET,,,be,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Moses Dinekere PELAELO,Q31079723,Person,Moses Dinekere PELAELO,,,bw,,,,,,CIA World Leaders,2023-09-28T12:01:37,2023-12-04T21:58:26,2023-09-28T12:01:37
Tobias BILLSTROM,Q3112958,Person,Tobias BILLSTROM,,,se,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ararat MIRZOYAN,Q31196321,Person,Ararat MIRZOYAN,,,am,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Gerald DARMANIN,Q3123610,Person,Gerald DARMANIN,,,fr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Levan DAVITASHVILI,Q31354638,Person,Levan DAVITASHVILI,,,ge,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Hugues NGOUELONDELE,Q3142653,Person,Hugues NGOUELONDELE,,,cg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Faraj Salmin al-BAHSANI,Q31540834,Person,Faraj Salmin al-BAHSANI,,,ye,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
