name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Bernardito AUZA,us-cia-holy-see-vatican-city-bernardito-auza-permanent-observer-to-the-un-new-york,Person,Bernardito AUZA,,,va,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Paul GALLAGHER,us-cia-holy-see-vatican-city-paul-gallagher-secretary-for-relations-with-states,Person,Paul GALLAGHER,,,va,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Pietro PAROLIN,us-cia-holy-see-vatican-city-pietro-parolin-secretary-of-state,Person,Pietro PAROLIN,,,va,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Daniel ESPONDA,us-cia-honduras-daniel-esponda-minister-of-education,Person,Daniel ESPONDA,,,hn,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Eduardo Enrique REINA Garcia,us-cia-honduras-eduardo-enrique-reina-garcia-minister-of-foreign-relations,Person,Eduardo Enrique REINA Garcia,,,hn,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ivis ALVARADO,us-cia-honduras-ivis-alvarado-minister-of-communications,Person,Ivis ALVARADO,,,hn,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Javier Efrain BU SOTO,us-cia-honduras-javier-efrain-bu-soto-ambassador-to-the-us,Person,Javier Efrain BU SOTO,,,hn,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Jose Carlos CARDONA,us-cia-honduras-jose-carlos-cardona-minister-of-development-social-inclusion,Person,Jose Carlos CARDONA,,,hn,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Jose Manuel MATHEU Amaya,us-cia-honduras-jose-manuel-matheu-amaya-minister-of-health,Person,Jose Manuel MATHEU Amaya,,,hn,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Laura SUAZO,us-cia-honduras-laura-suazo-minister-of-agriculture-livestock,Person,Laura SUAZO,,,hn,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Lucky Halach MEDINA Estrada,us-cia-honduras-lucky-halach-medina-estrada-minister-of-natural-resources-environment,Person,Lucky Halach MEDINA Estrada,,,hn,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Manuel Hector ZELAYA Castro,us-cia-honduras-manuel-hector-zelaya-castro-minister-of-the-presidency,Person,Manuel Hector ZELAYA Castro,,,hn,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Marlon OCHOA,us-cia-honduras-marlon-ochoa-minister-revenue-administration-service-sar,Person,Marlon OCHOA,,,hn,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Mauricio RAMOS,us-cia-honduras-mauricio-ramos-minister-of-infrastructure-public-services,Person,Mauricio RAMOS,,,hn,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Melina Natalie ROQUE Sandoval,us-cia-honduras-melina-natalie-roque-sandoval-minister-of-human-rights,Person,Melina Natalie ROQUE Sandoval,,,hn,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
