Name,iso3c,cowc,cown,wb,State,Name,Type,Twitter_personal,Twitter_institution,Facebook_personal,Facebook_institution,Twitter_personal_id,Twitter_institution_id,Facebook_personal_id,Facebook_institution_id
Kalzeubet Pahimi Deubet,TCD,CHA,483,TCD,Chad,Kalzeubet Pahimi Deubet,Prime Minister ,NA,PMTCHAD,NA,119987794693584,NA,532423452,NA,119987794693584
Michelle Bachelet,CHL,CHL,155,CHL,Chile,Michelle Bachelet,President,NA,gobiernodechile,MichelleBacheletPresidenta,gobiernodechile,NA,42102939,8459707345,114405611929952
Abdelilah Benkirane,MAR,MOR,600,MAR,Morocco,Abdelilah Benkirane,Prime Minister ,NA,ChefGov_ma,PJDAbenkirane,cg.gov.ma,NA,748291920,1634847513416900,270219276428374
Jung Hong-won,KOR,ROK,732,KOR,South Korea,Jung Hong-won,Prime Minister,NA,PrimeMinisterKR,NA,PrimeMinisterKR,NA,125585413,NA,184448914914155
Serik Akhmetov,KAZ,KZK,705,KAZ,Kazakhstan,Serik Akhmetov,Prime Minister ,NA,primeministerkz,NA,NA,NA,288234254,NA,NA
Kenny Anthony,LCA,SLU,56,LCA,Saint Lucia,Kenny Anthony,Prime Minister ,NA,SaintLuciaGov,100000425153803,SaintLuciaGovernment,NA,547314961,100000425153803,305083636229840
Abdullah Ensour,JOR,JOR,663,JOR,Jordan,Abdullah Ensour,Prime Minister ,NA,PrimeMinistry,NA,PMOJO,NA,187142863,NA,151354084892458
Manmohan Singh,IND,IND,750,IND,India,Manmohan Singh,Prime Minister ,NA,PMOIndia,NA,PMOIndia,NA,471741741,NA,478216262309083
Michel Roger,MCO,MNC,221,MCO,Monaco,Michel Roger,Minister of State ,NA,GvtMonaco,NA,GvtMonaco,NA,472167838,NA,1441586412798990
Tuilaepa Aiono Sailele Malielegaoi,WSM,WSM,990,WSM,Samoa,Tuilaepa Aiono Sailele Malielegaoi,Prime Minister ,NA,samoagovt,NA,samoagovt,NA,1016451774,NA,900088560022167
Shavkat Mirziyoyev,UZB,UZB,704,UZB,Uzbekistan,Shavkat Mirziyoyev,Prime Minister ,NA,Scpresidenciauy,NA,NA,NA,380961080,NA,NA
Kwesi Ahoomey-Zunu,TGO,TOG,461,TGO,Togo,Kwesi Ahoomey-Zunu,Prime Minister,NA,republicoftogo,NA,6683533941,NA,35724812,NA,6683533941
Viktor Orbán,HUN,HUN,310,HUN,Hungary,Viktor Orbán,Prime Minister ,NA,kormany_hu,orbanviktor,kormanyzat,NA,237292791,298090296092,120370174702378
James Michel,SYC,SEY,591,SYC,Seychelles,James Michel,President,NA,StateHouseSey,NA,StateHouseSey,NA,1057428702,NA,586396861428269
Milo Đukanović,MNE,MNG,341,MNE,Montenegro,Milo Đukanović,Prime Minister ,NA,VladaCG,djukanovic.milo,NA,NA,450605189,53591976664,NA
Nawaz Sharif,PAK,PAK,770,PAK,Pakistan,Nawaz Sharif,Prime Minister ,NA,eomanportal,NA,oman.om,NA,184673126,NA,103365026393436
Abdoulkader Kamil Mohamed,DJI,DJI,522,DJI,Djibouti,Abdoulkader Kamil Mohamed,Prime Minister ,NA,NA,NA,NA,NA,NA,NA,NA
Edi Rama,ALB,ALB,339,ALB,Albania,Edi Rama,Prime Minister ,ediramaal,NA,edirama.al,NA,273410176,NA,138734771522,NA
Abdelmalek Sellal,DZA,ALG,615,DZA,Algeria,Abdelmalek Sellal,Prime Minister ,AMSellal,NA,AbdelmalekSellal,NA,2416157107,NA,1399592353625000,NA
Sigmundur Davíð Gunnlaugsson,ISL,ICE,395,ISL,Iceland,Sigmundur Davíð Gunnlaugsson,Prime Minister ,sigmundurdavid,NA,sigmundurdavidgunnlaugsson,NA,231054442,NA,156410787855312,NA
Robert Fico,SVK,SLO,317,SVK,Slovakia,Robert Fico,Prime Minister ,NA,NA,100005375046895,NA,NA,NA,100005375046895,NA
Tony Abbott,AUS,AUL,900,AUS,Australia,Tony Abbott,Prime Minister ,TonyAbbottMHR,NA,TonyAbbottMP,NA,93766096,NA,216342268645,NA
Werner Faymann,AUT,AUS,305,AUT,Austria,Werner Faymann,Federal Chancellor ,werner_faymann,NA,bundeskanzlerfaymann,NA,76915400,NA,210024412396362,NA
Perry Christie,BHS,BHM,31,BHS,Bahamas,Perry Christie,Prime Minister ,pgchristie,NA,PerryGladstoneChristie,NA,221961767,NA,43202773015,NA
Sheikh Hasina,BGD,BNG,771,BGD,Bangladesh,Sheikh Hasina,Prime Minister ,sheikhhasina,NA,BongobondhuKonna,NA,59495763,NA,306018608962,NA
Abdullah,SAU,SAU,670,SAU,Saudi Arabia,Abdullah,King and Prime Minister,RHCJO,NA,281915178598354,NA,1362191299,NA,281915178598354,NA
Ivica Dacic,SRB,NA,NA,SRB,Serbia,Ivica Dacic,President of the Government ,SerbianPM,NA,DacicIvica,NA,3036495555,NA,112448782168086,NA
Yayi Boni,BEN,BEN,434,BEN,Benin,Yayi Boni,President,DrBoniYAYI,NA,docteurboniyayi,NA,100540710,NA,120112436965,NA
José Maria Neves,CPV,CAP,402,CPV,Cape Verde,José Maria Neves,Prime Minister ,NA,NA,100000414770749,NA,NA,NA,100000414770749,NA
