name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Christos-Georgios SKERTSOS,us-cia-greece-christos-georgios-skertsos-minister-of-state,Person,Christos-Georgios SKERTSOS,,,gr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Christos STYLIANIDIS,us-cia-greece-christos-stylianidis-minister-of-shipping-island-policy,Person,Christos STYLIANIDIS,,,gr,,,,,,CIA World Leaders,2023-09-21T12:01:52,2023-12-04T21:58:26,2023-09-21T12:01:52
Dimitrios KAIRIDIS,us-cia-greece-dimitrios-kairidis-minister-of-migration-asylum,Person,Dimitrios KAIRIDIS,,,gr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Dimitrios PAPASTERGIOU,us-cia-greece-dimitrios-papastergiou-minister-of-digital-governance,Person,Dimitrios PAPASTERGIOU,,,gr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Evangelos SEKERIS,us-cia-greece-evangelos-sekeris-permanent-representative-to-the-un-new-york,Person,Evangelos SEKERIS,,,gr,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Georgios FLORIDIS,us-cia-greece-georgios-floridis-minister-of-justice,Person,Georgios FLORIDIS,,,gr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ioannis OIKONOMOU,us-cia-greece-ioannis-oikonomou-minister-of-citizen-protection,Person,Ioannis OIKONOMOU,,,gr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Mavroudis VORIDIS,us-cia-greece-mavroudis-voridis-minister-of-state,Person,Mavroudis VORIDIS,,,gr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Michail CHRYSOCHOIDIS,us-cia-greece-michail-chrysochoidis-minister-of-health,Person,Michail CHRYSOCHOIDIS,,,gr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Niki KERAMEOS,us-cia-greece-niki-kerameos-minister-of-interior,Person,Niki KERAMEOS,,,gr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Pavlos MARINAKIS,us-cia-greece-pavlos-marinakis-government-spokesperson,Person,Pavlos MARINAKIS,,,gr,,,,,,CIA World Leaders,2023-08-03T12:02:59,2023-12-04T21:58:26,2023-08-03T12:02:59
Stavros PAPASTAVROU,us-cia-greece-stavros-papastavrou-minister-of-state,Person,Stavros PAPASTAVROU,,,gr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Styliani MENDONI,us-cia-greece-styliani-mendoni-minister-of-culture,Person,Styliani MENDONI,,,gr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Theodoros SKYLAKAKIS,us-cia-greece-theodoros-skylakakis-minister-of-environment-energy,Person,Theodoros SKYLAKAKIS,,,gr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Vasileios KIKILIAS,us-cia-greece-vasileios-kikilias-minister-of-climate-crisis-civil-protection,Person,Vasileios KIKILIAS,,,gr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Adrian THOMAS,us-cia-grenada-adrian-thomas-minister-of-state-with-responsibility-for-agriculture-fisheries-and-cooperatives,Person,Adrian THOMAS,,,gd,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Andy WILLIAMS,us-cia-grenada-andy-williams-minister-of-mobilization-implementation-and-transformation,Person,Andy WILLIAMS,,,gd,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Che Ajamu PHILLIP,us-cia-grenada-che-ajamu-phillip-permanent-representative-to-the-un-new-york,Person,Che Ajamu PHILLIP,,,gd,,,,,,CIA World Leaders,2023-08-03T12:02:59,2023-12-04T21:58:26,2023-08-03T12:02:59
Claudette JOSEPH,us-cia-grenada-claudette-joseph-attorney-general-and-minister-of-legal-affairs-labor-and-consumer-affairs,Person,Claudette JOSEPH,,,gd,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
David Evlyn ANDRES,us-cia-grenada-david-evlyn-andres-minister-of-education-youth-and-sports-affairs,Person,David Evlyn ANDRES,,,gd,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Dennis CORNWALL,us-cia-grenada-dennis-cornwall-minister-of-infrastructure-and-physical-development-civil-aviation-and-transportation,Person,Dennis CORNWALL,,,gd,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
