name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Bintang PUSPAYOGA,us-cia-indonesia-bintang-puspayoga-minister-of-women-s-empowerment-child-protection,Person,Bintang PUSPAYOGA,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Budi Arie SETIADI,us-cia-indonesia-budi-arie-setiadi-minister-of-communications-informatics,Person,Budi Arie SETIADI,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Budi GUNAWAN,us-cia-indonesia-budi-gunawan-director-state-intelligence-agency-bin,Person,Budi GUNAWAN,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Dito ARIOTEDJO,us-cia-indonesia-dito-ariotedjo-minister-of-youth-and-sport,Person,Dito ARIOTEDJO,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Erick THOHIR,us-cia-indonesia-erick-thohir-minister-of-state-owned-enterprises,Person,Erick THOHIR,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Hadi TJAHJANTO,us-cia-indonesia-hadi-tjahjanto-minister-of-agrarian-affairs-spatial-planning,Person,Hadi TJAHJANTO,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ida FAUZIYAH,us-cia-indonesia-ida-fauziyah-minister-of-manpower,Person,Ida FAUZIYAH,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
"Joko ""Jokowi"" WIDODO",us-cia-indonesia-joko-jokowi-widodo-president,Person,"Joko ""Jokowi"" WIDODO",,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ma'ruf AMIN,us-cia-indonesia-ma-ruf-amin-vice-president,Person,Ma'ruf AMIN,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
MAHFUD MD,us-cia-indonesia-mahfud-md-coordinating-minister-for-political-legal-security-affairs,Person,MAHFUD MD,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Nadiem MAKARIM,us-cia-indonesia-nadiem-makarim-minister-of-education-culture,Person,Nadiem MAKARIM,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Perry WARJIYO,us-cia-indonesia-perry-warjiyo-governor-bank-indonesia,Person,Perry WARJIYO,,,id,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Pramono ANUNG,us-cia-indonesia-pramono-anung-cabinet-secretary,Person,Pramono ANUNG,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
PRATIKNO,us-cia-indonesia-pratikno-state-secretary,Person,PRATIKNO,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Sandiaga UNO,us-cia-indonesia-sandiaga-uno-minister-of-tourism-creative-economy,Person,Sandiaga UNO,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
ST BURHANUDDIN,us-cia-indonesia-st-burhanuddin-attorney-general,Person,ST BURHANUDDIN,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Teten MASDUKI,us-cia-indonesia-teten-masduki-minister-of-cooperatives-small-to-medium-enterprises,Person,Teten MASDUKI,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Yasonna H. LAOLY,us-cia-indonesia-yasonna-h-laoly-minister-of-law-human-rights,Person,Yasonna H. LAOLY,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
ZULKIFLI Hasan,us-cia-indonesia-zulkifli-hasan-minister-of-trade,Person,ZULKIFLI Hasan,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
