name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Edona BILALI,us-cia-albania-edona-bilali-minister-of-state-for-protection-of-entrepreneurs,Person,Edona BILALI,,,al,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Elva MARGARITI,us-cia-albania-elva-margariti-minister-of-culture,Person,Elva MARGARITI,,,al,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Evis KUSHI,us-cia-albania-evis-kushi-minister-of-education-sports-youth,Person,Evis KUSHI,,,al,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ferit HOXHA,us-cia-albania-ferit-hoxha-permanent-representative-to-the-un-new-york,Person,Ferit HOXHA,,,al,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Floreta FABER,us-cia-albania-floreta-faber-ambassador-to-the-us,Person,Floreta FABER,,,al,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Frida KRIFCA,us-cia-albania-frida-krifca-minister-of-agriculture-rural-development,Person,Frida KRIFCA,,,al,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Majlinda DHUKA,us-cia-albania-majlinda-dhuka-minister-of-state-for-eu-integration,Person,Majlinda DHUKA,,,al,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Milva EKONOMI,us-cia-albania-milva-ekonomi-minister-of-state-for-standards-services,Person,Milva EKONOMI,,,al,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Niko PELESHI,us-cia-albania-niko-peleshi-minister-of-defense,Person,Niko PELESHI,,,al,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Olta XHACKA,us-cia-albania-olta-xhacka-minister-for-europe-foreign-affairs,Person,Olta XHACKA,,,al,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Orgeta MANASTIRLIU,us-cia-albania-orgeta-manastirliu-minister-of-health-social-welfare,Person,Orgeta MANASTIRLIU,,,al,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ulsi MANJA,us-cia-albania-ulsi-manja-minister-of-justice,Person,Ulsi MANJA,,,al,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Abderrezak SEBGAG,us-cia-algeria-abderrezak-sebgag-minister-of-youth-sports,Person,Abderrezak SEBGAG,,,dz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ahmed ATTAF,us-cia-algeria-ahmed-attaf-minister-of-foreign-affairs-diaspora,Person,Ahmed ATTAF,,,dz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Amar BENDJAMA,us-cia-algeria-amar-bendjama-permanent-representative-to-the-un-new-york,Person,Amar BENDJAMA,,,dz,,,,,,CIA World Leaders,2023-06-15T12:03:25,2023-12-04T21:58:26,2023-06-15T12:03:25
Basma AZOUAR,us-cia-algeria-basma-azouar-minister-of-parliamentary-relations,Person,Basma AZOUAR,,,dz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Hicham Sofiane SALAOUATCHI,us-cia-algeria-hicham-sofiane-salaouatchi-minister-of-fisheries,Person,Hicham Sofiane SALAOUATCHI,,,dz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Kamel BELDJOUD,us-cia-algeria-kamel-beldjoud-minister-of-interior-local-authorities-regional-planning,Person,Kamel BELDJOUD,,,dz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Kamel NASRI,us-cia-algeria-kamel-nasri-minister-of-public-works,Person,Kamel NASRI,,,dz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Kamel REZIG,us-cia-algeria-kamel-rezig-minister-of-commerce,Person,Kamel REZIG,,,dz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
