name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Mohamed Mahmoud Cheikh Abdallahi BOYE,us-cia-mauritania-mohamed-mahmoud-cheikh-abdallahi-boye-minister-of-justice,Person,Mohamed Mahmoud Cheikh Abdallahi BOYE,,,mr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Mohamed Ould Abdallai Ould Ethmane,us-cia-mauritania-mohamed-ould-abdallai-ould-ethmane-minister-of-livestock,Person,Mohamed Ould Abdallai Ould Ethmane,,,mr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Mohamed Ould Abdine Ould MAAYIF,us-cia-mauritania-mohamed-ould-abdine-ould-maayif-minister-of-fisheries-maritime-economy,Person,Mohamed Ould Abdine Ould MAAYIF,,,mr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Moulaye Mohamed LAGHDAF,us-cia-mauritania-moulaye-mohamed-laghdaf-minister-secretary-general-of-the-presidency,Person,Moulaye Mohamed LAGHDAF,,,mr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Nani CHROUGA,us-cia-mauritania-nani-chrouga-minister-of-equipment-and-transport-and-girm-spokesperson,Person,Nani CHROUGA,,,mr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Niang MAMADOU,us-cia-mauritania-niang-mamadou-minister-of-employment,Person,Niang MAMADOU,,,mr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Savia Mint N'TAHAH,us-cia-mauritania-savia-mint-n-tahah-minister-of-social-action-families-children,Person,Savia Mint N'TAHAH,,,mr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Sid Ahmed Ould MOHAMED,us-cia-mauritania-sid-ahmed-ould-mohamed-minister-of-habitat-urbanism-territorial-admin,Person,Sid Ahmed Ould MOHAMED,,,mr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Sidi Ould Baham Ould Mohamed LAGHDAF,us-cia-mauritania-sidi-ould-baham-ould-mohamed-laghdaf-permanent-representative-to-the-un-new-york,Person,Sidi Ould Baham Ould Mohamed LAGHDAF,,,mr,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Yahya Ahmed WAGHEF,us-cia-mauritania-yahya-ahmed-waghef-minister-of-agriculture,Person,Yahya Ahmed WAGHEF,,,mr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Zeinebou Mint HMEDNAH,us-cia-mauritania-zeinebou-mint-hmednah-minister-of-public-function-labor,Person,Zeinebou Mint HMEDNAH,,,mr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Alan GANOO,us-cia-mauritius-alan-ganoo-minister-of-land-transport-light-rail,Person,Alan GANOO,,,mu,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Anjiv RAMDHANY,us-cia-mauritius-anjiv-ramdhany-minister-of-public-service-administrative-institutional-reforms,Person,Anjiv RAMDHANY,,,mu,,,,,,CIA World Leaders,2023-09-14T12:01:28,2023-12-04T21:58:26,2023-09-14T12:01:28
Darsanand BALGOBIN,us-cia-mauritius-darsanand-balgobin-minister-of-information-technology-communication-innovation,Person,Darsanand BALGOBIN,,,mu,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
"Fazila JEEWA-DAUREEAWOO, GCSK",us-cia-mauritius-fazila-jeewa-daureeawoo-gcsk-minister-of-social-integration-social-security-national-solidarity,Person,"Fazila JEEWA-DAUREEAWOO, GCSK",,,mu,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Kavydass RAMANO,us-cia-mauritius-kavydass-ramano-minister-of-environment-solid-waste-management-climate-change,Person,Kavydass RAMANO,,,mu,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Marie Christiane Dorine CHUKOWRY,us-cia-mauritius-marie-christiane-dorine-chukowry-minister-of-commerce-consumer-protection,Person,Marie Christiane Dorine CHUKOWRY,,,mu,,,,,,CIA World Leaders,2023-09-14T12:01:28,2023-12-04T21:58:26,2023-09-14T12:01:28
Soomilduth BHOLAH,us-cia-mauritius-soomilduth-bholah-minister-of-industrial-development-smes-cooperatives,Person,Soomilduth BHOLAH,,,mu,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Sudheer MAUDHOO,us-cia-mauritius-sudheer-maudhoo-minister-of-blue-economy-marine-resources-fisheries-shipping,Person,Sudheer MAUDHOO,,,mu,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Teeruthraj HURDOYAL,us-cia-mauritius-teeruthraj-hurdoyal-minister-of-agro-industry-food-security,Person,Teeruthraj HURDOYAL,,,mu,,,,,,CIA World Leaders,2023-09-14T12:01:28,2023-12-04T21:58:26,2023-09-14T12:01:28
Jorge NUNO Lara,us-cia-mexico-jorge-nuno-lara-secretary-of-communications-transport,Person,Jorge NUNO Lara,,,mx,,,,,,CIA World Leaders,2023-11-09T21:58:18,2023-12-04T21:58:26,2023-11-09T21:58:18
Raquel BUENTROSTRO Sanchez,us-cia-mexico-raquel-buentrostro-sanchez-secretary-of-economy,Person,Raquel BUENTROSTRO Sanchez,,,mx,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Rosa Icela RODRIGUEZ Velazquez,us-cia-mexico-rosa-icela-rodriguez-velazquez-secretary-of-security-citizen-protection,Person,Rosa Icela RODRIGUEZ Velazquez,,,mx,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Andrew YATILMAN,us-cia-micronesia-federated-states-of-andrew-yatilman-secretary-of-environment-climate-change-emergency-management,Person,Andrew YATILMAN,,,fm,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Carlson D. APIS,us-cia-micronesia-federated-states-of-carlson-d-apis-secretary-of-transportation-communication-infrastructure,Person,Carlson D. APIS,,,fm,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Elina P. AKINAGA,us-cia-micronesia-federated-states-of-elina-p-akinaga-secretary-of-resource-development,Person,Elina P. AKINAGA,,,fm,,,,,,CIA World Leaders,2023-09-28T12:01:37,2023-12-04T21:58:26,2023-09-28T12:01:37
Esmond B. MOSES,us-cia-micronesia-federated-states-of-esmond-b-moses-speaker-of-the-congress,Person,Esmond B. MOSES,,,fm,,,,,,CIA World Leaders,2023-09-28T12:01:37,2023-12-04T21:58:26,2023-09-28T12:01:37
Gardenia AISEK,us-cia-micronesia-federated-states-of-gardenia-aisek-secretary-of-education,Person,Gardenia AISEK,,,fm,,,,,,CIA World Leaders,2023-09-28T12:01:37,2023-12-04T21:58:26,2023-09-28T12:01:37
Ginger PORTER MIDA,us-cia-micronesia-federated-states-of-ginger-porter-mida-postmaster-general,Person,Ginger PORTER MIDA,,,fm,,,,,,CIA World Leaders,2023-09-28T12:01:37,2023-12-04T21:58:26,2023-09-28T12:01:37
