name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Siromi Dokonivalu TURAGA,us-cia-fiji-siromi-dokonivalu-turaga-minister-for-justice,Person,Siromi Dokonivalu TURAGA,,,fj,,,,,,CIA World Leaders,2023-11-16T21:57:01,2023-12-04T21:58:26,2023-11-16T21:57:01
Vatimi Tidara Tuinasakea Kauinitawake RAYALU,us-cia-fiji-vatimi-tidara-tuinasakea-kauinitawake-rayalu-minister-for-agriculture-waterways,Person,Vatimi Tidara Tuinasakea Kauinitawake RAYALU,,,fj,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Wainiqolo Rasokisoki VOSAROGO,us-cia-fiji-wainiqolo-rasokisoki-vosarogo-minister-for-lands-mineral-resources,Person,Wainiqolo Rasokisoki VOSAROGO,,,fj,,,,,,CIA World Leaders,2023-11-16T21:57:01,2023-12-04T21:58:26,2023-11-16T21:57:01
Antti HAKKANEN,us-cia-finland-antti-hakkanen-minister-of-defense,Person,Antti HAKKANEN,,,fi,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Arto SAATONEN,us-cia-finland-arto-saatonen-minister-of-employment,Person,Arto SAATONEN,,,fi,,,,,,CIA World Leaders,2023-11-23T21:57:01,2023-12-04T21:58:26,2023-11-23T21:57:01
Elina KALKKU,us-cia-finland-elina-kalkku-permanent-representative-to-the-un-new-york,Person,Elina KALKKU,,,fi,,,,,,CIA World Leaders,2023-06-29T12:03:33,2023-12-04T21:58:26,2023-06-29T12:03:33
Elina VALTONEN,us-cia-finland-elina-valtonen-minister-for-foreign-affairs,Person,Elina VALTONEN,,,fi,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Kai MYKKANEN,us-cia-finland-kai-mykkanen-minister-of-the-environment-and-climate-change,Person,Kai MYKKANEN,,,fi,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Kaisa JUUSO,us-cia-finland-kaisa-juuso-minister-of-social-affairs-health,Person,Kaisa JUUSO,,,fi,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Leena MERI,us-cia-finland-leena-meri-minister-of-justice,Person,Leena MERI,,,fi,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Lulu RANNE,us-cia-finland-lulu-ranne-minister-of-transport-communications,Person,Lulu RANNE,,,fi,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Mari RANTANEN,us-cia-finland-mari-rantanen-minister-of-interior,Person,Mari RANTANEN,,,fi,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Mikko HAUTALA,us-cia-finland-mikko-hautala-ambassador-to-the-us,Person,Mikko HAUTALA,,,fi,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Olli REHN,us-cia-finland-olli-rehn-governor-bank-of-finland,Person,Olli REHN,,,fi,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Petteri ORPO,us-cia-finland-petteri-orpo-prime-minister,Person,Petteri ORPO,,,fi,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Sanni GRAHN-LASSONEN,us-cia-finland-sanni-grahn-lassonen-minister-of-social-security,Person,Sanni GRAHN-LASSONEN,,,fi,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
