name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Carlos Eduardo DEL CASTILLO del Carpio,Q104804128,Person,Carlos Eduardo DEL CASTILLO del Carpio,,,bo,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Peggy Onkutlwile SERAME,Q104837118,Person,Peggy Onkutlwile SERAME,,,bw,,,,,,CIA World Leaders,2023-09-28T12:01:37,2023-12-04T21:58:26,2023-09-28T12:01:37
Frank ANTHONY,Q104902365,Person,Frank ANTHONY,,,gy,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Tea AKHVLEDIANI,Q104904062,Person,Tea AKHVLEDIANI,,,ge,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Cesar VASQUEZ Sanchez,Q104938873,Person,Cesar VASQUEZ Sanchez,,,pe,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Szabolcs TAKACS,Q105076412,Person,Szabolcs TAKACS,,,hu,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Leticia RAMIREZ Amaya,Q105086697,Person,Leticia RAMIREZ Amaya,,,mx,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Sylvanus Adiewere NSOFOR,Q105103542,Person,Sylvanus Adiewere NSOFOR,,,ng,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Ernest HILAIRE,Q105139716,Person,Ernest HILAIRE,,,lc,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
RI Song Hak,Q105159427,Person,RI Song Hak,,,kp,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Natalia GAVRILITA,Q105193792,Person,Natalia GAVRILITA,,,md,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Abdoulkader Kamil MOHAMED,Q10522744,Person,Abdoulkader Kamil MOHAMED,,,dj,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Tumiso Macdonald RAKGARE,Q105395314,Person,Tumiso Macdonald RAKGARE,,,bw,,,,,,CIA World Leaders,2023-09-28T12:01:37,2023-12-04T21:58:26,2023-09-28T12:01:37
ZAMBRY Abdul Kadir,Q1054294,Person,ZAMBRY Abdul Kadir,,,my,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Carlos Alberto Fortes MESQUITA,Q105497841,Person,Carlos Alberto Fortes MESQUITA,,,mz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Jean-Michel Sama LUKONDE,Q105523479,Person,Jean-Michel Sama LUKONDE,,,cd,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Matteo SALVINI,Q1055449,Person,Matteo SALVINI,,,it,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Amichai CHIKLI,Q105581659,Person,Amichai CHIKLI,,,il,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Frederick SHAVA,Q105637570,Person,Frederick SHAVA,,,zw,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Felix MHONA,Q105649282,Person,Felix MHONA,,,zw,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Karl LAUTERBACH,Q105676,Person,Karl LAUTERBACH,,,de,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
JON Hyon Chol,Q105706437,Person,JON Hyon Chol,,,kp,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Giorgi AMILAKHVARI,Q105721957,Person,Giorgi AMILAKHVARI,,,ge,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Austin DEMBY,Q105725171,Person,Austin DEMBY,,,sl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Marcela SANDOVAL,Q105740524,Person,Marcela SANDOVAL,,,cl,,,,,,CIA World Leaders,2023-09-21T12:01:52,2023-12-04T21:58:26,2023-09-21T12:01:52
Jose Mpanda KABANGU,Q105798778,Person,Jose Mpanda KABANGU,,,cd,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Tene Birahima OUATTARA,Q105833518,Person,Tene Birahima OUATTARA,,,ci,,,,,,CIA World Leaders,2023-10-26T21:57:24,2023-12-04T21:58:26,2023-10-26T21:57:24
Moussa KADAM,Q105882890,Person,Moussa KADAM,,,td,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Narendra MODI,Q1058,Person,Narendra MODI,,,in,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-08-16T06:02:46
