name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Clement MOUAMBA,Q23928873,Person,Clement MOUAMBA,,,cg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Jose Luis ESCRIVA Belmonte,Q23939777,Person,Jose Luis ESCRIVA Belmonte,,,es,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Francisco da Costa GUTERRES,Q24007780,Person,Francisco da Costa GUTERRES,,,tl,,,,,,CIA World Leaders,2023-11-09T21:58:18,2023-12-04T21:58:26,2023-11-09T21:58:18
Gudni Thorlacius JOHANNESSON,Q24045706,Person,Gudni Thorlacius JOHANNESSON,,,is,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Jacqueline Lydia MIKOLO,Q24175564,Person,Jacqueline Lydia MIKOLO,,,cg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Laurent Serge ETOUNDI NGOA,Q24175623,Person,Laurent Serge ETOUNDI NGOA,,,cm,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Rosalie Matondo,Q24176158,Person,Rosalie Matondo,,,cg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
HAYBATULLAH Akhundzada,Q24237654,Person,HAYBATULLAH Akhundzada,,,af,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Barfour ADJEI-BARWUAH,Q24273532,Person,Barfour ADJEI-BARWUAH,,,gh,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Bilawal BHUTTO ZARDARI,Q244338,Person,Bilawal BHUTTO ZARDARI,,,pk,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Hasanul Haq INU,Q24660018,Person,Hasanul Haq INU,,,bd,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Jacques Fame NDONGO,Q24690649,Person,Jacques Fame NDONGO,,,cm,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Karien VAN GENNIP,Q2469097,Person,Karien VAN GENNIP,,,nl,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Nikolaos-Georgios DENDIAS,Q247424,Person,Nikolaos-Georgios DENDIAS,,,gr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Francisco Pascual Eyegue OBAMA Asue,Q24761111,Person,Francisco Pascual Eyegue OBAMA Asue,,,gq,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ali bin Saeed bin Smaikh al-MARRI,Q24851512,Person,Ali bin Saeed bin Smaikh al-MARRI,,,qa,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Rose TOKI-BROWN,Q24852044,Person,Rose TOKI-BROWN,,,ck,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Jules Doret NDONGO,Q24951248,Person,Jules Doret NDONGO,,,cm,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Minette Libom Li LIKENG,Q24951271,Person,Minette Libom Li LIKENG,,,cm,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Mounouna FOUTSOU,Q24951288,Person,Mounouna FOUTSOU,,,cm,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Pierre Ismael BIDOUNG KPWATT,Q24951313,Person,Pierre Ismael BIDOUNG KPWATT,,,cm,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Vo Thi Anh XUAN,Q24957799,Person,Vo Thi Anh XUAN,,,vn,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Pham Thi Thanh TRA,Q24958645,Person,Pham Thi Thanh TRA,,,vn,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Asmundur Einar DADASON,Q252565,Person,Asmundur Einar DADASON,,,is,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Catarina SARMENTO E CASTRO,Q25336913,Person,Catarina SARMENTO E CASTRO,,,pt,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Simeon Malachi ATHY,Q25431407,Person,Simeon Malachi ATHY,,,vu,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Koba GVENETADZE,Q25433264,Person,Koba GVENETADZE,,,ge,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Alexandra LEITAO,Q25440529,Person,Alexandra LEITAO,,,pt,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Rosan Perkasa ROESLANI,Q25464528,Person,Rosan Perkasa ROESLANI,,,id,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
