Name,iso3c,cowc,cown,wb,State,Name,Type,Twitter_personal,Twitter_institution,Facebook_personal,Facebook_institution,Twitter_personal_id,Twitter_institution_id,Facebook_personal_id,Facebook_institution_id
Ernest Bai Koroma,SLE,SIE,451,SLE,Sierra Leone,Ernest Bai Koroma,President,ebkoroma,StateHouseSL,ebkoroma,StateHouseSL,1069973798,782308724,379693422048791,434291996613187
Lee Hsien Loong,SGP,SIN,830,SGP,Singapore,Lee Hsien Loong,Prime Minister ,leehsienloong,govsingapore,leehsienloong,gov.sg,34568673,56883209,125845680811480,109555293685
Alenka Bratusek,SVN,SLV,349,SVN,Slovenia,Alenka Bratusek,President of the Government ,Abratusek,vladaRS,alenka.bratusek,NA,1551471600,46612022,168130996671198,NA
Jacob Zuma,ZAF,SAF,560,ZAF,South Africa,Jacob Zuma,President,SAPresident,PresidencyZA,NA,PresidencyZA,295663598,40839292,NA,8383028996
Salva Kiir Mayardit,SSD,SSD,626,SSD,South Sudan,Salva Kiir Mayardit,President,presidentkiir,RepSouthSudan,NA,NA,2877922900,331878888,NA,NA
Mariano Rajoy,ESP,SPN,230,ESP,Spain,Mariano Rajoy,President of the Government ,marianorajoy,desdelamoncloa,54212446406,PalaciodelaMoncloa,343447873,58417540,54212446406,271484039577944
Dési Bouterse,SUR,SUR,115,SUR,Suriname,Dési Bouterse,President,Dbouterse,govsuriname,NA,NA,177882857,3293206373,NA,NA
Amama Mbabazi,UGA,UGA,500,UGA,Uganda,Amama Mbabazi,Prime Minister ,AmamaMbabazi,GovUganda,jpamamambabazi,govuganda,65587488,1041882265,399660030095815,527591730598198
Sheikh Mohammed bin Rashid Al Maktoum,ARE,UAE,696,ARE,United Arab Emirates,Sheikh Mohammed bin Rashid Al Maktoum,Prime Minister ,HHShkMohd,UAEmGov,HHSheikhMohammed,UAEmGov,44335525,245243568,84820452907,108669062546478
David Cameron,GBR,UKG,200,GBR,United Kingdom,David Cameron,Prime Minister ,David_Cameron,Number10gov,DavidCameronOfficial,10downingstreet,103065157,14224719,653092548048400,7303343452
Barack Obama,USA,USA,2,USA,United States,Barack Obama,President,BarackObama,WhiteHouse,barackobama,WhiteHouse,813286,30313925,6815841748,63811549237
Nicolás Maduro,VEN,VEN,101,VEN,Venezuela,Nicolás Maduro,President,NicolasMaduro,PresidencialVen,NicolasMaduro,48451533827,1252764865,138901003,1402437823320030,48451533827
Zoran Milanović,HRV,CRO,344,HRV,Croatia,Zoran Milanović,Prime Minister ,NA,VladaRH,ZoranMilanovic,wwwvladahr,NA,444097675,1575164029415900,108807632571642
Daniel Kablan Duncan,CIV,CDI,437,CIV,Ivory Coast,Daniel Kablan Duncan,Prime Minister ,NA,Gouvci,NA,gouvci.officiel,NA,316559637,NA,244922065530890
Antoni Martí,AND,AND,232,ADO,Andorra,Antoni Martí,Head of Government ,NA,GovernAndorra,NA,govern.ad,NA,122452959,NA,430374277000520
José Eduardo dos Santos,AGO,ANG,540,AGO,Angola,José Eduardo dos Santos,President,NA,CasaCivilPRA,NA,NA,NA,373310880,NA,NA
Baldwin Spencer,ATG,AAB,58,ATG,Antigua and Barbuda,Baldwin Spencer,Prime Minister ,NA,antiguagov,NA,AntiguaBarbudaGovt,NA,166231881,NA,130947963597367
Pak Pong-ju,PRK,PRK,731,PRK,North Korea,Pak Pong-ju,Premier of the Cabinet,NA,uriminzok,NA,NA,NA,166848234,NA,NA
Artur Rasizade,AZE,AZE,373,AZE,Azerbaijan,Artur Rasizade,Prime Minister ,NA,AzerbaijanPA,NA,NA,NA,278520184,NA,NA
Hazem Al Beblawi,EGY,EGY,651,EGY,Egypt,Hazem Al Beblawi,Prime Minister ,NA,egyptgovportal,NA,egyptgovportal,NA,72381349,NA,172162876165023
Prince Khalifa bin Salman Al Khalifa,BHR,BAH,692,BHR,Bahrain,Prince Khalifa bin Salman Al Khalifa,Prime Minister ,NA,eGovBahrain,NA,egovbahrain,NA,82787948,NA,152559474759057
Freundel Stuart,BRB,BAR,53,BRB,Barbados,Freundel Stuart,Prime Minister ,NA,gisbarbados,161612180563912,gisbarbados,NA,2494731900,161612180563912,271334199698066
Sheikh Abdullah bin Nasser bin Khalifa Al Thani,QAT,QAT,694,QAT,Qatar,Sheikh Abdullah bin Nasser bin Khalifa Al Thani,Prime Minister ,NA,HukoomiQatar,NA,HukoomiQatar,NA,267139205,NA,186872247998431
Mykola Azarov,UKR,UKR,369,UKR,Ukraine,Mykola Azarov,Prime Minister ,NA,kabmin_ua_e,Nikolay.Azarov,KabminUA,NA,331507887,210998898940493,210809715619097
Angela Merkel,DEU,GMY,255,DEU,Germany,Angela Merkel,Federal Chancellor ,NA,RegSprecher,AngelaMerkel,Bundesregierung,NA,234343491,59788447049,768905426534529
Plamen Oresharski,BGR,BUL,355,BGR,Bulgaria,Plamen Oresharski,Prime Minister ,NA,govbulgaria,NA,NA,NA,2907083335,NA,NA
Outam Tatam Ly,MLI,MLI,432,MLI,Mali,Outam Tatam Ly,Prime Minister ,NA,PresidenceMali,NA,Presidence.Mali,NA,389486048,NA,563531873666309
Christopher Loeak,MHL,MSI,983,MHL,Marshall Islands,Christopher Loeak,President,NA,rmioppress,NA,PresidentOfficeRMI,NA,497423908,NA,1418629561743450
Ellen Johnson Sirleaf,LBR,LBR,450,LBR,Liberia,Ellen Johnson Sirleaf,President,NA,emansionliberia,NA,emansionliberia,NA,603417503,NA,310591779028211
