name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Micheal MARTIN,NK-B3xdfSLCe3ZZvXnRwgJn4o,Person,Micheal MARTIN,,,ie,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Claver GATETE,NK-BDWv8rVMuHmQzySj5qF5uE,Person,Claver GATETE,,,rw,,,,,,CIA World Leaders,2023-07-06T12:03:18,2023-12-04T21:58:26,2023-08-16T06:02:46
Barbara EDMONDS,NK-BLX6jsx8X6WGPvJz8pbfzw,Person,Barbara EDMONDS,,,nz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Sheikh HASINA,NK-BLk3XkRLn73Kg3FaWqtLHL,Person,Sheikh HASINA,,,bd,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Viliami Va'inga TONE,NK-BQZoSeufqsh4YD5Q56fc26,Person,Viliami Va'inga TONE,,,to,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Mark PHILLIPS,NK-BWQ7t2dSSJxP8fVMH8KX9p,Person,Mark PHILLIPS,,,gy,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Sara DUTERTE-CARPIO,NK-BaDcNFCTeiBxf7rnAgehe8,Person,Sara DUTERTE-CARPIO,,,ph,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Mohamed Ould BILAL Messoud,NK-BoC6ytrdYzSLvQ4uUdrfSL,Person,Mohamed Ould BILAL Messoud,,,mr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Mohamed Siad DOUALEH,NK-BrVHf9FsLPuQgiAQf7rZrN,Person,Mohamed Siad DOUALEH,,,dj,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
RI Chang Dae,NK-CJ8VnD6wZEL8yodzfRrsyQ,Person,RI Chang Dae,,,kp,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-08-16T06:02:46
Andrew HOLNESS,NK-CV9KmWAuJVeCJ5B7R6y2wy,Person,Andrew HOLNESS,,,jm,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Essa Ahmad Muhammad Hassan al-KANDARI,NK-CVNACH8UNYaSABXpgoipor,Person,Essa Ahmad Muhammad Hassan al-KANDARI,,,kw,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Abd al-Fatah al-BURHAN Abd al-Rahman,NK-CtW8YKqM4sg2JMy9FKiuZz,Person,Abd al-Fatah al-BURHAN Abd al-Rahman,,,sd,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Salvador NASRALLA Salum,NK-DATjosjYKFbUXfvXhH2fQJ,Person,Salvador NASRALLA Salum,,,hn,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
RI Thae Sop,NK-DMZKA4R3Gx9GcxmJS76CHe,Person,RI Thae Sop,,,kp,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-08-16T06:02:46
Mark PETTINGILL,NK-DMoectmaVL3ZfuWbV2hduh,Person,Mark PETTINGILL,,,bm,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Horace CHANG,NK-DPAZ848Tb6gHWqfbA6dc4U,Person,Horace CHANG,,,jm,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Georges ENGEL,NK-DXzrx6BsWkjtQsjYnJhiFZ,Person,Georges ENGEL,,,lu,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Fatumanava-o-Upolu III Pa'olelei LUTERU,NK-Dcok6NqmV22GGZHnJDt3fE,Person,Fatumanava-o-Upolu III Pa'olelei LUTERU,,,ws,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Denzil DOUGLAS,NK-DjQpXwAsZQM5KtyufZqJkc,Person,Denzil DOUGLAS,,,kn,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
PHATCHARAWAT Wongsuwan,NK-DmczCvToErtwVfMcLcfhuy,Person,PHATCHARAWAT Wongsuwan,,,th,,,,,,CIA World Leaders,2023-09-14T12:01:28,2023-12-04T21:58:26,2023-09-14T12:01:28
Emmelie PROPHETE MILCE,NK-DuT9iZG9NKJbh92KRBzuBD,Person,Emmelie PROPHETE MILCE,,,ht,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
MYA TUN OO,NK-EABcweSANCjqRBe5gQfSp8,Person,MYA TUN OO,,,mm,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ivica DACIC,NK-EBWtAWhLjUGpxZqcHuTruR,Person,Ivica DACIC,,,rs,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Branko BACIC,NK-EWvxfpQWwg8xszdLzzsTqc,Person,Branko BACIC,,,hr,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-11-30T21:57:02
Lex DELLES,NK-EZHj9QN8KxHRCBriuAsUwG,Person,Lex DELLES,,,lu,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
CHANSAMON Chan-gnalat,NK-EZrLuebAiZYqJMkJLHEKkS,Person,CHANSAMON Chan-gnalat,,,la,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Tserenpil DAVAASUREN,NK-EnD5hJthX7j37JyCPdG4yg,Person,Tserenpil DAVAASUREN,,,mn,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Issimail CHANFI,NK-FbGiuEcLirFtrfmS3GonK3,Person,Issimail CHANFI,,,km,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
