name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Julius MATTAI,us-cia-sierra-leone-julius-mattai-minister-of-mines-mineral-resources,Person,Julius MATTAI,,,sl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Kefala M. KALLON,us-cia-sierra-leone-kefala-m-kallon-governor-central-bank,Person,Kefala M. KALLON,,,sl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Kenyeh BALLAY,us-cia-sierra-leone-kenyeh-ballay-minister-of-planning-and-economic-development,Person,Kenyeh BALLAY,,,sl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Malrose KARMINTY,us-cia-sierra-leone-malrose-karminty-minister-of-social-welfare,Person,Malrose KARMINTY,,,sl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Michael Imran KANU,us-cia-sierra-leone-michael-imran-kanu-permanent-representative-to-the-un-new-york,Person,Michael Imran KANU,,,sl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Mohamed E.K. ALIE,us-cia-sierra-leone-mohamed-e-k-alie-resident-minister-south,Person,Mohamed E.K. ALIE,,,sl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Mohamed Orman BANGURA,us-cia-sierra-leone-mohamed-orman-bangura-minister-of-youth-affairs,Person,Mohamed Orman BANGURA,,,sl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Muana Brima MASSAQUOI,us-cia-sierra-leone-muana-brima-massaquoi-deputy-minister-of-defense,Person,Muana Brima MASSAQUOI,,,sl,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Nabeela F. TUNIS,us-cia-sierra-leone-nabeela-f-tunis-minister-of-tourism-cultural-affairs,Person,Nabeela F. TUNIS,,,sl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Princess DUGBA,us-cia-sierra-leone-princess-dugba-minister-of-fisheries-marine-resources,Person,Princess DUGBA,,,sl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Ramatulai WURIE,us-cia-sierra-leone-ramatulai-wurie-minister-of-technical-higher-education,Person,Ramatulai WURIE,,,sl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Sao-Kpato Hannah MAX-KYNE,us-cia-sierra-leone-sao-kpato-hannah-max-kyne-minister-of-water-resources-sanitation,Person,Sao-Kpato Hannah MAX-KYNE,,,sl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Sheku BANGURA,us-cia-sierra-leone-sheku-bangura-minister-of-finance,Person,Sheku BANGURA,,,sl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Sidique Abou-Bakarr WAI,us-cia-sierra-leone-sidique-abou-bakarr-wai-ambassador-to-the-us,Person,Sidique Abou-Bakarr WAI,,,sl,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Tamba LAMINA,us-cia-sierra-leone-tamba-lamina-minister-of-local-government-community-affairs,Person,Tamba LAMINA,,,sl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Timothy Musa KABBA,us-cia-sierra-leone-timothy-musa-kabba-minister-of-foreign-affairs-international-cooperation,Person,Timothy Musa KABBA,,,sl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Turad SENESIE,us-cia-sierra-leone-turad-senesie-minister-of-lands-housing,Person,Turad SENESIE,,,sl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Umaru B. WURIE,us-cia-sierra-leone-umaru-b-wurie-resident-minister-north-west,Person,Umaru B. WURIE,,,sl,,,,,,CIA World Leaders,2023-10-19T12:03:32,2023-12-04T21:58:26,2023-10-19T12:03:32
Burhan GAFOOR,us-cia-singapore-burhan-gafoor-permanent-representative-to-the-un-new-york,Person,Burhan GAFOOR,,,sg,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
CHAN Chung Sing,us-cia-singapore-chan-chung-sing-minister-for-education,Person,CHAN Chung Sing,,,sg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Desmond LEE,us-cia-singapore-desmond-lee-minister-for-national-development,Person,Desmond LEE,,,sg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Edwin TONG,us-cia-singapore-edwin-tong-minister-for-culture-community-youth,Person,Edwin TONG,,,sg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
GAN Kim Yong,us-cia-singapore-gan-kim-yong-minister-for-trade-industry,Person,GAN Kim Yong,,,sg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Grace FU Hai Yien,us-cia-singapore-grace-fu-hai-yien-minister-for-sustainability-environment,Person,Grace FU Hai Yien,,,sg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
HENG Swee Keat,us-cia-singapore-heng-swee-keat-deputy-prime-minister-coordinating-minister-for-economic-policies,Person,HENG Swee Keat,,,sg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Josephine TEO,us-cia-singapore-josephine-teo-minister-for-communication-information,Person,Josephine TEO,,,sg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
LUI Tuck Yew,us-cia-singapore-lui-tuck-yew-ambassador-to-the-us,Person,LUI Tuck Yew,,,sg,,,,,,CIA World Leaders,2023-08-03T12:02:59,2023-12-04T21:58:26,2023-08-03T12:02:59
NG Eng Hen,us-cia-singapore-ng-eng-hen-minister-for-defense,Person,NG Eng Hen,,,sg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
ONG Ye Kung,us-cia-singapore-ong-ye-kung-minister-for-health,Person,ONG Ye Kung,,,sg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
