name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Mashimba NDAKI,us-cia-tanzania-mashimba-ndaki-minister-for-livestock-fisheries,Person,Mashimba NDAKI,,,tz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Mohamad Omary MCHENGERWA,us-cia-tanzania-mohamad-omary-mchengerwa-minister-of-state-in-the-president-s-office-for-regional-administration-local-government,Person,Mohamad Omary MCHENGERWA,,,tz,,,,,,CIA World Leaders,2023-09-21T12:01:52,2023-12-04T21:58:26,2023-09-21T12:01:52
Mudrik SORAGA,us-cia-tanzania-mudrik-soraga-minister-of-state-in-the-president-s-office-for-labor-economic-affairs-investment,Person,Mudrik SORAGA,,,tz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Nape NNAUYE,us-cia-tanzania-nape-nnauye-minister-for-information-communications-technology,Person,Nape NNAUYE,,,tz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Philip MPANGO,us-cia-tanzania-philip-mpango-vice-president,Person,Philip MPANGO,,,tz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Pindi Hazara CHANA,us-cia-tanzania-pindi-hazara-chana-minister-for-constitutional-legal-affairs,Person,Pindi Hazara CHANA,,,tz,,,,,,CIA World Leaders,2023-09-21T12:01:52,2023-12-04T21:58:26,2023-09-21T12:01:52
Selemani JAFO,us-cia-tanzania-selemani-jafo-minister-of-state-in-the-vice-president-s-office-for-union-environment,Person,Selemani JAFO,,,tz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ummy MWALIMU,us-cia-tanzania-ummy-mwalimu-minister-for-health,Person,Ummy MWALIMU,,,tz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
CHONLANAN Sikaew,us-cia-thailand-chonlanan-sikaew-minister-of-public-health,Person,CHONLANAN Sikaew,,,th,,,,,,CIA World Leaders,2023-09-14T12:01:28,2023-12-04T21:58:26,2023-09-14T12:01:28
PHIMPHATTHRA Wichaikun,us-cia-thailand-phimphatthra-wichaikun-minister-of-industry,Person,PHIMPHATTHRA Wichaikun,,,th,,,,,,CIA World Leaders,2023-09-14T12:01:28,2023-12-04T21:58:26,2023-09-14T12:01:28
PHIPHAT Ratchakitprakan,us-cia-thailand-phiphat-ratchakitprakan-minister-of-labor,Person,PHIPHAT Ratchakitprakan,,,th,,,,,,CIA World Leaders,2023-09-14T12:01:28,2023-12-04T21:58:26,2023-09-14T12:01:28
PHOEMPHUN Chitchop,us-cia-thailand-phoemphun-chitchop-minister-of-education,Person,PHOEMPHUN Chitchop,,,th,,,,,,CIA World Leaders,2023-09-14T12:01:28,2023-12-04T21:58:26,2023-09-14T12:01:28
PHUANGPHET Chunla-iat,us-cia-thailand-phuangphet-chunla-iat-minister-to-the-prime-minister-s-office,Person,PHUANGPHET Chunla-iat,,,th,,,,,,CIA World Leaders,2023-09-14T12:01:28,2023-12-04T21:58:26,2023-09-14T12:01:28
PRASOET Chanthararuangthong,us-cia-thailand-prasoet-chanthararuangthong-minister-of-digital-economy-society,Person,PRASOET Chanthararuangthong,,,th,,,,,,CIA World Leaders,2023-09-14T12:01:28,2023-12-04T21:58:26,2023-09-14T12:01:28
SETTHAPHUT Sutthiwat-narueput,us-cia-thailand-setthaphut-sutthiwat-narueput-governor-bank-of-thailand,Person,SETTHAPHUT Sutthiwat-narueput,,,th,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
SOEMSAK Phongphanit,us-cia-thailand-soemsak-phongphanit-minister-of-culture,Person,SOEMSAK Phongphanit,,,th,,,,,,CIA World Leaders,2023-09-14T12:01:28,2023-12-04T21:58:26,2023-09-14T12:01:28
