name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Agha Hassan BALOCH,Q55761351,Person,Agha Hassan BALOCH,,,pk,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Godswill Obot AKPABIO,Q5576947,Person,Godswill Obot AKPABIO,,,ng,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Muhammad Israr TAREEN,Q55819281,Person,Muhammad Israr TAREEN,,,pk,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Miyegombo ENKHBOLD,Q558683,Person,Miyegombo ENKHBOLD,,,mn,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Andreas CARLSON,Q5602835,Person,Andreas CARLSON,,,se,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Pravin Jamnadas GORDHAN,Q561279,Person,Pravin Jamnadas GORDHAN,,,za,,,,,,CIA World Leaders,2023-08-24T12:02:27,2023-12-04T21:58:26,2023-08-24T12:02:27
Paul Atanga NJI,Q56310280,Person,Paul Atanga NJI,,,cm,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Yaqut Cholil QOUMAS,Q56391957,Person,Yaqut Cholil QOUMAS,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Jordi GALLARDO FERNANDEZ,Q56403525,Person,Jordi GALLARDO FERNANDEZ,,,ad,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Judith PALLARES CORTES,Q56403529,Person,Judith PALLARES CORTES,,,ad,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Francesco LOLLOBRIGIDA,Q56433809,Person,Francesco LOLLOBRIGIDA,,,it,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Santiago CABANAS Ansorena,Q56434317,Person,Santiago CABANAS Ansorena,,,es,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
