name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Rebecca Nyandeng Chol GARANG de Mabior,us-cia-south-sudan-rebecca-nyandeng-chol-garang-de-mabior-vice-president,Person,Rebecca Nyandeng Chol GARANG de Mabior,,,ss,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Reuben Madol AROL,us-cia-south-sudan-reuben-madol-arol-minister-of-justice-constitutional-affairs,Person,Reuben Madol AROL,,,ss,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
TABAN Deng Gai,us-cia-south-sudan-taban-deng-gai-vice-president,Person,TABAN Deng Gai,,,ss,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Yolanda AWEL Deng Juach,us-cia-south-sudan-yolanda-awel-deng-juach-minister-of-health,Person,Yolanda AWEL Deng Juach,,,ss,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Alberto GARZON Espinoza,us-cia-spain-alberto-garzon-espinoza-minister-of-consumer-affairs,Person,Alberto GARZON Espinoza,,,es,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Diana MORANT,us-cia-spain-diana-morant-minister-of-science-innovation,Person,Diana MORANT,,,es,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
FELIPE VI,us-cia-spain-felipe-vi-king,Person,FELIPE VI,,,es,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Felix BOLANOS,us-cia-spain-felix-bolanos-minister-of-the-presidency,Person,Felix BOLANOS,,,es,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Hector GOMEZ,us-cia-spain-hector-gomez-minister-of-industry-commerce-tourism,Person,Hector GOMEZ,,,es,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Iona BELARRA Urteaga,us-cia-spain-iona-belarra-urteaga-minister-of-social-rights-agenda-2030,Person,Iona BELARRA Urteaga,,,es,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Irene MONTERO Gil,us-cia-spain-irene-montero-gil-minister-of-equality,Person,Irene MONTERO Gil,,,es,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Jose Manuel MINONES,us-cia-spain-jose-manuel-minones-minister-of-health,Person,Jose Manuel MINONES,,,es,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Miquel ICETA Llorens,us-cia-spain-miquel-iceta-llorens-minister-of-culture-sports,Person,Miquel ICETA Llorens,,,es,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Pilar LLOP Cuenca,us-cia-spain-pilar-llop-cuenca-minister-of-justice,Person,Pilar LLOP Cuenca,,,es,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Mohan PEIRIS,us-cia-sri-lanka-mohan-peiris-permanent-representative-to-the-un-new-york,Person,Mohan PEIRIS,,,lk,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Nalin FERNANDO,us-cia-sri-lanka-nalin-fernando-minister-of-trade,Person,Nalin FERNANDO,,,lk,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Naseer AHAMED,us-cia-sri-lanka-naseer-ahamed-minister-of-environment,Person,Naseer AHAMED,,,lk,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Nimal SIRIPALA,us-cia-sri-lanka-nimal-siripala-minister-of-ports-maritime-shipping,Person,Nimal SIRIPALA,,,lk,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Shehan SEMASINGHE,us-cia-sri-lanka-shehan-semasinghe-minister-of-samurdhi-development-planning-monitoring,Person,Shehan SEMASINGHE,,,lk,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Tiran ALLES,us-cia-sri-lanka-tiran-alles-minister-of-public-security,Person,Tiran ALLES,,,lk,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Vidura WICKRAMANAYAKE,us-cia-sri-lanka-vidura-wickramanayake-minister-of-buddhasasana-religious-cultural-affairs,Person,Vidura WICKRAMANAYAKE,,,lk,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Wijedasa RAJAPAKSE,us-cia-sri-lanka-wijedasa-rajapakse-minister-of-justice,Person,Wijedasa RAJAPAKSE,,,lk,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Abu Baker Omar Al-BUSHRA,us-cia-sudan-abu-baker-omar-al-bushra-minister-of-agriculture-forestry,Person,Abu Baker Omar Al-BUSHRA,,,sd,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Adel Al-HUSSEIN,us-cia-sudan-adel-al-hussein-minister-of-communications-digital-transformation,Person,Adel Al-HUSSEIN,,,sd,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ahlam MAHDI,us-cia-sudan-ahlam-mahdi-minister-of-investment-international-cooperation,Person,Ahlam MAHDI,,,sd,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ahmad Adam BAKHIT,us-cia-sudan-ahmad-adam-bakhit-minister-of-social-development,Person,Ahmad Adam BAKHIT,,,sd,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Al-Hadi IDRIS,us-cia-sudan-al-hadi-idris-member-sc,Person,Al-Hadi IDRIS,,,sd,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Al-Harith IDRIS Al-Harith Muhammad,us-cia-sudan-al-harith-idris-al-harith-muhammad-permanent-representative-to-the-un-new-york,Person,Al-Harith IDRIS Al-Harith Muhammad,,,sd,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Al-Taher HAJAR,us-cia-sudan-al-taher-hajar-member-sc,Person,Al-Taher HAJAR,,,sd,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
