name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Shadlog BERNICKE,us-cia-nauru-shadlog-bernicke-minister-for-media,Person,Shadlog BERNICKE,,,nr,,,,,,CIA World Leaders,2023-11-16T21:57:01,2023-12-04T21:58:26,2023-11-16T21:57:01
Shadlog BERNICKE,us-cia-nauru-shadlog-bernicke-minister-for-nauru-fiber-cable-corporation,Person,Shadlog BERNICKE,,,nr,,,,,,CIA World Leaders,2023-11-16T21:57:01,2023-12-04T21:58:26,2023-11-16T21:57:01
Shadlog BERNICKE,us-cia-nauru-shadlog-bernicke-minister-for-nauru-phosphate-royalties-trust,Person,Shadlog BERNICKE,,,nr,,,,,,CIA World Leaders,2023-11-16T21:57:01,2023-12-04T21:58:26,2023-11-16T21:57:01
Shadlog BERNICKE,us-cia-nauru-shadlog-bernicke-minister-for-ronphos,Person,Shadlog BERNICKE,,,nr,,,,,,CIA World Leaders,2023-11-16T21:57:01,2023-12-04T21:58:26,2023-11-16T21:57:01
Aman Lal MODI,us-cia-nepal-aman-lal-modi-minister-of-fed-affairs-general-administration,Person,Aman Lal MODI,,,np,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Nanda Bahadar PUN,us-cia-nepal-nanda-bahadar-pun-vice-president,Person,Nanda Bahadar PUN,,,np,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Rekha SHARMA,us-cia-nepal-rekha-sharma-minister-of-communications-information-technology,Person,Rekha SHARMA,,,np,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Sridhar KHATRI,us-cia-nepal-sridhar-khatri-ambassador-to-the-us,Person,Sridhar KHATRI,,,np,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Sudan KIRANTI,us-cia-nepal-sudan-kiranti-minister-of-culture-tourism-civil-aviation,Person,Sudan KIRANTI,,,np,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Sushila SHREEPALI,us-cia-nepal-sushila-shreepali-minister-of-state-for-culture-tourism-civil-aviation,Person,Sushila SHREEPALI,,,np,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Andre HASPELS,us-cia-netherlands-andre-haspels-ambassador-to-the-us,Person,Andre HASPELS,,,nl,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Dennis WIERSMA,us-cia-netherlands-dennis-wiersma-minister-for-primary-secondary-education,Person,Dennis WIERSMA,,,nl,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ernst KUIPERS,us-cia-netherlands-ernst-kuipers-minister-of-health-welfare-sport,Person,Ernst KUIPERS,,,nl,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Franc WEERWIND,us-cia-netherlands-franc-weerwind-minister-for-legal-protection,Person,Franc WEERWIND,,,nl,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Hugo DE JONGE,us-cia-netherlands-hugo-de-jonge-minister-for-housing-spatial-planning,Person,Hugo DE JONGE,,,nl,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Karin Kajsa OLLONGREN,us-cia-netherlands-karin-kajsa-ollongren-minister-of-defense,Person,Karin Kajsa OLLONGREN,,,nl,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Mark HARBERS,us-cia-netherlands-mark-harbers-minister-of-infrastructure-water-management,Person,Mark HARBERS,,,nl,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Mark RUTTE,us-cia-netherlands-mark-rutte-prime-minister,Person,Mark RUTTE,,,nl,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Rob JETTEN,us-cia-netherlands-rob-jetten-minister-for-climate-energy-policy,Person,Rob JETTEN,,,nl,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
WILLEM-ALEXANDER,us-cia-netherlands-willem-alexander-king,Person,WILLEM-ALEXANDER,,,nl,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Yoka M. G. BRANDT,us-cia-netherlands-yoka-m-g-brandt-permanent-representative-to-the-un-new-york,Person,Yoka M. G. BRANDT,,,nl,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Adrian ORR,us-cia-new-zealand-adrian-orr-governor-reserve-bank-of-new-zealand,Person,Adrian ORR,,,nz,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Alcyion Cynthia KIRO,us-cia-new-zealand-alcyion-cynthia-kiro-governor-general,Person,Alcyion Cynthia KIRO,,,nz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Bede CORRY,us-cia-new-zealand-bede-corry-ambassador-to-the-us,Person,Bede CORRY,,,nz,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Carolyn Jane Weatherall SCHWALGER,us-cia-new-zealand-carolyn-jane-weatherall-schwalger-permanent-representative-to-the-un-new-york,Person,Carolyn Jane Weatherall SCHWALGER,,,nz,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
James SHAW,us-cia-new-zealand-james-shaw-minister-of-climate-change,Person,James SHAW,,,nz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Jo LUXTON,us-cia-new-zealand-jo-luxton-minister-of-customs,Person,Jo LUXTON,,,nz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Anasha CAMPBELL,us-cia-nicaragua-anasha-campbell-minister-of-tourism,Person,Anasha CAMPBELL,,,ni,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
