animal_id,animal_type,breed_group,primary_breed,tag_no,tag_type,tag_subtype,price,tag_date,tag_exp,tag_stat
A461470,DOG,HOUND,BEAGLE,L15-010900,LIC ALTERED,VET,9.0,2015-09-15 00:00:00,2016-08-31 00:00:00,RENEWED
A578943,DOG,COLLIE,AUST SHEPHERD,L16-003373,LIC ALTERED,VET,10.0,2016-09-20 00:00:00,2017-07-27 00:00:00,CURRENT
A524513,DOG,HOUND,BEAGLE,L14-024386,LIC ALTERED,VET,9.0,2014-04-24 00:00:00,2015-04-05 00:00:00,RENEWED
A630779,DOG,SETTER/RETRIEVE,LABRADOR RETR,,,,,,,
A567940,DOG,,UNKNOWN,L15-057532,LIC ALTERED,HLP IMPORT,9.5,2015-08-06 00:00:00,2016-01-20 00:00:00,CURRENT
A602593,DOG,POODLE,POODLE TOY,,,,,,,
A229120,DOG,SHEPHERD,GERM SHEPHERD,L15-065507,LIC MULTIPLE,HLP SCAN,7.0,2016-02-09 00:00:00,2016-12-11 00:00:00,RENEWED
A602151,DOG,SETTER/RETRIEVE,LABRADOR RETR,L16-025497,LIC ALTERED,HLP SCAN,10.0,2016-10-13 00:00:00,2017-09-06 00:00:00,RENEWED
A602825,DOG,TERRIER,TIBETAN TERR,L16-027448,LIC ALTERED,MAIL,10.0,2016-10-25 00:00:00,2017-09-10 00:00:00,RENEWED
A605481,CAT,LONGHAIR,MAINE COON,985112008498504,MICROCHIP ADO,HOME AGAIN,25.0,2016-11-30 00:00:00,2017-11-30 00:00:00,CURRENT
A607561,DOG,SHEPHERD,GERM SHEPHERD,RAB9717611,RABIES CERT,VET,0.0,2017-01-04 00:00:00,2016-11-23 00:00:00,CURRENT
A613043,DOG,HOUND,BEAGLE,,,,,,,
A579358,DOG,COLLIE,SHETLD SHEEPDOG,L15-035069,LIC SR,HLP SCAN,4.5,2015-12-20 00:00:00,2016-07-29 00:00:00,CURRENT
A353635,DOG,POINTER,ENG POINTER,985170000191354,MICROCHIP,HLP SCAN,0.0,2016-06-07 00:00:00,,CURRENT
