ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
homeland,267,1.15,10.49%,54.87%,83.18,3.01
game of thrones,150,1.42,1.33%,38.03%,212.03,6.49
elena ferrante,103,1.37,2.91%,39.01%,293.92,9.01
harry potter,92,1.5,1.09%,45.65%,320.07,9.29
1984,91,1.33,2.20%,61.16%,231.15,5.82
arrival,88,1.28,0.00%,51.33%,240.75,9.1
Homeland,85,1.55,11.76%,41.67%,107.8,3.52
nioh,84,1.05,44.05%,26.14%,149.33,1.85
house of cards,76,1.25,3.95%,46.32%,131.74,4.5
outlander,76,1.75,3.95%,33.08%,146.63,6.82
la femme qui fuit,73,1.29,6.85%,39.36%,162.92,4.63
la la land,73,1.25,4.11%,56.04%,123.05,5.78
elle,72,1.19,0.00%,56.98%,89.15,6.93
snowden,72,1.1,1.39%,81.01%,142.01,3.1
suicide squad,71,1.27,4.23%,57.78%,134.69,6.23
manchester by the sea,69,1.22,11.59%,70.24%,118.3,0.93
mr robot,69,1.13,10.14%,53.85%,131.75,3.78
girls,66,1.14,7.58%,62.67%,104.26,3.35
star wars,66,1.42,4.55%,50.00%,287.88,9.8
yoga,66,1.55,0.00%,57.84%,429.61,13.79
lisa gardner,63,1.24,3.17%,43.59%,284.62,8.19
foxygen,62,1.05,4.84%,93.85%,22.95,1.32
hval,62,1.15,1.61%,95.77%,13.95,1.26
robert's summa theologica,62,1.15,0.00%,7.04%,9.31,1.18
michel onfray,60,1.12,10.00%,49.25%,247.3,7.03
jason bourne,59,1.15,5.08%,64.71%,147.75,5.47
julie byrne,57,1.07,1.75%,88.52%,60.74,2.25
tribe called quest,57,1.26,3.51%,88.89%,99.33,2.02
the americans,56,1.11,1.79%,61.29%,192.52,7.95
leon rojus,55,1.09,0.00%,98.33%,6.4,0.02
priests nothing feels,55,1.05,0.00%,100.00%,9.75,1.22
sully,55,1.27,3.64%,58.57%,102.33,6.31
the girl on the train,55,1.16,7.27%,62.50%,131.24,3.02
sherlock,54,1.07,11.11%,60.34%,74.89,2.63
trainspotting,54,1.11,0.00%,91.67%,42.04,1.7
resident evil,53,1.47,5.66%,44.87%,202.45,5.64
young thug jeffery,53,1.06,0.00%,98.21%,20.21,1.09
cloud nothings life without sound,52,1.04,1.92%,98.15%,9.62,1.08
la fille du train,52,1.44,7.69%,41.33%,163.19,3.04
marissa nadler,52,1.02,0.00%,100.00%,27.08,1.85
ray donovan,52,1.35,5.77%,58.57%,167.13,3.23
stephen king,51,1.29,1.96%,48.48%,301.22,9.29
classixx,50,1.0,0.00%,86.00%,71.3,2.14
marie eve lamontagne,50,1.4,0.00%,21.43%,187.28,2.78
mutual benefit,50,1.0,0.00%,98.00%,10.42,1.28
sampha process,50,1.1,0.00%,94.55%,12.04,0.3
le plongeur,49,1.43,8.16%,50.00%,143.43,6.04
mary higgins clark,49,1.12,0.00%,49.09%,248.37,8.24
bluray,48,1.35,8.33%,10.77%,300.56,20.77
preoccupations,48,1.13,0.00%,96.30%,50.92,1.44
devendra ape,47,1.04,0.00%,100.00%,6.04,0.0
Elena ferrante,47,1.32,4.26%,35.48%,250.26,5.55
guy delisle,47,1.51,4.26%,42.25%,338.02,9.21
hell or high water,47,1.13,2.13%,77.36%,57.62,2.53
inferno,47,1.15,10.64%,72.22%,116.45,4.06
vikings,47,1.3,2.13%,49.18%,153.26,5.47
walking dead,47,1.23,4.26%,55.17%,198.34,7.19
weyes blood,47,1.15,2.13%,92.59%,15.0,0.7
en as-tu vraiment besoin,46,1.3,4.35%,35.00%,156.37,4.59
nora roberts,45,1.18,0.00%,45.28%,373.16,11.78
resident evil 7,45,1.84,13.33%,15.66%,254.89,4.62
thank you for your service,45,1.07,2.22%,97.92%,24.02,1.16
bat for lashes bride,42,1.05,0.00%,100.00%,10.02,1.05
guillaume musso,42,1.62,4.76%,39.71%,280.76,9.33
madame figaro,42,1.07,0.00%,42.22%,147.36,4.21
the affair,41,1.27,2.44%,51.92%,173.85,3.05
yes lawd,41,1.05,0.00%,97.67%,7.93,1.2
deepwater horizon,40,1.13,7.50%,75.56%,152.98,4.6
Elena Ferrante,40,1.2,7.50%,37.50%,258.45,8.25
florence foster jenkins,40,1.03,5.00%,70.73%,100.88,4.3
jeux de miroirs,40,1.2,10.00%,58.33%,138.5,3.3
xx i see you,40,1.05,0.00%,95.24%,40.25,2.65
((TypeOfDocumentFacet=Livres_numeriques) and (TypeContentLimit=romans) not ((OFF=f) or (OFF=s))) not RELB=m,39,1.26,0.00%,36.73%,251.44,10.64
migos culture,39,1.0,0.00%,100.00%,15.92,0.0
nxworries,39,1.13,0.00%,86.36%,92.18,0.69
the accountant,39,1.13,2.56%,65.91%,75.54,4.13
india desjardins,38,1.29,2.63%,46.94%,201.03,6.53
Les furies,38,1.18,0.00%,37.78%,159.18,4.21
denise bombardier,37,1.05,10.81%,46.15%,199.41,4.95
patrice michaud,37,1.14,5.41%,66.67%,144.57,3.22
will julianna,37,1.05,0.00%,97.44%,52.7,1.43
