Title,Locations,Distributor,Director,Writer
Looking,"Tiburon Hiking Trail, Tiburon, CA",Home Box Office (HBO),Andrew Haigh,Michael Lannan
Looking Season 2 ep 204,Castro Street @ 18th street,HBO,Andrew Haigh,Michael Lannan
Dream for an Insomniac,Baker Beach,Columbia TriStar Home Video,Tiffanie DeBartolo,Tiffanie DeBartolo
The Conversation,"American Roofing Co. Building (297 Kansas Street, Potrero Hill)",Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola
Chance- Season 1 ep102,"State Garage, 818 Leavenworth",HULU,Lenny Abrahamson,Alexandra Cunningham 
Invasion of the Body Snatchers,"Bimbo's 365 Club (1025 Columbus Avenue, North Beach)",United Artists,Philip Kaufman,Jack Finney
Family Plot,Nob Hill,Universal Pictures,Alfred Hitchcock,Ernest Lehman
Final Analysis,Bix Restaurant (56 Gold Street),Warner Bros. Pictures,Phil Joanou,Robert Berger
"Murder in the First, Season 2",Harriet Street between Bryant and Brannan Streets,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
The Enforcer,Hall of Justice,Warner Bros. Pictures,James Fargo,Stirling Silliphant
Quitters,Cal-Mart Supermarket,,Noah Pritzker,Noah Pritzker
Vertigo,Ernie's Restaurant (847 Montgomery Street),Paramount Pictures,Alfred Hitchcock,Alec Coppel
"Smile Again, Jenny Lee",Mason & Sacramento St,,Carlo Caldana,Linda Demetrick
"Budding Prospects, Pilot",1167 Alabama Street,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)"
When We Rise,"Castro Theatre, 429 Castro St.",Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black
"Murder in the First, Season 2",Pier 50,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
So I Married an Axe Murderer,Caf̩ Picaro 3120 16th Street,TriStar Pictures,Thomas Schlamme,Robbie Fox
Cardinal X,100 Alemany Blvd.,,Annie Wang,Annie Wang
Nora Prentiss,Belgravia Apartments (795 Sutter Street at Jones),Warner Bros. Pictures,Vincent Sherman,N. Richard Nash
Chance- Season 1 ep106,Treasure Island,HULU,Sara Gran,Dan Attias
Edtv,"Center for the Arts, Yerba Buena Gardens (701 Mission Street)",MCA / Universal Pictures,Ron Howard,Lowell Ganz
Boys and Girls,Chinatown,Dimension Films,Robert Iscove,The Drews
Memoirs of an Invisible Man,St. Elizabeth Apartment House (901 Powell Street at Sacramento),Warner Bros. Pictures,John Carpenter,Robert Collector
Time After Time,United Nations Plaza (Civic Center),Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
The Competition,Pier 39,American Broadcasting Company (ABC),Joel Oliansky,Joel Oliansky
Nine Months,Star's Caf̩ (55 Golden Gate Avenue at Van Ness),Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus
Junior,722 Steiner Street,Universal Pictures,Ivan Reitman,Kevin Wade
