Title,Locations,Distributor,Director,Writer
Looking,Jawbone at 99 Rhode Island St. ,Home Box Office (HBO),Andrew Haigh,Michael Lannan
Alexander's Ragtime Band,"Fairmont Hotel (950 Mason Street, Nob Hill)",Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola
"Yours, Mine and Ours",,United Artists,Melville Shavelson,"Bob Carroll, Jr."
Foul Play,Fort Mason (Golden Gate National Recreation Area),Paramount Pictures,Colin Higgins,Colin Higgins
Magnum Force,Cost Plus World Market (2552 Taylor Street),Warner Bros. Pictures,Ted Post,John Milius
Time After Time,California Academy of Sciences (Golden Gate Park),Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Vertigo,"California Palace of the Legion of Honor (34th Avenue & Clement, Lincoln Park)",Paramount Pictures,Alfred Hitchcock,Alec Coppel
Birth of the Dragon,Leavenworth at Green,Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele"
Looking Season 2 ep 204,1890 Clay Street,HBO,Andrew Haigh,Michael Lannan
Looking Season 2 ep 209,1890 Clay Street,HBO,Andrew Haigh,Michael Lannan
Blue Jasmine,Marina Green,Sony Pictures Classics,Woody Allen,Woody Allen
Boys and Girls,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Dimension Films,Robert Iscove,The Drews
Golden Gate,Ross Alley (Chinatown),The Samuel Goldwyn Company,John Madden,David Henry Hwang
Looking Season 2 ep 209,68 Division Street,HBO,Andrew Haigh,Michael Lannan
On the Road,Sacramento & Montgomery Streets,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera
Sense8 - Season 2,"Grace Cathedral, 1100 California St.",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings"
Ant-Man,420 Jones St. at Ellis St.,Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari 
San Andreas,555 California,Warner Bros.,Brad Peyton,Allan Loeb
Blue Jasmine,Motel Capri,Sony Pictures Classics,Woody Allen,Woody Allen
Copycat,Twin Peaks,Warner Bros. Pictures,Jon Amiel,Ann Biderman
Venom,California St btwn Drumm and Sansome,"Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg"
San Andreas,2nd St. at Townsend St.,Warner Bros.,Brad Peyton,Allan Loeb
Big Sur,"Tosca Caf̩ (242 Columbus Avenue, North Beach)",,Michael Polish,Jack Kerouac & Michael Polish
Red Widow,Geary & 27th Ave,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg
Mrs. Doubtfire,Danilo's Bakery (Green Street & Bannam Place),Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer
Summertime,Buena Vista East & Duboce; Buena Vista East & Haight,5 Distribution,Gabriele Muccino,Gabriele Muccino
D.O.A,Market & Steuart Streets (Financial District),United Artists,Rudolph Mate,Russell Rouse
Chance- Season 1 ep102,Westin St. Francis,HULU,Lenny Abrahamson,Alexandra Cunningham 
After the Thin Man,Coit Tower,Metro-Goldwyn Mayer,W.S. Van Dyke,Frances Goodrich
Chance- Season 1 ep107,60 Potomac,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann
The Conversation,"American Roofing Co. Building (297 Kansas Street, Potrero Hill)",Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola
"Smile Again, Jenny Lee",333 Pacheco St at Lopez Ave.,,Carlo Caldana,Linda Demetrick
Getting Even with Dad,M.H. de Young Memorial Museum (Golden Gate Park),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker
Ballers Season 3,Driving around Taylor/Pacific/Leavenworth,HBO,Julian Farino,Stephen Levinson
Looking Season 2 ep 202,1246 Folsom Street,HBO,Andrew Haigh,Michael Lannan
Looking,St. Francis Fountain,Home Box Office (HBO),Andrew Haigh,Michael Lannan
"Looking ""Special""",Bernal Heights Neighborhood,HBO,Andrew Haigh,Michael Lannan
Summertime,Duboce Park,13 Distribution,Gabriele Muccino,Gabriele Muccino
The Enforcer,Alcatraz Island,Warner Bros. Pictures,James Fargo,Stirling Silliphant
Pushing Dead,"433 Baker Street, ",TBD,Tom Brown,Tom Brown
Bullitt,Larkin & Francisco Streets (Russian Hill),Warner Brothers,Peter Yates,Alan R. Trustman
