name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
Abbey Wood Library,Eynsham Drive,Abbey Wood,,Greenwich,,10010232562.0,E09000011,Abbey Wood,E05000214,0.1101953668981559,51.49375806621556,546586.0002464494,179312.29420610698,04/11/2021
Cubitt Town library,Strattondale Street,,,Tower Hamlets,,6081796.0,E09000030,Blackwall & Cubitt Town,E05009318,-0.0117738744589681,51.49597638746854,538112.9625722067,179321.9242063575,04/11/2021
Waterloo,Kennington Road,,,Lambeth,,100023225318.0,E09000022,Bishop's,E05000416,-0.111911792731906,51.498180532469874,531155.9644622987,179382.9241920344,04/11/2021
Canada Water Library,Surrey Quays Road,,,Southwark,,10090284129.0,E09000028,Rotherhithe,E05011112,-0.0491536087316213,51.49780959346151,535512.9632780959,179455.92417356407,04/11/2021
Southall Library (Dominion Centre and Library),Osterley Park Road,Southall,,Ealing,,12020455.0,E09000009,Norwood Green,E05000186,-0.3791271839460157,51.50338220325516,512595.9695073738,179516.92415607185,04/11/2021
Kensington Central Library,Phillimore Walk,,,Kensington and Chelsea,,217125485.0,E09000020,Campden,E05009390,-0.1944060926388149,51.50141889533559,525421.286028223,179598.58410744683,04/11/2021
West Drayton Library,Station Road,West Drayton,,Hillingdon,,100023420922.0,E09000017,West Drayton,E05000342,-0.470240902738304,51.50571265084852,506266.97123141895,179639.92412247462,04/11/2021
Askew Road,Askew Road,,,Hammersmith and Fulham,,34011906.0,E09000013,Askew,E05000251,-0.2430385301354489,51.50368018316416,522039.96693990345,179767.9240850634,04/11/2021
John Harvard Library,Borough High Street,,,Southwark,,200003356510.0,E09000028,Chaucer,E05011098,-0.0919082389041375,51.501768664457686,532533.9640894843,179817.9240721048,04/11/2021
Botwell Green Library,East Avenue,Hayes,,Hillingdon,,10022805611.0,E09000017,Townfield,E05000339,-0.4178401526100187,51.5084792406569,509896.970239931,180024.9240176137,04/11/2021
Acton Town Hall Library,High Street,Acton,,Ealing,,12180771.0,E09000009,South Acton,E05000188,-0.2678916296943721,51.50640575549801,520307.9674132693,180029.92401728895,04/11/2021
North Woolwich Library,Pier Parade,,,Newham,,10008995497.0,E09000025,Royal Docks,E05000491,0.0626662072577145,51.50106635464015,543263.9611692192,180030.9240131178,04/11/2021
Thamesmead Library,Binsey Walk,,,Bexley,,100020239019.0,E09000004,Thamesmead East,E05011232,0.1226018670388912,51.50032934688435,547425.9600412401,180067.9240056633,04/11/2021
Idea Store Canary Wharf,Churchill Place,,,Tower Hamlets,,6145802.0,E09000030,Canary Wharf,E05009323,-0.0147656707448456,51.50441913154223,537879.8126110017,180255.1039455454,04/11/2021
West Ealing Library,Melbourne Avenue,West Ealing,,Ealing,,12002863.0,E09000009,Walpole,E05000192,-0.3245240039829782,51.50949413038908,516369.9684829128,180281.9239463071,04/11/2021
Hanwell Library,Cherington Road,Hanwell,,Ealing,,12001465.0,E09000009,Elthorne,E05000176,-0.3360943809674782,51.50992857111256,515565.9687003134,180311.92393883748,04/11/2021
Mayfair Library,South Audley Street,,,City of Westminster,,100022802697.0,E09000033,West End,E05000649,-0.1511225825149399,51.509371642069,528402.9652095624,180557.92387423545,04/11/2021
Ealing Central Library,The Broadway,Ealing,,Ealing,,12148296.0,E09000009,Ealing Broadway,E05000173,-0.3023701156743837,51.51233211687013,517899.9680648097,180632.9238502785,04/11/2021
Yiewsley Library,High Street,West Drayton,,Hillingdon,,100023420805.0,E09000017,Yiewsley,E05000345,-0.4740464924475635,51.515150115969135,505980.9713071002,180683.92383833943,04/11/2021
Notting Hill Gate Library,Pembridge Square,,,Kensington and Chelsea,,217105238.0,E09000020,Pembridge,E05009400,-0.1973929759947187,51.5112788770773,525186.9660849748,180689.9238372218,04/11/2021
Charing Cross Library,Charing Cross Road,,,City of Westminster,,10033531833.0,E09000033,St. James's,E05000644,-0.1280999385683259,51.510274454912825,529997.9647772341,180698.92383321465,04/11/2021
Thamesmere Library,Thamesmere Drive,Thamesmead,,Greenwich,,10010224992.0,E09000011,Thamesmead Moorings,E05000228,0.1091895541075445,51.5077323358267,546471.3902902965,180864.21376768316,04/11/2021
