Title,Locations,Distributor,Director,Writer
Love & Taxes,20 Hill Street,,Jacob Kornbluth,Jacob Kornbluth
High Crimes,Union Square,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks
GirlBoss,"The Castro Theater, 429 Castro St.",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon
Chance Season 2,Mason between Sacramento and California St,Hulu,Rozann Dawson,Alexandra Cunningham
Looking,The Fairmont,Home Box Office (HBO),Andrew Haigh,Michael Lannan
Chance- Season 1 ep106,Washington Square Park,HULU,Sara Gran,Dan Attias
Fearless,90 Gold Street,Warner Bros. Pictures,Peter Weir,Rafael Yglesias
"Murder in the First, Season 1",Alamo Square Park,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Sweet November,Hotel Majestic (1500 Sutter Street),Warner Bros. Pictures,Pat O'Connor,Paul Yurick
"Murder in the First, Season 1",13 Lucky Street,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Americana,Laguna Honda Hospital; 375 Laguna Honda Blvd.,,Zachary Shedd,Zachary Shedd
Looking Season 2 ep 209,"SF Zoo, 2945 Sloat Blvd",HBO,Andrew Haigh,Michael Lannan
The Lady from Shanghai,Former Hall of Justice (750 Kearny Street at Washington),Columbia Pictures,Orson Welles,Orson Welles
High Crimes,Chase H & Q  (1 Bush Street at Sansome),Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks
"Smile Again, Jenny Lee","Huntington Park (California & Taylor Streets, Nob Hill)",,Carlo Caldana,Linda Demetrick
The Competition,California Academy of Sciences (Golden Gate Park),American Broadcasting Company (ABC),Joel Oliansky,Joel Oliansky
180,Epic Roasthouse (399 Embarcadero),,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba"
Final Analysis,"Public Health Service Hospital (Presidio, Golden Gate National Recreation Area)",Warner Bros. Pictures,Phil Joanou,Robert Berger
Looking Season 2 ep 204,601 Buena Vista Ave West,HBO,Andrew Haigh,Michael Lannan
The Organization,,United Artists,Don Medford,James R. Webb
Red Widow,Broadway & Taylor,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg
Looking Season 2 ep 205,1119 Alabama Street,HBO,Andrew Haigh,Michael Lannan
The Diary of a Teenage Girl,Polk and Northpoint St.,Sony Pictures Classics,Marielle Heller,Marielle Heller
Looking,Mr. S Leather,Home Box Office (HBO),Andrew Haigh,Michael Lannan
Foul Play,Sutter & Buchannan Streets,Paramount Pictures,Colin Higgins,Colin Higgins
Looking,1890 Clay St.,Home Box Office (HBO),Andrew Haigh,Michael Lannan
The Lady from Shanghai,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",Columbia Pictures,Orson Welles,Orson Welles
Another 48 Hours,,Paramount Pictures,Walter Hill,Walter Hill
