Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals (£),Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Emily Antcliffe,15/07/2020,2,"Brussels, Belgium",Brexit/transition negotiations with the EU Commission,Rail/Tube,Business,£57.58,Nil return,£565.36,Nil return
Colin Casse,09/08/2020,2,"Edinburgh, UK",Official visit to our new Edinburgh building,Rail,Standard,£53.00,Nil return,£179.00,Nil return
Denise Dourado,16/09/2020,2,"London, UK",Internal meetings at HMRC offices in London,Rail/Taxi,Standard,£105.04,Nil return,£355.04,Nil return
Karl Khan,16/09/2020,1,"London, UK",Internal meetings at HMRC offices in Croydon,Rail,Standard,Nil return,Nil return,£37.00,Nil return
Richard Las,01/07/2020,92,"Various, UK",Operational activity,Hire Car / Car,Nil return,Nil return,Nil return,£122.36,Nil return
Claire McGuckin,01/09/2020,1,"Leicester, UK",Site visit to HMRC offices in Leicester,Car,Nil return,Nil return,Nil return,£10.00,Nil return
Richard West,11/09/2020,1,"Newcastle, UK",Site visit,Hire Car,Nil return,£4.00,Nil return,£30.50,Nil return
Richard West,21/09/2020,2,"London, UK",Site visit and internal meetings,Rail/Taxi,Standard,£78.49,Nil return,£317.39,Nil return
Timothy Addison,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Janet Aiston,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Janet Alexander,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Rebekah Ayres,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Mary Barber,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Alison Bexfield,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Carol Bristow,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Emma Churchill,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Penny Ciniewicz,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Simon Claydon,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Antony Collard,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Ann Conway-Hughes,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Martin Coombs,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Sophie Dean,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Nigel Dismore,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Timothy East,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Lynette Eastman,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Julie Etheridge,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Alan Evans,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Gill Evans,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Oliver Fisher,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Kevin Fletcher,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Richard Forster,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Haroona Franklin,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Kevin Franklin,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
