name,borough_name,website,borough_code,address1,address2,address3,os_addressbase_uprn,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
Institute of Contemporary Arts - ICA,City of Westminster,http://www.ica.org.uk/#,E09000033,"The Mall, St. James's",,,100023349547,St. James's,E05000644,-0.1310971806068408,51.50641041249607,529800.9648308733,180263.9239526004,04/11/2021
Malcolm Fairley,City of Westminster,http://www.malcolmfairley.com/#,E09000033,40 Bury Street,,,100023349671,St. James's,E05000644,-0.1381885951637756,51.50637031588022,529308.9649646203,180246.9239577564,04/11/2021
Paisnel Gallery,City of Westminster,http://www.paisnelgallery.co.uk/#,E09000033,9 Bury Street,,,100023349896,St. James's,E05000644,-0.1381584337620433,51.50675652391479,529309.9649644457,180289.9239460766,04/11/2021
Sladmore,City of Westminster,http://www.sladmore.com/#,E09000033,57 Jermyn Street,,,100023349966,St. James's,E05000644,-0.139529800548788,51.5077584906967,529211.9649911586,180398.9239165283,04/11/2021
Chris Beetles,City of Westminster,http://www.chrisbeetles.com/#,E09000033,8 & 10 Ryder Street,,,100023350002,St. James's,E05000644,-0.1382586140286555,51.50712681547932,529301.9649667011,180330.9239349417,04/11/2021
Photofusion Gallery,Lambeth,http://www.photofusion.org/photography-exhibitions/#,E09000022,17A Electric Ln,Brixton,,100023388443,Coldharbour,E05000420,-0.113914084319503,51.46187314367182,531120.9644713178,175341.925289787,04/11/2021
Brixton Art Gallery,Lambeth,http://www.brixtonartgallery.co.uk/#,E09000022,35 Brixton Station Road,,,100023388518,Coldharbour,E05000420,-0.1130995892535705,51.46382046394568,531171.9644578417,175559.9252303372,04/11/2021
Two Temple Place,City of Westminster,http://www.twotempleplace.org/#,E09000033,2 Temple Place,,,100023433098,St. James's,E05000644,-0.1122213426603694,51.51160271241844,531095.9644777082,180874.9237845104,04/11/2021
Atlas Gallery,City of Westminster,http://www.atlasgallery.com/#,E09000033,49 Dorset Street,,,100023460982,Marylebone High Street,E05000641,-0.1553535489091974,51.51950107361095,528080.9652974516,181676.9235683468,04/11/2021
Fashion Space Gallery,City of Westminster,http://www.fashionspacegallery.com/#,E09000033,London College of Fashion,20 John Princes St,,100023463131,West End,E05000649,-0.1432729198174484,51.51564145841103,528929.9650664583,181268.92367995545,04/11/2021
Hay Hill Gallery,City of Westminster,http://www.hayhillgallery.com/#,E09000033,35 Baker Street,,,100023463338,Marylebone High Street,E05000641,-0.1558818581874759,51.51795247729972,528048.65530889,181503.79361069,04/11/2021
A&D Gallery,City of Westminster,http://www.aanddgallery.com/#,E09000033,51 Chiltern Street,,,100023463458,Marylebone High Street,E05000641,-0.1556515708958889,51.51997337906727,528058.965303397,181728.9235540837,04/11/2021
Hellenic Centre,City of Westminster,http://www.helleniccentre.org/#,E09000033,16-18 Paddington Street,,,100023464226,Marylebone High Street,E05000641,-0.1535649380529645,51.520956726103385,528200.9652644555,181841.9235232928,04/11/2021
RIBA Architecture Gallery,City of Westminster,http://www.architecture.com/WhatsOn/Exhibitions/Exhibitions.aspx#,E09000033,66 Portland Place,,,100023466307,Marylebone High Street,E05000641,-0.1448435900362467,51.52132271764298,528804.9651006795,181897.92350849224,04/11/2021
Pi Artworks,City of Westminster,http://www.piartworks.com/#,E09000033,55 Eastcastle Street,,,100023466780,West End,E05000649,-0.1381103669508877,51.516413933967776,529285.9649694191,181363.92365350464,04/11/2021
Pilar Corrias,City of Westminster,http://www.pilarcorrias.com/#,E09000033,54 Eastcastle Street,,,100023466935,West End,E05000649,-0.1381971572673221,51.51640631884335,529279.9649710553,181362.9236537881,04/11/2021
Art First,City of Westminster,http://www.artfirst.co.uk/#,E09000033,21 Eastcastle Street,,,100023466981,West End,E05000649,-0.1379642302215568,51.51681628604987,529294.9649668573,181408.92364122136,04/11/2021
Nancy Victor,City of Westminster,http://www.nancyvictor.com/#,E09000033,6 Charlotte Pl,Fitzrovia,,100023467162,West End,E05000649,-0.1360670966588448,51.51880052412247,529420.9649330733,181632.92358050245,04/11/2021
Gallery Libby Sellers,City of Westminster,http://www.libbysellers.com/#,E09000033,41-42 Berners Street,,,100023467596,West End,E05000649,-0.1376477433813757,51.51821412506119,529312.9649622114,181564.9235989428,04/11/2021
Ronchini Gallery,City of Westminster,http://www.ronchinigallery.com/#,E09000033,22 Dering Street,,,100023470794,West End,E05000649,-0.1455199919305717,51.51425615935236,528777.9651079362,181110.9237232193,04/11/2021
Hauser & Wirth 1,City of Westminster,http://www.hauserwirth.com/#,E09000033,196A Piccadilly,,,100023470962,St. James's,E05000644,-0.1372702071465556,51.50874779655609,529365.9649498475,180512.9238854345,04/11/2021
Anthony Reynolds Gallery,City of Westminster,http://www.anthonyreynolds.com/#,E09000033,60 Great Marlborough Street,,,100023471398,West End,E05000649,-0.1371898633472427,51.51460077749412,529354.964951173,181163.9237079352,04/11/2021
Flowers Gallery Central,City of Westminster,http://www.flowersgallery.com/#,E09000033,21 Cork Street,,,100023473240,West End,E05000649,-0.1410324506269955,51.510138406647066,529100.9650210739,180660.92384539184,04/11/2021
Erskine Hall & Coe,City of Westminster,http://www.erskinehallcoe.com/#,E09000033,15 Royal Arcade,28 Old Bond St,,100023473300,West End,E05000649,-0.1416664723717086,51.50907832090396,529059.9650323414,180541.92387786828,04/11/2021
David Zwimer,City of Westminster,http://www.davidzwirner.com/#,E09000033,24 Grafton Street,,,100023473310,West End,E05000649,-0.1430048741173626,51.50947721228,528965.965057637,180583.9238665271,04/11/2021
Colnaghi,City of Westminster,http://www.colnaghi.com/#,E09000033,15 Old Bond Street,,,100023473356,West End,E05000649,-0.1405719464154215,51.50906097445984,529135.9650118465,180541.92387778487,04/11/2021
Gazelli Art House,City of Westminster,http://gazelliarthouse.com/#,E09000033,39 Dover Street,,,100023473417,West End,E05000649,-0.1423888391918043,51.50832538331812,529011.9650452451,180456.9239009684,04/11/2021
SprÃÂ¼th Magers,City of Westminster,http://www.spruethmagers.com/#,E09000033,7 Grafton Street,,,100023473419,West End,E05000649,-0.1437477036256266,51.50999256219499,528912.9650718693,180639.9238513314,04/11/2021
