ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
Blockchain,29,1.41,3.45%,4.88%,558.48,2.76
donna leon,29,1.1,3.45%,65.63%,349.48,9.41
Elena ferrante,29,1.69,0.00%,22.45%,248.83,4.62
inventaire des greffes des notaires du rÃ©gime franÃ§ais,29,1.1,0.00%,0.00%,113.45,1.41
john grisham,29,1.14,10.34%,60.61%,175.17,4.97
moussaka,29,1.0,0.00%,0.00%,6.17,1.21
nicole bordeleau,29,1.48,3.45%,41.86%,336.72,6.69
rogue one,29,1.14,3.45%,54.55%,247.14,4.17
space between us,29,1.03,0.00%,70.00%,19.1,2.34
sully,29,1.1,0.00%,75.00%,96.38,5.17
une simple histoire d'amour,29,1.21,20.69%,31.43%,76.66,1.03
black sails,28,1.04,3.57%,72.41%,121.86,3.96
denial,28,1.04,0.00%,68.97%,164.96,3.14
jacques cardinal,28,1.11,7.14%,0.00%,43.96,18.07
john wick 2,28,1.07,14.29%,73.33%,12.29,0.18
juste la fin du monde,28,1.32,0.00%,56.76%,291.29,9.32
Outlander,28,1.36,0.00%,28.95%,182.11,4.68
roger waters,28,1.18,0.00%,63.64%,241.82,10.04
Sgt pepper's lonely hearts club band,28,1.04,7.14%,27.59%,85.43,3.25
Xbox one,28,1.36,10.71%,21.05%,410.36,12.07
anna gavalda,27,1.22,3.70%,48.48%,107.11,3.85
batman,27,1.19,3.70%,56.25%,178.7,8.81
blu ray,27,1.07,0.00%,75.86%,345.33,17.44
criterion blu ray,27,1.19,14.81%,34.38%,186.11,5.63
fleetwood mac,27,1.44,3.70%,53.85%,53.11,4.04
hugh jackman,27,1.0,3.70%,70.37%,102.67,4.3
kim thuy,27,1.63,3.70%,43.18%,315.85,7.48
life,27,1.48,0.00%,65.00%,84.63,5.85
louise penny,27,1.44,0.00%,46.15%,242.3,7.96
musso,27,1.33,0.00%,55.56%,244.85,7.81
normand baillargeon,27,1.26,7.41%,32.35%,207.04,5.44
priests nothing feels natural,27,1.0,0.00%,100.00%,7.67,0.0
radiohead,27,1.26,7.41%,44.12%,223.33,8.07
scandal,27,1.11,7.41%,73.33%,262.22,7.67
sophie kinsella,27,1.11,3.70%,63.33%,369.74,6.78
vernon subutex,27,1.19,3.70%,37.50%,180.33,4.48
get out,26,1.19,0.00%,58.06%,179.62,10.46
java,26,1.62,3.85%,40.48%,377.27,15.23
Le plongeur,26,1.54,7.69%,40.00%,291.96,15.23
one piece,26,1.5,3.85%,61.54%,317.23,6.69
paterson,26,1.27,3.85%,48.48%,202.04,7.31
pink floyd,26,1.35,11.54%,48.57%,282.19,12.15
protÃ©gez-vous,26,1.5,3.85%,28.21%,238.12,5.5
silence,26,1.38,0.00%,58.33%,183.04,9.96
the girl on the train,26,1.38,0.00%,55.56%,345.46,9.04
better call saul,25,1.32,0.00%,57.58%,102.36,3.92
Elena Ferrante,25,1.24,0.00%,41.94%,400.44,6.76
Figaro magazine,25,1.16,0.00%,34.48%,30.16,2.16
hidden,25,1.24,0.00%,41.94%,70.24,5.32
la tresse,25,1.08,12.00%,48.15%,201.72,4.04
La tresse,25,1.16,8.00%,27.59%,237.32,7.44
maya banks,25,1.12,4.00%,32.14%,268.72,11.68
Paula hawkins,25,1.24,12.00%,22.58%,213.96,3.48
un sac de billes,25,1.48,8.00%,21.62%,135.96,4.96
a qui la faute,24,1.13,29.17%,48.15%,46.13,1.67
c,24,1.29,0.00%,38.71%,267.67,7.88
chanson douce,24,1.58,0.00%,52.63%,325.04,5.75
ed sheeran,24,1.67,4.17%,40.00%,252.08,9.54
Fred Vargas,24,1.13,0.00%,51.85%,277.96,6.33
ivanka trump,24,1.0,70.83%,8.33%,106.08,0.67
japandroids,24,1.0,0.00%,75.00%,72.5,2.42
Madame figaro,24,1.13,0.00%,29.63%,73.58,1.67
murakami,24,1.17,0.00%,46.43%,202.63,7.13
poldark,24,1.33,16.67%,21.88%,406.38,6.83
Quand sort la recluse,24,1.21,4.17%,48.28%,165.33,5.08
the leftovers,24,1.29,0.00%,32.26%,383.46,5.92
american gods,23,1.39,4.35%,37.50%,234.13,6.65
expo 67,23,1.78,4.35%,36.59%,300.74,7.35
fences,23,1.13,0.00%,76.92%,265.48,13.7
foxygen,23,1.0,8.70%,82.61%,249.3,1.78
Fred vargas,23,1.13,4.35%,46.15%,142.91,4.7
la vie habitable,23,1.04,0.00%,29.17%,175.96,3.22
leonard cohen,23,1.3,4.35%,60.00%,176.04,7.7
naruto,23,1.3,0.00%,63.33%,295.78,8.43
orange is the new black,23,1.17,0.00%,37.04%,223.43,7.3
peaky blinders,23,1.48,17.39%,20.59%,200.83,4.78
the fall,23,1.3,4.35%,43.33%,54.39,2.13
Arundhati Roy,22,1.23,9.09%,25.93%,255.59,11.36
dalida,22,1.59,0.00%,40.00%,195.95,7.09
gotham,22,1.18,4.55%,76.92%,326.68,8.59
india desjardins,22,1.5,0.00%,42.42%,177.0,7.82
katy perry,22,1.05,4.55%,69.57%,138.82,4.86
le bonheur des autres,22,1.82,9.09%,32.50%,83.91,2.5
madame figaro,22,1.09,0.00%,29.17%,57.73,2.95
Michel Tremblay,22,1.41,9.09%,41.94%,448.32,8.23
mindfulness,22,1.45,4.55%,46.88%,485.64,17.36
patrice michaud,22,1.23,0.00%,44.44%,297.32,8.77
sleepy hollow,22,1.45,4.55%,50.00%,150.68,4.59
station eleven,22,1.05,0.00%,69.57%,147.91,5.77
the handmaid's tale,22,1.64,0.00%,33.33%,334.14,6.23
assassin's creed,21,1.19,0.00%,40.00%,117.95,6.14
brahms johanne,21,1.52,0.00%,3.13%,2720.19,44.71
major crimes,21,1.1,14.29%,60.87%,194.0,2.71
mark manson,21,1.43,0.00%,46.67%,158.62,3.52
patrick senecal,21,1.52,9.52%,21.88%,327.9,10.48
sharko,21,1.24,23.81%,34.62%,93.48,6.24
silicon valley,21,1.0,4.76%,85.71%,40.05,1.43
star trek,21,1.33,0.00%,67.86%,370.76,12.24
sylvain tesson,21,1.33,14.29%,35.71%,132.81,5.1
tfi,21,2.62,14.29%,12.73%,435.14,14.62
the crown,21,1.0,9.52%,66.67%,171.1,3.57
tim murphy,21,1.24,42.86%,38.46%,244.14,1.81
veep,21,1.24,4.76%,38.46%,109.81,4.86
1:54,20,1.25,0.00%,68.00%,195.5,4.3
aliocha,20,1.05,0.00%,80.95%,242.7,1.7
allied,20,1.4,0.00%,71.43%,210.45,6.95
arca,20,1.15,0.00%,78.26%,76.2,2.8
breaking bad,20,1.2,0.00%,37.50%,231.9,6.65
connelly,20,1.25,0.00%,64.00%,282.15,9.45
criterion,20,1.45,0.00%,24.14%,323.05,15.15
cuisine,20,1.45,5.00%,55.17%,433.55,14.5
dexter,20,1.8,10.00%,38.89%,115.2,5.25
drake,20,1.2,0.00%,54.17%,307.4,11.45
happy valley,20,1.1,10.00%,72.73%,155.15,1.1
les figures de l'ombre,20,1.15,15.00%,47.83%,226.3,2.15
manchester by the sea,20,1.1,0.00%,72.73%,147.65,4.5
Michael Connelly,20,1.15,0.00%,69.57%,240.25,7.75
minecraft,20,2.2,0.00%,38.64%,341.6,12.05
orphan black,20,1.4,0.00%,57.14%,147.35,5.55
philip kerr,20,1.4,0.00%,35.71%,243.9,7.05
roman,20,1.1,5.00%,45.45%,505.35,14.35
roman sentimental,20,1.45,0.00%,3.45%,597.4,17.1
the walking dead,20,1.2,5.00%,50.00%,65.0,4.2
tom cruise,20,1.2,0.00%,79.17%,170.75,11.8
tortue rouge,20,1.3,5.00%,23.08%,237.5,5.5
((TypeOfDocumentFacet=Livres_numeriques) and (TypeContentLimit=romans) not ((OFF=f) or (OFF=s))) not RELB=m,19,1.16,5.26%,40.91%,249.11,8.21
billions,19,1.21,0.00%,60.87%,363.26,4.95
blacklist,19,1.21,15.79%,65.22%,273.79,7.53
brooklyn,19,1.11,0.00%,71.43%,221.05,5.42
chicago,19,1.11,5.26%,80.95%,346.68,9.74
diana krall,19,1.11,0.00%,61.90%,91.68,4.63
father john misty,19,1.42,10.53%,48.15%,169.95,4.32
ghost in the shell,19,1.21,0.00%,69.57%,114.74,4.05
gold,19,1.11,5.26%,71.43%,486.16,10.47
Harry Potter,19,1.11,0.00%,61.90%,204.11,7.26
