Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£),Unnamed: 10,Unnamed: 11,Unnamed: 12
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,09.03.2018,16.04.2018,GPC03180000088,28.77,,,
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Environmental Services Technical Equipment ,08.03.2018,16.04.2018,GPC03180000089,7.74,,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Furniture and Equipment,Environmental Services Technical Equipment ,08.03.2018,16.04.2018,GPC03180000090,34.50,,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Furniture and Equipment,Environmental Services Technical Equipment ,08.03.2018,16.04.2018,GPC03180000091,25.50,,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Furniture and Equipment,Environmental Services Technical Equipment ,08.03.2018,16.04.2018,GPC03180000092,6.10,,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Furniture and Equipment,Environmental Services Technical Equipment ,08.03.2018,16.04.2018,GPC03180000093,41.26,,,
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Environmental Services Technical Equipment ,07.03.2018,16.04.2018,GPC03180000094,27.09,,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,KWIK FIT,Repairs and Maintenance,"Works - Construction, Repair & Maintenance  ",27.03.2018,16.04.2018,GPC03180000095,154.37,,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TVLICENSING.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,16.03.2018,16.04.2018,GPC03180000096,147.00,,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,ARGOS RETAIL GROUP,Furniture and Equipment,Environmental Services Technical Equipment ,07.03.2018,16.04.2018,GPC03180000097,39.99,,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,IAPP,Staff Training,Human Resources  ,16.03.2018,16.04.2018,GPC03180000098,752.35,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.BARPROFESSIONALTRA,Legal Fees,Legal Services  ,02.03.2018,16.04.2018,GPC03180000099,246.00,,,
Stockport MBC,Services to People,Public Health,THE BEAD SHOP LTD,Office Expenses,Stationery    ,29.03.2018,16.04.2018,GPC03180000100,-5.67,,,
Stockport MBC,Services to People,Public Health,THE BEAD SHOP LTD,Office Expenses,Stationery    ,29.03.2018,16.04.2018,GPC03180000101,56.63,,,
Stockport MBC,Corporate and Support Services,Planning Services,CO-OP GROUP 070280,Publicity and Promotion,Arts & Leisure Services  ,20.03.2018,16.04.2018,GPC03180000102,10.09,,,
Stockport MBC,Corporate and Support Services,Planning Services,W M MORRISON PLC,Publicity and Promotion,Arts & Leisure Services  ,15.03.2018,16.04.2018,GPC03180000103,13.38,,,
Stockport MBC,Corporate and Support Services,Planning Services,APL /METROTAX,Publicity and Promotion,Arts & Leisure Services  ,07.03.2018,16.04.2018,GPC03180000104,13.70,,,
Stockport MBC,Corporate and Support Services,Planning Services,APL /METROTAX,Publicity and Promotion,Arts & Leisure Services  ,07.03.2018,16.04.2018,GPC03180000105,13.90,,,
Stockport MBC,Services to People,Childrens & Educational Services,LAEKING LIMITED,Office Expenses,Stationery    ,05.03.2018,16.04.2018,GPC03180000106,320.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Catering Supplies,Catering Food & Beverages ,27.03.2018,16.04.2018,GPC03180000107,4.78,,,
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Environmental Services Technical Equipment ,27.03.2018,16.04.2018,GPC03180000108,38.90,,,
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Environmental Services Technical Equipment ,27.03.2018,16.04.2018,GPC03180000109,12.99,,,
Stockport MBC,Services to People,Childrens & Educational Services,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,26.03.2018,16.04.2018,GPC03180000110,115.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,PAYPAL  MCR PHYSIO,Staff Training,Human Resources  ,14.03.2018,16.04.2018,GPC03180000111,30.00,,,
Stockport MBC,Services to People,Adult Social Care,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,19.03.2018,16.04.2018,GPC03180000112,88.90,,,
Stockport MBC,Services to People,Childrens & Educational Services,POST OFFICE COUNTER,Office Expenses,Mail Services   ,27.03.2018,16.04.2018,GPC03180000113,14.94,,,
