Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£),Unnamed: 10,Unnamed: 11,Unnamed: 12
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Furniture and Equipment,Furniture & Soft Furnishings  ,14.03.2018,16.04.2018,GPC03180000206,16.90,,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 5128,Catering Supplies,Catering Food & Beverages ,28.03.2018,16.04.2018,GPC03180000207,9.24,,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,26.03.2018,16.04.2018,GPC03180000208,57.11,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,26.03.2018,16.04.2018,GPC03180000209,84.49,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,26.03.2018,16.04.2018,GPC03180000210,-2.67,,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,21.03.2018,16.04.2018,GPC03180000211,6.88,,,
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Catering Supplies,Catering Food & Beverages ,21.03.2018,16.04.2018,GPC03180000212,83.97,,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,20.03.2018,16.04.2018,GPC03180000213,73.91,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Catering Supplies,Catering Food & Beverages ,19.03.2018,16.04.2018,GPC03180000214,-0.50,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Catering Supplies,Catering Food & Beverages ,19.03.2018,16.04.2018,GPC03180000215,46.54,,,
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 84 773,Catering Supplies,Catering Food & Beverages ,19.03.2018,16.04.2018,GPC03180000216,16.37,,,
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 84 773,Catering Supplies,Catering Food & Beverages ,15.03.2018,16.04.2018,GPC03180000217,8.09,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,12.03.2018,16.04.2018,GPC03180000218,71.54,,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,12.03.2018,16.04.2018,GPC03180000219,81.61,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA SUPERSTORE,Catering Supplies,Catering Food & Beverages ,07.03.2018,16.04.2018,GPC03180000220,12.86,,,
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 84 773,Catering Supplies,Catering Food & Beverages ,05.03.2018,16.04.2018,GPC03180000221,30.09,,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,30.03.2018,16.04.2018,GPC03180000222,229.50,,,
Stockport MBC,Services to People,Childrens & Educational Services,H TEMPEST LIMITED,Care Payments,Social Community Care Supplies & Services  ,29.03.2018,16.04.2018,GPC03180000223,44.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,MCDONALDS,Publicity and Promotion,Arts & Leisure Services  ,31.03.2018,16.04.2018,GPC03180000224,11.77,,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 5128,Catering Supplies,Catering Food & Beverages ,31.03.2018,16.04.2018,GPC03180000225,142.19,,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO PFS 4032,Fuel,Vehicle Management Fuel ,31.03.2018,16.04.2018,GPC03180000226,91.02,,,
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Furniture & Soft Furnishings  ,31.03.2018,16.04.2018,GPC03180000227,56.97,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Care Payments,Social Community Care Supplies & Services  ,29.03.2018,16.04.2018,GPC03180000228,35.98,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON DIGITAL SVCS,Publicity and Promotion,Arts & Leisure Services  ,29.03.2018,16.04.2018,GPC03180000229,3.99,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,28.03.2018,16.04.2018,GPC03180000230,49.49,,,
Stockport MBC,Services to People,Childrens & Educational Services,PARENTPAY E-COM R,Catering Supplies,Catering Food & Beverages ,27.03.2018,16.04.2018,GPC03180000231,20.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 2629,Catering Supplies,Catering Food & Beverages ,27.03.2018,16.04.2018,GPC03180000232,26.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,26.03.2018,16.04.2018,GPC03180000233,172.30,,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,26.03.2018,16.04.2018,GPC03180000234,31.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 5128,Catering Supplies,Catering Food & Beverages ,23.03.2018,16.04.2018,GPC03180000235,142.40,,,
Stockport MBC,Services to People,Childrens & Educational Services,LIFE LEISURE,Publicity and Promotion,Arts & Leisure Services  ,23.03.2018,16.04.2018,GPC03180000236,115.20,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.KNOWSLEY.COM,Publicity and Promotion,Arts & Leisure Services  ,24.03.2018,16.04.2018,GPC03180000237,10.80,,,
Stockport MBC,Services to People,Childrens & Educational Services,PAYPAL  E121RETAILG,Furniture and Equipment,Environmental Services Technical Equipment ,23.03.2018,16.04.2018,GPC03180000238,20.70,,,
Stockport MBC,Services to People,Childrens & Educational Services,J D SPORTS 18,Care Payments,Social Community Care Supplies & Services  ,24.03.2018,16.04.2018,GPC03180000239,245.05,,,
Stockport MBC,Services to People,Childrens & Educational Services,NETFLIX.COM,Information and Communications Technology,Information Communication Technology  ,26.03.2018,16.04.2018,GPC03180000240,9.99,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.GROUPON.CO.UK,Publicity and Promotion,Arts & Leisure Services  ,25.03.2018,16.04.2018,GPC03180000241,36.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.GROUPON.CO.UK,Publicity and Promotion,Arts & Leisure Services  ,25.03.2018,16.04.2018,GPC03180000242,22.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.GROUPON.CO.UK,Publicity and Promotion,Arts & Leisure Services  ,25.03.2018,16.04.2018,GPC03180000243,10.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,SCHOOLLEAVERSCOMPANY.C,Care Payments,Social Community Care Supplies & Services  ,22.03.2018,16.04.2018,GPC03180000244,19.90,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.GROUPON.CO.UK,Publicity and Promotion,Arts & Leisure Services  ,21.03.2018,16.04.2018,GPC03180000245,49.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,21.03.2018,16.04.2018,GPC03180000246,159.78,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.TALKTALKBUSINESS.C,Information and Communications Technology,Information Communication Technology  ,20.03.2018,16.04.2018,GPC03180000247,75.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Care Payments,Social Community Care Supplies & Services  ,20.03.2018,16.04.2018,GPC03180000248,10.99,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.KNOWSLEY.COM,Publicity and Promotion,Arts & Leisure Services  ,19.03.2018,16.04.2018,GPC03180000249,35.60,,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 5128,Catering Supplies,Catering Food & Beverages ,17.03.2018,16.04.2018,GPC03180000250,106.05,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.TALKTALKBUSINESS.C,Fees and Charges,Financial Services  ,13.03.2018,16.04.2018,GPC03180000251,45.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 5128,Catering Supplies,Catering Food & Beverages ,12.03.2018,16.04.2018,GPC03180000252,95.77,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,09.03.2018,16.04.2018,GPC03180000253,20.97,,,
Stockport MBC,Services to People,Childrens & Educational Services,JUMP HEAVEN ONLINE,Publicity and Promotion,Arts & Leisure Services  ,09.03.2018,16.04.2018,GPC03180000254,30.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,10.03.2018,16.04.2018,GPC03180000255,143.83,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Care Payments,Social Community Care Supplies & Services  ,07.03.2018,16.04.2018,GPC03180000256,21.98,,,
Stockport MBC,Services to People,Childrens & Educational Services,PARENTPAY E-COM R,Catering Supplies,Catering Food & Beverages ,06.03.2018,16.04.2018,GPC03180000257,20.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,SCHOOLGATEWAY.COM,Catering Supplies,Catering Food & Beverages ,06.03.2018,16.04.2018,GPC03180000258,150.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,06.03.2018,16.04.2018,GPC03180000259,109.19,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMZ MEDISUPPLIES,Care Payments,Social Community Care Supplies & Services  ,02.03.2018,16.04.2018,GPC03180000260,11.98,,,
Stockport MBC,Services to People,Adult Social Care,STOCKPORT NHS FOUNDATI,Mileage Claims /Allowances,Human Resources Travel & Subsistence ,28.03.2018,16.04.2018,GPC03180000261,3.50,,,
Stockport MBC,Services to People,Adult Social Care,STOCKPORT NHS FOUNDATI,Mileage Claims /Allowances,Human Resources Travel & Subsistence ,14.03.2018,16.04.2018,GPC03180000262,3.50,,,
Stockport MBC,Services to People,Adult Social Care,STOCKPORT NHS FOUNDATI,Mileage Claims /Allowances,Human Resources Travel & Subsistence ,09.03.2018,16.04.2018,GPC03180000263,5.50,,,
Stockport MBC,Services to People,Adult Social Care,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,08.03.2018,16.04.2018,GPC03180000264,12.20,,,
Stockport MBC,Services to People,Adult Social Care,STOCKPORT NHS FOUNDATI,Mileage Claims /Allowances,Human Resources Travel & Subsistence ,02.03.2018,16.04.2018,GPC03180000265,3.50,,,
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS RETAIL GROUP,Furniture and Equipment,Environmental Services Technical Equipment ,28.03.2018,16.04.2018,GPC03180000266,43.99,,,
Stockport MBC,Services to People,Adult Social Care,WWW.UCLAN.AU.UK,Fees and Charges,Human Resources Training & Conferences ,05.03.2018,16.04.2018,GPC03180000267,90.00,,,
Stockport MBC,Services to People,Adult Social Care,WWW.UCLAN.AU.UK,Fees and Charges,Human Resources Training & Conferences ,05.03.2018,16.04.2018,GPC03180000268,90.00,,,
Stockport MBC,Services to People,Adult Social Care,WWW.UCLAN.AU.UK,Fees and Charges,Human Resources Training & Conferences ,05.03.2018,16.04.2018,GPC03180000269,90.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,LUL TICKET MACHINE,Travelling Expenses,Human Resources Travel & Subsistence ,26.03.2018,16.04.2018,GPC03180000270,29.40,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK VNW7HF2VH2,Publicity and Promotion,Facilities & Management Services  ,31.03.2018,16.04.2018,GPC03180000271,133.71,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK XNW7HF2VH2,Publicity and Promotion,Facilities & Management Services  ,31.03.2018,16.04.2018,GPC03180000272,6.36,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,CHARGE.ELASTIC.CO,Information and Communications Technology,Information Communication Technology  ,01.04.2018,16.04.2018,GPC03180000273,10.71,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 74FT8FSUH2,Publicity and Promotion,Facilities & Management Services  ,29.03.2018,16.04.2018,GPC03180000274,18.98,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,GITHUB.COM  AQ5H3,Information and Communications Technology,Information Communication Technology  ,28.03.2018,16.04.2018,GPC03180000275,149.74,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 64FT8FSUH2,Publicity and Promotion,Facilities & Management Services  ,29.03.2018,16.04.2018,GPC03180000276,581.02,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,AMAZON EU,Furniture and Equipment,Environmental Services Technical Equipment ,22.03.2018,16.04.2018,GPC03180000277,39.77,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,19.03.2018,16.04.2018,GPC03180000278,9.39,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,13.03.2018,16.04.2018,GPC03180000279,8.91,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.CONTENTFUL.COM,Information and Communications Technology,Information Communication Technology  ,10.03.2018,16.04.2018,GPC03180000280,705.82,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,05.03.2018,16.04.2018,GPC03180000281,44.86,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,CHARGE.ELASTIC.CO,Information and Communications Technology,Information Communication Technology  ,02.03.2018,16.04.2018,GPC03180000282,39.63,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,AMAZON MKTPLACE PMTS,Information and Communications Technology,Information Communication Technology  ,03.03.2018,16.04.2018,GPC03180000283,658.78,,,
Stockport MBC,Corporate and Support Services,Cultural & Related Services,AMAZON EU,Library Equipment,Education Library Books ,14.03.2018,16.04.2018,GPC03180000284,7.98,,,
Stockport MBC,Corporate and Support Services,Cultural & Related Services,AMAZON EU,Library Equipment,Education Library Books ,13.03.2018,16.04.2018,GPC03180000285,116.85,,,
Stockport MBC,Corporate and Support Services,Cultural & Related Services,AMAZON UK MARKETPLACE,Library Equipment,Education Library Books ,12.03.2018,16.04.2018,GPC03180000286,12.79,,,
Stockport MBC,Corporate and Support Services,Cultural & Related Services,AMAZON UK MARKETPLACE,Library Equipment,Education Library Books ,12.03.2018,16.04.2018,GPC03180000287,7.34,,,
Stockport MBC,Corporate and Support Services,Cultural & Related Services,WWW.GENFAIR.CO.UK,Library Equipment,Education Library Books ,12.03.2018,16.04.2018,GPC03180000288,19.15,,,
Stockport MBC,Corporate and Support Services,Cultural & Related Services,EB  SOCIETY OF CHIEF L,Publicity and Promotion,Arts & Leisure Services  ,08.03.2018,16.04.2018,GPC03180000289,67.50,,,
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 2 773,Catering Supplies,Catering Food & Beverages ,28.03.2018,16.04.2018,GPC03180000290,23.98,,,
Stockport MBC,Services to People,Childrens & Educational Services,EB  SUPPORTING DEAF ST,Staff Training,Human Resources  ,19.03.2018,16.04.2018,GPC03180000291,190.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,PARK INN NOTTINGHAM,Care Payments,Social Community Care Supplies & Services  ,15.03.2018,16.04.2018,GPC03180000292,59.40,,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,14.03.2018,16.04.2018,GPC03180000293,37.50,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Office Expenses,Stationery    ,08.03.2018,16.04.2018,GPC03180000294,25.42,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Office Expenses,Stationery    ,07.03.2018,16.04.2018,GPC03180000295,2.25,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Office Expenses,Stationery    ,07.03.2018,16.04.2018,GPC03180000296,14.50,,,
Stockport MBC,Services to People,Childrens & Educational Services,MIMEO,Library Equipment,Education Library Books ,21.03.2018,16.04.2018,GPC03180000297,220.07,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Furniture and Equipment,Environmental Services Technical Equipment ,21.03.2018,16.04.2018,GPC03180000298,117.49,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.TOGGLER-UK.COM,Furniture and Equipment,Environmental Services Technical Equipment ,28.03.2018,16.04.2018,GPC03180000299,85.95,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,THE REPLACE BASE LTD,Furniture and Equipment,Environmental Services Technical Equipment ,27.03.2018,16.04.2018,GPC03180000300,339.69,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,THE REPLACE BASE LTD,Furniture and Equipment,Environmental Services Technical Equipment ,02.03.2018,16.04.2018,GPC03180000301,29.08,,,
Stockport MBC,Services to Place,Housing (General Fund) Services,CIEH,Staff Training,Human Resources  ,29.03.2018,16.04.2018,GPC03180000302,378.00,,,
Stockport MBC,Services to Place,Environmental & Regulatory Services,CIEH,Staff Training,Human Resources  ,27.03.2018,16.04.2018,GPC03180000303,578.00,,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,22.03.2018,16.04.2018,GPC03180000304,18.75,,,
Stockport MBC,Services to Place,Highways & Transport Services,CITB,Staff Training,Human Resources  ,21.03.2018,16.04.2018,GPC03180000305,90.00,,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,21.03.2018,16.04.2018,GPC03180000306,8.75,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,15.03.2018,16.04.2018,GPC03180000307,58.20,,,
Stockport MBC,Services to Place,Highways & Transport Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,15.03.2018,16.04.2018,GPC03180000308,220.20,,,
Stockport MBC,Services to Place,Highways & Transport Services,VUE NCS CITB HS&E TEST,Staff Training,Human Resources  ,13.03.2018,16.04.2018,GPC03180000309,136.50,,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,12.03.2018,16.04.2018,GPC03180000310,190.95,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.03.2018,16.04.2018,GPC03180000311,311.30,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.03.2018,16.04.2018,GPC03180000312,157.20,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.03.2018,16.04.2018,GPC03180000313,157.20,,,
Stockport MBC,Corporate and Support Services,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.03.2018,16.04.2018,GPC03180000314,25.05,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.03.2018,16.04.2018,GPC03180000315,6.65,,,
Stockport MBC,Services to Place,Highways & Transport Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.03.2018,16.04.2018,GPC03180000316,16.15,,,
Stockport MBC,Services to Place,Highways & Transport Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.03.2018,16.04.2018,GPC03180000317,35.25,,,
Stockport MBC,Corporate and Support Services,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.03.2018,16.04.2018,GPC03180000318,-162.60,,,
Stockport MBC,Services to Place,Highways & Transport Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,05.03.2018,16.04.2018,GPC03180000319,161.50,,,
Stockport MBC,Services to Place,Highways & Transport Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,05.03.2018,16.04.2018,GPC03180000320,18.65,,,
Stockport MBC,Corporate and Support Services,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,05.03.2018,16.04.2018,GPC03180000321,7.35,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,05.03.2018,16.04.2018,GPC03180000322,187.20,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,05.03.2018,16.04.2018,GPC03180000323,594.10,,,
Stockport MBC,Services to Place,Highways & Transport Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,05.03.2018,16.04.2018,GPC03180000324,83.90,,,
Stockport MBC,Services to Place,Highways & Transport Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,05.03.2018,16.04.2018,GPC03180000325,161.50,,,
Stockport MBC,Services to Place,Highways & Transport Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,05.03.2018,16.04.2018,GPC03180000326,161.50,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,05.03.2018,16.04.2018,GPC03180000327,83.80,,,
Stockport MBC,Corporate and Support Services,Planning Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,05.03.2018,16.04.2018,GPC03180000328,177.10,,,
Stockport MBC,Services to Place,Highways & Transport Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,05.03.2018,16.04.2018,GPC03180000329,161.50,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,05.03.2018,16.04.2018,GPC03180000330,37.50,,,
Stockport MBC,Services to People,Adult Social Care,APPNA CASH & CARRY (MA,Catering Supplies,Adult Social Care,01.04.2018,16.04.2018,GPC03180000331,23.37,,,
