ï»¿FSCL_YR,MINC,MINE,DepartmentNumber-NumÃ©ro-de-MinistÃ¨re,DEPT_EN_DESC,OBJ_CD,OBJ_EN_NM,AGRG_PYMT_AMT
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,394.96
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,71.94
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,16556.22
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1222,"Data(message/text, & computer)comm.equip",2935.14
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1223,Image/video equipment,208.26
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1223,Image/video equipment,359.0
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1225,Telecommunication equipment parts,49.98
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1225,Telecommunication equipment parts,3416.38
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1226,Computer equip.-large/med.mainframe-mini,150000.0
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,69.99
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,194551.12
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1228,Computer software,653.58
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1228,Computer software,753620.78
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1229,Computer equipment parts,55809.06
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",4665.68
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",2855.55
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",418.0
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",136.75
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",137981.64
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,548.6
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,228.0
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,22390.33
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1261,Road motor vehicles,112788.5
2011/2012,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1263,Road motor vehicles parts,6251.48
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1211,Special industry machinery,14001.0
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1211,Special industry machinery,5695.0
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",1859.08
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",2608.9
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",301.78
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",59.96
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",849.99
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",8573.11
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",53.8
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",34061.94
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",61431.35
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",3264.33
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",136692.1
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",133363.12
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",41.82
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1219,Other machinery and parts,46740.29
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1219,Other machinery and parts,74818.92
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1219,Other machinery and parts,155795.1
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1219,Other machinery and parts,53100.0
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1219,Other machinery and parts,2145737.1
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1219,Other machinery and parts,219468.61
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1219,Other machinery and parts,68416.0
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1219,Other machinery and parts,162549.16
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1221,Voice communications equipment,14290.92
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1221,Voice communications equipment,350.77
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1221,Voice communications equipment,4019.17
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1221,Voice communications equipment,1247.38
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1221,Voice communications equipment,12588.59
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1221,Voice communications equipment,1819.07
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1221,Voice communications equipment,1244.35
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1221,Voice communications equipment,24832.78
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1221,Voice communications equipment,14649.92
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1221,Voice communications equipment,1489.95
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1221,Voice communications equipment,41393.02
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1221,Voice communications equipment,789.96
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1221,Voice communications equipment,222846.2
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",12756.6
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",35680.0
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",5027.99
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",130.0
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",273.0
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",18552.78
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",204.99
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",79.98
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",89387.17
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",5361.22
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",6211.19
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",124070.77
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",48302.44
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",5433.0
2011/2012,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1223,Image/video equipment,8095.38
