Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Services to the public,WWW.ARGOS.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,12.06.2019,16.07.2019,GPC06190000001,38.94
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK V9WSPLAUU2,Publicity and Promotion,Facilities & Management Services  ,30.06.2019,16.07.2019,GPC06190000002,262.38
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  JWB58N2MG2,Publicity and Promotion,Facilities & Management Services  ,30.06.2019,16.07.2019,GPC06190000003,571.68
Stockport MBC,Corporate and Support Services,Central Support Costs,TYPEFORM S.L,Publicity and Promotion,Facilities & Management Services  ,28.06.2019,16.07.2019,GPC06190000004,458.33
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  DVTBJLJMG2,Publicity and Promotion,Facilities & Management Services  ,31.05.2019,16.07.2019,GPC06190000005,262.87
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK MYR3KLNTU2,Publicity and Promotion,Facilities & Management Services  ,31.05.2019,16.07.2019,GPC06190000006,280.51
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,01.07.2019,16.07.2019,GPC06190000007,19.71
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,28.06.2019,16.07.2019,GPC06190000008,20.67
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,27.06.2019,16.07.2019,GPC06190000009,15.7
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,26.06.2019,16.07.2019,GPC06190000010,16.57
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,25.06.2019,16.07.2019,GPC06190000011,10.73
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,24.06.2019,16.07.2019,GPC06190000012,14.19
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,18.06.2019,16.07.2019,GPC06190000013,9.13
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,17.06.2019,16.07.2019,GPC06190000014,17.59
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,14.06.2019,16.07.2019,GPC06190000015,7.7
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.06.2019,16.07.2019,GPC06190000016,20.78
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,12.06.2019,16.07.2019,GPC06190000017,14.81
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,11.06.2019,16.07.2019,GPC06190000018,5.97
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,11.06.2019,16.07.2019,GPC06190000019,1.3
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,10.06.2019,16.07.2019,GPC06190000020,27.22
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,06.06.2019,16.07.2019,GPC06190000021,9.65
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.06.2019,16.07.2019,GPC06190000022,26.14
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.06.2019,16.07.2019,GPC06190000023,4.3
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,04.06.2019,16.07.2019,GPC06190000024,16.97
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,03.06.2019,16.07.2019,GPC06190000025,22.48
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,12.06.2019,16.07.2019,GPC06190000026,92.9
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,03.06.2019,16.07.2019,GPC06190000027,80.85
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON PRIME M64RF6Z64,Furniture and Equipment,Environmental Services Technical Equipment ,10.06.2019,16.07.2019,GPC06190000028,7.99
Stockport MBC,Services to People,Childrens & Educational Services,ENVIRONMENT AGENCY,Publicity and Promotion,Arts & Leisure Services  ,05.06.2019,16.07.2019,GPC06190000029,30.0
Stockport MBC,Services to People,Childrens & Educational Services,ENVIRONMENT AGENCY,Publicity and Promotion,Arts & Leisure Services  ,05.06.2019,16.07.2019,GPC06190000030,30.0
Stockport MBC,Services to People,Childrens & Educational Services,ENVIRONMENT AGENCY,Publicity and Promotion,Arts & Leisure Services  ,05.06.2019,16.07.2019,GPC06190000031,30.0
