ticket_id,issue_type,ticket_created_date_time,ticket_closed_date_time,ticket_status,neighborhood_district,city,state,case_title
101000344476,Residential Recycling Programs,12/26/2014 03:04:51 PM,01/13/2015 11:01:43 AM,Closed,BROADMOOR,NEW ORLEANS,LA,New Recycling Cart
101000434575,Abandoned Vehicle Reporting/Removal,07/30/2015 02:15:00 PM,07/31/2015 03:12:15 PM,Closed,MILAN,NEW ORLEANS,LA,Abandoned Vehicle Stickered (5-day sticker)
101000401070,Code Enforcement General Request,05/18/2015 11:37:00 AM,05/18/2015 01:19:55 PM,Closed,FLORIDA AREA,NEW ORLEANS,LA,Code Enforcement General Request
101000279571,Code Enforcement General Request,07/02/2014 02:33:00 PM,07/03/2014 10:15:01 AM,Closed,DESIRE AREA,NEW ORLEANS,LA,Code Enforcement General Request
101000859679,Trash/Garbage Pickup,09/17/2018 03:55:12 PM,09/20/2018 11:04:42 AM,Closed,WEST END,NEW ORLEANS,LA,Start Trash Service
101000272461,Street Light,06/16/2014 04:49:05 PM,10/22/2014 11:45:17 AM,Closed,READ BLVD EAST,NEW ORLEANS,LA,Streetlight - Outage Or Cycling
101000821639,Traffic Signal,06/21/2018 10:15:38 AM,06/21/2018 10:15:54 AM,Closed,WEST END,NEW ORLEANS,LA,Traffic Signal
101000695337,Illegal Dumping Reporting,06/22/2017 10:48:00 AM,07/19/2017 09:34:57 AM,Closed,TALL TIMBERS - BRECHTEL,NEW ORLEANS,LA,Illegal Dumping Report
101000554937,Residential Recycling Programs,06/17/2016 09:39:52 AM,06/28/2016 08:22:14 AM,Closed,WEST RIVERSIDE,NEW ORLEANS,LA,New Recycling Cart
101000671979,Code Enforcement General Request,04/21/2017 10:28:00 AM,04/21/2017 11:08:29 AM,Closed,READ BLVD WEST,NEW ORLEANS,LA,Code Enforcement General Request
101000861021,Code Enforcement General Request,09/19/2018 03:04:00 PM,09/19/2018 04:50:53 PM,Closed,SEVENTH WARD,NEW ORLEANS,LA,Code Enforcement General Request
101000448696,Street Light,09/01/2015 11:29:38 AM,10/14/2015 08:51:07 AM,Closed,CENTRAL CITY,NEW ORLEANS,LA,Streetlight - Outage Or Cycling
101000823543,Code Enforcement General Request,06/26/2018 09:23:00 AM,06/26/2018 02:04:03 PM,Closed,DESIRE AREA,NEW ORLEANS,LA,Code Enforcement General Request
101000717498,Trash/Garbage Pickup,08/14/2017 02:58:04 PM,09/21/2017 01:42:14 PM,Closed,SEVENTH WARD,NEW ORLEANS,LA,Replace Trash Cart
101000766595,Large Item Trash/Garbage Pickup,01/12/2018 04:08:36 PM,01/15/2018 11:35:02 AM,Closed,MID-CITY,NEW ORLEANS,LA,Large Item Trash/Garbage Pickup
101000788007,Pothole/Roadway Surface Repair,03/20/2018 10:44:00 AM,03/23/2018 09:20:49 AM,Closed,VIAVANT - VENETIAN ISLES,NEW ORLEANS,LA,Pothole/Roadway Surface Repair (District E)
101000451378,Street Flooding/Drainage,09/09/2015 12:27:00 PM,09/11/2015 11:06:35 AM,Closed,SEVENTH WARD,NEW ORLEANS,LA,Ditch - Build Up
101000540942,Tree Service,05/13/2016 09:03:00 AM,05/18/2016 12:46:30 PM,Closed,PINES VILLAGE,NEW ORLEANS,LA,Tree Service
101000815180,Code Enforcement General Request,06/06/2018 09:55:00 AM,06/06/2018 11:36:03 AM,Closed,CENTRAL CITY,NEW ORLEANS,LA,Code Enforcement General Request
101000488929,Catch Basin Maintenance,12/23/2015 09:40:00 AM,03/02/2016 09:15:34 AM,Closed,TALL TIMBERS - BRECHTEL,NEW ORLEANS,LA,Catch Basin - Clogged
101000697536,Code Enforcement General Request,06/28/2017 10:19:00 AM,06/28/2017 10:40:23 AM,Closed,PINES VILLAGE,NEW ORLEANS,LA,Code Enforcement General Request
101000049329,Street Light,09/05/2012 02:21:13 PM,02/22/2013 12:12:52 PM,Closed,EAST CARROLLTON,NEW ORLEANS,LA,Non-urgent: Outage Or Cycling
101000284961,Trash/Garbage Pickup,07/16/2014 04:08:27 PM,08/14/2014 05:40:16 PM,Closed,LAKEVIEW,NEW ORLEANS,LA,Start Trash Service
101000690812,Code Enforcement General Request,06/09/2017 02:47:00 PM,06/09/2017 03:53:44 PM,Closed,OLD AURORA,NEW ORLEANS,LA,Code Enforcement General Request
101000817613,Abandoned Vehicle Reporting/Removal,06/12/2018 01:10:00 PM,11/26/2018 02:46:06 PM,Closed,ST. CLAUDE,NEW ORLEANS,LA,Junked Vehicle
101000890481,Dead Animal Pickup,12/10/2018 08:02:48 AM,12/10/2018 12:25:41 PM,Closed,TALL TIMBERS - BRECHTEL,NEW ORLEANS,LA,Dead Animal Pickup - Dog
101000688459,Abandoned Vehicle Reporting/Removal,06/05/2017 01:21:00 PM,06/13/2017 12:25:51 PM,Closed,MID-CITY,NEW ORLEANS,LA,Vehicle Tires Chalked
101000093850,Sidewalk Repair,01/08/2013 04:06:54 PM,01/10/2013 10:56:05 AM,Closed,CENTRAL BUSINESS DISTRICT,NEW ORLEANS,LA,Sidewalk - Unspecified
101000680789,Rodent Complaint,05/15/2017 01:07:09 PM,05/22/2017 03:55:00 PM,Closed,ST. ROCH,NEW ORLEANS,LA,Rodent Complaint
101000302392,Tree Service,08/27/2014 10:38:00 AM,11/12/2015 08:46:14 AM,Closed,CITY PARK,NEW ORLEANS,LA,Tree Service
101000549160,Residential Recycling Programs,06/03/2016 09:10:29 AM,06/17/2016 08:32:54 AM,Closed,LAKEVIEW,NEW ORLEANS,LA,New Recycling Cart
101000657865,Code Enforcement General Request,03/15/2017 02:34:00 PM,03/15/2017 03:56:17 PM,Closed,ALGIERS POINT,NEW ORLEANS,LA,Code Enforcement General Request
101000401255,Street Flooding/Drainage,05/18/2015 02:09:00 PM,12/01/2015 09:08:41 AM,Closed,MARLYVILLE - FONTAINBLEAU,NEW ORLEANS,LA,Catch Basin - Clogged
101000791369,Code Enforcement General Request,03/28/2018 12:11:00 PM,03/28/2018 01:02:44 PM,Closed,MARLYVILLE - FONTAINEBLEAU,NEW ORLEANS,LA,Code Enforcement General Request
101000468273,General Service Request,10/22/2015 02:38:23 PM,10/27/2015 11:26:39 AM,Closed,,,,Finance - Revenue
101000479624,Illegal Dumping Reporting,11/23/2015 08:09:00 AM,12/07/2015 10:14:50 AM,Closed,LEONIDAS,NEW ORLEANS,LA,Illegal Dumping Report
101000675148,Illegal Dumping Reporting,05/01/2017 10:21:57 AM,07/03/2017 04:34:50 PM,Closed,LITTLE WOODS,NEW ORLEANS,LA,Illegal Dumping Report
101000515144,Residential Recycling Programs,03/09/2016 11:52:46 AM,03/29/2016 09:07:56 AM,Closed,MID-CITY,NEW ORLEANS,LA,New Recycling Cart
101000424795,Residential Recycling Programs,07/08/2015 02:59:06 PM,08/04/2015 10:02:22 AM,Closed,TULANE - GRAVIER,NEW ORLEANS,LA,New Recycling Cart
101000094897,Abandoned Vehicle Reporting/Removal,01/11/2013 09:23:14 AM,01/16/2013 03:45:59 PM,Closed,WEST RIVERSIDE,NEW ORLEANS,LA,Abandoned Vehicle Reporting/Removal
101000609443,Trash/Garbage Pickup,10/24/2016 11:07:50 AM,10/29/2016 05:43:17 AM,Closed,BLACK PEARL,NEW ORLEANS,LA,Missed Collection
101000057972,Street Light,09/25/2012 10:02:28 AM,11/30/2012 09:16:34 AM,Closed,OLD AURORA,NEW ORLEANS,LA,Non-urgent: Outage Or Cycling
101000263945,Code Enforcement General Request,05/27/2014 01:29:00 PM,05/27/2014 02:28:15 PM,Closed,READ BLVD WEST,NEW ORLEANS,LA,Code Enforcement General Request
101000828287,Code Enforcement General Request,07/06/2018 11:52:00 AM,07/06/2018 02:18:11 PM,Closed,SEVENTH WARD,NEW ORLEANS,LA,Code Enforcement General Request
101000007724,Street Flooding/Drainage,04/16/2012 02:03:53 PM,06/28/2012 08:00:33 AM,Closed,MILNEBURG,NEW ORLEANS,LA,Street Flooding/Drainage (District D)
101000836483,Trash/Garbage Pickup,07/25/2018 10:26:20 AM,07/30/2018 05:13:28 PM,Closed,LAKEVIEW,NEW ORLEANS,LA,Missed Collection
101000713897,Abandoned Vehicle Reporting/Removal,08/07/2017 12:59:00 PM,08/30/2017 01:15:37 PM,Closed,MILNEBURG,NEW ORLEANS,LA,Junked Vehicle
