ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
tony robbins,23,1.3,0.00%,60.00%,312.96,6.7
ty segall,23,1.04,4.35%,91.67%,50.43,3.22
1:54,22,1.23,0.00%,55.56%,257.95,5.41
bates motel,22,1.18,4.55%,61.54%,221.91,4.55
blade runner,22,1.68,0.00%,40.54%,185.23,5.09
francois morency,22,1.09,4.55%,37.50%,80.32,4.0
le petit prince,22,1.14,0.00%,68.00%,451.59,9.32
manga,22,1.14,4.55%,60.00%,277.23,7.32
Marilyn veillette,22,1.55,13.64%,11.76%,81.09,4.14
mediafilm,22,1.0,0.00%,0.00%,29.77,1.05
murakami,22,1.36,0.00%,70.00%,152.0,6.5
once upon a time,22,1.14,0.00%,56.00%,211.82,6.55
Paul McCartney,22,1.05,0.00%,39.13%,93.09,4.95
peter peter,22,1.05,0.00%,78.26%,83.45,2.09
split,22,1.23,0.00%,55.56%,102.18,9.09
veep,22,1.32,0.00%,48.28%,92.68,5.32
aa,21,1.9,9.52%,7.50%,1205.71,28.29
assassin's creed,21,1.29,4.76%,51.85%,376.48,7.52
crochet,21,1.76,9.52%,40.54%,459.43,14.19
cuisine,21,1.48,4.76%,45.16%,290.38,7.33
dalida,21,1.33,9.52%,46.43%,313.05,7.71
downton abbey,21,1.38,4.76%,34.48%,236.48,11.38
fargo,21,1.33,9.52%,42.86%,95.86,2.52
House of cards,21,1.76,4.76%,29.73%,279.95,3.57
Independence day,21,1.52,0.00%,21.88%,385.57,15.24
indridason,21,1.33,4.76%,42.86%,378.19,8.9
jane austen,21,1.05,0.00%,68.18%,212.76,8.95
metallica,21,1.62,4.76%,50.00%,325.38,8.71
silicon valley,21,1.33,9.52%,39.29%,193.1,5.62
tarot,21,1.52,0.00%,40.63%,493.14,25.0
tricot,21,1.43,4.76%,53.33%,464.71,11.29
triplicate,21,1.05,23.81%,50.00%,113.33,1.48
underworld,21,1.24,9.52%,65.38%,238.48,7.29
archie,20,1.4,0.00%,50.00%,306.35,6.65
architecture,20,1.4,0.00%,57.14%,153.3,6.25
avatar,20,1.3,0.00%,57.69%,141.5,7.15
bine,20,1.15,0.00%,13.04%,85.3,2.15
chagall,20,1.45,0.00%,48.28%,603.6,16.25
chocolat,20,1.15,0.00%,73.91%,382.2,8.55
deadpool,20,1.1,0.00%,72.73%,405.0,5.7
excel,20,1.35,0.00%,44.44%,315.55,4.9
goldfrapp,20,1.05,15.00%,66.67%,75.85,3.2
gossip girl,20,1.15,0.00%,52.17%,232.55,4.55
hacksaw ridge,20,1.2,0.00%,66.67%,93.3,5.65
Harry Potter,20,1.15,0.00%,47.83%,233.65,6.7
HOW TO MAKE IT IN THE NEW MUSIC BUSINESS:,20,1.7,20.00%,58.82%,60.7,2.2
la voix policiere,20,2.2,5.00%,2.27%,18.55,2.6
