COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE
Sandy Creek Oil & Gas,Oswego,Sandy Creek,31075000000000,Wilder 0,UL,DH,-76.12433,43.621590000000005
Seneca Nation of Indians,Erie,Collins,31029600000000,Catt. Reservation 1671,UN,GD,-78.95865,42.50377
Unknown,Allegany,Alma,31003600000000,106 Road 596-2,UL,OD,-77.98463000000001,42.035851
NYS Natural Gas Corp.,Steuben,Woodhull,31101000000000,Reynolds & Bliss 1,UM,DH,-77.33006999999999,42.060359999999996
Unknown,Livingston,Avon,31051000000000,Avon Well,UL,GW,-77.72495,42.90821
"Property Shares, Inc.",Steuben,Thurston,31101000000000,Foster Est 1,UM,DW,-77.31822,42.19547
"Lee Oil Company, Inc.",Steuben,West Union,31101500000000,Rex 395,UM,NL,-77.69651999999999,42.091570000000004
Unknown,Allegany,Wirt,31003700000000,Crockett D 23,UN,NL,-78.17184,42.087002000000005
Belmont Quadrangle Drilling,Steuben,Jasper,31101000000000,Healy 1,UN,DW,-77.46659,42.16015
Unknown,Cattaraugus,Allegany,31009700000000,KC 240,UN,NL,-78.51,42.012699
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Rex 10,UL,NL,-77.6983,42.09321
NYS Natural Gas Corp.,Schuyler,Orange,31097000000000,Button 1,UM,DW,-77.06838,42.29875
Unknown,Erie,UNK,31029000000000,Voided Permit,UN,NL,,
Unknown,Cattaraugus,Allegany,31009700000000,KC 623,UN,NL,-78.52766,42.002964
Unknown,Allegany,Wirt,31003700000000,Schamberger J 49,UM,NL,-78.18745,42.090454
Unknown,Cattaraugus,Allegany,31009600000000,Kurty U22,UL,OD,-78.50511,42.0268
Unknown,Allegany,Alma,31003700000000,Root F 125,UM,NL,-78.05796,42.06414
Meridian Gas Co.,Onondaga,Lysander,31067000000000,Brooks,UM,GD,-76.31873,43.155609999999996
Unknown,Allegany,Alma,31003700000000,Root F 15,UM,NL,-78.05134,42.062805
Unknown,Allegany,Alma,31003700000000,Root K 61,UM,NL,-78.08115,42.060390000000005
"BDH Oil, Inc.",Cattaraugus,Allegany,31009700000000,Nichols Run 33,UL,OD,-78.55996,42.01891
Unknown,Allegany,Bolivar,31003700000000,PFG 102,UL,NL,-78.13714,42.070972999999995
Unknown,Ontario,West Bloomfield,31069000000000,Thompson 2,UM,GD,,
Unknown,Cattaraugus,Allegany,31009700000000,KC 468,UN,NL,-78.52264,42.004887
Unknown,Allegany,Bolivar,31003700000000,PFG 46,UM,NL,-78.13268000000001,42.074005
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley 309,UL,OD,-77.70767,42.094640000000005
Haskins Oil Co.,Allegany,Scio,31003600000000,Gowdy 026,UL,OD,-78.02071,42.089993
Unknown,Allegany,Bolivar,31003600000000,Phillips Farm 60,UL,OD,-78.11298000000001,42.082772
Unknown,Cattaraugus,Allegany,31009700000000,KC 851,UN,NL,-78.53746,42.007652
Case Oil Corp.,Allegany,Alma,31003600000000,Adrian 137,UL,OD,-78.05297,42.077384
Unknown,Erie,Newstead,31029000000000,Stuler Stueller,UN,GD,-78.50648000000001,42.96348
Unknown,Allegany,Alma,31003700000000,Root F 236,UL,NL,-78.06408,42.056939
