Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Services to the public,AMZN MKTP UK,Office Expenses,Stationery    ,30.08.2018,16.09.2018,GPC08180000001,53.98
Stockport MBC,Corporate and Support Services,Central Support Costs,TWITTER ONLINE ADS,Publicity and Promotion,Facilities & Management Services  ,20.08.2018,16.09.2018,GPC08180000002,79.0
Stockport MBC,Services to People,Childrens & Educational Services,TWINKL LTD,Fees and Charges,Financial Services  ,06.08.2018,16.09.2018,GPC08180000003,53.88
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,02.08.2018,16.09.2018,GPC08180000004,252.0
Stockport MBC,Services to People,Childrens & Educational Services,SERENATA FLOWERS,Expenses and Allowances,Human Resources Travel & Subsistence ,13.08.2018,16.09.2018,GPC08180000005,-15.0
Stockport MBC,Services to People,Childrens & Educational Services,EB  MISSING AND CHILD,Staff Training,Human Resources  ,13.08.2018,16.09.2018,GPC08180000006,59.0
Stockport MBC,Services to People,Childrens & Educational Services,EB  ADDRESSING YOUNG P,Staff Training,Human Resources  ,09.08.2018,16.09.2018,GPC08180000007,129.95
Stockport MBC,Corporate and Support Services,Central Support Costs,PC WORLD ONLINE,Information and Communications Technology,Information Communication Technology  ,29.08.2018,16.09.2018,GPC08180000008,32.18
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.ICO.GOV.UK,Expenses and Allowances,UNCLASSIFIED  ,08.08.2018,16.09.2018,GPC08180000009,40.0
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.ICO.GOV.UK,Expenses and Allowances,UNCLASSIFIED  ,08.08.2018,16.09.2018,GPC08180000010,40.0
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.ICO.GOV.UK,Expenses and Allowances,UNCLASSIFIED  ,08.08.2018,16.09.2018,GPC08180000011,40.0
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.ICO.GOV.UK,Expenses and Allowances,UNCLASSIFIED  ,08.08.2018,16.09.2018,GPC08180000012,40.0
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.ICO.GOV.UK,Expenses and Allowances,UNCLASSIFIED  ,08.08.2018,16.09.2018,GPC08180000013,40.0
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.ICO.GOV.UK,Expenses and Allowances,UNCLASSIFIED  ,08.08.2018,16.09.2018,GPC08180000014,40.0
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.ICO.GOV.UK,Expenses and Allowances,UNCLASSIFIED  ,08.08.2018,16.09.2018,GPC08180000015,40.0
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.ICO.GOV.UK,Expenses and Allowances,UNCLASSIFIED  ,08.08.2018,16.09.2018,GPC08180000016,40.0
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.ICO.GOV.UK,Expenses and Allowances,UNCLASSIFIED  ,08.08.2018,16.09.2018,GPC08180000017,40.0
Stockport MBC,Services to People,Childrens & Educational Services,AMZN MKTP UK,Library Equipment,Education Library Books ,24.08.2018,16.09.2018,GPC08180000018,118.44
Stockport MBC,Services to People,Childrens & Educational Services,AMZN MKTP UK,Furniture and Equipment,Furniture & Soft Furnishings  ,23.08.2018,16.09.2018,GPC08180000019,46.74
Stockport MBC,Services to People,Childrens & Educational Services,OUT OF THE ARK MUSIC,Library Equipment,Education Library Books ,23.08.2018,16.09.2018,GPC08180000020,11.95
Stockport MBC,Services to People,Childrens & Educational Services,AMZN MKTP UK,Furniture and Equipment,Furniture & Soft Furnishings  ,22.08.2018,16.09.2018,GPC08180000021,47.7
Stockport MBC,Services to People,Childrens & Educational Services,PSD - FRAUD PERM. CREDIT,Furniture and Equipment,Furniture & Soft Furnishings  ,04.08.2018,16.09.2018,GPC08180000022,-16.28
Stockport MBC,Services to People,Childrens & Educational Services,PSD - FRAUD PERM. CREDIT,Furniture and Equipment,Furniture & Soft Furnishings  ,29.07.2018,16.09.2018,GPC08180000023,-16.13
Stockport MBC,Services to People,Childrens & Educational Services,PSD - FRAUD PERM. CREDIT,Furniture and Equipment,Furniture & Soft Furnishings  ,27.07.2018,16.09.2018,GPC08180000024,-16.13
Stockport MBC,Services to People,Childrens & Educational Services,PSD - FRAUD PERM. CREDIT,Furniture and Equipment,Furniture & Soft Furnishings  ,27.07.2018,16.09.2018,GPC08180000025,-16.13
Stockport MBC,Services to People,Childrens & Educational Services,PSD - FRAUD PERM. CREDIT,Furniture and Equipment,Furniture & Soft Furnishings  ,27.07.2018,16.09.2018,GPC08180000026,-16.13
Stockport MBC,Services to People,Childrens & Educational Services,DISPUTE REFUND REVERSAL,Furniture and Equipment,Furniture & Soft Furnishings  ,21.08.2018,16.09.2018,GPC08180000027,16.32
Stockport MBC,Services to People,Childrens & Educational Services,PSD - FRAUD PERM. CREDIT,Furniture and Equipment,Furniture & Soft Furnishings  ,31.07.2018,16.09.2018,GPC08180000028,-16.32
Stockport MBC,Services to People,Childrens & Educational Services,PSD - FRAUD PERM. CREDIT,Furniture and Equipment,Furniture & Soft Furnishings  ,04.08.2018,16.09.2018,GPC08180000029,-16.28
Stockport MBC,Services to People,Childrens & Educational Services,DISPUTE REFUND REVERSAL,Furniture and Equipment,Furniture & Soft Furnishings  ,21.08.2018,16.09.2018,GPC08180000030,16.32
Stockport MBC,Services to People,Childrens & Educational Services,PSD - FRAUD PERM. CREDIT,Furniture and Equipment,Furniture & Soft Furnishings  ,08.08.2018,16.09.2018,GPC08180000031,-16.28
Stockport MBC,Services to People,Childrens & Educational Services,DISPUTE REFUND REVERSAL,Furniture and Equipment,Furniture & Soft Furnishings  ,21.08.2018,16.09.2018,GPC08180000032,16.13
