Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,28.02.2019,16.03.2019,GPC02190000113,5.75
Stockport MBC,Services to People,Childrens & Educational Services,AMZN MKTP UK MW6H78L94,Furniture and Equipment,Environmental Services Technical Equipment ,28.02.2019,16.03.2019,GPC02190000114,70.07
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44016505,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,27.02.2019,16.03.2019,GPC02190000115,63.0
Stockport MBC,Services to People,Childrens & Educational Services,WWW.ARGOS.CO.UK,Care Payments,Social Community Care Supplies & Services  ,28.02.2019,16.03.2019,GPC02190000116,52.95
Stockport MBC,Services to People,Childrens & Educational Services,FLYBECBY7 CBY7RG,Travelling Expenses,Human Resources Travel & Subsistence ,27.02.2019,16.03.2019,GPC02190000117,111.51
Stockport MBC,Services to People,Childrens & Educational Services,FOSTERTALK,Expenses and Allowances,Human Resources Training & Conferences ,26.02.2019,16.03.2019,GPC02190000118,100.0
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,26.02.2019,16.03.2019,GPC02190000119,92.1
Stockport MBC,Services to People,Childrens & Educational Services,FOSTERTALK,Expenses and Allowances,Human Resources Training & Conferences ,26.02.2019,16.03.2019,GPC02190000120,164.0
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,21.02.2019,16.03.2019,GPC02190000121,85.3
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,15.02.2019,16.03.2019,GPC02190000122,14.45
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,15.02.2019,16.03.2019,GPC02190000123,20.45
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,15.02.2019,16.03.2019,GPC02190000124,20.55
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536520,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,11.02.2019,16.03.2019,GPC02190000125,151.0
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,11.02.2019,16.03.2019,GPC02190000126,280.5
Stockport MBC,Services to People,Childrens & Educational Services,EASYJETEW EWMNSTF,Travelling Expenses,Human Resources Travel & Subsistence ,11.02.2019,16.03.2019,GPC02190000127,212.5
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,11.02.2019,16.03.2019,GPC02190000128,9.85
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.02.2019,16.03.2019,GPC02190000129,104.4
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.02.2019,16.03.2019,GPC02190000130,15.55
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,08.02.2019,16.03.2019,GPC02190000131,13.95
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.02.2019,16.03.2019,GPC02190000132,165.5
Stockport MBC,Corporate and Support Services,Central Support Costs,HOTEL IBIS,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,08.02.2019,16.03.2019,GPC02190000133,286.0
