Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,13.12.2017,16.01.2018,GPC12170000001,7.8
Stockport MBC,Services to People,Adult Social Care,HOTEL BERLAYMONT (3C),Expenses and Allowances,Human Resources Travel & Subsistence ,08.12.2017,16.01.2018,GPC12170000002,398.65
Stockport MBC,Services to People,Adult Social Care,GUIDE BRIDGE SST,Travelling Expenses,Human Resources Travel & Subsistence ,06.12.2017,16.01.2018,GPC12170000003,6.3
Stockport MBC,Services to People,Adult Social Care,COSTA D'AMALFI,Expenses and Allowances,Human Resources Travel & Subsistence ,06.12.2017,16.01.2018,GPC12170000004,36.45
Stockport MBC,Services to People,Adult Social Care,SNCB-NMBS INTERNET NA,Travelling Expenses,Human Resources Travel & Subsistence ,05.12.2017,16.01.2018,GPC12170000005,8.03
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK TXN36F6UU2,Publicity and Promotion,Facilities & Management Services  ,31.12.2017,16.01.2018,GPC12170000006,15.0
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK EPMSREEMG2,Publicity and Promotion,Facilities & Management Services  ,31.12.2017,16.01.2018,GPC12170000007,252.02
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK FPMSREEMG2,Publicity and Promotion,Facilities & Management Services  ,31.12.2017,16.01.2018,GPC12170000008,5.66
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK UCGBGE6MG2,Publicity and Promotion,Facilities & Management Services  ,18.12.2017,16.01.2018,GPC12170000009,45.01
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK TCGBGE6MG2,Publicity and Promotion,Facilities & Management Services  ,18.12.2017,16.01.2018,GPC12170000010,554.99
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,20.12.2017,16.01.2018,GPC12170000011,2.0
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,19.12.2017,16.01.2018,GPC12170000012,2.7
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,18.12.2017,16.01.2018,GPC12170000013,18.9
