"Name (Firstname, Surname)",Start date of trip (DD/MM/YYYY),Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Peter Schofield ,2019-01-11,1,Swindon,Site Events,Rail,Standard ,Nil return,Nil return,£50.35,Nil return
Peter Schofield ,2019-01-18,1,Estree/Borehamwood/ Watford,Site Events,Rail,Standard ,Nil return,Nil return,£16.30,Nil return
Peter Schofield ,2019-01-24,1,Stockport/Manchester,Site Events,Rail,Standard ,Nil return,Nil return,£283.30,Nil return
Peter Schofield ,2019-01-30,1,Birmingham/Sheffield,Site Events,Rail,Standard ,Nil return,Nil return,£190.90,Nil return
Peter Schofield ,2019-03-20,1,Blackpool,Site Events,Rail / Taxi,Standard ,Nil return,Nil return,£186.10,Nil return
Peter Schofield ,2019-03-28,1,"Gabalfa, Cardiff",Site Events,Rail,Standard ,Nil return,Nil return,£237.65,Nil return
Peter Schofield ,2019-01-08,1,London Euston,Site Events,Rail,Standard ,Nil return,Nil return,£15.00,Nil return
Peter Schofield ,2019-03-26,2,London Euston,Site Events,Rail,Standard ,Nil return,Nil return,£15.00,Nil return
Neil Couling,2019-01-22,1,Kennington Park,Change Leaders Forum meeting,Tube,Standard ,Nil return,Nil return,£13.10,Nil return
Neil Couling,2019-01-25,1,Holborn,Speaking at Deputy Director D Base Camp for CS Leadership Academy,Tube,Standard ,Nil return,Nil return,£13.10,Nil return
Neil Couling,2019-03-06,1,Fulham,Visit to Fulham Job Centre,Tube,Standard ,Nil return,Nil return,£13.10,Nil return
Neil Couling,2019-03-07,1,Manchester,Meetings in Manchester Hub,Rail,Standard ,£84.59,Nil return,£91.60,Nil return
Neil Couling,2019-03-08,1,Hartlepool,Visit Hartlepool JCP & BSC,Rail,Standard ,£2.20 ,Nil return,£219.10,Nil return
Neil Couling,2019-03-14,2,Leeds,Visit teams in Leeds,Rail,Standard ,£83.05,Nil return,£354.05,Nil return
Janice Hartley,2019-01-17,1,London,Universal Credit Programme Board attendance,Car/Rail,Standard,Nil return,Nil return,£270.60,Nil return
Janice Hartley,2019-01-23,2,London,Universal Credit Programme Board attendance,Car/Rail,Standard,Nil return,Nil return,£400.60,Nil return
Janice Hartley,2019-01-24,1,Leeds,Universal Credit Team Meeting,Car,Standard,Nil return,Nil return,£49.50,Nil return
Janice Hartley,2019-02-07,1,Leeds,Universal Credit Team Meeting,Car,Standard,Nil return,Nil return,£49.50,Nil return
Janice Hartley,2019-02-21,1,Birmingham,"Fraud, Error and Debt Summit",Car/Rail,Standard,Nil return,Nil return,£121.20,Nil return
Janice Hartley,2019-02-26,2,Leeds,"Fraud, Error and Debt Board, Universal Credit Programme Delivery Exec meeting",Car,Standard,£99.00,Nil return,£148.10,Nil return
Janice Hartley,2019-03-06,1,London,"Universal Credit Programme Delivery Exec, Universal Credit Operations Exec Meeting, Catalyst session",Car/Rail,Standard,Nil return,Nil return,£270.80,Nil return
Janice Hartley,2019-03-14,2,Leeds,"Future Leaders Scheme review, team meeting ",Car,Standard,£77.00,Nil return,£144.10,Nil return
"Francis, Paul",2019-01-14,1,Leeds,Meetings with Staff,Rail,Standard,Nil return,Nil return,£89.60,Nil return
"Francis, Paul",2019-01-24,1,Manchester,Meetings with Staff,Rail,Standard,Nil return,Nil return,£154.10,Nil return
"Francis, Paul",2019-02-07,1,Leeds,Meetings with Staff,Rail,Standard,£5.00,Nil return,£129.00,Nil return
"Francis, Paul",2019-02-11,1,Manchester,Meetings with Staff,Rail,Standard,£5.00,Nil return,£164.10,Nil return
"Francis, Paul",2019-02-28,1,Manchester,Meetings with Staff,Rail,Standard,£5.00,Nil return,£174.55,Nil return
"Francis, Paul",2019-03-11,1,Leeds,Meetings with Staff,Rail,Standard,Nil return,Nil return,£125.00,Nil return
"Francis, Paul",2019-03-18,1,Manchester,Meetings with Staff,Rail,Standard,Nil return,Nil return,£132.00,Nil return
"Francis, Paul",2019-03-27,2,Leeds,Meetings with Staff,Rail,Standard,£75.00,Nil return,£200.00,Nil return
Craig Eblett,2019-11-26,2,London,Meetings with Staff ,Rail,Standard,£20.00,Nil return,£369.60,Nil return
Craig Eblett,2019-11-28,2,London,Meetings with Staff ,Rail,Standard,£151.75,Nil return,£482.50,Nil return
Craig Eblett,2019-12-04,2,London,Meetings with Staff ,Rail,Standard,£288.49,Nil return,£646.59,Nil return
Craig Eblett,2019-12-13,2,London,Meetings with Staff ,Rail,Standard,£25.00,Nil return,£376.10,Nil return
Craig Eblett,2019-01-08,3,London,Meetings with Staff,Rail,Standard,£249.00,Nil return,£697.66,Nil return
Craig Eblett,2019-01-22,1,London,Meetings with Staff,Rail,Standard,£26.10,Nil return,£353.10,Nil return
Craig Eblett,2019-01-24,1,London,Meetings with Staff,Rail,Standard,£31.09,Nil return,£358.09,Nil return
Craig Eblett,2019-01-31,1,London,Meetings with Staff,Rail,Standard,£9.50,Nil return,£367.10,Nil return
Craig Eblett,2019-02-19,1,Glasgow,Meetings with Staff,Hire Car,Standard,£5.00,Nil return,£79.96,Nil return
Craig Eblett,2019-02-20,2,London,Meetings with Staff,Rail,Standard,£168,Nil return,£506.15,Nil return
Craig Eblett,2019-02-27,1,Leeds,Meetings with Staff,Rail,Standard,£5.00,Nil return,£116.10,Nil return
Craig Eblett,2019-02-28,1,York,Meetings with Staff,Rail,Standard,£5.00,Nil return,£73.00,Nil return
Craig Eblett,2019-03-05,1,London,Meetings with Staff,Rail,Standard,£8.50,Nil return,£356.60,Nil return
Craig Eblett,2019-03-11,1,Preston,Meetings with Staff,Hire Car,Standard,£5.00,Nil return,£56.00,Nil return
Craig Eblett,2019-03-14,2,Sheffield/Leeds,Meetings with Staff,Rail,Standard,£10.00,Nil return,£179.00,Nil return
Craig Eblett,2019-03-20,2,London,Meetings with Staff,Rail,Standard,£161.50,Nil return,£361.10,Nil return
Craig Eblett,2019-03-25,2,London,Meetings with Staff,Rail,Standard,Nil return,Nil return,£327.00,Nil return
Peter Knight,2019-01-09,2,Blackpool,Meeting with teams,Taxi/Rail,Standard,£80.40,Nil return,£472.10,Nil return
Peter Knight,2019-01-30,1,Sheffield,Workshop,Rail,Standard,£4.30,Nil return,£206.30,Nil return
Peter Knight,2019-02-06,1,Leeds,Governance meetings,Rail,Standard,£3.90,Nil return,£269.90,Nil return
Peter Knight,2019-02-08,1,Leeds,Contact Centre visit,Rail,Standard,£10.00,Nil return,£276.00,Nil return
Peter Knight,2019-02-18,2,Glasgow,Trust meeting,Rail,Standard,£92.95,Nil return,£280.80,Nil return
Peter Knight,2019-02-19,2,Leeds,Governance meeting,Rail,Standard,£101.25,Nil return,£353.75,Nil return
Peter Knight,2019-02-25,3,Leeds,Governance meetings,Rail,Standard,£295.40,Nil return,£428.90,Nil return
Peter Knight,2019-02-28,1,York,Trust meeting,Rail,Standard,Nil return,Nil return,£156.70,Nil return
Peter Knight,2019-03-11,1,Bamber Bridge,Trust meeting,Rail,Standard,£4.08,Nil return,£364.08,Nil return
Peter Knight,2019-03-13,2,Sheffield,Governance meetings  & meeting with teams,Rail,Standard,£93.00,Nil return,£300.00,Nil return
Peter Knight,2019-03-25,5,Oxford,Training ,Rail,Standard,Nil return,Nil return,£86.40,Nil return
Lara Sampson ,2019-01-08,1,Leeds,Team Event ,Rail,Standard,£265.00,Nil return,£265.00,Nil return
Lara Sampson ,2019-01-15,1,Leeds,Team Event,Rail,Standard,£201.50,Nil return,£201.50,Nil return
Lara Sampson ,2019-02-04,1,Leeds,directorate event,Rail,Standard,£265.00,Nil return,£265.00,Nil return
Lara Sampson ,2019-03-27,1,Leeds,Programme Delivery Executive Team Meeting ,Rail,Standard,£69.00,Nil return,£69.00,Nil return
Lara Sampson ,2019-03-27,1,London,Departmental Visit,Rail,Standard,£134.50,Nil return,£134.50,Nil return
Ian Wright,2019-01-14,4,London,Governance meetings and Conference attendance,Taxi/Rail,Standard,£499.30,Nil return,£853.30,Nil return
Ian Wright,2019-01-29,3,London,Governance meetings and Non-Exec Role,Taxi/Rail,Standard,£341.34,Nil return,£696.34,Nil return
Ian Wright,2019-02-11,1,Manchester,Training,Taxi/Rail,Standard,£5.00,Nil return,£147.10,Nil return
Ian Wright,2019-02-18,4,London,Governance meetings,Taxi/Rail,Standard,£509.89,Nil return,£849.89,Nil return
Ian Wright,2019-02-26,2,Leeds,Governance meetings,Taxi/Rail,Standard,£120.00,Nil return,£236.60,Nil return
Ian Wright,2019-03-19,3,London,Governance meetings and Conference attendance,Taxi/Rail,Standard,£332.55,Nil return,£753.15,Nil return
Ian Wright,2019-03-27,1,Leeds,Governance meeting ,Taxi/Rail,Standard,Nil return,Nil return,£139.80,Nil return
Pauline Crellin,2019-03-07,1,Manchester,Meeting in Manchester Hub,Rail,Standard,£103.60,Nil return,£192.20,Nil return
Pauline Crellin,2019-03-08,1,Peel Park Blackpool,International Women's Day event,Rail,Standard,£5.00,Nil return,£235.50,Nil return
Pauline Crellin,2019-03-27,1,Leeds,Universal Credit PDE meeting,Rail,Standard,Nil return,Nil return,£265.00,Nil return
Sue Moore ,2019-01-08,1,London ,OET ,Rail,Standard ,£25.90,Nil return,£30.90,Nil return
Sue Moore ,2019-01-23,1,London ,Yellow Hammer training ,Rail,Standard ,£214.45,Nil return,£219.45,Nil return
Sue Moore ,2019-01-29,5,Birmingham/London ,Universal Credit Boot Camp/ OPD ASE ,Rail,Standard ,£307.15,Nil return,£647.29,Nil return
Sue Moore ,2019-02-11,5,Newcastle Upon Tyne,Back to the Floor event,Rail,Standard ,£31.00,Nil return,£413.50,Nil return
Sue Moore ,2019-02-27,2,Swindon ,Leadership Together event ,Rail,Standard ,£117.45,Nil return,£213.05,Nil return
Sue Moore ,2019-03-05,2,London ,Operation Executive Team Meeting,Rail,Standard ,£196.70,Nil return,£351.59,Nil return
Stephen Buckingham,2019-01-03,Nil return,,SIMA Annual Subscription (Chartered Institute Management Service),,Nil return,Nil return,Nil return,£285.00,Nil return
Stephen Buckingham,2019-01-08,2,London,Finance Transformation Workshop,Rail,Standard,£136.55,Nil return,£503.75,Nil return
Stephen Buckingham,2019-01-18,1,Newcastle Central,Meeting Susan Mcnair PWC,Own Car,Nil Return,Nil Returns,Nil return,£3.40,Nil return
Stephen Buckingham,2019-01-22,2,Liverpool,Government Finance Function Event,Rail,Standard,£89.00,Nil return,£159.40,Nil return
Stephen Buckingham,2019-01-24,1,Stockport/Manchester,Visiting Stockport/Manchester office with Peter Schofield,Hire Car,Nil Return,£3.70,Nil return,£60.45,Nil return
Stephen Buckingham,2019-01-28,1,Centre of Newcastle,Meeting Max Tse NAO,Own Car,Nil Return,Nil Returns,Nil return,£2.35,Nil return
Stephen Buckingham,2019-01-30,2,London,Finance Executive team meeting,Rail,Standard,£123.05,Nil return,£490.25,Nil return
Stephen Buckingham,2019-02-12,2,London,Housing and Local Government meeting,Rail,Standard,£104.55,Nil return,£430.55,Nil return
Stephen Buckingham,2019-02-21,1,London,Universal Credit Programme Board,Rail,Standard,Nil Returns,Nil return,£326.00,Nil return
Stephen Buckingham,2019-02-26,1,Leeds,Business Finance & Housing Delivery Full team meeting,Rail,Standard,Nil Returns,Nil return,£89.00,Nil return
Stephen Buckingham,2019-02-27,2,Manchester,Finance Executive team meeting,Rail,Standard,£67.60,Nil return,£181.17,Nil return
Stephen Buckingham,2019-03-06,1,London,Estates Property Board Meeting,Rail,Standard,Nil Returns,Nil return,£327.00,Nil return
Stephen Buckingham,2019-03-07,1,Birmingham,Senior Leadership away day,Rail,Standard,Nil Returns,Nil return,£224.75,Nil return
Stephen Buckingham,2019-03-08,1,Edinburgh,Meeting with Sheena Mathers,Rail,Standard,Nil Returns,Nil return,£81.50,Nil return
Stephen Buckingham,2019-03-13,1,London,Housing Division Meeting,Rail,Standard,Nil Returns,Nil return,£326.00,Nil return
Stephen Buckingham,2019-03-26,1,Manchester,Business Finance & Housing meeting,Rail,Standard,110.05,Nil return,£251.00,Nil return
Stephen Buckingham,2019-03-27,1,Sheffield,Finance Executive team meeting,Rail,Standard,Nil Returns,Nil return,£66.40,Nil return
Stephen Buckingham,2019-03-27,1,London,Visit Jenny Leigenburgh,Rail,Standard,Stayed with Family,Nil return,£203.30,Nil return
Stephen Buckingham,2019-03-28,1,Portsmouth,RN Audit Committee,Rail,Standard,Nil Returns,Nil return,£32.70,Nil return
Stephen Buckingham,2019-03-28,1,Newcastle ,RN Audit Committee,Flight,Standard,Nil Returns,Nil return,£165.87,Nil return
Colin Stewart,2019-01-08,1,London ,Meeting in Caxton,Rail/taxi,Standard,£4.15,£347.15,£348.00,Nil return
Colin Stewart,2019-01-10,1,Preston,Meeting HMRC,Rail/taxi,Standard,£3.00,£35.30,£38.30,Nil return
Colin Stewart,2019-01-11,1,Toxteth,Office site visit,Rail/taxi,Standard,£3.00,£51.10,£54.10,Nil return
Colin Stewart,2019-01-15,2,Blackpool,Finance event/planning day,Milleage,Standard,85.60,£50.40,£136.00,Nil return
Colin Stewart,2019-01-17,1,Sheffield,Leadership conference,Rail/taxi,Standard,£5.00,£57.60,£62.60,Nil return
Colin Stewart,2019-01-18,1,Leeds,Office site visit,Rail/taxi,Standard,£5.00,£51.20,£56.20,Nil return
Colin Stewart,2019-01-21,1,Liverpool,Govt finance event,Milleage,Standard,Nil return,£32.40,£32.40,Nil return
Colin Stewart,2019-01-22,2,London ,Training,Rail/taxi,Standard,£155.60,£221.00,£376.60,Nil return
Colin Stewart,2019-01-29,1,Leeds,Senior Leaders Meeting,Rail/taxi,Standard,£5.00,£48.90,£53.90,Nil return
Colin Stewart,2019-01-30,2,Liverpool,Senior Leaders Meeting,Rail/taxi,Standard,£109.60,£37.90,£147.50,Nil return
Colin Stewart,2019-02-05,1,London,ET meeting,Rail/taxi,Standard,£5.00,£368.00,£373.00,Nil return
Colin Stewart,2019-02-11,1,London,Development day,Rail/taxi,Standard,£4.15,£367.00,£371.15,Nil return
Colin Stewart,2019-02-12,1,Darlington,Business Review,Rail/taxi,Standard,£4.05,£103.50,£107.55,Nil return
Colin Stewart,2019-02-14,1,Warrington,Office site visit,Milleage,Standard,£5.00,£19.80,£24.80,Nil return
Colin Stewart,2019-02-15,1,Oldham ,Fraud Conference,Milleage,Standard,Nil return,£19.50,£19.50,Nil return
Colin Stewart,2019-02-19,2,London ,ET meeting,Rail/taxi,Standard,£136.60,£372.00,£508.60,Nil return
