DfENumber,SchoolName,Year,Places,PlaceAllocated,1stPref,2ndPref,3rdPref,4thPref,5thPref,Unplaced,SLE,Catchment,Sibling,Distance,OutsideSpecifiedArea,InsideSpecifiedArea,Religion,Feeder,Other,Total
8164702,All Saints RC School,2019,178,208,194,12,2,0,0,0,3,0,19,12,0,0,162,12,0,208
8164500,Archbishop Holgates CE School,2019,270,300,287,10,2,1,0,0,7,152,96,20,0,0,25,0,0,300
8164153,Fulford School,2019,240,274,267,6,1,0,0,0,4,266,4,0,0,0,0,0,0,274
8164063,Huntington School,2019,239,239,236,3,0,0,0,0,5,189,18,27,0,0,0,0,0,239
8164508,Joseph Rowntree School,2019,232,232,212,14,2,2,2,0,6,173,8,45,0,0,0,0,0,232
8164602,Manor CE Academy,2019,232,232,222,10,0,0,0,0,14,0,17,9,0,129,54,6,3,232
8164229,Millthorpe School,2019,212,212,190,18,3,0,1,0,5,176,28,3,0,0,0,0,0,212
8164000,Vale of York Academy,2019,190,146,132,3,2,0,0,9,1,129,1,6,0,0,0,0,9,146
8164001,York High School,2019,180,186,121,24,8,3,3,27,1,151,1,6,0,0,0,0,27,186
