Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Procurement Card?,Registration Number,Time Period for Grant,Purpose of Grant
Yorkshire Dales National Park Authority,01/01/2019,PCARD-2019/11,31.58,DIGITAL OCEAN,,Web Based Services,IT- Hardware Purchases,Y,,,
Yorkshire Dales National Park Authority,03/01/2019,PCARD-2019/11,0.49,AMAZON WEB SERVICES,,Web Based Services,IT- Hardware Purchases,Y,,,
Yorkshire Dales National Park Authority,19/01/2019,PCARD-2019/11,75.36,SHOPIFY,S4518,Retail Services O/H,Bank Charges,Y,,,
Yorkshire Dales National Park Authority,31/01/2019,PCARD-2019/11,50.19,LYRECO,S1470,Support Services,Catering (Internal),Y,,,
Yorkshire Dales National Park Authority,31/01/2019,PCARD-2019/11,6.7,LYRECO,S1470,Support Services,Consumables,Y,,,
Yorkshire Dales National Park Authority,31/01/2019,PCARD-2019/11,41.77,LYRECO,S1470,Support Services,Consumables,Y,,,
Yorkshire Dales National Park Authority,31/01/2019,PCARD-2019/11,37.44,LYRECO,S1470,Support Services,Stationery,Y,,,
Yorkshire Dales National Park Authority,31/01/2019,PCARD-2019/11,94.52,LYRECO,S1470,Support Services,Stationery,Y,,,
Yorkshire Dales National Park Authority,31/01/2019,PCARD-2019/11,134.06,LYRECO,S1470,Support Services,Tools & Office Equipment,Y,,,
Yorkshire Dales National Park Authority,01/02/2019,PCARD-2019/11,24.26,AMAZON.CO.UK,S1426,Web Based Services,IT-Websites,Y,,,
Yorkshire Dales National Park Authority,01/02/2019,PCARD-2019/11,90.79,AMAZON.CO.UK,S1426,Web Based Services,IT-Websites,Y,,,
Yorkshire Dales National Park Authority,01/02/2019,PCARD-2019/11,103.9,J T ATKINSON & SONS LTD,S0045,Biodiversity,Materials,Y,,,
Yorkshire Dales National Park Authority,01/02/2019,PCARD-2019/11,62.94,SCREWFIX DIRECT,S0285,Southern Dales (Craven  Lancs),Materials,Y,,,
Yorkshire Dales National Park Authority,01/02/2019,PCARD-2019/11,47.13,J T ATKINSON & SONS LTD,S0045,Western Dales (Cumbria),Tools & Office Equipment,Y,,,
Yorkshire Dales National Park Authority,02/02/2019,PCARD-2019/11,18.06,J T ATKINSON & SONS LTD,S0045,Biodiversity,Materials,Y,,,
Yorkshire Dales National Park Authority,03/02/2019,PCARD-2019/11,9.98,AMAZON.CO.UK,S1426,Development Management,Tools & Office Equipment,Y,,,
Yorkshire Dales National Park Authority,03/02/2019,PCARD-2019/11,214.82,AMAZON.CO.UK,S1426,Development Management,Tools & Office Equipment,Y,,,
Yorkshire Dales National Park Authority,04/02/2019,PCARD-2019/11,10.44,AMAZON.CO.UK,S1426,Southern Dales (Craven  Lancs),Materials,Y,,,
Yorkshire Dales National Park Authority,04/02/2019,PCARD-2019/11,6.28,J T ATKINSON & SONS LTD,S0045,Northern Dales (Richmondshire),Materials,Y,,,
Yorkshire Dales National Park Authority,04/02/2019,PCARD-2019/11,45.88,J T ATKINSON & SONS LTD,S0045,Northern Dales (Richmondshire),Materials,Y,,,
Yorkshire Dales National Park Authority,05/02/2019,PCARD-2019/11,125.0,EVENTBRITE,,Land Management Partnersips,Conferences and Seminars,Y,,,
Yorkshire Dales National Park Authority,05/02/2019,PCARD-2019/11,43.17,LYRECO,S1470,Dales Countryside Museum,Consumables,Y,,,
Yorkshire Dales National Park Authority,05/02/2019,PCARD-2019/11,25.74,J T ATKINSON & SONS LTD,S0045,Contracts - Land Holdings - changesto C212 1-4-19,Materials,Y,,,
