CREATED,BIC NUMBER,ACCOUNT NAME,CITY,STATE,MARKET,APPLICATION TYPE
11/04/2019,HPP-134,"LBD PRODUCE, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
03/06/2019,GMM-8,INTERSTATE FOODS INC.,BRONX,NY,Gansevoort Meat Market,Public Wholesale Market
08/18/2020,HPA-32,"HUNTS POINT FLOWER MARKET, INC.",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
07/13/2018,HPM-490846,TROCHEZ MEAT CORP.,BRONX,NY,Hunts Point Meat Market,Market Business
08/29/2018,GMM-12,"J.T. JOBBAGY, INC.",NEW YORK,NY,Gansevoort Meat Market,Public Wholesale Market
07/23/2020,FFM-37,"CALEB HALEY & CO., LLC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
09/16/2019,FFM-124,NEW FULTON FISH MARKET COOPERATIVE AT HUNTS POINT,BRONX,NY,Hunts Point New Fulton Fish Market,Trade Association
09/08/2020,GMM-3,LONDON MANHATTAN CORP.,NEW YORK,NY,Gansevoort Meat Market,Public Wholesale Market
07/02/2018,HPM-26,LOUIS SPAGNOLI INC.,KATONAH,NY,Hunts Point Meat Market,Public Wholesale Market
07/03/2020,HPA-63,NYC TRUCKING CORP.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
08/21/2019,FFM-100,"FAIR FISH CO., INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
05/03/2019,HPA-15,"RIDGE PRODUCE, INC.",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
02/04/2019,HPA-15,"RIDGE PRODUCE, INC.",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
01/23/2018,FFM-100,FAIR FISH CO. INC.,BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
10/07/2019,HPP-173,"FRES CO, LLC",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
03/27/2020,HPA-18,BLUE STAR MEAT CORP,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
07/26/2017,HPM-15,"GARDEN MANOR FARMS, INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
08/29/2019,HPP-494739,"ROMY'S PRODUCE, INC.",ELMONT,NY,Hunts Point Produce Market,Public Wholesale Market
02/12/2018,FFM-85,"MT. SINAI FISH, INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
02/17/2020,HPP-485207,BERGEN PRODUCE LLC,BRICK,NJ,Hunts Point Produce Market,Public Wholesale Market
10/05/2020,HPP-493942,AJ BUYING SERVICE INC.,HISKSVILLE,NY,Hunts Point Produce Market,Market Business
06/15/2020,FFM-134,J & K SEAFOOD INC.,BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
05/20/2021,FFM-143,"FULTON CAFE, INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Market Business
07/02/2019,HPP-167,RIGHT CHOICE PAPERS INC.,BRONX,NY,Hunts Point Produce Market,Market Business
07/19/2019,FFM-4,CLEARWATER FISH COMPANY INC.,BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
10/15/2018,HPP-490237,"A & Z TRUCKING, INC.",VAILS GATE,NY,Hunts Point Produce Market,Public Wholesale Market
03/14/2019,HPM-47,"WORLD-WIDE FISH PRODUCTS, INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
12/21/2020,HPM-31,MTV FOODS INC.,BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
08/07/2017,BMM-25,CREPINI LLC,BROOKLYN,NY,Brooklyn Wholesale Meat Market,Market Business
03/16/2020,HPP-156,EDWARD PRODUCE CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
05/05/2021,BMM-27,HERCULES FOOD CORP.,BROOKLYN,NY,Brooklyn Wholesale Meat Market,Market Business
02/13/2019,HPM-53,MASTER PURVEYORS INC,BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
12/02/2020,HPP-6,"A.J. TRUCCO, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
02/23/2021,HPA-46,VICTORY FOODSERVICE DISTRIBUTORS CORP.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
08/03/2018,HPP-179,T & W PEACH SALES CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
01/06/2020,HPP-137,COOSEMANS NEW YORK INC.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
05/08/2019,HPP-42,"HENRY HAAS, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
08/30/2017,BMM-4,"ORAZIO & SONS MEATS, INC.",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
09/29/2017,HPP-34,FRUITCO CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
02/01/2018,HPM-489580,GROW AND BEHOLD FOODS LLC,ROCHESTER,NY,Hunts Point Meat Market,Public Wholesale Market
03/21/2018,FFM-143,FULTON CAF INC,BRONX,NY,Hunts Point New Fulton Fish Market,Market Business
07/07/2020,HPP-34,FRUITCO CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
03/30/2018,FFM-37,"CALEB HALEY & CO., LLC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
10/04/2019,HPA-66,PREMIUM OCEAN LLC,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
12/10/2019,HPM-27,"MARKET MEATS, INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
12/04/2020,HPP-137,COOSEMANS NEW YORK INC.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
11/23/2018,HPP-149,EA COMPANY,BRONX,NY,Hunts Point Produce Market,Market Business
09/23/2019,HPP-130,"GOLD MEDAL PRODUCE, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
07/12/2019,HPP-485207,BERGEN PRODUCE LLC,BRICK,NJ,Hunts Point Produce Market,Public Wholesale Market
03/26/2021,HPP-148,MABIJO PACKING CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
11/16/2017,GMM-9,"JOHN W. WILLIAMS, INC.",NEW YORK,NY,Gansevoort Meat Market,Public Wholesale Market
12/17/2018,HPP-167,RIGHT CHOICE PAPERS INC.,BRONX,NY,Hunts Point Produce Market,Market Business
04/17/2018,FFM-7,BEYER LIGHTNING FISH CO. INC.,BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
10/14/2019,HPA-66,PREMIUM OCEAN LLC,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
07/23/2019,HPP-130,"GOLD MEDAL PRODUCE, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
10/08/2020,HPA-3,CARIBBEAN PRODUCE INC.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
05/22/2020,HPP-71,"MENDEZ INTERNATIONAL TROPICAL FOODS, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
12/07/2018,HPP-170,PAUL MATTIE,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
11/18/2020,HPM-14,FOOD BANK FOR NEW YORK CITY,NEW YORK,NY,Hunts Point Meat Market,Public Wholesale Market
07/12/2018,HPP-162,LD LOGISTICS LLC,BRONX,NY,Hunts Point Produce Market,Market Business
10/29/2020,HPP-494848,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL NO. 202,BRONX,NY,Hunts Point Produce Market,Union
10/02/2018,BMM-25,CREPINI LLC,BROOKLYN,NY,Brooklyn Wholesale Meat Market,Market Business
01/24/2019,HPP-157,SHARKEY'S TRUCKING CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
10/17/2019,HPP-49,INTERCONTINENTAL TRUCK BROKERAGE CORP.,JERICHO,NY,Hunts Point Produce Market,Market Business
08/30/2017,HPP-486574,"TITUS BUYING SERVICE, INC.",Roslyn Heights,NY,Hunts Point Produce Market,Market Business
06/14/2018,FFM-9,BLUE RIBBON FISH CO.,BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
03/30/2021,HPP-98,"TED GEORGALLAS TOMATO & PRODUCE, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
12/14/2020,BMM-490341,"JJ TRADING, LLC",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
08/06/2020,BMM-4,"ORAZIO & SONS MEATS, INC.",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
12/31/2019,HPA-76,THE LOBSTER PLACE INC.,BRONX,NY,Adjacent to Hunts Point Market,Wholesale Seafood
10/05/2018,FFM-100,"FAIR FISH CO., INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
01/28/2021,HPP-47,"HPTM PRODUCE COOP ASSO., INC.",BRONX,NY,Hunts Point Produce Market,Trade Association
02/05/2021,HPM-60,R & W PROVISIONS CO. INC.,BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
07/17/2019,HPP-53,"J. RENELLA PRODUCE, INC.",POUND RIDGE,NY,Hunts Point Produce Market,Public Wholesale Market
11/25/2020,HPA-503253,OCEANBOX WHOLESALE LLC,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
11/20/2020,HPA-498877,CASEIFICIO ITALIA CORP.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
12/18/2018,HPP-169,R & I PRODUCE CORPORATION,BRONX,NY,Hunts Point Produce Market,Market Business
09/20/2019,BMM-501280,JACKIE'S APPLES CORP.,BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
12/10/2019,HPA-4,"C. KENNETH IMPORTS, INC.",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
11/19/2020,HPM-16,GIRANDOLA & SHUTKIND CONSTRUCTION CORP.,BRONX,NY,Hunts Point Meat Market,Market Business
07/01/2019,FFM-111,"THIRD GENERATION SEAFOOD, INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
07/26/2019,HPA-66,PREMIUM OCEAN LLC,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
01/21/2020,HPM-70,BETTER MEAT WHOLESALE CORP.,TEANECK,NJ,Hunts Point Meat Market,Market Business
11/21/2017,HPP-78,PAUL STEINBERG ASSOCIATES INC.,BRONX,NY,Hunts Point Produce Market,Market Business
12/17/2018,HPA-36,DAIRYLAND USA CORPORATION,RIDGEFIELD,CT,Adjacent to Hunts Point Market,Public Wholesale Market
02/28/2020,GMM-2,WEICHSEL BEEF CO. INC.,NEW YORK CITY,NY,Gansevoort Meat Market,Public Wholesale Market
08/04/2020,HPM-26,LOUIS SPAGNOLI INC.,KATONAH,NY,Hunts Point Meat Market,Public Wholesale Market
07/30/2019,HPA-46,VICTORY FOODSERVICE DISTRIBUTORS CORP.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
04/28/2021,HPA-63,NYC TRUCKING CORP.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
03/12/2018,FFM-14,"CARL'S SEAFOOD, INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
09/28/2020,HPM-498083,"TOMOE FOOD SERVICES, INC.",HARRISON,NY,Hunts Point Meat Market,Public Wholesale Market
01/30/2020,FFM-17,MERMAID SEA PRODUCTS INC.,STATEN ISLAND,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
04/01/2019,FFM-100,"FAIR FISH CO., INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
07/13/2017,HPA-15,"RIDGE PRODUCE, INC.",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
11/02/2020,HPM-34,"PLYMOUTH BEEF CO.,INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
10/28/2020,HPP-23,"D'ARRIGO BROS. CO. OF NEW YORK, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
02/14/2020,HPP-28,"FIERMAN PRODUCE EXCHANGE, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
10/24/2017,HPP-169,R & I PRODUCE CORPORATION,BRONX,NY,Hunts Point Produce Market,Market Business
02/22/2019,HPP-494739,"ROMY'S PRODUCE, INC.",ELMONT,NY,Hunts Point Produce Market,Public Wholesale Market
05/04/2021,HPP-84,"ROBT. T. COCHRAN & CO., INCORPORATED",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
04/08/2019,HPP-128,PAN-HELLENIC FOOD OF N.Y. CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
11/12/2018,HPP-485385,P & B PRODUCE LLC,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
03/22/2021,FFM-488936,ALBATROSS FISH CORP.,BRONX,NY,Hunts Point New Fulton Fish Market,Wholesale Seafood
09/03/2020,HPP-67,"M & R TOMATO DISTRIBUTORS, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
07/10/2020,HPP-485532,HANA BUYING SERVICE CORP.,BRONX,NY,Hunts Point Produce Market,Market Business
10/04/2017,HPP-485402,BOGOPA SERVICE CORP.,BROOKLYN,NY,Hunts Point Produce Market,Market Business
06/25/2018,HPM-10,DESOLA PROVISIONS CORP.,BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
04/08/2020,FFM-500579,UNITED SEAFOOD WORKERS UNION LOCAL 359,BRONX,NY,Hunts Point New Fulton Fish Market,Union
11/07/2019,HPA-69,BRONX FREIGHT & FISH CORP.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
02/20/2020,HPM-51,"NATION'S BEST MEAT WHOLESALERS, INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
01/15/2018,HPP-42,"HENRY HAAS, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
12/25/2020,HPP-181,3 J'S TRUCKING LLC,BRONX,NY,Hunts Point Produce Market,Market Business
02/25/2020,HPP-142,FITZ & PAL FOOD CENTER LLC,BRONX,NY,Hunts Point Produce Market,Market Business
07/31/2019,HPM-49,KALIVIA FOOD CORP.,BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
04/21/2020,HPP-181,3 J'S TRUCKING LLC,BRONX,NY,Hunts Point Produce Market,Market Business
02/08/2019,HPP-490709,"D&J PRODUCE BROKERS, LLC",NEW HAVEN,CT,Hunts Point Produce Market,Market Business
01/01/2018,HPP-179,T & W PEACH SALES CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
06/02/2017,HPP-149,EA COMPANY,BRONX,NY,Hunts Point Produce Market,Market Business
09/20/2019,HPP-490299,YOO DELIVERY SERVICE INC.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
08/08/2018,HPM-19,MOUNTAIN STATES/ROSEN LLC,BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
05/28/2019,HPP-120,"D.M. ROTHMAN CO., INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
03/03/2021,HPA-498613,GREEN FIELD PRODUCE LLC,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
02/27/2019,HPA-38,"CARIVE IMPORTS, INC.",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
10/09/2020,HPP-134,"LBD PRODUCE, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
01/01/2018,HPP-149,EA COMPANY,BRONX,NY,Hunts Point Produce Market,Market Business
12/29/2017,HPM-13,"FANCY FOODS, INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
03/29/2021,HPA-35,"BEL CANTO FOODS, LLC",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
12/08/2020,BMM-490341,"JJ TRADING, LLC",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
01/31/2018,FFM-119,NEW FULTON FISH MARKET COOPERATIVE AT HUNTS POINT,BRONX,NY,Hunts Point New Fulton Fish Market,Unloader
12/01/2017,FFM-76,"LOU'S FISH MARKET, INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
02/05/2020,HPP-57,"S.KATZMAN PRODUCE, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
09/13/2018,HPA-69,BRONX FREIGHT & FISH CORP.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
06/29/2020,HPP-119,NATIONAL FARM WHOLESALE FRUIT & VEGETABLE CORP.,ASTORIA,NY,Hunts Point Produce Market,Public Wholesale Market
02/10/2020,FFM-13,"JOE MONANI FISH COMPANY, INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
06/13/2018,FFM-134,J & K SEAFOOD INC.,STATEN ISLAND,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
09/03/2018,HPP-53,"J. RENELLA PRODUCE, INC.",POUND RIDGE,NY,Hunts Point Produce Market,Public Wholesale Market
02/25/2020,BMM-490341,"JJ TRADING, LLC",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
07/04/2017,HPM-491193,"FRIENDLY FOOD PROVISIONS, INC.",BAYSIDE,NY,Hunts Point Meat Market,Public Wholesale Market
08/18/2020,BMM-32,SPRINGFIELD GROUP INC.,BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
05/08/2019,FFM-103,JMS SEASONAL SEAFOOD CORP.,BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
07/17/2018,HPA-60,"SNOW FRESH FOODS, INC.",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
03/16/2020,HPA-76,THE LOBSTER PLACE INC.,BRONX,NY,Adjacent to Hunts Point Market,Wholesale Seafood
01/30/2018,HPM-19,MOUNTAIN STATES/ROSEN LLC,BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
05/22/2020,HPP-489049,COBBLE STREET SALES LLC,BRONX,NY,Hunts Point Produce Market,Market Business
11/07/2018,HPA-9,"FLAMINGO SMOKED MEATS, INC.",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
05/11/2020,HPM-41,SCHUSTER MEAT CORPORATION,BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
12/25/2018,HPA-485080,"REBECCA AMOAH COMPANY, INC",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
07/31/2020,BMM-4,"ORAZIO & SONS MEATS, INC.",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
05/01/2019,FFM-137,"FIVE STAR SEAFOOD, INC.",GLENWOOD,NJ,Hunts Point New Fulton Fish Market,Public Wholesale Market
04/30/2019,HPP-67,"M & R TOMATO DISTRIBUTORS, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
06/06/2019,HPP-127,"LEELOI INDUSTRIES, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
07/10/2018,HPA-6,FLM RADICCHIO KING INC.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
01/02/2018,HPP-92,"NATHEL & NATHEL, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
10/30/2017,BMM-19,"E & G FOODS, INC.",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
01/18/2018,HPP-156,EDWARD PRODUCE CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
09/23/2019,FFM-76,"LOU'S FISH MARKET, INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
03/16/2020,HPP-134,"LBD PRODUCE, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
07/24/2020,HPA-490701,VAL'S OCEAN PACIFIC SEA FOOD INC.,BRONX,NY,Adjacent to Hunts Point Market,Wholesale Seafood
11/04/2020,HPM-69,P & S SELECT FOODS INC.,BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
08/22/2018,HPM-490995,CCM FOOD SERVICE LLC,BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
08/08/2019,HPP-119,NATIONAL FARM WHOLESALE FRUIT & VEGETABLES CORP.,ASTORIA,NY,Hunts Point Produce Market,Public Wholesale Market
12/20/2019,HPA-64,"AGROSON'S, LLC.",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
01/17/2020,HPA-36,DAIRYLAND USA CORPORATION,RIDGEFIELD,CT,Adjacent to Hunts Point Market,Public Wholesale Market
12/06/2017,HPA-6,FLM RADICCHIO KING INC.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
11/20/2020,BMM-14,"CHOWS BROTHERS WHOLESALE MEAT CO., INC.",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
03/27/2019,HPP-493942,AJ BUYING SERVICE INC.,HISKSVILLE,NY,Hunts Point Produce Market,Market Business
11/29/2017,HPP-150,LEE'S HUNTS POINT ORIENTAL MARKET,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
09/08/2020,HPA-3,CARIBBEAN PRODUCE INC.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
11/13/2019,BMM-501280,JACKIE'S APPLES CORP.,BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
10/27/2017,HPP-84,"ROBT. T. COCHRAN & CO., INCORPORATED",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
12/15/2017,HPA-66,PREMIUM OCEAN LLC,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
01/01/2020,HPP-171,"VEG-PAK DIST. CO., INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
04/15/2019,HPP-94,YOLA FRUIT & PRODUCE DIST. INC.,GARDEN CITY,NY,Hunts Point Produce Market,Public Wholesale Market
05/03/2019,GMM-8,INTERSTATE FOODS INC.,BRONX,NY,Gansevoort Meat Market,Public Wholesale Market
03/16/2018,HPA-24,MIRON PRODUCE INC,BROOKLYN,NY,Adjacent to Hunts Point Market,Public Wholesale Market
08/28/2017,HPP-485218,IGUA PRODUCE INC.,BROOKLYN,NY,Hunts Point Produce Market,Market Business
08/21/2018,HPP-120,"D.M. ROTHMAN CO., INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
11/20/2018,BMM-29,PIERLESS FISH CORP.,BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
12/06/2019,HPM-489580,"GROW AND BEHOLD FOODS, LLC",ROCHESTER,NY,Hunts Point Meat Market,Public Wholesale Market
04/08/2021,HPA-6,FLM RADICCHIO KING INC.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
12/24/2019,HPA-36,DAIRYLAND USA CORPORATION,RIDGEFIELD,CT,Adjacent to Hunts Point Market,Public Wholesale Market
01/06/2020,HPM-487825,"MOORES SPECIALTY MEAT PRODUCTS, INC.",Bronx,NY,Hunts Point Meat Market,Public Wholesale Market
11/20/2019,GMM-6,LOUIS ZUCKER & CO. INC.,New York,NY,Gansevoort Meat Market,Public Wholesale Market
03/30/2021,HPP-6,"A.J. TRUCCO, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
11/06/2020,HPM-13,"FANCY FOODS, INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
05/14/2018,BMM-8,"KING SOLOMON FOODS, INC.",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
08/24/2020,HPM-36,"NEW YORK MEAT, INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
04/02/2019,HPP-47,"HPTM PRODUCE COOP ASSO., INC.",BRONX,NY,Hunts Point Produce Market,Trade Association
04/25/2017,HPA-38,"CARIVE IMPORTS, INC",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
07/12/2019,BMM-16,"LANCASTER QUALITY PORK, INC.",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
05/17/2019,HPP-494739,"ROMY'S PRODUCE, INC.",ELMONT,NY,Hunts Point Produce Market,Public Wholesale Market
05/01/2018,HPA-15,"RIDGE PRODUCE, INC.",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
07/21/2017,GMM-3,LONDON MANHATTAN CORP.,NEW YORK,NY,Gansevoort Meat Market,Public Wholesale Market
03/09/2018,HPM-485211,GLATT BOYS KOSHER MEAT INC.,BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
02/14/2020,BMM-29,PIERLESS FISH CORP.,BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
11/28/2019,HPA-497878,TARTUCORP USA LLC,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
06/01/2017,BMM-2,RUBY FREEMAN INC.,BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
07/24/2019,HPP-181,3 J'S TRUCKING LLC,BRONX,NY,Hunts Point Produce Market,Market Business
08/14/2020,HPA-69,BRONX FREIGHT & FISH CORP.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
01/25/2021,HPA-485080,"REBECCA AMOAH COMPANY, INC",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
12/20/2018,HPP-125,"COUNTRYWIDE PRODUCE, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
05/08/2017,FFM-135,"LOCKWOOD & WINANT SEAFOOD, LLC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
01/03/2018,HPM-489580,GROW AND BEHOLD FOODS LLC,ROCHESTER,NY,Hunts Point Meat Market,Public Wholesale Market
08/28/2018,HPM-69,P & S SELECT FOODS INC.,BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
09/09/2019,HPP-74,"NEW YORK PRODUCE TRADE ASSOCIATION, INC.",BRONX,NY,Hunts Point Produce Market,Trade Association
02/22/2021,GMM-12,"J.T. JOBBAGY, INC.",NEW YORK,NY,Gansevoort Meat Market,Public Wholesale Market
08/09/2019,FFM-100,"FAIR FISH CO., INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
05/07/2018,FFM-106,"MONTE'S SEAFOOD EMPORIUM, INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
02/16/2021,HPA-2,P. EAST TRADING CORP.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
09/30/2020,HPP-142,FITZ & PAL FOOD CENTER LLC,BRONX,NY,Hunts Point Produce Market,Market Business
07/23/2019,HPP-147,"BEST TROPICAL ISLAND, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
04/27/2017,HPM-33,"NEBRASKALAND, INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
12/08/2017,FFM-100,FAIR FISH CO. INC.,BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
09/28/2017,HPA-69,BRONX FREIGHT & FISH CORP.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
10/05/2017,HPA-59,SPATOLA MOZARELLA LLC,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
12/24/2018,HPP-487184,CHOSEN VARIETY INC.,BRONX,NY,Hunts Point Produce Market,Market Business
03/03/2020,HPP-167,RIGHT CHOICE PAPERS INC.,BRONX,NY,Hunts Point Produce Market,Market Business
12/13/2019,FFM-76,"LOU'S FISH MARKET, INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
05/21/2019,BMM-27,HERCULES FOOD CORP.,BROOKLYN,NY,Brooklyn Wholesale Meat Market,Market Business
08/08/2019,HPP-164,ESKAY TRUCKING CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
01/15/2019,HPP-121,PORRICELLI INC.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
