animal_id,animal_type,primary_color,secondary_color,breed_group,animal_identity,age_now,age_long,tag_no,tag_type,vaccine
A600583,DOG,TAN,WHITE,MASTIFF,515490.0,2Y,2 YEARS,,,
A571404,DOG,WHITE,,SHEPHERD,486347.0,3Y,3 YEARS,L17-010398,LIC ALTERED,
A584470,DOG,BLACK,WHITE,TOY,499429.0,3Y,3 YEARS,R16-3125,RAB VAC CERT.,LMAS
A625698,CAT,ORG TABBY,,LONGHAIR,540433.0,8M,8 MONTHS,985113001191377,MICROCHIP ADO,
A591877,DOG,WHITE,,TOY,506793.0,3Y,3 YEARS,L16-045383,LIC ALTERED,
A626752,DOG,BROWN,,TERRIER,541466.0,,NO AGE,L17-027535,LIC ALTERED,
A623372,CAT,BLUE,,SHORTHAIR,538102.0,1Y 3M,1 YEAR 3 MONTHS,,,
A553909,DOG,TAN,WHITE,MASTIFF,468824.0,6Y,6 YEARS,L15-026034,LIC UNALTERED,
A244012,DOG,TAN,,TOY,153290.0,13Y,13 YEARS,D08-016680,LIC ALTERED,SIMS
A629022,DOG,UNKNOWN,,COLLIE,543661.0,,NO AGE,,,
A579683,DOG,BROWN,,TOY,494635.0,6Y,6 YEARS,L16-011834,LIC ALTERED,
A571714,DOG,WHITE,,TOY,486657.0,7Y,7 YEARS,985121008512283,MICROCHIP,
A595263,CAT,UNKNOWN,,LONGHAIR,510159.0,,NO AGE,,,
A633007,CAT,BRN TABBY,WHITE,SHORTHAIR,547631.0,13W,13 WEEKS,,,
A566782,CAT,TORTIE,,SHORTHAIR,481718.0,7Y,7 YEARS,L16-001692,LIC ALTERED,
A553470,DOG,,,TOY,468384.0,,NO AGE,L15-011004,LIC ALTERED,
A567078,CAT,ORG TABBY,,SHORTHAIR,482015.0,5Y,5 YEARS,L15-005150,LIC ALTERED,
A583979,DOG,BLACK,,SPITZ,498937.0,2Y,2 YEARS,L16-026031,LIC ALTERED,AUDUBON
A571675,DOG,BLACK,,TOY,486618.0,8Y,8 YEARS,4A34692622,MICROCHIP,
A571217,DOG,BR BRINDLE,,HOUND,486160.0,3Y,3 YEARS,L15-006430,LIC ALTERED,
A406140,DOG,BLACK,TAN,TOY,319220.0,11Y,11 YEARS,L16-043248,LIC 3Y,
A625347,DOG,UNKNOWN,,TOY,540082.0,,NO AGE,,,
A591052,DOG,UNKNOWN,,MASTIFF,505969.0,,NO AGE,,,
A570229,DOG,CHOCOLATE,WHITE,MASTIFF,485172.0,,NO AGE,L17-013298,LIC ALTERED,BANNON WOO
A584434,DOG,GOLD,,SETTER/RETRIEVE,499393.0,13Y,13 YEARS,L15-035348,LIC UNALTERED,GAILOR
A618786,DOG,BROWN,,SPANIEL,533535.0,13Y,13 YEARS,L17-036769,LIC 3Y,
A579548,CAT,WHITE,BUFF,SHORTHAIR,494500.0,2Y,2 YEARS,985112006926049,MICROCHIP ADO,
A563866,DOG,RED MERLE,,MIX,478792.0,5Y,5 YEARS,L15-024231,LIC ALTERED,
A608980,DOG,BLACK,WHITE,TOY,523815.0,1Y 5M,1 YEAR 5 MONTHS,985112008437270,MICROCHIP,BANFIELD
A556442,DOG,GRAY,WHITE,TERRIER,471355.0,3Y,3 YEARS,985112005139547,MICROCHIP ADO,MAS
A628318,DOG,TRICOLOR,,HOUND,542993.0,1Y,1 YEAR,985113001199624,MICROCHIP ADO,
A566508,CAT,WHITE,BROWN,SHORTHAIR,481443.0,4Y,4 YEARS,L15-019338,LIC ALTERED,KHS
A574078,DOG,BLACK,GOLD,TOY,489022.0,7Y,7 YEARS,L15-050007,LIC ALTERED,
A611429,CAT,BLUE,,SHORTHAIR,526212.0,1Y 7M,1 YEAR 7 MONTHS,,,
A568029,DOG,UNKNOWN,,,482969.0,,NO AGE,L16-057782,LIC ALTERED,
A380289,DOG,BROWN,BLACK,HOUND,292927.0,13Y,13 YEARS,D13-011344,LIC ALTERED,EAST LOUIS
A602019,DOG,BLACK,WHITE,SETTER/RETRIEVE,516933.0,2Y,2 YEARS,,,
A583165,DOG,BLACK,,SETTER/RETRIEVE,498122.0,4Y,4 YEARS,RAB-45302,RAB VAC CERT.,SENECA
A560786,DOG,GRAY,,SPITZ,475706.0,4Y,4 YEARS,L16-001503,LIC SR,
A622456,DOG,BLACK,BROWN,HOUND,537181.0,3Y,3 YEARS,,,
A610573,DOG,BROWN,WHITE,HOUND,525382.0,8Y,8 YEARS,L17-040784,LIC ALTERED,DIXIE
A596465,DOG,BLACK,TAN,SHEPHERD,511388.0,1Y 9M,1 YEAR 9 MONTHS,956000009823977,MICROCHIP,
A602541,DOG,TRICOLOR,BLACK,HOUND,517443.0,5Y,5 YEARS,,,
A478124,DOG,BR BRINDLE,,MASTIFF,392523.0,6Y,6 YEARS,D14-047931,LIC ALTERED,SHEPHERDSV
A579494,DOG,BLACK,,MIX,494446.0,5Y,5 YEARS,L16-047380,LIC ALTERED,
A621252,CAT,GRAY,,SHORTHAIR,535974.0,7M,7 MONTHS,,,
A616264,CAT,BLACK,WHITE,SHORTHAIR,531016.0,1Y 9M,1 YEAR 9 MONTHS,R17-5582,RAB VAC CERT.,LMAS
A587332,DOG,WHITE,,TOY,502289.0,10Y,10 YEARS,U16-007367,RABIES CERT,
A592977,CAT,UNKNOWN,,SHORTHAIR,507899.0,,NO AGE,,,
A627963,CAT,BLACK,,SHORTHAIR,542636.0,4M,4 MONTHS,L17-053130,LIC ALTERED,LMAS
A555696,CAT,UNKNOWN,,SHORTHAIR,470608.0,,NO AGE,,,
A585499,CAT,BRN TABBY,,SHORTHAIR,500444.0,3Y,3 YEARS,L17-037524,LIC ALTERED,
A578196,DOG,BLACK,WHITE,SPITZ,493148.0,2Y,2 YEARS,L16-039831,LIC ALTERED,
A579072,CAT,GRAY,,SHORTHAIR,494023.0,17Y,17 YEARS,U15-005810,RABIES CERT,
A550795,DOG,TAN,,SETTER/RETRIEVE,465690.0,12Y,12 YEARS,985112004690927,MICROCHIP RTO,
A581939,DOG,BLACK,WHITE,POODLE,496896.0,2Y,2 YEARS,L15-039123,LIC SR,KHS
A566927,DOG,WHITE,,TOY,481863.0,6Y,6 YEARS,L15-055706,LIC ALTERED,
A583605,DOG,UNKNOWN,,TERRIER,498570.0,,NO AGE,,,
A315917,DOG,WHITE,BLACK,COLLIE,142604.0,12Y,12 YEARS,D14-006709,LIC SR,DERBY CITY
A433278,DOG,BLACK,WHITE,POINTER,347016.0,6Y,6 YEARS,3Y14-006879,LIC 3Y,FAIRDALE
A612915,DOG,YELLOW,WHITE,MASTIFF,527681.0,7Y,7 YEARS,L17-016735,LIC ALTERED,
A581697,DOG,GRAY,,MASTIFF,496653.0,3Y,3 YEARS,L15-027263,LIC 3Y,
A624870,DOG,BLACK,WHITE,SETTER/RETRIEVE,539604.0,10M,10 MONTHS,985113001207983,MICROCHIP ADO,
A624829,DOG,WHITE,BLACK,TERRIER,539563.0,2Y,2 YEARS,L17-009712,LIC ALTERED,LMAS
A587399,DOG,BR BRINDLE,,SHEPHERD,502355.0,2Y,2 YEARS,985112006406848,MICROCHIP,
A552709,DOG,BLACK,RED,HOUND,467621.0,,NO AGE,L14-007777,LIC ALTERED,KHS
A598165,OTHER,BROWN,,MAMMAL,513087.0,2Y,2 YEARS,,,
A536188,DOG,BLACK,,POODLE,451034.0,10Y,10 YEARS,L17-013552,LIC SR,
A572274,DOG,WHITE,,POODLE,487217.0,9Y,9 YEARS,U15-004642,RABIES CERT,
A327302,DOG,BLACK,,SETTER/RETRIEVE,159192.0,14Y,14 YEARS,L14-047804,LIC SR,CHEROKEE
A628134,DOG,WHITE,BLACK,MASTIFF,542809.0,3Y,3 YEARS,,,
A622477,DOG,BROWN,WHITE,SIGHTHOUND,537202.0,1Y 6M,1 YEAR 6 MONTHS,L16-023279,LIC ALTERED,
A571666,CAT,BLACK,,SHORTHAIR,486609.0,,NO AGE,L15-026683,LIC ALTERED,
A558269,CAT,BLK TABBY,,SHORTHAIR,473187.0,4Y,4 YEARS,L15-001964,LIC ALTERED,DIXIE
A586092,DOG,TRICOLOR,,TOY,501047.0,2Y,2 YEARS,,,
A554054,DOG,BLACK,WHITE,SPITZ,468968.0,5Y,5 YEARS,L16-035910,LIC UNALTERED,
A482520,DOG,BLACK,,SETTER/RETRIEVE,397035.0,6Y,6 YEARS,L15-036188,LIC ALTERED,
A618947,DOG,BLACK,,HOUND,533688.0,,NO AGE,L17-042333,LIC ALTERED,
A625413,DOG,BROWN,WHITE,MASTIFF,540148.0,1Y 4M,1 YEAR 4 MONTHS,985113001194038,MICROCHIP ADO,
A562484,DOG,TRICOLOR,,HOUND,477409.0,7Y,7 YEARS,L15-033716,LIC ALTERED,
A429678,DOG,BLACK,,SETTER/RETRIEVE,343296.0,12Y,12 YEARS,D14-052031,LIC ALTERED,SHIVELY
A615068,DOG,BLACK,WHITE,POODLE,529813.0,4Y,4 YEARS,,,
A606120,DOG,TAN,,COLLIE,520971.0,4Y,4 YEARS,L17-022250,LIC ALTERED,
A612941,DOG,TRICOLOR,,TOY,527707.0,8Y,8 YEARS,L17-042549,LIC 3YSR,AUBURNDALE
A602004,DOG,BR BRINDLE,WHITE,MASTIFF,516918.0,2Y,2 YEARS,985112007909921,MICROCHIP ADO,
A611899,CAT,BLACK,,SHORTHAIR,526682.0,2Y,2 YEARS,,,
A598854,DOG,TAN,WHITE,TOY,513768.0,5Y,5 YEARS,RAB9124178,RABIES CERT,BANFIELD
A586130,CAT,BLACK,,SHORTHAIR,501085.0,2Y,2 YEARS,L16-049125,LIC ALTERED,LMAS
A599200,DOG,WHITE,,SPITZ,514107.0,2Y,2 YEARS,L16-018681,LIC ALTERED,
A604657,DOG,BROWN,WHITE,HOUND,519506.0,1Y 6M,1 YEAR 6 MONTHS,L16-023689,LIC ALTERED,
A370180,DOG,BLACK,,TOY,282663.0,9Y,9 YEARS,985112008454510,MICROCHIP ADO,MAS
A611376,DOG,WHITE,APRICOT,TOY,526159.0,10Y,10 YEARS,L16-053354,LIC ALTERED,SHELDEN
A563249,DOG,WHITE,BLACK,POODLE,478175.0,3Y,3 YEARS,,,
A457929,DOG,BLACK,TAN,TERRIER,372074.0,,NO AGE,3Y14-10715,LIC 3Y,AUD
A558202,DOG,TAN,WHITE,HOUND,473120.0,3Y,3 YEARS,L15-0059820,LIC ALTERED,
A603121,DOG,RED,WHITE,COLLIE,518024.0,3Y,3 YEARS,U16-46221,RAB VAC CERT.,
A553924,CAT,BLACK,,SHORTHAIR,468839.0,,NO AGE,0A125B7510,MICROCHIP,
A592922,DOG,BLACK,TAN,TOY,507844.0,2Y,2 YEARS,L15-064917,LIC 3YSR,GASLIGHT
A608594,DOG,UNKNOWN,,TOY,523429.0,,NO AGE,,,
A575802,DOG,WHITE,BROWN,HOUND,490749.0,3Y,3 YEARS,L17-020730,LIC ALTERED,
A453525,DOG,BLACK,WHITE,TERRIER,367623.0,8Y,8 YEARS,4979024D59,MICROCHIP,
A567328,DOG,,,TOY,482266.0,,NO AGE,L15-011137,LIC ALTERED,
A571853,CAT,ORANGE,WHITE,SHORTHAIR,486796.0,2Y,2 YEARS,,,
A569703,DOG,RED,WHITE,TOY,484645.0,3Y,3 YEARS,R15-5082,RAB VAC CERT.,MAS
A627958,CAT,BLACK,WHITE,SHORTHAIR,542631.0,4M,4 MONTHS,985113001481946,MICROCHIP ADO,
A467999,DOG,RED,,SPANIEL,382290.0,6Y,6 YEARS,L15-010542,LIC ALTERED,BARBOUR
A614419,DOG,BLACK,TAN,POODLE,529168.0,10Y,10 YEARS,981020001094591,MICROCHIP,HIGHLANDS
A566907,CAT,BRN TABBY,,SHORTHAIR,481843.0,12Y,12 YEARS,L16-040221,LIC ALTERED,
A377715,DOG,BROWN,,SETTER/RETRIEVE,290312.0,11Y,11 YEARS,L16-018911,LIC ALTERED,GAILOR
A554541,DOG,UNKNOWN,,TOY,469458.0,,NO AGE,,,
A580321,DOG,BROWN,WHITE,MASTIFF,495273.0,4Y,4 YEARS,L15-065307,LIC ALTERED,KHS
A576143,CAT,BLACK,WHITE,SHORTHAIR,491092.0,2Y,2 YEARS,L15-039931,LIC ALTERED,KHS
A520140,DOG,CHOCOLATE,GRAY,SETTER/RETRIEVE,434926.0,4Y,4 YEARS,985112003698874,MICROCHIP,
A604703,DOG,BROWN,WHITE,TOY,519552.0,9Y,9 YEARS,U16-4013,RAB VAC CERT.,
A619957,CAT,GRAY TABBY,CALICO,SHORTHAIR,534685.0,9M,9 MONTHS,L17-028908,LIC ALTERED,LMAS
A558399,DOG,BROWN,GRAY,TOY,473317.0,,NO AGE,L15-038874,LIC ALTERED,DECK
A620851,CAT,BLACK,WHITE,SHORTHAIR,535573.0,3Y,3 YEARS,L17-001183,LIC MULTIPLE,
A489671,DOG,BLACK,BROWN,TOY,404262.0,4Y,4 YEARS,L17-019286,LIC SR,
A283794,DOG,YELLOW,,SETTER/RETRIEVE,218709.0,12Y,12 YEARS,D11-012559,LIC ALTERED,GAILOR
A580053,DOG,BROWN,,MIX,495005.0,8Y,8 YEARS,L15-052152,LIC ALTERED,
A563582,DOG,TAN,WHITE,TOY,478508.0,7Y,7 YEARS,L15-023250,LIC ALTERED,MAS
A551162,DOG,YELLOW,,SETTER/RETRIEVE,466061.0,3Y,3 YEARS,982000364138823,MICROCHIP,
A564646,DOG,WHITE,BROWN,MASTIFF,479575.0,5Y,5 YEARS,,,
A623148,DOG,BLACK,WHITE,SPITZ,537879.0,4Y,4 YEARS,L17-020567,LIC ALTERED,
A592029,DOG,UNKNOWN,,SPITZ,506943.0,,NO AGE,,,
A568496,DOG,WHITE,BLACK,TOY,483437.0,14Y,14 YEARS,L16-010506,LIC ALTERED,COMPANION
A593548,CAT,WHITE,,SHORTHAIR,508473.0,3Y,3 YEARS,985112007085179,MICROCHIP RTO,
A613232,DOG,BLACK,BROWN,MASTIFF,527999.0,8Y,8 YEARS,L17-041305,LIC ALTERED,
A577904,CAT,BRN TABBY,,LONGHAIR,492856.0,9Y,9 YEARS,L15-026440,LIC ALTERED,
A558184,CAT,BLACK,WHITE,SHORTHAIR,473102.0,4Y,4 YEARS,,,
A563740,DOG,BLACK,BROWN,TOY,478666.0,,NO AGE,L14-008679,LIC ALTERED,KHS
A564596,DOG,BLACK,,TOY,479524.0,3Y,3 YEARS,L15-027394,LIC ALTERED,
A567513,CAT,BLACK,,SHORTHAIR,482452.0,15Y,15 YEARS,U15-003407,RABIES CERT,
A580954,DOG,CREAM,,SETTER/RETRIEVE,495908.0,10Y,10 YEARS,L15-031576,LIC 3Y,
A586590,DOG,WHITE,,COLLIE,501544.0,2Y,2 YEARS,L16-043703,LIC ALTERED,
A625234,DOG,BLACK,BROWN,SETTER/RETRIEVE,539969.0,12Y,12 YEARS,,,
A580588,CAT,GRAY TABBY,,SHORTHAIR,495542.0,2Y,2 YEARS,L16-049288,LIC ALTERED,LMAS
A582556,DOG,BR BRINDLE,,MIX,497513.0,2Y,2 YEARS,U16-006407,RABIES CERT,
A622247,DOG,BLACK,,MASTIFF,536971.0,1Y 6M,1 YEAR 6 MONTHS,985113001141216,MICROCHIP ADO,
A161746,DOG,TAN,WHITE,SPITZ,115531.0,15Y,15 YEARS,L15-032239,LIC 3YSR,CHEROKEE
A588504,DOG,BLACK,,MIX,503425.0,,NO AGE,L16-045157,LIC ALTERED,
A337441,DOG,YELLOW,,SETTER/RETRIEVE,148809.0,10Y,10 YEARS,D11-056292,LIC ALTERED,SHIVELY
A448267,DOG,FAWN,,MASTIFF,362272.0,7Y,7 YEARS,L16-022408,LIC ALTERED,
A619392,DOG,BLACK,,TOY,534117.0,9Y,9 YEARS,L17-034948,LIC ALTERED,GOOSE CREE
A575594,CAT,BLACK,WHITE,SHORTHAIR,490541.0,5Y,5 YEARS,L16-039717,LIC ALTERED,
A619788,DOG,BLACK,,SETTER/RETRIEVE,534516.0,4Y,4 YEARS,L17-029657,LIC 3Y,
A619319,DOG,UNKNOWN,,COLLIE,534044.0,,NO AGE,,,
A557005,DOG,TAN,BLACK,TOY,471918.0,3Y,3 YEARS,,,
A594300,CAT,GRAY,,LONGHAIR,509226.0,13Y,13 YEARS,L16-001670,LIC ALTERED,
A585333,DOG,BROWN,,HOUND,500289.0,2Y,2 YEARS,L16-037252,LIC ALTERED,
A378469,DOG,BROWN,BROWN,TOY,291077.0,9Y,9 YEARS,L15-008027,LIC 3Y,LYNDON
A554627,CAT,GRAY,BLK TABBY,SHORTHAIR,469544.0,2Y,2 YEARS,,,
A555674,CAT,UNKNOWN,,SHORTHAIR,470586.0,,NO AGE,,,
A559442,DOG,TRICOLOR,,MASTIFF,474360.0,5Y,5 YEARS,L16-005349,LIC ALTERED,
A623352,OTHER,ORANGE,BLACK,FISH,538082.0,,NO AGE,,,
A600150,CAT,BLK TABBY,,SHORTHAIR,515055.0,1Y 8M,1 YEAR 8 MONTHS,RAB9126422,RABIES CERT,BANFIELD
A516378,CAT,GRAY,,SHORTHAIR,431144.0,,NO AGE,L17-083897,LIC ALTERED,
A582584,CAT,GRAY,,SHORTHAIR,497541.0,2Y,2 YEARS,U16-006455,RABIES CERT,
A595377,DOG,BUFF,,TERRIER,510278.0,2Y,2 YEARS,L16-041154,LIC SR,
A520282,DOG,BLACK,BROWN,MASTIFF,435068.0,4Y,4 YEARS,L14-056643,LIC UNALTERED,BLUE CROSS
A558450,DOG,UNKNOWN,,MASTIFF,473368.0,,NO AGE,,,
A583643,DOG,CHOCOLATE,WHITE,TOY,498608.0,5Y,5 YEARS,985112006836142,MICROCHIP ADO,MAS
A632542,CAT,WHITE,BLACK,SHORTHAIR,547171.0,1Y 1M,1 YEAR 1 MONTH,,,
A566198,DOG,BLACK,,SETTER/RETRIEVE,481133.0,3Y,3 YEARS,985112006050299,MICROCHIP ADO,
A609656,DOG,BLACK,,SHEPHERD,524491.0,1Y 6M,1 YEAR 6 MONTHS,U17-008910,RABIES CERT,
A562148,DOG,BLACK,,POODLE,477076.0,13Y,13 YEARS,L15-008500,LIC ALTERED,
A614510,DOG,BROWN,BLACK,MASTIFF,529259.0,1Y 3M,1 YEAR 3 MONTHS,L17-026584,LIC SR,
A193113,DOG,BLACK,TAN,TOY,192479.0,15Y,15 YEARS,L15-014431,LIC SR,JOHNSON
A579378,DOG,BR BRINDLE,,MIX,494330.0,4Y,4 YEARS,L17-042403,LIC ALTERED,
A609937,CAT,BRN TABBY,WHITE,SHORTHAIR,524772.0,1Y 6M,1 YEAR 6 MONTHS,985113000788285,MICROCHIP ADO,
A262810,CAT,GRAY,,LONGHAIR,45912.0,13Y,13 YEARS,L14-015587,LIC SR,SCHS
A590922,DOG,GOLD,,HOUND,505839.0,9Y,9 YEARS,L17-025365,LIC ALTERED,BARBOUR
A592338,DOG,BLACK,RED,TOY,507255.0,15Y,15 YEARS,L16-039987,LIC ALTERED,
A560177,DOG,BLACK,,SETTER/RETRIEVE,475088.0,2Y,2 YEARS,L15-059600,LIC ALTERED,
A621928,DOG,WHITE,BROWN,MASTIFF,536652.0,2Y,2 YEARS,L17-044377,LIC ALTERED,LMAS
A558816,CAT,UNKNOWN,,SHORTHAIR,473734.0,,NO AGE,,,
A632084,DOG,UNKNOWN,,SPITZ,546707.0,,NO AGE,,,
A551401,DOG,BROWN,,TERRIER,466302.0,7Y,7 YEARS,L16-020461,LIC ALTERED,
A567025,DOG,TRICOLOR,,SPANIEL,481961.0,7Y,7 YEARS,L16-040934,LIC SR,
A569609,DOG,TAN,,MASTIFF,484551.0,4Y,4 YEARS,L15-888888,LIC ALTERED,BARBOUR
A567185,DOG,BROWN,,TOY,482123.0,,NO AGE,L15-012299,LIC ALTERED,
A594304,DOG,WHITE,,MIX,509230.0,1Y 11M,1 YEAR 11 MONTHS,L16-047161,LIC ALTERED,
A622279,DOG,RED,,SETTER/RETRIEVE,537003.0,1Y 6M,1 YEAR 6 MONTHS,L17-028819,LIC ALTERED,MAS
A605234,DOG,WHITE,BLACK,HOUND,520085.0,4Y,4 YEARS,L16-053165,LIC ALTERED,DIXIE
A619474,DOG,LIVER,WHITE,SPANIEL,534199.0,8Y,8 YEARS,L17-025252,LIC ALTERED,BARBOUR
A615164,DOG,BLACK,,TERRIER,529909.0,4Y,4 YEARS,RAB0368689,RABIES CERT,BANFIELD
A569917,DOG,BLACK,TAN,SHEPHERD,484860.0,12Y,12 YEARS,L15-006170,LIC SR,
A571611,DOG,,,TOY,486554.0,8Y,8 YEARS,L16-016462,LIC 3YSR,
A584237,DOG,BLACK,WHITE,HOUND,499196.0,5Y,5 YEARS,L16-000067,LIC ALTERED,METRO
A586549,DOG,BROWN,BLACK,MASTIFF,501503.0,2Y,2 YEARS,L16-037895,LIC ALTERED,
A606365,DOG,BLACK,,HOUND,521218.0,4Y,4 YEARS,U16-008747,RABIES CERT,
A608834,DOG,WHITE,TAN,TERRIER,523669.0,1Y 4M,1 YEAR 4 MONTHS,L16-013204,LIC ALTERED,
A597856,DOG,WHITE,BLACK,SPITZ,512774.0,5Y,5 YEARS,L16-014163VOID,LIC ALTERED,
A574654,DOG,WHITE,BRN,TERRIER,489600.0,14Y,14 YEARS,U15-004909,RABIES CERT,
A571533,DOG,UNKNOWN,,TOY,486476.0,,NO AGE,,,
A583527,DOG,GOLD,GRAY,COLLIE,498492.0,3Y,3 YEARS,985112006605692,MICROCHIP,
A530682,DOG,SILVER,,SETTER/RETRIEVE,445504.0,4Y,4 YEARS,956000002866799,MICROCHIP,
A631459,DOG,TAN,,TOY,546081.0,5Y,5 YEARS,L17-027331,LIC ALTERED,
A447904,DOG,BLUE MERLE,,MASTIFF,361904.0,7Y,7 YEARS,D13-049554,LIC ALTERED,BLUE CROSS
A616540,DOG,TAN,,MASTIFF,531293.0,4Y,4 YEARS,985113001006137,MICROCHIP ADO,LMAS
A578472,DOG,BLACK,,TOY,493424.0,4Y,4 YEARS,L15-053483,LIC 3Y,REINHART
A573661,DOG,BROWN,BLACK,TOY,488604.0,5Y,5 YEARS,L15-061876,LIC ALTERED,SHIVELY
A570486,DOG,RED,,TOY,485430.0,2Y,2 YEARS,RAB9365292,RABIES CERT,BANFIELD
A574830,DOG,WHITE,,TOY,489776.0,6Y,6 YEARS,985112006515070,MICROCHIP ADO,MAS
A573181,CAT,TORTIE,,SHORTHAIR,488124.0,4Y,4 YEARS,,,
A595779,DOG,BROWN,BROWN,MASTIFF,510695.0,1Y 11M,1 YEAR 11 MONTHS,985112007782327,MICROCHIP ADO,MAS
A485039,DOG,TAN,BLACK,TOY,399590.0,10Y,10 YEARS,L16-048917,LIC ALTERED,
A629473,DOG,BROWN,,MIX,544108.0,,NO AGE,L17-010768,LIC ALTERED,
A613779,CAT,WHITE,,LONGHAIR,528534.0,8Y,8 YEARS,L17-040129,LIC ALTERED,AUDUBON
A556700,DOG,WHITE,BLACK,SETTER/RETRIEVE,471613.0,3Y,3 YEARS,R15-0695,RAB VAC CERT.,MAS
A570138,DOG,WHITE,,TOY,485081.0,7Y,7 YEARS,L15-044462,LIC ALTERED,
A630462,DOG,BROWN,,HOUND,545095.0,,NO AGE,L17-083305,LIC MULTIPLE,HUM. SUC O
A582291,DOG,,,SETTER/RETRIEVE,497248.0,,NO AGE,L15-051119,LIC ALTERED,
A551385,DOG,BLACK,,MASTIFF,466286.0,3Y,3 YEARS,982000357720285,MICROCHIP,
A545488,CAT,YLW TABBY,,SHORTHAIR,460359.0,10Y,10 YEARS,L16-017566,LIC SR,
A581041,DOG,BLUE,GOLD,TOY,495997.0,2Y,2 YEARS,L15-053555,LIC SR,AUBURNDALE
A604213,DOG,TAN,,TOY,519073.0,3Y,3 YEARS,985113000071621,MICROCHIP,BANFIELD
A599467,DOG,WHITE,,MIX,514371.0,7Y,7 YEARS,L16-047783,RABIES CERT,
A596800,DOG,BROWN,WHITE,MASTIFF,511725.0,3Y,3 YEARS,L16-004045,LIC ALTERED,SNIP
A551996,DOG,SABLE,WHITE,COLLIE,466904.0,3Y,3 YEARS,L16-035528,LIC UNALTERED,LYNDON
A601256,DOG,GOLD,,SETTER/RETRIEVE,516164.0,2Y,2 YEARS,L15-004619,LIC ALTERED,GAILOR
A500858,DOG,TAN,,MASTIFF,415513.0,,NO AGE,D14-006681,LIC ALTERED,DERBY CITY
A570310,DOG,TRICOLOR,,TERRIER,485254.0,7Y,7 YEARS,L15-053732,LIC UNALTERED,
A416339,DOG,BR BRINDLE,,SETTER/RETRIEVE,329651.0,8Y,8 YEARS,L16-014510,LIC ALTERED,
A607457,DOG,UNKNOWN,,SETTER/RETRIEVE,522288.0,,NO AGE,,,
A628560,DOG,BLACK,,COLLIE,543201.0,,NO AGE,L17-000783,LIC ALTERED,
A562462,DOG,BROWN,,MASTIFF,477390.0,3Y,3 YEARS,U16-007688,RABIES CERT,DEF3
A596278,DOG,BLACK,BROWN,TOY,511194.0,6Y,6 YEARS,L16-003176,LIC ALTERED,CHEROKEE
A593201,DOG,BLACK,,MASTIFF,508124.0,2Y,2 YEARS,L16-015965,LIC UNALTERED,
A606288,CAT,WHITE,,LONGHAIR,521140.0,11Y,11 YEARS,L17-013264,LIC ALTERED,MAS
A514570,DOG,BR BRINDLE,,TOY,429333.0,,NO AGE,L15-005031,LIC ALTERED,
A509747,DOG,TRICOLOR,,HOUND,424470.0,7Y,7 YEARS,L16-032963,LIC ALTERED,IROQUOIS
A592812,DOG,TAN,,SHEPHERD,507730.0,2Y,2 YEARS,985112007307056,MICROCHIP ADO,MAS
A616675,DOG,RED,,SETTER/RETRIEVE,531428.0,2Y,2 YEARS,985113000874767,MICROCHIP RTO,
A571143,DOG,TRICOLOR,,HOUND,486086.0,5Y,5 YEARS,U15-44747,RAB VAC CERT.,SENECA
A550744,DOG,GOLD,,SETTER/RETRIEVE,465639.0,8Y,8 YEARS,L16-015462,LIC ALTERED,BARBOUR
A550847,DOG,BLACK,,SETTER/RETRIEVE,465742.0,8Y,8 YEARS,L14-044177,LIC ALTERED,AUDUBON
A570673,CAT,GRAY,,LONGHAIR,485616.0,19Y,19 YEARS,L15-014901,LIC ALTERED,
A559697,DOG,BLACK,,HOUND,474614.0,8Y,8 YEARS,U15-002253,RABIES CERT,
A609838,CAT,ORANGE,GRAY,SHORTHAIR,524672.0,1Y 6M,1 YEAR 6 MONTHS,L16-013500,LIC ALTERED,KHS
A579753,DOG,UNKNOWN,,POODLE,494705.0,,NO AGE,,,
A631925,CAT,GRAY TABBY,,SHORTHAIR,546548.0,1Y 1M,1 YEAR 1 MONTH,,,
A572656,DOG,GOLD,,SETTER/RETRIEVE,487597.0,5Y,5 YEARS,982000357574462,MICROCHIP,
A576586,CAT,BLACK,,SHORTHAIR,491535.0,2Y,2 YEARS,L15-054088,LIC ALTERED,CHEROKEE
A560444,CAT,BLK TABBY,,LONGHAIR,475358.0,12Y,12 YEARS,R15-52014,RAB VAC CERT.,AUBURNDALE
A599240,DOG,CREAM,,POODLE,514146.0,3Y,3 YEARS,L17-027657,LIC ALTERED,
A566090,DOG,BLACK,TAN,SHEPHERD,481024.0,3Y,3 YEARS,L15-028625,LIC SR,
A556695,CAT,WHITE,ORANGE,SHORTHAIR,471608.0,9Y,9 YEARS,L15-001473,LIC ALTERED,
A574104,DOG,BLACK,WHITE,COLLIE,489049.0,11Y,11 YEARS,,,
A600000,DOG,YELLOW,,HOUND,514904.0,7Y,7 YEARS,021098315,MICROCHIP,
A573450,DOG,BROWN,WHITE,HOUND,488393.0,3Y,3 YEARS,L15-019467,LIC ALTERED,KHS
A604962,DOG,BLACK,,SETTER/RETRIEVE,519812.0,3Y,3 YEARS,L16-006339,LIC ALTERED,MAS
A588519,CAT,GRAY,WHITE,SHORTHAIR,503440.0,9Y,9 YEARS,RAB-52559,RAB VAC CERT.,AUBURNDALE
