animal_id,animal_type,primary_color,secondary_color,breed_group,animal_identity,age_now,age_long,tag_no,tag_type,vaccine
A597921,DOG,RED,,TOY,512839.0,1Y 11M,1 YEAR 11 MONTHS,RAB9124220,RABIES CERT,BANFIELD
A619559,DOG,UNKNOWN,,SETTER/RETRIEVE,534284.0,,NO AGE,,,
A630001,CAT,GRAY,BLACK,SHORTHAIR,544632.0,16Y,16 YEARS,L17-048439,LIC ALTERED,
A620001,CAT,TORTIE,,SHORTHAIR,534730.0,8Y,8 YEARS,RAB766512,RABIES CERT,BANFIELD
A588173,CAT,GRAY,,SHORTHAIR,503120.0,9Y,9 YEARS,L16-056367,LIC ALTERED,
A567672,DOG,CREAM,,SETTER/RETRIEVE,482611.0,3Y,3 YEARS,L16-020206,LIC ALTERED,
A575459,DOG,WHITE,,SETTER/RETRIEVE,490406.0,2Y,2 YEARS,985112006515116,MICROCHIP RTO,
A257930,DOG,BLACK,TRICOLOR,COLLIE,204637.0,12Y,12 YEARS,D08-022949,LIC ALTERED,BROWNSBORO
A627220,DOG,BROWN,WHITE,HOUND,541907.0,2Y,2 YEARS,985113001193598,MICROCHIP ADO,
A607773,DOG,CREAM,,POODLE,522604.0,11Y,11 YEARS,R17-5896,RAB VAC CERT.,MAS
A624444,DOG,BLACK,WHITE,COLLIE,539167.0,8Y,8 YEARS,L17-042711,LIC 3YSR,
A610536,CAT,GRAY,WHITE,SHORTHAIR,525345.0,5Y,5 YEARS,A0A13240B3C,MICROCHIP,BANFIELD
A558627,CAT,WHITE,GRAY,SHORTHAIR,473545.0,4Y,4 YEARS,L16-026204,LIC ALTERED,AUDUBON
A604153,DOG,BROWN,,MASTIFF,519013.0,11Y,11 YEARS,U16-46343,RAB VAC CERT.,
A588143,DOG,BUFF,,TOY,503093.0,17Y,17 YEARS,L16-055297,LIC ALTERED,
A604426,DOG,BLACK,,SETTER/RETRIEVE,519274.0,2Y,2 YEARS,L16-018465,LIC ALTERED,
A550670,DOG,TAN,WHITE,MASTIFF,465565.0,,NO AGE,,,
A583450,DOG,BUFF,,MASTIFF,498415.0,9Y,9 YEARS,L16-036444,LIC ALTERED,
A592315,DOG,FAWN,,MASTIFF,507232.0,2Y,2 YEARS,,,
A583522,DOG,BR BRINDLE,WHITE,SIGHTHOUND,498487.0,4Y,4 YEARS,L16-036474,LIC ALTERED,
A628634,DOG,BROWN,BLACK,SHEPHERD,543273.0,7Y,7 YEARS,L17-083219,LIC UNALTERED,
A565371,DOG,BLACK,,TERRIER,480302.0,10Y,10 YEARS,L16-031039,LIC ALTERED,GOOSE CREE
A560425,CAT,BLACK,WHITE,LONGHAIR,475339.0,5Y,5 YEARS,L15-059604,LIC ALTERED,
A583636,DOG,BLACK,TAN,SHEPHERD,498601.0,2Y,2 YEARS,L17-015288,LIC ALTERED,
A597805,DOG,BLACK,WHITE,TOY,512721.0,2Y,2 YEARS,,,
A596982,CAT,GRAY,,SHORTHAIR,511907.0,9Y,9 YEARS,L16-047191,LIC ALTERED,
A296459,DOG,BLACK,WHITE,TERRIER,188577.0,11Y,11 YEARS,L14-038369,LIC MULTIPLE,
A551408,DOG,TRICOLOR,,MIX,466309.0,4Y,4 YEARS,L15-042004,LIC ALTERED,
A567166,DOG,TRICOLOR,,TOY,482104.0,9Y,9 YEARS,L17-003034,LIC ALTERED,
A564118,DOG,BLACK,,TOY,479044.0,10Y,10 YEARS,L15-018473,LIC ALTERED,
A573803,DOG,BLUE,WHITE,MASTIFF,488746.0,3Y,3 YEARS,L15-007113,LIC ALTERED,
A596692,CAT,ORG TABBY,,SHORTHAIR,511617.0,3Y,3 YEARS,L16-015055,LIC ALTERED,BARBOUR
A556514,DOG,UNKNOWN,,SHEPHERD,471427.0,,NO AGE,,,
A492569,DOG,WHITE,,TOY,407181.0,,NO AGE,L14-043398,LIC SR,DR JOHNS
A625519,DOG,BR BRINDLE,,MASTIFF,540254.0,1Y 4M,1 YEAR 4 MONTHS,985113001161406,MICROCHIP RTO,
A571875,DOG,TAN,BLACK,TOY,486818.0,7Y,7 YEARS,U15-004025,RABIES CERT,
A572153,DOG,BLACK,TAN,SHEPHERD,487096.0,3Y,3 YEARS,985112005441471,MICROCHIP,
A257382,DOG,BLACK,WHITE,TERRIER,159316.0,13Y,13 YEARS,D11-017464,LIC SR,MIDDLETOWN
A538512,CAT,BRN TABBY,WHITE,SHORTHAIR,453380.0,4Y,4 YEARS,985112004692150,MICROCHIP ADO,
A481034,DOG,BLACK,,SETTER/RETRIEVE,395504.0,7Y,7 YEARS,L14-044099,LIC ALTERED,AUDUBON
A562649,DOG,GRAY,,SPITZ,477574.0,13Y,13 YEARS,L16-014323,LIC ALTERED,METRO
A521957,DOG,BLACK,,TOY,436747.0,16Y,16 YEARS,L14-051081,LIC ALTERED,
A555843,DOG,WHITE,,TERRIER,470755.0,,NO AGE,L14-042515,LIC ALTERED,
A583886,CAT,UNKNOWN,,LONGHAIR,498851.0,,NO AGE,,,
