Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£),Unnamed: 10,Unnamed: 11
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,23.02.2018,16.03.2018,GPC02180000170,50.00,,
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44537000,Staff Training,Human Resources  ,22.02.2018,16.03.2018,GPC02180000171,303.96,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Staff Training,Human Resources  ,23.02.2018,16.03.2018,GPC02180000172,313.50,,
Stockport MBC,Services to People,Childrens & Educational Services,HM PASSPORT OFFICE,Care Payments,Social Community Care Supplies & Services  ,22.02.2018,16.03.2018,GPC02180000173,46.00,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,21.02.2018,16.03.2018,GPC02180000174,214.50,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Staff Training,Human Resources  ,20.02.2018,16.03.2018,GPC02180000175,46.30,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,20.02.2018,16.03.2018,GPC02180000176,22.75,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBEFSNV FSNVL9,Care Payments,Social Community Care Supplies & Services  ,20.02.2018,16.03.2018,GPC02180000177,255.99,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBEFSP9 FSP98P,Care Payments,Social Community Care Supplies & Services  ,20.02.2018,16.03.2018,GPC02180000178,165.98,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBEFSR7 FSR7KN,Care Payments,Social Community Care Supplies & Services  ,20.02.2018,16.03.2018,GPC02180000179,82.99,,
