Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Adult Social Care,NORTHERN RAIL LTD-,Travelling Expenses,Human Resources Travel & Subsistence ,21.05.2018,16.06.2018,GPC05180000001,8.90
Stockport MBC,Services to People,Adult Social Care,NH BRUSSELS EU BERLAYM,Expenses and Allowances,Human Resources Travel & Subsistence ,04.05.2018,16.06.2018,GPC05180000002,299.45
Stockport MBC,Services to People,Adult Social Care,LE MARMITON,Expenses and Allowances,Human Resources Travel & Subsistence ,03.05.2018,16.06.2018,GPC05180000003,32.67
Stockport MBC,Services to People,Adult Social Care,EXKI,Expenses and Allowances,Human Resources Travel & Subsistence ,03.05.2018,16.06.2018,GPC05180000004,2.28
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,02.05.2018,16.06.2018,GPC05180000005,32.28
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,02.05.2018,16.06.2018,GPC05180000006,12.90
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 5GEBMF2UU2,Publicity and Promotion,Facilities & Management Services  ,31.05.2018,16.06.2018,GPC05180000007,8.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 3GEBMF2UU2,Publicity and Promotion,Facilities & Management Services  ,31.05.2018,16.06.2018,GPC05180000008,9.56
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK AFBN2GELG2,Publicity and Promotion,Facilities & Management Services  ,31.05.2018,16.06.2018,GPC05180000009,4.01
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK ZEBN2GELG2,Publicity and Promotion,Facilities & Management Services  ,31.05.2018,16.06.2018,GPC05180000010,140.66
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK G3HLKF2UU2,Publicity and Promotion,Facilities & Management Services  ,27.05.2018,16.06.2018,GPC05180000011,43.80
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK E3HLKF2UU2,Publicity and Promotion,Facilities & Management Services  ,27.05.2018,16.06.2018,GPC05180000012,556.20
Stockport MBC,Corporate and Support Services,Central Support Costs,POST OFFICE COUNTER,Publicity and Promotion,Facilities & Management Services  ,25.05.2018,16.06.2018,GPC05180000013,50.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,25.05.2018,16.06.2018,GPC05180000014,7.19
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,24.05.2018,16.06.2018,GPC05180000015,18.53
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,23.05.2018,16.06.2018,GPC05180000016,5.90
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,22.05.2018,16.06.2018,GPC05180000017,17.37
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,21.05.2018,16.06.2018,GPC05180000018,34.19
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,18.05.2018,16.06.2018,GPC05180000019,3.34
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,16.05.2018,16.06.2018,GPC05180000020,14.41
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,15.05.2018,16.06.2018,GPC05180000021,6.35
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,14.05.2018,16.06.2018,GPC05180000022,43.17
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,11.05.2018,16.06.2018,GPC05180000023,6.83
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,10.05.2018,16.06.2018,GPC05180000024,28.72
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,04.05.2018,16.06.2018,GPC05180000025,5.78
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,03.05.2018,16.06.2018,GPC05180000026,20.16
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,02.05.2018,16.06.2018,GPC05180000027,7.67
Stockport MBC,Services to People,Childrens & Educational Services,DORSETT CITY HOTEL,Expenses and Allowances,Catering  ,18.05.2018,16.06.2018,GPC05180000028,179.10
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.05.2018,16.06.2018,GPC05180000029,-32.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.05.2018,16.06.2018,GPC05180000030,-74.80
