CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,ACTION,VIOLATION CODE,INSPECTION TYPE,NTA
50004149,CHIPOTLE MEXICAN GRILL,Manhattan,504,6 AVENUE,10011.0,6462139609,Tex-Mex,D,10F,Cycle Inspection / Initial Inspection,MN23
41164793,LATINO'S BAR & GRILL RESTAURANT,Manhattan,3864,BROADWAY,10032.0,2127401313,Latin American,U,04N,Cycle Inspection / Re-inspection,MN36
50088634,MARSHALL STREET-ATOMIC WINGS,Manhattan,306,EAST   49 STREET,10017.0,6469984910,Chicken,F,04A,Cycle Inspection / Initial Inspection,MN19
50011059,PARDON MY FRENCH,Manhattan,103,AVENUE B,10009.0,2123589683,French,F,09C,Cycle Inspection / Initial Inspection,MN28
41676543,BLUE SPOON,Manhattan,90,WILLIAM STREET,10038.0,2128098880,American,D,10F,Cycle Inspection / Re-inspection,MN25
40383511,BRANDY'S PIANO BAR,Manhattan,235,EAST   84 STREET,10028.0,2127444949,American,P,08A,Cycle Inspection / Initial Inspection,MN32
50071419,MIN JIANG MEI SHI,Brooklyn,5820,7 AVENUE,11220.0,7185673577,Chinese,U,06A,Cycle Inspection / Initial Inspection,BK34
40698537,EL CENTRO,Manhattan,824,9 AVENUE,10019.0,6467636585,Mexican,F,10B,Cycle Inspection / Initial Inspection,MN15
50004146,CRYSTAL'S RESTAURANT,Queens,99-11,39 AVENUE,11368.0,3475369223,Latin American,P,10F,Cycle Inspection / Initial Inspection,QN26
50078228,PAPA JOHN'S PIZZA,Queens,19318,NORTHERN BLVD,11358.0,5162704683,Pizza,D,10F,Cycle Inspection / Compliance Inspection,QN48
40396532,METRO DINER,Manhattan,2641,BROADWAY,10025.0,2128660800,American,P,02G,Cycle Inspection / Initial Inspection,MN12
41558982,GOLDEN EAGLE RESTAURANT,Bronx,97579,MORRIS PARK AVENUE,,7188634028,American,P,04N,Cycle Inspection / Initial Inspection,
41397464,SAMMY'S ORIGINAL SHRIMP BOX,Bronx,64,CITY ISLAND AVENUE,10464.0,7188853200,Seafood,U,06D,Cycle Inspection / Initial Inspection,BX10
41272891,THE KATI ROLL COMPANY,Manhattan,49,WEST   39 STREET,10018.0,2127304280,Indian,D,02G,Cycle Inspection / Initial Inspection,MN17
40393772,INDO CHINE,Manhattan,430,LAFAYETTE STREET,10003.0,2125055111,Asian/Asian Fusion,D,10F,Cycle Inspection / Initial Inspection,MN23
41393791,HOTEL CHANTELLE,Manhattan,92,LUDLOW STREET,10002.0,2122549100,American,F,02B,Cycle Inspection / Initial Inspection,MN27
50045891,BARANO,Brooklyn,26,BROADWAY,11249.0,3472970013,Italian,F,02H,Cycle Inspection / Initial Inspection,BK73
50066822,NUCHAS,Manhattan,00,BROADWAY PLAZA,,2129471753,Spanish,B,,Cycle Inspection / Initial Inspection,
50036400,SKYVIEW DINER,Bronx,2365,WESTCHESTER AVENUE,10462.0,7187086665,American,D,10F,Cycle Inspection / Re-inspection,BX59
40693952,J.R'S CABARET,Bronx,1625,EAST  233 STREET,10466.0,7183259711,American,P,04L,Cycle Inspection / Initial Inspection,BX03
50008317,EL PATRON RESTAURANT & LOUNGE,Staten Island,520,BAY STREET,10304.0,3478617065,Mexican,D,02H,Cycle Inspection / Re-inspection,SI37
50049617,BAKERY MOCANA,Manhattan,1540,SAINT NICHOLAS AVENUE,10040.0,2127401190,Bakery Products/Desserts,F,04M,Cycle Inspection / Initial Inspection,MN35
50062660,THAISM,Brooklyn,278,SMITH STREET,11231.0,7188340505,Thai,F,04A,Cycle Inspection / Initial Inspection,BK33
50059647,U N RESTAURANT,Manhattan,348,EAST   49 STREET,10017.0,2128886103,Chinese,E,10H,Pre-permit (Non-operational) / Initial Inspection,MN19
41531139,EUGENE O'NEILL THEATRE,Manhattan,230,WEST   49 STREET,10019.0,2125825472,American,D,10F,Cycle Inspection / Re-inspection,MN17
41390998,CAFE OLYMPIA,Manhattan,833,2 AVENUE,10017.0,2128838383,American,P,08A,Cycle Inspection / Initial Inspection,MN19
50000233,PALM COURT,Manhattan,768,FIFTH AVE,10019.0,2127593000,American,D,10F,Cycle Inspection / Initial Inspection,MN17
50043677,CAFFE BENE,Queens,8027,37TH AVE,11372.0,3478089849,Coffee/Tea,F,04M,Cycle Inspection / Initial Inspection,QN28
50007628,LUCKY STAR CHINESE RESTAURANT,Queens,3903,104TH ST,11368.0,7184573560,Chinese,D,10F,Cycle Inspection / Re-inspection,QN26
50080553,TROPILYZ B RESTAURANT,Bronx,2462,GRAND CONCOURSE,10458.0,7186187836,Spanish,D,02B,Pre-permit (Operational) / Initial Inspection,BX05
50079655,"EAST VILLAGE TAVERN , DAY TRIPPER",Manhattan,158,AVENUE C,10009.0,6465907929,Mexican,D,02C,Cycle Inspection / Initial Inspection,MN28
50078406,CROWN FRIED CHICKEN & PIZZA,Brooklyn,10309,GLENWOOD ROAD,11236.0,9294318788,Chicken,G,02G,Pre-permit (Operational) / Initial Inspection,BK50
50000546,KING DAVID LOUNGE,Queens,NKA,jfk internaional airport,11430.0,7182443108,Jewish/Kosher,D,04L,Cycle Inspection / Initial Inspection,QN98
