Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Services to the public,THE WINDOW FILM COMPAN,Furniture and Equipment,Furniture & Soft Furnishings  ,30.07.2018,16.08.2018,GPC07180000001,32.99
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK H6D5LGWTU2,Publicity and Promotion,Facilities & Management Services  ,31.07.2018,16.08.2018,GPC07180000002,21.91
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK G6D5LGWTU2,Publicity and Promotion,Facilities & Management Services  ,31.07.2018,16.08.2018,GPC07180000003,130.71
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK PSCFJGWLG2,Publicity and Promotion,Facilities & Management Services  ,31.07.2018,16.08.2018,GPC07180000004,97.86
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK XSCFJGWLG2,Publicity and Promotion,Facilities & Management Services  ,31.07.2018,16.08.2018,GPC07180000005,109.47
Stockport MBC,Corporate and Support Services,Central Support Costs,ADOBE  CREATIVE CLOUD,Publicity and Promotion,Facilities & Management Services  ,27.07.2018,16.08.2018,GPC07180000006,708.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK P8FTBGNUU2,Publicity and Promotion,Facilities & Management Services  ,26.07.2018,16.08.2018,GPC07180000007,98.51
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK N8FTBGNUU2,Publicity and Promotion,Facilities & Management Services  ,26.07.2018,16.08.2018,GPC07180000008,501.49
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK C33S2H2MG2,Publicity and Promotion,Facilities & Management Services  ,23.07.2018,16.08.2018,GPC07180000009,134.26
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 633S2H2MG2,Publicity and Promotion,Facilities & Management Services  ,23.07.2018,16.08.2018,GPC07180000010,465.74
Stockport MBC,Corporate and Support Services,Central Support Costs,TWITTER ONLINE ADS,Publicity and Promotion,Facilities & Management Services  ,20.07.2018,16.08.2018,GPC07180000011,79.00
Stockport MBC,Corporate and Support Services,Central Support Costs,POST OFFICE COUNTER,Publicity and Promotion,Facilities & Management Services  ,10.07.2018,16.08.2018,GPC07180000012,75.00
Stockport MBC,Corporate and Support Services,Central Support Costs,WH SMITH,Publicity and Promotion,Facilities & Management Services  ,10.07.2018,16.08.2018,GPC07180000013,200.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,19.07.2018,16.08.2018,GPC07180000014,11.91
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,18.07.2018,16.08.2018,GPC07180000015,11.02
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,17.07.2018,16.08.2018,GPC07180000016,12.69
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,16.07.2018,16.08.2018,GPC07180000017,27.50
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,11.07.2018,16.08.2018,GPC07180000018,11.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,10.07.2018,16.08.2018,GPC07180000019,16.13
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,09.07.2018,16.08.2018,GPC07180000020,28.22
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.07.2018,16.08.2018,GPC07180000021,13.45
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,04.07.2018,16.08.2018,GPC07180000022,3.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,03.07.2018,16.08.2018,GPC07180000023,12.84
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,02.07.2018,16.08.2018,GPC07180000024,28.01
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,02.07.2018,16.08.2018,GPC07180000025,2.10
Stockport MBC,Corporate and Support Services,Central Support Costs,THE MAKATON CHARIT,Professional Fees,Consultancy   ,23.07.2018,16.08.2018,GPC07180000026,80.00
Stockport MBC,Corporate and Support Services,Central Support Costs,THE MAKATON CHARIT,Professional Fees,Consultancy   ,23.07.2018,16.08.2018,GPC07180000027,70.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,13.07.2018,16.08.2018,GPC07180000028,91.10
Stockport MBC,Services to People,Childrens & Educational Services,EB  EFFECTIVE EDUCATIO,Expenses and Allowances,Human Resources Training & Conferences ,05.07.2018,16.08.2018,GPC07180000029,84.43
Stockport MBC,Services to People,Childrens & Educational Services,SERENATA FLOWERS,Expenses and Allowances,Human Resources Travel & Subsistence ,30.07.2018,16.08.2018,GPC07180000030,29.99
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44016505,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,25.07.2018,16.08.2018,GPC07180000031,87.50
Stockport MBC,Services to People,Childrens & Educational Services,SERENATA FLOWERS,Expenses and Allowances,Human Resources Travel & Subsistence ,25.07.2018,16.08.2018,GPC07180000032,29.99
Stockport MBC,Corporate and Support Services,Central Support Costs,BYTE ELECTRNCS UK LT -,Information and Communications Technology,Information Communication Technology  ,11.07.2018,16.08.2018,GPC07180000033,977.81
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,IAPP,Fees and Charges,Human Resources Training & Conferences ,10.07.2018,16.08.2018,GPC07180000034,"1,007.99"
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,IAPP,Fees and Charges,Human Resources Training & Conferences ,10.07.2018,16.08.2018,GPC07180000035,428.10
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,IAPP,Fees and Charges,Human Resources Training & Conferences ,09.07.2018,16.08.2018,GPC07180000036,526.74
Stockport MBC,Services to People,Childrens & Educational Services,HTTP://WWW.ROBOKASSA.R,Furniture and Equipment,Furniture & Soft Furnishings  ,01.08.2018,16.08.2018,GPC07180000037,16.32
Stockport MBC,Services to People,Childrens & Educational Services,HTTP://WWW.ROBOKASSA.R,Furniture and Equipment,Furniture & Soft Furnishings  ,31.07.2018,16.08.2018,GPC07180000038,16.32
Stockport MBC,Services to People,Childrens & Educational Services,HTTP://WWW.ROBOKASSA.R,Furniture and Equipment,Furniture & Soft Furnishings  ,31.07.2018,16.08.2018,GPC07180000039,16.32
Stockport MBC,Services to People,Childrens & Educational Services,HTTP://WWW.ROBOKASSA.R,Furniture and Equipment,Furniture & Soft Furnishings  ,01.08.2018,16.08.2018,GPC07180000040,16.32
Stockport MBC,Services to People,Childrens & Educational Services,HTTP://WWW.ROBOKASSA.R,Furniture and Equipment,Furniture & Soft Furnishings  ,27.07.2018,16.08.2018,GPC07180000041,16.13
