Taxonomic_Serial_Numbers,Scientific_Names,English_Names,French_Names,Family_Scientific_Names,English_Species_Risk_Groups,French_Species_Risk_Groups
81496,Mercenaria mercenaria,Round Clam,,Veneridae,Subject to Marine Toxins,Sujet aux toxines marines
81496,Mercenaria mercenaria,Cherry Stone,,Veneridae,Subject to Marine Toxins,Sujet aux toxines marines
81496,Mercenaria mercenaria,Hard-shell Clam,,Veneridae,Subject to Marine Toxins,Sujet aux toxines marines
81496,Mercenaria mercenaria,Clam,,Veneridae,Subject to Marine Toxins,Sujet aux toxines marines
81439,Meretrix lyrata,Clam,Palourde,Meretricinae,Subject to Marine Toxins,Sujet aux toxines marines
81439,Meretrix meretrix,Clam,Palourde,Veneridae,Subject to Marine Toxins,Sujet aux toxines marines
164758,Merlangius merlangus,Whiting,Merlan D'europe,Gadidae,,
164758,Merlangius merlangus,European Whiting,Merlan,Gadidae,,
164797,Merluccius australis,Southern Hake,Merlu Austral,Merlucciidae,,
164791,Merluccius bilinearis,Southwest Atlantic Hake,Merlu De L'atlantique Sud-ouest,Merlucciidae,,
164791,Merluccius bilinearis,Whiting,,Merlucciidae,,
164791,Merluccius bilinearis,Silver Hake,Merlu De L'atlantique,Merlucciidae,,
164791,Merluccius bilinearis,Hake,Merlu Argenté,Merlucciidae,,
164791,Merluccius bilinearis,Atlantic Whiting,Merlu,Merlucciidae,,
164798,Merluccius capensis,Cape Capensis,Merlu Du Cap,Merlucciidae,,
164798,Merluccius capensis,Cape Whiting,,Merlucciidae,,
164798,Merluccius capensis,Cape Hake,,Merlucciidae,,
164799,Merluccius gayi gayi,Hake,Merlu,Merlucciidae,,
164799,Merluccius gayi gayi,Whiting,,Merlucciidae,,
164799,Merluccius gayi peruanus,Hake,Merlu,Merlucciidae,,
164799,Merluccius gayi peruanus,Whiting,,Merlucciidae,,
164800,Merluccius hubbsi,Southwest Atlantic Whiting,Merlu De L'atlantique Sud-ouest,Merlucciidae,,
164800,Merluccius hubbsi,Argentine Hake,Merlu,Merlucciidae,,
164800,Merluccius hubbsi,Atlantic Whiting,Merlu Argenté,Merlucciidae,,
164800,Merluccius hubbsi,Patagonian Silver Hake,Merlu Argenté Patagonie,Merlucciidae,,
164800,Merluccius hubbsi,Southwest Atlantic Hake,Merlu De L'atlantique,Merlucciidae,,
164800,Merluccius hubbsi,Whiting,,Merlucciidae,,
164800,Merluccius hubbsi,Silver Hake,Merlu Argentin,Merlucciidae,,
164795,Merluccius merluccius,Whiting,,Merlucciidae,,
164795,Merluccius merluccius,European Hake,Merlu,Merlucciidae,,
164795,Merluccius merluccius,Hake,Merlu Commun,Merlucciidae,,
164796,Merluccius paradoxus,Cape Hake,Merlu Du Cap,Merlucciidae,,
164796,Merluccius paradoxus,Cape Whiting,,Merlucciidae,,
164796,Merluccius paradoxus,Hake,Merlu,Merlucciidae,,
164792,Merluccius productus,Pacific Whiting,,Merlucciidae,,
164792,Merluccius productus,Pacific Hake,Merlu Du Pacifique,Merlucciidae,,
164792,Merluccius productus,Hake,Merlu,Merlucciidae,,
164792,Merluccius productus,Whiting,,Merlucciidae,,
552935,Metanephrops challengeri,Scampi,Langoustine,Nephropidae,,
552940,Metanephrops rubellus,Scampi,Langoustine,Nephropidae,,
552941,Metanephrops sagamiensis,Scampi,Langoustine,Nephropidae,,
552941,Metanephrops sagamiensis,Taiwanese Scampi,,Nephropidae,,
552944,Metanephrops thomsoni,Scampi,Langoustine,Nephropidae,,
95687,Metapenaeopsis barbata,Prawn,,Penaeidae,,
95687,Metapenaeopsis barbata,Shrimp,Crevette,Penaeidae,,
95784,Metapenaeus affinis,Shrimp,Crevette,Penaeidae,,
95793,Metapenaeus brevicornis,Shrimp,Crevette,Penaeidae,,
95803,Metapenaeus dobsoni,Shrimp,Crevette,Penaeidae,,
95814,Metapenaeus ensis,Shrimp,Crevette,Penaeidae,,
95850,Metapenaeus monoceros,Shrimp,Crevette,Penaeidae,,
164720,Microgadus tomcod,Atlantic Tomcod,Poulamon,Gadidae,,
164720,Microgadus tomcod,Tomcod,,Gadidae,,
164775,Micromesistius australis,Blue Whiting,Morue Bleue,Gadidae,,
164775,Micromesistius australis,Blue Cod,Merlan Bleu Austral,Gadidae,,
164775,Micromesistius australis,Southern Blue Whiting,,Gadidae,,
164774,Micromesistius poutassou,Blue Whiting,Merlan,Gadidae,,
164774,Micromesistius poutassou,Whiting,Merlan Bleu,Gadidae,,
169285,Micropogonias furnieri,Whitemouth Drummer,,Sciaenidae,,
169285,Micropogonias furnieri,Croaker,Tambour,Sciaenidae,,
169283,Micropogonias undulatus,Atlantic Croaker,Tambour Brésilien,Sciaenidae,,
169283,Micropogonias undulatus,Croaker,,Sciaenidae,,
550562,Micropterus dolomieu,Smallmouth Bass,Achigan À Petite Bouche,Centrarchidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
168160,Micropterus salmoides,Largemouth Bass,Achigan À Grande Bouche,Centrarchidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
616051,Microstomus bathybius,,Sole,Pleuronectidae,,
616051,Microstomus bathybius,Deepsea Sole,Plie,Pleuronectidae,,
616051,Microstomus bathybius,Flounder,Sole,Pleuronectidae,,
616051,Microstomus bathybius,Sole,,Pleuronectidae,,
172888,Microstomus kitt,Lemon Sole,Limande Sole Commune,Pleuronectidae,,
172888,Microstomus kitt,Sole,Plie,Pleuronectidae,,
172888,Microstomus kitt,Flounder,Limande Sole,Pleuronectidae,,
172887,Microstomus pacificus,Dover Sole,Limande Sole,Pleuronectidae,,
172887,Microstomus pacificus,Sole,Plie,Pleuronectidae,,
172887,Microstomus pacificus,Flounder,Limande Sole Du Pacifique,Pleuronectidae,,
640096,Misgurnus mizolepis,Mud Loach,Loche,Cobitidae,,
0,Mixed Species,Mixed Species,Espêces Variés,na,,
79501,Modiolus modiolus,Mussel,Moule,Mytilidae,Subject to Marine Toxins,Sujet aux toxines marines
79501,Modiolus modiolus,Horse Mussel,Modiole,Mytilidae,Subject to Marine Toxins,Sujet aux toxines marines
79501,Modiolus modiolus,Red Mussel,,Mytilidae,Subject to Marine Toxins,Sujet aux toxines marines
173414,Mola mola,,Môle Commun,Molidae,,
173414,Mola mola,Ocean Sunfish,Môle,Molidae,,
164760,Molva molva,Ling,lingue,Gadidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
164687,Mora moro,Mora,Moro Commun,Moridae,,
164687,Mora moro,Morid Cod,,Moridae,,
167678,Morone americana,,Perche Blanche,Moronidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
167678,Morone americana,,Baret,Moronidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
167678,Morone americana,White Perch,Bar Blanc D'amérique,Moronidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
167682,Morone chrysops,White Bass,Bar Blanc,Moronidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
167680,Morone saxatilis,,Bar Rayé,Moronidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
167680,Morone saxatilis,Striped Bass,Bar D'amérique,Moronidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
163936,Moxostoma carinatum,Mullet,Suceur Ballot,Catostomidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
163936,Moxostoma carinatum,Redhorse,,Catostomidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
163936,Moxostoma carinatum,Redhorse Sucker,,Catostomidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
163936,Moxostoma carinatum,Sucker,,Catostomidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
163936,Moxostoma carinatum,River Redhorse,,Catostomidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
163928,Moxostoma macrolepidotum,Northern Redhorse,,Catostomidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
163928,Moxostoma macrolepidotum,Common Mullet,Suceur Rouge,Catostomidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
170335,Mugil cephalus,Grey Mullet,Mulet Cabot,Mugilidae,,
170335,Mugil cephalus,Striped Mullet,,Mugilidae,,
169407,Mulloidichthys spp.,Goatfish,Capucin,Mullidae,,
169416,Mullus spp.,Red Mullet,,Mullidae,,
169416,Mullus spp.,Goatfish,Rouget-barbet,Mullidae,,
169418,Mullus surmuletus,Mullet,,Mullidae,,
169418,Mullus surmuletus,Surmullet,,Mullidae,,
161243,Muraena helena,Moray Eel,Murène,Muraenidae,,
161240,Muraena retifera,Moray Eel,Murène,Muraenidae,,
161293,Muraenesox spp,,,Muraenesocidae,,
160264,Mustelus palumbes,Whitespotted Smooth-hound,Emissole Palombe,Triakidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
81692,Mya arenaria,Clam,Mye,Myidae,Subject to Marine Toxins,Sujet aux toxines marines
81692,Mya arenaria,Soft-shell Clam,,Myidae,Subject to Marine Toxins,Sujet aux toxines marines
167762,Mycteroperca interstitialis,Grouper,Badèche Gueule Jaune,Serranidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
167762,Mycteroperca interstitialis,Yellowmouth Grouper,,Serranidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
167758,Mycteroperca spp.,Grouper,Mérou,Serranidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
639618,Mylopharyngodon piceus,Black Carp,Carpe,Cyprinidae,,
164054,Mystus cavasius,Bagrid Catfish,Poisson chat bagrid,Bagridae,,
681039,Mystus tengara,Bagrid Catfish,,Bagridae,,
164051,Mystus vittatus,Bagrid Catfish,,Bagridae,,
164051,Mystus vittatus,,Poisson chat bagrid,Bagridae,,
79455,Mytilus californianus,Mussel,Moule Commune,Mytilidae,Subject to Marine Toxins,Sujet aux toxines marines
79455,Mytilus californianus,California Mussel,Moule,Mytilidae,Subject to Marine Toxins,Sujet aux toxines marines
79452,Mytilus chilensis,Mussel,Moule Chilienne,Mytilidae,Subject to Marine Toxins,Sujet aux toxines marines
79452,Mytilus chilensis,Chilean Mussel,Moule Bleue Chilienne,Mytilidae,Subject to Marine Toxins,Sujet aux toxines marines
79452,Mytilus chilensis,Chilean Blue Mussel,Moule,Mytilidae,Subject to Marine Toxins,Sujet aux toxines marines
79454,Mytilus edulis,Blue Mussel,Moule Bleue,Mytilidae,Subject to Marine Toxins,Sujet aux toxines marines
79454,Mytilus edulis,Mussel,,Mytilidae,Subject to Marine Toxins,Sujet aux toxines marines
79454,Mytilus edulis,Atlantic Bay Mussel,Moule,Mytilidae,Subject to Marine Toxins,Sujet aux toxines marines
79456,Mytilus galloprovincialis,Mediterannean Mussel,Moule,Mytilidae,Subject to Marine Toxins,Sujet aux toxines marines
79456,Mytilus galloprovincialis,Mussel,Moule Méditerranéenne,Mytilidae,Subject to Marine Toxins,Sujet aux toxines marines
159772,Myxine glutinosa,Hagfish,,Myxinidae,,
159772,Myxine glutinosa,Atlantic Hagfish,Myxine,Myxinidae,,
159772,Myxine glutinosa,Hag,Myxine Du Nord,Myxinidae,,
169717,Nandus Nandus,Leaffish,Nandus,Nandidae,,
169717,Nandus Nandus,Gangetic Leaffish,,Nandidae,,
169336,Nebris microps,Smalleye Croaker,,Sciaenidae,,
169336,Nebris microps,Croaker,Courbine,Sciaenidae,,
645814,Nemadactylus gayi,Tarakihi,,Cheilodactylidae,,
170262,Nemadactylus macropterus,,,Cheilodactylidae,,
161808,Nematalosa vlaminghi,Pilchard,Sardine,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
161808,Nematalosa vlaminghi,Sardine,,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
96555,Nematopalaemon schmitti,Shrimp,,Palaemonidae,,
96555,Nematopalaemon schmitti,Whitebelly Shrimp,Crevette,Palaemonidae,,
168995,Nemipterus japonicus,Japanese Threadfin Bream,Cohana Japonaise,Nemipteridae,,
168996,Nemipterus nematophorus,Threadfin Bream,Cohana,Nemipteridae,,
168998,Nemipterus peronii,Notched Treadfin Bream,Cohana Tolu,Nemipteridae,,
168989,Nemipterus spp.,Threadfin Bream,,Nemipteridae,,
169000,Nemipterus virgatus,Golden Threadfin Bream,Cohana Doré,Nemipteridae,,
550989,Nemipterus zysron,Threadfin Bream,Cohana,Nemipteridae,,
625279,Neocyttus rhomboidalis,Spiky Oreo Dory,Saint-pierre,Oreosomatidae,,
623677,Neosalanx taihuensis,Noodlefish,Salangidés,Salangidae,,
97317,Nephrops norvegicus,Deep Sea Lobster,Langoustine,Nephropidae,,
97317,Nephrops norvegicus,Dublin Bay Prawn,,Nephropidae,,
97317,Nephrops norvegicus,Norway Lobster,,Nephropidae,,
97317,Nephrops norvegicus,Scampi,,Nephropidae,,
73984,Neptunea lyrata decemcostata,Ridged Whelk,Buccin,Buccinidae,Subject to Marine Toxins,Sujet aux toxines marines
639992,Netuma thalassinus,Giant Seacatfish,,Ariidae,,
639992,Netuma thalassinus,Giant Catfish,Mâchoiron Titan,Ariidae,,
169394,Nibea spp.,Croaker,Courbine,Sciaenidae,,
169394,Nibea spp.,Sharpnose Croaker,,Sciaenidae,,
567974,Nodipecten subnodosus,Scallop,Pétoncle,Pectinidae,Subject to Marine Toxins,Sujet aux toxines marines
567974,Nodipecten subnodosus,Giant Lions-paw Scallop,,Pectinidae,Subject to Marine Toxins,Sujet aux toxines marines
161690,Notacanthus chemnitzii,Spiny Eel,Tapir À Grandes Écailles,Notacanthidae,,
163368,Notemigonus crysoleucas,Golden Shiner,Méné Jaune,Cyprinidae,,
161911,Notopterus notopterus,Bronze Featherback,Poisson-couteau,Notopteridae,,
556164,Nototodarus sloanii,Wellington Flying Squid,Encornet minami,Ommastrephidae,,
555799,Nototodarus spp.,Calamari,Calmar,Ommastrephidae,,
555799,Nototodarus spp.,Squid,Encornet,Ommastrephidae,,
163412,Notropis atherinoides,Lake Shiner,,Cyprinidae,,
163412,Notropis atherinoides,Emerald Shiner,Méné Émeraude,Cyprinidae,,
73297,Nucella lapillus,Dog Whelk,Pourpre atlantique,Muricidae,Subject to Marine Toxins,Sujet aux toxines marines
73297,Nucella lapillus,Dog Winkle,,Muricidae,Subject to Marine Toxins,Sujet aux toxines marines
567987,Nuttallia obscurata,Clam,,Psammobiidae,,
567987,Nuttallia obscurata,Savoury Clam,,Psammobiidae,,
567987,Nuttallia obscurata,Varnish Clam,,Psammobiidae,,
82595,Octopus spp.,Octopus,Poulpe,Octopodidae,,
82595,Octopus spp.,,Pieuvre,Octopodidae,,
82603,Octopus vulgaris,,Pieuvre,Octopodidae,,
82603,Octopus vulgaris,Common Octopus,Poulpe,Octopodidae,,
82603,Octopus vulgaris,,Pieuvre commune,Octopodidae,,
82603,Octopus vulgaris,,Poulpe commun,Octopodidae,,
168907,Ocyurus chrysurus,Yellowtail Snapper,Vivaneau À Queue Jaune,Lutjanidae,,
168906,Ocyurus spp.,Snapper,Vivaneau,Lutjanidae,,
159875,Odontaspididae spp.,Sand Shark,requin-taureau,Odontaspididae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
159880,Odontaspis ferox,Sand Tiger,,Odontaspididae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
159880,Odontaspis ferox,Tiger,,Odontaspididae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
159884,Odontaspis noronhai,Tiger,,Odontaspididae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
159884,Odontaspis noronhai,Sand Tiger,,Odontaspididae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
630683,Odontesthes regia,Silverside,Capucette,Atherinopsidae,,
630609,Odontesthes spp.,Atlantic Silverside,Capucette,Atherinopsidae,,
630609,Odontesthes spp.,Silverside,Capucette De L'atlantique,Atherinopsidae,,
74300,Odontocymbiola magellanica,Magellanic Volute,Volute Megellanique,Volutidae,Subject to Marine Toxins,Sujet aux toxines marines
169325,Odontoscion dentex,Reef Croaker,,Sciaenidae,,
169325,Odontoscion dentex,Croaker,,Sciaenidae,,
164574,Ogcocephalus spp.,Batfish,,Ogcocephalidae,,
168673,Oligoplites saurus,Leatherjacket,,Carangidae,Subject to Histamine,Sujet à la production d'histamine
82527,Ommastrephes bartramii,Calamari,Calmar,Ommastrephidae,,
82527,Ommastrephes bartramii,Squid,Encornet,Ommastrephidae,,
82527,Ommastrephes bartramii,Flying Squid,Encornet volant,Ommastrephidae,,
681925,Ompok pabda,,Poisson chat pabdah,Siluridae,,
681925,Ompok pabda,Pabdah Catfish,,Siluridae,,
161975,Oncorhynchus gorbuscha,Pacific Pink Salmon,Saumon Rose,Salmonidae,,
161975,Oncorhynchus gorbuscha,Pink Salmon,Saumon Rose Du Pacifique,Salmonidae,,
161976,Oncorhynchus keta,Chum Salmon,Saumon Kéta,Salmonidae,,
161976,Oncorhynchus keta,Keta Salmon,,Salmonidae,,
161976,Oncorhynchus keta,Silverbrite Salmon,,Salmonidae,,
161977,Oncorhynchus kisutch,Blueback Salmon,Saumon Coho,Salmonidae,,
161977,Oncorhynchus kisutch,Medium Red Coho Salmon,,Salmonidae,,
161977,Oncorhynchus kisutch,Coho Salmon,Saumon Coho Rouge Moyen,Salmonidae,,
161978,Oncorhynchus masou,Masou Salmon,,Salmonidae,,
161978,Oncorhynchus masou,Cherry Salmon,Saumon Japonais,Salmonidae,,
161978,Oncorhynchus masou,Japanese Salmon,Saumon Masou,Salmonidae,,
161989,Oncorhynchus mykiss,Rainbow Trout,Saumon Arc-en-ciel,Salmonidae,,
161989,Oncorhynchus mykiss,Steelhead,Truite Arc-en-ciel,Salmonidae,,
161989,Oncorhynchus mykiss,Steelhead Salmon,Truite De Mer Profonde,Salmonidae,,
161989,Oncorhynchus mykiss,Steelhead Trout,Truite Steelhead,Salmonidae,,
161989,Oncorhynchus mykiss,Trout,,Salmonidae,,
161989,Oncorhynchus mykiss,Deep Sea Trout,Omble De Mer,Salmonidae,,
161979,Oncorhynchus nerka,Red Salmon,Saumon Rouge,Salmonidae,,
161979,Oncorhynchus nerka,Red Sockeye Salmon,Saumon Sockeye,Salmonidae,,
161979,Oncorhynchus nerka,Sockeye Salmon,,Salmonidae,,
161980,Oncorhynchus tshawytscha,Pink Chinook,Saumon Royal,Salmonidae,,
161980,Oncorhynchus tshawytscha,Chinook,Saumon De Printemps,Salmonidae,,
161980,Oncorhynchus tshawytscha,King Salmon,Saumon Roi,Salmonidae,,
161980,Oncorhynchus tshawytscha,Red Chinook,,Salmonidae,,
161980,Oncorhynchus tshawytscha,Spring Salmon,,Salmonidae,,
161980,Oncorhynchus tshawytscha,White Chinook,,Salmonidae,,
161980,Oncorhynchus tshawytscha,Chinook Salmon,Saumon Quinnat,Salmonidae,,
167116,Ophiodon elongatus,Lingcod,Morue-lingue,Hexagrammidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
551226,Opisthonema bulleri,Thread Herring,Chardin,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
161750,Opisthonema libertate,Pacific Thread Herring,,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
161750,Opisthonema libertate,Deepbody Thread Herring,Chardin Du Pacifque,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
161750,Opisthonema libertate,Thread Herring,,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
161751,Opisthonema medirastre,Thread Herring,Chardin,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
161748,Opisthonema oglinum,Atlantic Thread Herring,Chardin fil,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
170015,Oreochromis mossambicus,Mozambique Tilapia,Tilapia,Cichlidae,,
170015,Oreochromis mossambicus,Tilapia,Tilapia Du Mozambique,Cichlidae,,
553310,Oreochromis niloticus,Nile Tilapia,Tilapia,Cichlidae,,
553310,Oreochromis niloticus,Tilapia,,Cichlidae,,
170020,Oreochromis urolepis hornorum,Tilapia,Tilapia,Cichlidae,,
170020,Oreochromis urolepis hornorum,Wami Tilapia,,Cichlidae,,
169077,Orthopristis chrysoptera,Pigfish,,Haemulidae,,
169077,Orthopristis chrysoptera,Grunt,Goret Mule,Haemulidae,,
162041,Osmerus mordax,American Smelt,Éperlan De Lac,Osmeridae,,
162041,Osmerus mordax,Lake Smelt,,Osmeridae,,
162041,Osmerus mordax,Rainbow Smelt,,Osmeridae,,
162041,Osmerus mordax,Smelt,,Osmeridae,,
568041,Ostrea conchaphila,Oyster,Huître,Ostreidae,Subject to Marine Toxins,Sujet aux toxines marines
568041,Ostrea conchaphila,Olympia Oyster,Huître Plate Du Pacifique,Ostreidae,Subject to Marine Toxins,Sujet aux toxines marines
79885,Ostrea edulis,Oyster,,Ostreidae,Subject to Marine Toxins,Sujet aux toxines marines
79885,Ostrea edulis,European Oyster,Huître Plate,Ostreidae,Subject to Marine Toxins,Sujet aux toxines marines
79885,Ostrea edulis,Edible Oyster,Huître,Ostreidae,Subject to Marine Toxins,Sujet aux toxines marines
79883,Ostrea lurida,Olympia Oyster,,Ostreidae,Subject to Marine Toxins,Sujet aux toxines marines
79883,Ostrea lurida,Oyster,Huître,Ostreidae,Subject to Marine Toxins,Sujet aux toxines marines
646658,Otolithes ruber,Tigertooth Croaker,Grande verrue tigre,Sciaenidae,,
646658,Otolithes ruber,Croaker,,Sciaenidae,,
646659,Otolithoides biauritus,Bronze Croaker,Verrue Bronzée,Sciaenidae,,
646660,Otolithoides pama,Pama Croaker,Pama,Sciaenidae,,
635396,Oxyconger spp,Pike-conger,,Muraenesocidae,,
165520,Oxyporhamphus micropterus,,,Hemiramphidae,,
97326,Pacifastacus leniusculus,Crayfish,,Astacidae,,
97326,Pacifastacus leniusculus,Crawfish,Écrevisse,Astacidae,,
169213,Pagellus acarne,Axillary Bream,Pageot Acarné,Sparidae,,
169213,Pagellus acarne,Axillary Seabream,,Sparidae,,
169213,Pagellus acarne,Sea Bream,,Sparidae,,
647898,Pagellus bellottii,Pandora,Pageot,Sparidae,,
647898,Pagellus bellottii,Red Pandora,Pageot à tache rouge,Sparidae,,
169212,Pagellus bogaraveo,Porgy,Pageot Rose,Sparidae,,
169212,Pagellus bogaraveo,Seabream,,Sparidae,,
647902,Pagrus caeruleostictus,Porgy,,Sparidae,,
647902,Pagrus caeruleostictus,Seabream,,Sparidae,,
647902,Pagrus caeruleostictus,Bluespotted Seabream,Pagre À Points Bleus,Sparidae,,
647892,Pagrus major,Japanese Seabream,,Sparidae,,
647892,Pagrus major,Silver Seabream,,Sparidae,,
647892,Pagrus major,Genuine Porgy,Dorade Japonaise,Sparidae,,
169207,Pagrus pagrus,Seabream,,Sparidae,,
169207,Pagrus pagrus,Porgy,Pagre,Sparidae,,
169207,Pagrus pagrus,Red Porgy,,Sparidae,,
172572,Pampus argenteus,Silver Pomfret,Aileron Argenté,Stromateidae,,
96995,Pandalopsis dispar,Side-stripe Shrimp,,Pandalidae,,
96995,Pandalopsis dispar,Shrimp,Crevette À Flancs Rayés,Pandalidae,,
96995,Pandalopsis dispar,Prawn,Crevette,Pandalidae,,
96967,Pandalus borealis,Cold Water Shrimp,Crevette,Pandalidae,,
96967,Pandalus borealis,Shrimp,Crevette Nordique Du Canada,Pandalidae,,
96967,Pandalus borealis,,Crevette Rose,Pandalidae,,
96967,Pandalus borealis,Deep Water Shrimp,Crevette Boréale,Pandalidae,,
96967,Pandalus borealis,Prawn,Crevette Nordique,Pandalidae,,
96967,Pandalus borealis,Northern Shrimp,Crevette D'eau Froide,Pandalidae,,
96966,Pandalus gracilis,King Shrimp,,Pandalidae,,
96966,Pandalus gracilis,Humpback Shrimp,,Pandalidae,,
96966,Pandalus gracilis,Shrimp,Crevette À Front Rayé,Pandalidae,,
96966,Pandalus gracilis,Coonstripe Shrimp,Crevette,Pandalidae,,
96981,Pandalus hypsinotus,Humpback Shrimp,Crevette À Front Rayé,Pandalidae,,
96981,Pandalus hypsinotus,King Shrimp,,Pandalidae,,
96981,Pandalus hypsinotus,Shrimp,,Pandalidae,,
96981,Pandalus hypsinotus,Coonstripe Shrimp,,Pandalidae,,
96970,Pandalus jordani,Ocean Shrimp,Crevette,Pandalidae,,
96970,Pandalus jordani,Shrimp,,Pandalidae,,
96970,Pandalus jordani,Prawn,Crevette Océanique,Pandalidae,,
96971,Pandalus montagui,Aesop Shrimp,Crevette,Pandalidae,,
96971,Pandalus montagui,Cold Water Shrimp,Crevette Ésope,Pandalidae,,
96971,Pandalus montagui,Prawn,,Pandalidae,,
96971,Pandalus montagui,Shrimp,,Pandalidae,,
96971,Pandalus montagui,Deep Water Shrimp,,Pandalidae,,
96979,Pandalus platyceros,Spot Prawn,,Pandalidae,,
96979,Pandalus platyceros,Prawn,Crevette,Pandalidae,,
96979,Pandalus platyceros,Shrimp,Crevette Tachée,Pandalidae,,
96979,Pandalus platyceros,Spot Shrimp,,Pandalidae,,
681694,Pangasius bocourti,Basa,Pangasius,Pangasiidae,,
681694,Pangasius bocourti,Basa Fish,Poisson-chat Du Mékong,Pangasiidae,,
681694,Pangasius bocourti,Bocourti,,Pangasiidae,,
681694,Pangasius bocourti,Bocourti Catfish,,Pangasiidae,,
681694,Pangasius bocourti,Bocourti Fish,,Pangasiidae,,
639954,Pangasius hypophthalmus,Pangasius,Poisson-chat Du Mékong,Pangasiidae,,
639954,Pangasius hypophthalmus,Basa,Pangasius,Pangasiidae,,
639954,Pangasius hypophthalmus,Sutchi Catfish,Silure-requin,Pangasiidae,,
681712,Pangasius pangasius,Pangasius,Pangasius,Pangasiidae,,
164092,Pangasius spp.,Pangasius,Pangasius,Pangasiidae,,
81777,Panopea generosa,Clam,,Hiatellidae,Subject to Marine Toxins,Sujet aux toxines marines
81777,Panopea generosa,Geoduck Clam,,Hiatellidae,Subject to Marine Toxins,Sujet aux toxines marines
97648,Panulirus argus,Crayfish,Langouste,Palinuridae,,
97648,Panulirus argus,Spiny Lobster,,Palinuridae,,
552970,Panulirus cygnus,Spiny Lobster,,Palinuridae,,
552970,Panulirus cygnus,Crayfish,Langouste,Palinuridae,,
552972,Panulirus gracilis,Spiny Lobster,,Palinuridae,,
552972,Panulirus gracilis,Green Spiny Lobster,Langouste,Palinuridae,,
97650,Panulirus interruptus,Spiny Lobster,Langouste,Palinuridae,,
97650,Panulirus interruptus,Red Spiny Lobster,,Palinuridae,,
552982,Panulirus versicolor,Crayfish,,Palinuridae,,
552982,Panulirus versicolor,Spiny Lobster,Langouste,Palinuridae,,
81439,Paphia malabarica,Clam,Palourde,Veneridae,Subject to Marine Toxins,Sujet aux toxines marines
81439,Paphia undulata,Clam,Palourde,Veneridae,Subject to Marine Toxins,Sujet aux toxines marines
639626,Parabramis pekinensis,White Amur Bream,Brème,Cyprinidae,,
168968,Paracaesio spp.,Snapper,Vivaneau,Lutjanidae,,
642606,Parachanna obscura,,,Channidae,,
172743,Paralichthys californicus,California Flounder,Cardeau californien,Paralichthyidae,,
172743,Paralichthys californicus,Flounder,Cardeau,Paralichthyidae,,
172735,Paralichthys dentatus,Fluke,Plie,Paralichthyidae,,
172735,Paralichthys dentatus,Summer Flounder,,Paralichthyidae,,
172735,Paralichthys dentatus,Flounder,Cardeau D'été,Paralichthyidae,,
97937,Paralithodes brevipes,King Crab,Crabe Royal,Lithodidae,,
97937,Paralithodes brevipes,Crab,Crabe,Lithodidae,,
97935,Paralithodes camtschaticus,King Crab,Crabe Royal Du Kamchatka,Lithodidae,,
97935,Paralithodes camtschaticus,Crab,Crabe Royal,Lithodidae,,
97935,Paralithodes camtschaticus,Alaska King Crab,Crabe,Lithodidae,,
97935,Paralithodes camtschaticus,Red King Crab,,Lithodidae,,
97936,Paralithodes platypus,Red King Crab,Crabe Royal,Lithodidae,,
97936,Paralithodes platypus,King Crab,Crabe,Lithodidae,,
169343,Paralonchurus,Croaker,,Sciaenidae,,
