ï»¿CatÃ©gorie;Terme_de_recherche;Nombre_total_de_recherches;Nombre_total_de_recherches_uniques
Tout; Elena Ferrante;688;114
Tout; Inceste;548;16
Tout; Harry Potter;503;63
Jeux VidÃ©o; Switch;485;30
Livres; Jean ParÃ©;483;1
Tout; JOURNAL LE TRAVAIL 19 DÃCEMBRE 1952 GRÃVE LOUISEVILLE;483;1
Tout; Nintendo Switch;483;39
Tout; Livre Audio;476;30
Tout; Ken Follett;461;61
Tout; Magie;442;3
Tout; Stephen King;427;35
Tout; Yoga;362;61
Tout; Ken Follet;330;41
Tout; Dune;315;78
All; Rizzoli;313;4
Tout; Louise Penny;306;45
Tout; Emmanuel Carrere;273;68
Tout; Witch;273;8
Tout; Playstation 4;268;5
Livres; Essai;259;3
Tout; Herbert Frank;249;42
Tout; J'ai Lu;246;21
Tout; Star Wars;239;29
Tout; Michel Tremblay;230;27
Tout; Guillaume Musso;227;46
Livres; Ken Follett;224;27
All; Nintendo Switch;220;15
Tout; Andara;215;26
Tout; Biographies;214;3
Jeux VidÃ©o; Xbox One;208;6
Tout; Films D'horreur;205;11
Tout; Sapiens;203;41
Jeux VidÃ©o; Nintendo Switch;200;19
Tout; Disney;197;15
Tout; Jeux VidÃ©o;197;1
Musique; Live;196;2
Tout; Switch;195;31
Tout; Sommeil;194;7
Livres; Rome Antique;193;1
Tout; Nora Roberts;192;23
Tout; Michel Dorais;191;3
Tout; Marc Levy;190;31
Tout; Animal Farm;188;7
Tout; Jocelyne Saucier;187;43
Tout; Naruto;187;28
Tout; Bonheur;182;7
Tout; Michel Onfray;179;14
Tout; Emmanuel CarrÃ¨re;178;49
Livres; Elena Ferrante;175;28
Tout; One Piece;175;18
Tout; Taschen;174;8
Tout; Biographie;169;17
Tout; Bandes DessinÃ©es;164;5
Tout; Pascal Quignard;162;26
Tout; Histoire;160;16
Tout; Botanique;159;5
Tout; Lisa Gardner;158;25
Tout; Van Gogh;157;8
Tout; Couple;156;2
Tout; Asterix;155;15
Tout; Knitting;153;5
Tout; Horreur;152;9
Tout; Python;149;22
Tout; Automobile;147;5
Tout; James Patterson;146;15
Tout; Philosophie;142;17
Tout; Guide De La Route;141;37
Tout; Woody Allen;141;18
All; Xbox One;141;2
Tout; CarrÃ¨re Emmanuel 1957-;140;20
Tout; Beijing;139;2
Tout; Algerie;138;6
All; Rap (Musique);138;3
Tout; Sorcellerie;137;6
Tout; Danielle Steel;136;22
Tout; Hal Leonard;135;12
Livres; Ken Follet;135;19
All; Korea;135;1
Musique; Kiss;134;11
Tout; Albert Camus;133;15
Tout; Humour;133;4
Tout; Mary Higgins Clark;132;14
Tout; FÃ©e;131;3
Livres; Harry Potter;131;20
Tout; Watercolor;131;4
Tout; Sophie Kinsella;130;17
Tout; Collection;129;5
Tout;follett0ken0000000000000000000000000000000000000;129;16
