ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
game of thrones,141,1.38,3.55%,35.05%,188.47,7.22
homeland,135,1.1,7.41%,70.95%,127.14,3.0
house of cards,119,1.26,2.52%,55.33%,168.02,5.27
fargo,96,1.17,4.17%,68.75%,201.48,3.54
harry potter,88,1.59,3.41%,45.71%,414.73,11.27
star wars,87,1.3,2.30%,55.75%,275.53,9.56
arrow,80,1.21,5.00%,58.76%,352.89,6.94
blade runner,80,1.5,8.75%,35.00%,89.46,5.05
westworld,80,1.23,10.00%,58.16%,164.58,5.73
atomic blonde,78,1.09,8.97%,67.06%,207.31,4.44
the fall,68,1.04,11.76%,69.01%,90.44,2.03
sapiens,62,1.52,3.23%,35.11%,390.27,7.97
elle,59,1.17,0.00%,23.19%,79.58,6.15
outlander,59,1.44,5.08%,40.00%,174.73,4.34
leonard cohen,56,1.48,3.57%,45.78%,333.46,10.61
walking dead,54,1.3,0.00%,54.29%,252.39,7.67
dan brown,52,1.29,0.00%,58.21%,264.79,5.94
noel,52,1.23,3.85%,42.19%,539.94,25.44
python,52,1.6,1.92%,44.58%,352.27,11.44
suits,52,1.33,3.85%,47.83%,161.37,3.96
la femme qui fuit,50,1.92,2.00%,36.46%,238.46,5.62
le plongeur,50,1.42,2.00%,32.39%,168.06,5.02
bjÃ¶rk utopia,49,1.06,10.20%,88.46%,104.51,1.04
jean d'ormesson,49,1.61,4.08%,30.38%,414.96,11.47
james patterson,48,1.17,16.67%,44.64%,160.56,6.52
nora roberts,48,1.4,2.08%,35.82%,212.98,10.6
the americans,48,1.21,2.08%,75.86%,461.35,13.85
the crown,48,1.25,6.25%,48.33%,201.06,6.23
agatha christie,47,1.15,2.13%,51.85%,280.23,9.79
king krule,47,1.17,0.00%,80.00%,86.06,1.6
courtney barnett,46,1.09,4.35%,90.00%,42.93,1.37
1984,45,1.44,2.22%,60.00%,191.64,7.69
big little lies,45,1.38,4.44%,46.77%,197.04,6.33
elena ferrante,45,1.29,2.22%,41.38%,349.04,7.33
war on drugs deeper,45,1.27,13.33%,87.72%,207.98,0.6
valerian,44,1.25,0.00%,58.18%,283.14,10.68
wonder woman,44,1.39,0.00%,47.54%,205.68,8.23
bluray,42,1.31,2.38%,7.27%,224.43,17.88
fleet foxes crack,42,1.0,14.29%,59.52%,96.0,2.62
michel tremblay,42,1.29,0.00%,53.70%,263.98,9.76
stephen king,42,1.38,0.00%,56.90%,337.52,10.79
twin peaks,42,1.45,4.76%,40.98%,270.0,5.5
alvvays,41,1.02,2.44%,92.86%,23.51,1.07
stranger things,41,1.07,19.51%,50.00%,107.05,3.0
bjork,40,1.43,17.50%,47.37%,156.23,7.33
charlotte gainsbourg,40,1.15,0.00%,69.57%,260.53,7.3
cut copy haiku,40,1.63,15.00%,73.85%,383.9,2.48
homo deus,40,1.28,2.50%,54.90%,278.45,4.25
la la land,40,1.3,0.00%,53.85%,311.8,5.78
dunkirk,39,1.54,0.00%,31.67%,194.49,9.13
ibeyi,39,1.1,2.56%,83.72%,79.38,2.31
it,39,1.38,2.56%,64.81%,407.05,19.69
johnny hallyday,39,2.15,2.56%,23.81%,579.67,23.85
moses sumney,39,1.03,0.00%,97.50%,11.36,1.1
robert markland smith,39,1.13,0.00%,0.00%,27.18,2.46
robin campillo,39,1.0,79.49%,7.69%,49.79,0.38
sza,39,1.03,0.00%,92.50%,76.05,1.82
the dark tower,39,1.1,12.82%,72.09%,44.87,1.21
better call saul,38,1.29,7.89%,59.18%,203.55,5.55
brand new science fiction,38,1.03,2.63%,94.87%,22.24,0.03
julien baker,38,1.08,0.00%,92.68%,13.87,1.08
Le plongeur,38,1.29,2.63%,34.69%,242.97,4.5
alex rocket,37,1.0,0.00%,100.00%,11.19,1.0
cults offering,37,1.14,0.00%,100.00%,10.97,0.0
destroyer ken,37,1.05,0.00%,94.87%,13.81,1.05
dvsn,37,1.0,2.70%,97.30%,24.03,0.97
john maus,37,1.0,0.00%,100.00%,9.3,1.0
kelela take,37,1.03,0.00%,97.37%,11.27,0.0
kevin morby,37,1.0,0.00%,100.00%,37.27,1.03
lil b black ken,37,1.0,0.00%,100.00%,9.86,0.0
migos culture,37,1.05,0.00%,100.00%,33.41,1.05
thor,37,1.16,2.70%,74.42%,189.43,5.27
thundercat drunk,37,1.0,0.00%,100.00%,36.68,1.03
tyler creator flower,37,1.0,0.00%,100.00%,12.43,1.0
wind river,37,1.08,2.70%,85.00%,97.92,3.16
david goudreault,36,1.81,5.56%,40.00%,344.14,8.83
exile outer ring,36,1.03,0.00%,100.00%,22.94,1.03
hercules love affair omnion,36,1.0,0.00%,100.00%,13.75,0.0
hundred waters,36,1.0,0.00%,100.00%,12.31,1.0
jessie ware glasshouse,36,1.06,0.00%,100.00%,10.56,0.0
miguel war leisure,36,1.08,0.00%,100.00%,53.58,1.31
mount kimbie love,36,1.0,0.00%,100.00%,76.14,1.03
romaplasm,36,1.0,0.00%,100.00%,13.17,0.0
shabazz palaces,36,1.03,0.00%,97.30%,17.89,1.11
sufjan stevens gift,36,1.0,0.00%,100.00%,13.53,0.11
washed out mister,36,1.0,0.00%,100.00%,13.0,1.0
waxahatchee,36,1.06,0.00%,97.37%,40.42,1.08
wolf parade cry,36,1.47,0.00%,67.92%,31.72,2.78
Homeland,35,1.66,14.29%,34.48%,122.46,3.06
kingsman,35,1.37,0.00%,58.33%,237.43,8.69
torres three futures,35,1.0,0.00%,100.00%,10.23,0.03
vikings,35,1.29,2.86%,44.44%,217.43,9.43
dalida,34,1.12,0.00%,78.95%,392.12,7.56
get out,34,1.56,2.94%,50.94%,78.44,4.15
industrial economics,34,1.15,0.00%,10.26%,134.82,1.29
lee child,34,1.35,5.88%,43.48%,232.24,6.82
margaret atwood,34,1.35,2.94%,56.52%,357.15,10.56
arrival,33,1.15,6.06%,50.00%,189.85,4.27
fever ray plunge,33,1.03,0.00%,100.00%,6.48,0.0
Game of thrones,33,1.24,9.09%,29.27%,134.27,5.52
la presse,33,1.18,15.15%,25.64%,180.21,5.48
logan,33,1.24,0.00%,70.73%,112.48,5.06
Sapiens,33,1.33,3.03%,25.00%,207.0,4.85
la servante Ã©carlate,32,1.69,3.13%,42.59%,301.47,6.75
logan lucky,32,1.03,12.50%,78.79%,47.41,1.31
american horror story,31,1.35,0.00%,50.00%,186.68,8.32
call me by your name,31,1.65,9.68%,21.57%,125.03,6.0
criterion,31,1.23,6.45%,36.84%,381.32,14.65
dennis lehane,31,1.39,3.23%,32.56%,343.74,7.84
Fargo,31,1.26,3.23%,51.28%,168.13,3.58
kim thuy,31,1.29,9.68%,42.50%,260.94,6.42
viking,31,1.26,3.23%,58.97%,439.1,9.26
millenium,30,1.27,0.00%,63.16%,187.83,5.33
scandal,30,1.0,0.00%,86.67%,129.07,3.67
shameless,30,1.27,3.33%,65.79%,125.8,3.13
the affair,30,1.1,0.00%,81.82%,240.2,4.13
tricot,30,1.43,3.33%,53.49%,425.0,11.97
l'heure mauve,29,1.48,3.45%,39.53%,113.79,3.86
law and order,29,1.0,0.00%,82.76%,308.48,4.52
louise penny,29,1.31,6.90%,44.74%,271.17,7.52
Arnaldur indridason,28,1.43,7.14%,37.50%,160.21,6.25
camilla lackberg,28,1.25,0.00%,45.71%,264.11,5.68
good time,28,1.04,10.71%,79.31%,69.0,1.39
protÃ©gez-vous,28,1.36,7.14%,34.21%,147.89,4.46
barbara,27,1.41,7.41%,55.26%,181.78,4.3
Duardo Sylvestre,27,1.22,100.00%,0.00%,239.3,0.0
ed sheeran,27,2.11,0.00%,38.60%,450.3,10.89
fred vargas,27,1.26,0.00%,55.88%,410.04,7.37
home alone,27,2.41,3.70%,32.31%,347.48,8.44
origine dan brown,27,1.04,3.70%,46.43%,99.52,2.78
the americans season 4,27,1.0,0.00%,59.26%,50.37,1.96
Westworld,27,1.37,7.41%,54.05%,110.48,6.7
bon cop bad cop,26,1.31,0.00%,64.71%,137.42,7.58
broadchurch,26,1.27,3.85%,60.61%,145.88,5.5
c,26,1.35,0.00%,60.00%,380.62,5.88
game of throne,26,1.31,0.00%,41.18%,262.88,6.85
Jimmy sevigny,26,1.62,73.08%,19.05%,17.0,0.88
ken follett,26,1.54,0.00%,47.50%,287.5,5.92
narcos,26,1.08,0.00%,60.71%,167.08,5.69
orphan black,26,1.15,3.85%,53.33%,451.27,9.73
ps4,26,1.27,11.54%,72.73%,74.69,2.04
split,26,1.27,0.00%,75.76%,212.19,5.46
alexandre jardin,25,1.2,4.00%,40.00%,392.44,9.16
baby driver,25,1.2,0.00%,63.33%,100.28,5.96
breaking bad,25,1.28,4.00%,46.88%,280.52,7.52
dark tower,25,1.16,12.00%,68.97%,192.64,4.28
four tet energy,25,1.08,0.00%,96.30%,31.4,1.52
handmaid's tale,25,1.24,12.00%,41.94%,151.12,5.4
hygge,25,1.24,0.00%,67.74%,311.2,9.96
le poids de la neige,25,1.32,4.00%,54.55%,151.76,4.96
michael connelly,25,1.56,0.00%,30.77%,531.44,13.36
pierre lapointe,25,1.2,4.00%,50.00%,150.8,6.52
your name,25,1.48,4.00%,59.46%,200.0,9.04
batman,24,1.25,4.17%,63.33%,265.17,9.0
bitcoin,24,1.58,8.33%,36.84%,342.04,8.79
detroit,24,1.13,12.50%,51.85%,71.54,2.67
Dunkirk,24,1.25,0.00%,36.67%,140.38,7.33
guillaume musso,24,2.0,4.17%,35.42%,405.63,14.25
Logan Lucky,24,1.0,8.33%,87.50%,33.17,1.5
marie laberge,24,1.25,4.17%,73.33%,318.58,7.58
minecraft,24,1.58,4.17%,52.63%,607.71,14.38
origine,24,1.83,4.17%,36.36%,161.04,7.17
persona 5,24,1.25,0.00%,36.67%,398.25,7.67
ray donovan,24,1.13,8.33%,70.37%,85.04,2.5
the glass castle,24,1.25,4.17%,76.67%,46.13,3.04
animal kingdom,23,1.0,0.00%,91.30%,159.78,2.17
AprÃ¨s la chute,23,1.17,0.00%,48.15%,158.48,5.17
biz,23,1.74,4.35%,35.00%,235.74,8.22
blockchain,23,1.61,0.00%,29.73%,478.61,10.87
charlotte cardin,23,1.13,0.00%,53.85%,227.43,3.74
dan bigras,23,1.13,4.35%,46.15%,130.22,4.74
daniel french,23,1.13,8.70%,15.38%,83.43,3.43
drake more life,23,1.0,4.35%,95.65%,25.04,0.96
ken follet,23,1.43,8.70%,60.61%,402.3,8.43
la femme de l'ombre,23,1.04,13.04%,79.17%,112.0,2.39
laurel halo,23,1.0,0.00%,100.00%,11.13,1.0
normand baillargeon,23,1.57,0.00%,30.56%,364.26,7.17
open mike eagle,23,1.04,0.00%,95.83%,40.61,1.26
orange is the new black,23,1.0,13.04%,69.57%,86.04,2.3
patrick senecal,23,1.74,0.00%,47.50%,479.09,11.04
Shameless,23,1.17,4.35%,77.78%,63.74,2.78
syd fin,23,1.09,0.00%,96.00%,14.57,1.09
