Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Adult Social Care,RYANAIR22 22400000D2FMSR,Travelling Expenses,Human Resources Travel & Subsistence ,31.03.2017,16.05.2017,GPC04170000001,140.74
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,04.04.2017,16.05.2017,GPC04170000002,12.5
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,04.04.2017,16.05.2017,GPC04170000003,24.21
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,05.04.2017,16.05.2017,GPC04170000004,21.49
Stockport MBC,Services to People,Adult Social Care,BEDFORD HOTEL BRUSSEL,Expenses and Allowances,Human Resources Travel & Subsistence ,06.04.2017,16.05.2017,GPC04170000005,7.48
Stockport MBC,Services to People,Adult Social Care,PULP,Expenses and Allowances,Human Resources Travel & Subsistence ,06.04.2017,16.05.2017,GPC04170000006,6.53
Stockport MBC,Services to People,Adult Social Care,GUIDE BRIDGE SST,Travelling Expenses,Human Resources Travel & Subsistence ,18.04.2017,16.05.2017,GPC04170000007,7.8
Stockport MBC,Services to People,Adult Social Care,SNCB-NMBS INTERNET NA,Travelling Expenses,Human Resources Travel & Subsistence ,20.04.2017,16.05.2017,GPC04170000008,15.25
Stockport MBC,Services to People,Adult Social Care,TRENITALIA - LEFRECCE,Travelling Expenses,Human Resources Travel & Subsistence ,20.04.2017,16.05.2017,GPC04170000009,12.13
Stockport MBC,Services to People,Adult Social Care,TRENITALIA - LEFRECCE,Travelling Expenses,Human Resources Travel & Subsistence ,20.04.2017,16.05.2017,GPC04170000010,2.6
Stockport MBC,Services to People,Adult Social Care,WWW.ARROWPRIVATEHIRE.C,Travelling Expenses,Human Resources Travel & Subsistence ,20.04.2017,16.05.2017,GPC04170000011,43.73
Stockport MBC,Services to People,Adult Social Care,SNBA GBP  08237940ES5G,Travelling Expenses,Human Resources Travel & Subsistence ,24.04.2017,16.05.2017,GPC04170000012,160.99
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,25.04.2017,16.05.2017,GPC04170000013,5.3
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,25.04.2017,16.05.2017,GPC04170000014,21.34
Stockport MBC,Services to People,Adult Social Care,SNBA GBP  08247435VYHA,Travelling Expenses,Human Resources Travel & Subsistence ,26.04.2017,16.05.2017,GPC04170000015,205.59
Stockport MBC,Services to People,Adult Social Care,RADIO TAXI 3570,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,27.04.2017,16.05.2017,GPC04170000016,11.37
Stockport MBC,Services to People,Adult Social Care,RADIO TAXI 3570,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,27.04.2017,16.05.2017,GPC04170000017,10.06
Stockport MBC,Services to People,Adult Social Care,BEDFORD HOTEL GBP,Expenses and Allowances,Human Resources Travel & Subsistence ,27.04.2017,16.05.2017,GPC04170000018,162.89
Stockport MBC,Services to People,Adult Social Care,BRUTO,Expenses and Allowances,Human Resources Travel & Subsistence ,27.04.2017,16.05.2017,GPC04170000019,78.71
Stockport MBC,Services to People,Adult Social Care,CHEF EXPRESS S.P.A.,Expenses and Allowances,Human Resources Travel & Subsistence ,28.04.2017,16.05.2017,GPC04170000020,14.47
Stockport MBC,Services to People,Adult Social Care,HOTEL ALPI,Expenses and Allowances,Human Resources Travel & Subsistence ,28.04.2017,16.05.2017,GPC04170000021,27.88
Stockport MBC,Services to People,Adult Social Care,HOTEL ALPI,Expenses and Allowances,Human Resources Travel & Subsistence ,28.04.2017,16.05.2017,GPC04170000022,27.88
Stockport MBC,Services to People,Adult Social Care,HOTEL ALPI,Expenses and Allowances,Human Resources Travel & Subsistence ,28.04.2017,16.05.2017,GPC04170000023,27.88
Stockport MBC,Services to People,Adult Social Care,I 3 ARCHI,Expenses and Allowances,Human Resources Travel & Subsistence ,27.04.2017,16.05.2017,GPC04170000024,18.37
Stockport MBC,Services to People,Adult Social Care,I 3 ARCHI,Expenses and Allowances,Human Resources Travel & Subsistence ,28.04.2017,16.05.2017,GPC04170000025,18.3
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 8U6NYBJUU2,Publicity and Promotion,Facilities & Management Services  ,01.04.2017,16.05.2017,GPC04170000026,348.81
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 9U6NYBJUU2,Publicity and Promotion,Facilities & Management Services  ,01.04.2017,16.05.2017,GPC04170000027,5.26
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK P59ZBCAUU2,Publicity and Promotion,Facilities & Management Services  ,30.04.2017,16.05.2017,GPC04170000028,8.63
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,31.03.2017,16.05.2017,GPC04170000029,1.19
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,18.04.2017,16.05.2017,GPC04170000030,37.43
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,19.04.2017,16.05.2017,GPC04170000031,19.79
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,20.04.2017,16.05.2017,GPC04170000032,11.36
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,21.04.2017,16.05.2017,GPC04170000033,25.35
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,24.04.2017,16.05.2017,GPC04170000034,35.82
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,25.04.2017,16.05.2017,GPC04170000035,6.75
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,26.04.2017,16.05.2017,GPC04170000036,8.85
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,27.04.2017,16.05.2017,GPC04170000037,26.14
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,28.04.2017,16.05.2017,GPC04170000038,2.75
Stockport MBC,Services to People,Childrens & Educational Services,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,06.04.2017,16.05.2017,GPC04170000039,12.0
Stockport MBC,Services to People,Childrens & Educational Services,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,12.04.2017,16.05.2017,GPC04170000040,12.0
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,UNIVERSITY OF BIRMINGH,Staff Training,Human Resources  ,31.03.2017,16.05.2017,GPC04170000041,95.0
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,CO-OP GROUP 108442,Expenses and Allowances,Human Resources Travel & Subsistence ,04.04.2017,16.05.2017,GPC04170000042,7.88
