"Name (Firstname, Surname)",Start date of trip (DD/MM/YYYY),Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Jonathan Russell ,2017-10-04,1 Day,Leeds,Departmental Business,Car,,£87.22,,£228.50,
Jonathan Russell ,2017-10-11,1 Day,Sheffield,Departmental Business,Car,,,,£229.02,
Jonathan Russell ,2017-10-17,1 Day,Leeds,Departmental Business,Car,,£82.50,,£190.71,
Jonathan Russell ,2017-11-06,1 Day,Sheffield/Leeds,Departmental Business,Car,,,,£217.78,
Jonathan Russell ,2017-11-16,1 Day,Preston,Departmental Business,Rail,Standard,£65.50,,£256.10,
Jonathan Russell ,2017-11-16,1 Day,Bishops Stortford,Departmental Business,Car,,,,£135.89,
Jonathan Russell ,2017-11-21,1 Day,Liverpool,Departmental Business,Rail,Standard,,,£318.00,
Jonathan Russell ,2017-11-23,1 Day,Leeds,Departmental Business,Car,,£69.00,,£107.08,
Jonathan Russell ,2017-11-28,1 Day,Newcastle,Departmental Business,Rail,Standard,£85.35,,£143.25,
Jonathan Russell ,2017-11-28,1 Day,Leeds,Departmental Business,Car,,£75.60,,£186.10,
Jonathan Russell ,2019-11-29,1 Day,London,Departmental Business,Rail,Standard,,,£175.20,
Jonathan Russell ,2017-12-06,1 Day,Leeds,Departmental Business,Car,,,,£8.45,
Jonathan Russell ,2017-12-20,1 Day,Leeds,Departmental Business,Rail ,Standard,£69.60,,£191.60,
,,,,,,,,,,
Julie Pinder,2017-10-04,2 Days,London,Departmental Business,Rail,Standard,£125.60,,£320.60,
Julie Pinder,2017-10-23,3 Days,London,Departmental Business,Rail,Standard,£250.60,,£445.60,
Julie Pinder,2017-11-01,2 Days,London,Departmental Business,Rail,Standard,£125.60,,£320.60,
Julie Pinder,2017-11-06,3 Days,London,Departmental Business,Rail,Standard,£384.53,,£586.53,
Julie Pinder,2017-11-16,2 Days,London,Depatmental Business,Rail,Standard,£101.13,,£307.63,
Julie Pinder,2017-11-22,3 Days,London,Departmental Business,Rail,Standard,£256.20,,£451.20,
Julie Pinder,2017-11-30,1 Day,London,Departmental Business,Rail,Standard,,,£195.00,
Julie Pinder,2017-11-24,1 Day,Coventry,Departmental Business,Rail,Standard,,,£126.80,
Julie Pinder,2017-12-14,1 Day,London,Departmental Business,Rail,Standard,,,£195.00,
,,,,,,,,,,
Denise Horsfall,2017-10-03,2 Days,London,Departmental Business,Air/car/train/Bus,Standard , £283.70 ,, £422 ,
Denise Horsfall,2017-10-05,1 Day,Shetland,Departmental Business,Air/Car ,Economy, £90.64 ,, £561.96 ,
Denise Horsfall,2017-10-09,1 Day,Glasgow,Departmental Business,Car ,,,, £43.20 ,
Denise Horsfall,2017-10-10,1 Day,Leeds,Departmental Business,Car ,, £8.17 ,, £108.17 ,
Denise Horsfall,2017-10-12,1 Day,Scottish Parliament - Edinburgh,Departmental Business,Car ,,,, £5.75 ,
Denise Horsfall,2017-10-17,1 Day,Glasgow,Departmental Business,Car ,,,, £38.70 ,
Denise Horsfall,2017-10-18,1 Day,Glasgow,Departmental Business,Car ,,,, £38.70 ,
Denise Horsfall,2017-10-20,1 Day,Kirkwall (Orkney),Departmental Business,Air,Economy, £5.00 ,, £452.88 ,
Denise Horsfall,2017-10-23,2 Days,London,Departmental Business,Air,Economy, £285.44 ,, £692.97 ,
Denise Horsfall,2017-10-27,1 Day,Eyemouth,Departmental Business,Car,,,, £29.70 ,
Denise Horsfall,2017-10-30,1 Day,Glasgow,Departmental Business,Car ,,,, £38.70 ,
Denise Horsfall,2017-10-31,1 Day,Glasgow,Departmental Business,Car,,,, £38.70 ,
Denise Horsfall,2017-11-03,1 Day,Hamilton,Departmental Business,Car ,,,, £20.70 ,
Denise Horsfall,2017-11-07,1 Day,Glasgow - Laurieston,Departmental Business,Car,,,, £41.40 ,
Denise Horsfall,2017-11-08,1 Day,Glasgow,Departmental Business,Car,,,, £38.70 ,
Denise Horsfall,2017-11-20,2 Days,Liverpool,Departmental Business,Car/ Train/ Taxi,Standard, £150.13 ,, £271.58 ,
Denise Horsfall,2017-10-23,1 Day,Glasgow,Departmental Business,Car,,,, £38.70 ,
Denise Horsfall,2017-11-27,1 Day,Dundee,Departmental Business,Car,, £114.60 ,, £141.60 ,
Denise Horsfall,2017-11-28,2 Days,London,Departmental Business,Air/ Car ,Standard, £148.17 ,, £497.04 ,
Denise Horsfall,2017-11-30,1 Day,Falkirk ,Departmental Business,Car,,,, £22.50 ,
Denise Horsfall,2017-12-04,1 Day,Kilmarnock,Departmental Business,Car,,,, £47.00 ,
Denise Horsfall,2017-12-05,1 Day,Glasgow - Laurieston,Departmental Business,Car,,,, £41.40 ,
Denise Horsfall,2017-12-06,2 Days,Ayr,Departmental Business,Car,, £93.94 ,, £137.07 ,
Denise Horsfall,2017-12-08,1 Day,Glasgow,Departmental Business,Car,,,, £38.70 ,
Denise Horsfall,2017-12-11,1 Day,Glasgow,Departmental Business,Car,,,, £38.70 ,
Denise Horsfall,2017-12-12,1 Day,Glasgow - Laurieston,Departmental Business,Car,,,, £35.25 ,
Denise Horsfall,2017-12-17,4 Days,London,Departmental Business,Air/ Train,Standard , £458.69 ,, £938.22 ,
Denise Horsfall,2017-12-22,1 Day,Glasgow ,Departmental Business,Car,,,, £38.70 ,
,,,,,,,,,,
Karen Gosden,2017-10-04,1 Day,London,Departmental Business,Rail,Standard,,,£196.50,
Karen Gosden,2017-10-05,1 Day,Wrexham ,Departmental Business,Hire Car,,,,£62.97,
Karen Gosden,2017-10-09,1 Day,Port Talbot/Porthcawl ,Departmental Business,Hire Car,,£61.20,,£119.28,
Karen Gosden,2017-10-10,1 Day,Cwmbran,Departmental Business,Hire car ,,,,£42.32,
Karen Gosden,2017-10-11,1 Day,Walsall,Departmental Business,Hire Car,,,,£40.49,
Karen Gosden,2017-10-16,2 Days,London,Departmental Business,Rail,Standard,£300.60,,£505.10,
Karen Gosden,2017-10-18,1 Day,London,Departmental Business,Rail,Standard,,,£188.50,
Karen Gosden,2017-10-19,1 Day,London,Departmental Business,Rail,Standard,,,£141.00,
Karen Gosden,2017-10-27,1 Day,Birmingham,Departmental Business,Car,,,,£44.10,
Karen Gosden,2017-10-30,1 Day,Norwich ,Departmental Business,Car,,£60.20,,£89.60,
Karen Gosden,2017-10-31,1 Day,Beccles/Thetford/Bury St Edmunds,Departmental Business,Car,,,,£69.25,
Karen Gosden,2017-11-01,1 Day,London,Departmental Business,Rail,Standard,,,£188.50,
Karen Gosden,2017-11-06,1 Day,Glasgow,Departmental Business, Rail,Standard,£60.20,,£186.50,
Karen Gosden,2017-11-08,1 Day,Nuneaton,Departmental Business,Car,,,,£22.20,
Karen Gosden,2017-11-09,1 Day,London,Departmental Business,Rail,Standard,,,£283.50,
Karen Gosden,2017-11-13,1 Day,London,Departmental Business,Rail,Standard,,,£189.10,
Karen Gosden,2017-11-14,1 Day,Wrexham/Bangor/Caernarfon ,Departmental Business,Hire Car,,,,£97.12,
Karen Gosden,2017-11-17,1 Day,London,Departmental Business,Rail,Standard,,,£188.50,
Karen Gosden,2017-11-20,1 Day,London,Departmental Business,Rail,Standard,,,£190.90,
Karen Gosden,2017-11-21,1 Day,Liverpool,Departmental Business,Car/Rail,Standard,£64.60,,£136.56,
Karen Gosden,2017-11-22,1 Day,Birkenhead ,Departmental Business,Car/Rail,Standard,,,£70.00,
Karen Gosden,2017-11-28,1 Day,Birmingham,Departmental Business,Rail,Standard,,,£31.60,
Karen Gosden,2017-11-29,1 Day,London,Departmental Business,Rail,Standard,,,£136.40,
Karen Gosden,2017-11-30,1 Day,Birmingham,Departmental Business,Rail,Standard,,,£26.80,
Karen Gosden,2017-12-04,1 Day,London,Departmental Business,Rail,Standard,,,£189.10,
Karen Gosden,2017-12-05,2 Days,Cardiff,Departmental Business,Rail/Taxi,Standard,£79.60,,£175.80,
Karen Gosden,2017-12-07,1 Day,Birmingham,Departmental Business,Rail,Standard,,,£26.00,
Karen Gosden,2017-12-11,1 Day,London,Departmental Business,Rail,Standard,,,£189.60,
Karen Gosden,2017-12-13,1 Day,London,Departmental Business,Rail,Standard,,,£132.50,
Karen Gosden,2017-12-19,1 Day,London,Departmental Business,Rail,Standard,,,£188.50,
,,,,,,,,,,
Colin Stewart,2017-10-03,1 Day,Thornaby,Departmental Business,Train/taxi,Standard,£5.00,,£98.90,
Colin Stewart,2017-10-05,1Day,Leeds,Departmental Business,Car,,£4.00,,£51.28,
Colin Stewart,2017-10-06,1Day,Brighouse,Departmental Business,Car,,£5.00,,£38.75,
Colin Stewart,2017-10-09,1 Day,Sheffield,Departmental Business,Train/taxi,Standard,£5.00,,£61.10,
Colin Stewart,2017-10-12,2 Days,Mcr-Middlesbro -Newcastle- Mcr,Departmental Business,Train/taxi,Standard,£87.40,,£223.60,
Colin Stewart,2017-10-17,1 Day,Makerfield,Departmental Business,Car,,£5.00,,£28.40,
Colin Stewart,2017-10-19,1 Day,Mcr - Leeds - sheffield - Mcr,Departmental Business,Train/taxi,Standard,£5.00,,£104.60,
Colin Stewart,2017-10-23,1 Day,Stockport,Departmental Business,Car,,£3.56,,£9.86,
Colin Stewart,2017-10-24,2 Days,London,Departmental Business,Train/taxi/Fares,Standard,£138.70,,£469.78,
Colin Stewart,2017-10-27,1 Day,Scunthorpe,Departmental Business,Train/taxi,Standard,£4.95,,£72.55,
Colin Stewart,2017-11-02,1 Day,Leeds,Departmental Business,Train/taxi,Standard,,,£60.50,
Colin Stewart,2017-11-03,1 Day,Southport,Departmental Business,Car,,£4.45,,£47.50,
Colin Stewart,2017-11-07,1 Day,Glasgow,Departmental Business,Air/Taxi,Standard,£5.00,,£239.56,
Colin Stewart,2017-11-09,1 Day,London,Departmental Business,Train/taxi,Standard,£5.00,,£310.00,
Colin Stewart,2017-11-14,1 Day,Barnsley,Departmental Business,Train/taxi,Standard,£5.00,,£56.70,
Colin Stewart,2017-11-16,2 Days,London,Departmental Business,Train/taxi,Standard,£136.13,,£361.93,
Colin Stewart,2017-11-21,2 Days,Liverpool,Departmental Business,Train/taxi,Standard,£84.00,,£159.55,
Colin Stewart,2017-11-30,1 Day,Leeds,Departmental Business,Train/taxi,Standard,£5.00,,£52.90,
Colin Stewart,2017-12-08,1 Day,Blackpool,Departmental Business,Car,,£4.80,,£52.95,
Colin Stewart,2017-12-12,1 Day,Manchester,Departmental Business,Tram,,,,£3.20,
Colin Stewart,2017-12-14,1 Day,Leeds,Departmental Business,Train,Standard,£5.00,,£52.90,
Colin Stewart,2017-12-19,2 Days,London,Departmental Business,Train/taxi,Standard,£158.99,,£526.99,
Colin Stewart,2017-12-21,1 Day,Preston ,Departmental Business,Car,,£3.99,,£40.14,
,,,,,,,,,,
John-Paul Marks,2017-10-01,2 Days,Glasgow,Departmental Business,Air ,Economy,,,£99.22,
John-Paul Marks,2017-10-05,2 days,Belfast,Departmental Business,Air,Economy,£105.10,,£228.56,
John-Paul Marks,2017-10-09,1 Day,Newquay,Departmental Business,Air ,Economy,£52.90,,£213.50,
John-Paul Marks,2017-10-10,1 Day,Manchester,Departmental Business,Rail ,Standard,,,£223.95,
John-Paul Marks,2017-10-13,1 Day,Basildon,Departmental Business,Rail,Standard,,,£22.50,
John-Paul Marks,2017-10-13,1 Day,Basildon,Departmental Business,Rail ,Standard,,,£13.10,
John-Paul Marks,2017-10-16,1 Day,Reading,Departmental Business,Rail ,Standard,,,£42.90,
John-Paul Marks,2017-10-17,1 Day,Portslade,Departmental Business,Rail ,Standard,,,£59.00,
John-Paul Marks,2017-10-23,1 Day,Stockport,Departmental Business,Rail ,Standard,,,£156.70,
John-Paul Marks,2017-10-30,1 Day,Oxford,Departmental Business,Rail ,Standard,,,£25.70,
John-Paul Marks,2017-11-13,1 Day,Oxford,Departmental Business,Rail ,Standard,,,£25.70,
John-Paul Marks,2017-11-21,1 Day,Liverpool,Departmental Business,Rail ,Standard,£87.60,,£274.55,
John-Paul Marks,2017-11-24,1 Day,Swindon,Departmental Business,Rail ,Standard,£25.90,,£154.90,
John-Paul Marks,2017-12-07,1 Day,High Wycombe,Departmental Business,Rail ,Standard,£30.00,,£63.80,
John-Paul Marks,2017-12-11,1 Day,Canterbury,Departmental Business,Rail ,Standard,,,£39.40,
John-Paul Marks,2017-12-15,1 Day,Brighton,Departmental Business,Rail ,Standard,,,£28.10,
John-Paul Marks,2017-12-19,1 Day,Basildon,Departmental Business,Rail ,Standard,,,£22.50,
,,,,,,,,,,
Ian Wright,2017-09-18,3 Days,London,Departmental Business,Rail,Standard,£604.85,,£912.45,
Ian Wright,2017-10-02,3 Days,London,Departmental Business,Rail,Standard,£591.25,,£921.25,
Ian Wright,2017-10-09,2 Days,London,Departmental Business,Rail,Standard,£307.25,,£630.85,
Ian Wright,2017-10-12,1 Day,South Shields,Departmental Business,Metro,Standard,,,£5.00,
Ian Wright,2017-10-13,1 Day,Middlesbrough,Departmental Business,Rail,Standard,£4.00,,£28.80,
Ian Wright,2017-10-16,3 Days,London,Departmental Business,Rail,Standard,£457.50,,£780.10,
Ian Wright,2017-10-23,2 Days,London,Departmental Business,Rail,Standard,£316.63,,£650.63,
Ian Wright,2017-11-02,1 Day,Leeds,Departmental Business,Rail,Standard,£5.00,,£112.20,
Ian Wright,2017-11-13,3 Days,London,Departmental Business,Rail,Standard,£611.25,,£933.85,
Ian Wright,2017-11-27,4 Days,London,Departmental Business,Rail,Standard,£607.38,,£937.38,
Ian Wright,2017-12-11,4 Days,London,Departmental Business,Rail,Standard,£612.88,,£944.88,
,,,,,,,,,,
Janice Hartley,2017-10-03,2 Days,London,Departmental business,Rail,Standard,£135.60,,£408.25,
Janice Hartley,2017-10-04,2 Days,London,Departmental business,Rail,Standard,£135.60,,£189.37,
Janice Hartley,2017-10-05,1 Day,London,Departmental business,Car,,,,£65.25,
Janice Hartley,2017-10-06,1 Day,Blackpool,Departmental business,Car,,,,£44.10,
Janice Hartley,2017-10-10,2 Days,London,Investiture,Rail,Standard,£191.60,,£193.40,
Janice Hartley,2017-10-11,1 Day,London,Investiture,Taxi,,,,£25.00,
Janice Hartley,2017-10-17,2 Days,London,Departmental business,Rail,Standard,£155.60,,£428.85,
Janice Hartley,2017-10-19,1 Day,Leeds,Departmental business,hired car,,,,£83.71,
Janice Hartley,2012-11-08,1 Day,Birmingham,Departmental business,Rail,Standard,,,£113.10,
Janice Hartley,2017-11-10,1 Day,Toxteth,Departmental business,hired car,,,,£36.46,
Janice Hartley,2017-11-14,1 Day,London,Departmental business,Rail,Standard,,,£327.10,
Janice Hartley,2017-11-20,2 Days,London,Departmental business,Rail,Standard,£135.60,,£408.85,
Janice Hartley,2017-11-21,1 Day,London,Departmental business,Car,,,,£35.25,
Janice Hartley,2017-11-22,1 Day,Blackpool,Departmental business,Car,,,,£46.80,
Janice Hartley,2017-12-11,1 Day,London,Departmental business,Rail,Standard,,,£301.00,
Janice Hartley,2017-12-14,2 Days,Leeds,Departmental business,Car,,£96.60,,£121.35,
Janice Hartley,2017-12-15,1 Day,Leeds,Departmental business,Car,,,,£24.75,
,,,,,,,,,,
Will Moss,2017-10-03,3 Days,London,Departmental Business,Rail,Standard,£291,,£541.70,
Will Moss,2017-10-10,2 Days,London,Departmental Business,Rail,Standard,£150.00,,£401.00,
Will Moss,2017-10-17,2 Days,London,Departmental Business,Rail,Standard,£22.50,,£273.50,
Will Moss,2017-10-31,2 Days,London,Departmental Business,Rail,Standard,£153.90,,£404.90,
Will Moss,2017-10-30,10 Days,London,Departmental Business,Tube,Standard,,,£35.40,
Will Moss,2017-11-07,2 Days,London,Departmental Business,Rail,Standard,£153.90,,£404.90,
Will Moss,2017-11-09,1 Day,Sheffield,Departmental Business,Rail,Standard,,,£23.00,
Will Moss,2017-11-14,4 Days,London,Departmental Business,Rail,Standard,£179.90,,£295.00,
Will Moss,2017-11-14,3 Days,London,Departmental Business,Tube,Standard,,,£9.60,
Will Moss,2017-11-22,1 Day,London,Departmental Business,Rail,Standard,£5.00,,£256,
Will Moss,2017-11-28,2 Days,London,Departmental Business,Rail,Standard,£130.00,,£381.00,
Will Moss,2017-12-05,2 Days,London,Departmental Business,Rail,Standard,£160.00,,£411.00,
Will Moss,2017-12-12,2 Days,London,Departmental Business,Rail,Standard,£160.00,,£411.00,
Will Moss,2017-12-18,2 Days,London,Departmental Business,Rail,Standard,£156.00,,£407.00,
Will Moss,2017-12-14,8 Days,London,Departmental Business,Tube,Standard,,,£32.40,
,,,,,,,,,,
Iain Walsh,2017-11-08,3 Days,Paris / Rome,Departmental Business,Rail/Air,Standard,£270.21,,£691.03,
Iain Walsh,2017-11-14,2 Days,Sheffield / Manchester,Departmental Business,Rail,Standard,£82.60,,£144.20,
Iain Walsh,2017-11-29,2 Days,Carmarthen,Departmental Business,Rail,Standard,£77.10,,£290.10,
Iain Walsh,2017-12-20,1 Day,Sheffield ,Departmental Business,Rail,Standard,,,£93.00,
,,,,,,,,,,
Mary Pattison,2017-10-12,1 Day,Lancaster,Departmental Business,Rail,Standard,,,£84.00,
Mary Pattison,2017-10-23,2 Days,Edinburgh,Departmental Business,Air,Economy,£74.85,,£185.45,
Mary Pattison,2017-11-27,1 Day,Newcastle,Departmental Business,Rail,Standard,,,£64.00,
Mary Pattison,2017-11-29,1 Day,Lewes,Departmental Business,Rail,Standard,,,£31.90,
Mary Pattison,2017-12-07,1 Day,Lancaster,Departmental Business,Rail,Standard,,,£84:00,
Mary Pattison,2017-12-08,1 Day,High Wycombe,Departmental Business,Rail,Standard,,,£26.80,
,,,,,,,,,,
Trevor Huddleston,2017-10-04,1 Day,Peterborough,Departmental Business,Rail,Standard,,,£9.10,
Trevor Huddleston,2017-10-23,1 Day,Newcastle,Departmental Business,Rail,Standard,,,£90.20,
Trevor Huddleston,2017-10-30,1 Day,Leeds,Departmental Business,Rail,Standard,£81.00,,£116.50,
Trevor Huddleston,2017-10-31,1 Day,Sheffield,Departmental Business,Rail,Standard,,,£16.60,
Trevor Huddleston,2017-11-27,1 Day,Leeds,Departmental Business,Train & Taxi,Standard,£101.00,,£142.50,
Trevor Huddleston,2017-11-28,1 Day,Sheffield,Departmental Business,Rail,Standard,£4.55,,£24.65,
Trevor Huddleston,2017-11-29,1 Day,Peterborough,Departmental Business,Rail,Standard,,,£8.10,
Trevor Huddleston,2017-12-04,1 Day,Birmingham,DWP Story,Train & Taxi,Standard,£5.00,,£129.60,
Trevor Huddleston,2017-12-07,1 Day,Newcastle,Departmental Business,Rail,Standard,,,£77.70,
,,,,,,,,,,
Charlotte Clark,2017-10-18,2 Days,Manchester,Speaking at PLSA Conference,Rail,Standard,,,£60.00,
Charlotte Clark,2017-11-21,1 Day,Bath,Departmental Business,Rail,Standard,,,£128.10,
Charlotte Clark,2017-11-22,1 Day,Sheffield,Departmental Business,Rail,Standard,,,£123.00,
Charlotte Clark,2017-11-28,1 Day,Sheffield,Departmental Business,Rail,Standard,£55.60,,£164.60,
Charlotte Clark,2017-12-12,1 Day,Battle,Departmental Business,Rail,Standard,,,£30.50,
,,,,,,,,,,
Stefan Czerniawski ,2017-11-07,2 Days,Leeds/Durham/London,Departmental Business,Rail,Standard,£98.99,,£290,
Stefan Czerniawski ,2017-11-26,1 Day,Newcastle ,Departmental Business,Rail,Standard,£71.00,,£109,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
James Wolfe,2017-10-02,1 Day ,Leeds,Departmental Business,Rail,Standard,£116.10,,£116.10,
James Wolfe,2017-10-17,1 Day ,Birmingham,Departmental Business,Rail,Standard,£109.00,,£109.00,
James Wolfe,2017-10-18,1 Day ,London,Departmental Business,Rail,Standard,£29.80,,£29.80,
James Wolfe,2017-11-08,1 Day ,Leeds,Departmental Business,Rail,Standard,£116.10,,£116.10,
James Wolfe,2017-11-23,1 Day ,Ipswich,Departmental Business,Rail,Standard,£30.00,,£30.00,
James Wolfe,2017-12-06,1 Day ,Swindon,Departmental Business,Rail,Standard,£91.50,,£91.50,
James Wolfe,2017-12-12,1 Day ,Harrow,Departmental Business,,,£7.00,,£7.00,
,,,,,,,,,,
,,,,,,,,,,
Donna Ward,2017-11-02,1 Day,Leeds,Departmental Business,Rail,Standard,£81.00,,£81.00,
Donna Ward,2017-11-21,1 Day,Hull,Departmental Business,Rail,Standard,£86.00,,£86.00,
Donna Ward,2017-11-28,1 Day,Leeds,Departmental Business,Rail,Standard,£51.00,,£51.00,
,,,,,,,,,,
,,,,,,,,,,
Pete Searle,2017-10-03,1 Day,sheffield,Departmental Business,Rail,Standard,£134.55,,£250.15,
Pete Searle,2017-10-18,1 Day,Glasgow,DWP Story,,,,,£26.00,
Pete Searle,2017-10-23,1 Day,Glasgow,DWP Story,Air,Standard,,,£26.00,
Pete Searle,2017-10-26,1 Day,London,Departmental Business,Rail,Standard,,,£4.80,
Pete Searle,2017-11-01,2 Days,Glasgow,DWP Story,Air,Standard,£89.60,,£366.16,
Pete Searle,2017-11-07,1 Day,Leeds,Departmental Business,Rail,Standard,£80.60,,£147.00,
Pete Searle,2017-11-08,1 Day,St Albans,DWP Story,Rail/Bus,Standard,,,£24.10,
Pete Searle,2017-11-09,1 Day,London,DWP Story,Rail,Standard,,,£30.30,
Pete Searle,2017-11-13,1 Day,Inverness,DWP Story,Air,Standard,£85.60,,£218.74,
Pete Searle,2017-11-16,1 Day,Birmingham,Departmental Business,Rail,Standard,£1.20,,£81.20,
Pete Searle,2017-11-21,1 Day,Sheffield,Departmental Business,Bus,Standard,£75.60,,£195.10,
Pete Searle,2017-11-29,1 Day,Swindon,DWP Story,Rail,Standard,£95.58,,£157.88,
Pete Searle,2017-12-05,2 Days,Edinburgh,DWP Story,Air,Standard,£101.75,,£286.75,
Pete Searle,2017-12-06,1 Day,Leeds,Departmental Business,Rail,Standard,£108.55,,£144.95,
Pete Searle,2017-12-07,1 Day,York/Leeds,Departmental Business,Rail,Standard,£5.00,,£73.90,
Pete Searle,2017-12-12,1 Day,Manchester,DWP Story,Rail,Standard,£118.29,,£249.84,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Tabitha Jay,2017-10-30,1 Day,Manchester ,Departmental Business,Rail,Standard,£338.00,,£338.00,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Karl Khan ,2017-10-02,2 Days,Blackpool ,Departmental Business ,Rail ,Standard ,£178.40,,£318.30,
Karl Khan ,2017-10-11,1 Day,London ,Departmental Business ,Rail ,Standard ,£109.53,,£162.63,
Karl Khan ,2017-10-17,1 Day,London ,Departmental Business ,Rail ,Standard ,£0.60,,£83.90,
Karl Khan ,2017-10-18,2 Days,London ,Departmental Business ,Rail ,Standard ,£127.85,,£211.77,
Karl Khan ,2017-10-31,2 Days,London ,Departmental Business ,Rail ,Standard ,£109.53,,£171.93,
Karl Khan ,2017-11-02,2 Days,Belfast ,Departmental Business ,Air,Standard ,£77.20,,£262.08,
Karl Khan ,2017-11-07,1 Day,London ,Departmental Business ,Rail ,Standard ,,,£52.60,
Karl Khan ,2017-11-09,1 Day,Lewes,Departmental Business ,Car ,,,,£30.60,
Karl Khan ,2017-11-16,1 Day,London ,Departmental Business ,Rail ,Standard ,,,£58.30,
Karl Khan ,2017-11-20,2 Days,London ,Departmental Business ,Rail ,Standard ,£10.88,,£170.03,
Karl Khan ,2017-11-22,1 Day,London ,Departmental Business ,,,£4.00,,£4.00,
Karl Khan ,2017-11-29,1 Day,London ,Departmental Business ,,,£109.53,,£109.53,
Karl Khan ,2017-12-04,2 Days,London ,Departmental Business ,Rail ,Standard ,£219.06,,£330.06,
Karl Khan ,2017-12-06,1 Day,High Wycombe ,Departmental Business ,Rail ,Standard ,,,£20.80,
Karl Khan ,2017-12-12,1 Day,London ,Departmental Business ,,,£0.60,,£0.60,
Karl Khan ,2018-12-18,1 Day,London ,Departmental Business ,Rail ,Standard ,£213.22,,£266.42,
,,,,,,,,,,
Richard West,2017-10-03,2 Days,Blackpool,Departmental Business,Car,,£97.97,,£190.32,
Richard West,2017-10-06,1 Day,Annesley,Departmental Business,Car,,£4.57,,£66.68,
Richard West,2017-10-17,1 Day,London,Departmental Business,Rail,,£7.96,,£283.26,
Richard West,2017-10-24,2 Days,London,Departmental Business,Rail,,£157.78,,£446.38,
Richard West,2017-10-31,3 Days,London,Departmental Business,Rail,,£298.06,,£598.96,
Richard West,2017-11-10,1 Day,Sheffield,Departmental Business,Car,,£8.17,,£76.12,
Richard West,2017-11-13,1 Day,London,Departmental Business,Rail,,£4.70,,£281.00,
Richard West,2017-11-15,2 Days,London,Departmental Business,Rail,,£16.24, ,£304.84,
Richard West,2017-11-20,1 Day,London,Departmental Business,Rail,,£4.79,,£281.09,
Richard West,2017-11-21,2 Days,Liverpool ,Departmental Business,Car,,£29.12,,£140.78,
Richard West,2017-11-28,2 Days,Liverpool/Barnsley,Departmental Business,Car,,£8.34,,£107.28,
Richard West,2017-11-30,1 Day,London,Departmental Business,Rail,,£5.00,,£281.30,
Richard West,2017-12-04,1 Day,London,Departmental Business,Rail,,£7.75,,£277.75,
Richard West,2017-12-06,1 Day,Halifax,Departmental Business,Car,,£0.00,,£10.80,
Richard West,2017-12-14,1 Day,London,Departmental Business,Rail,,£10.00,,£286.30,
Richard West,2017-12-18,2 Days,London,Departmental Business,Rail,,£25.00,,£448.60,
,,,,,,,,,,
,,,,,,,,,,
Richard Cornish,2017-10-02,3 Days,Blackpool,Departmental Business,Rail,Standard,£168.50,,£331.40,
Richard Cornish,2017-10-05,1 Day,London,Departmental Business,Rail,Standard,,,£38.30,
Richard Cornish,2017-10-06,1 Day,London,Departmental Business,Rail,Standard,,,£38.30,
Richard Cornish,2017-10-09,1 Day,London,Departmental Business,Rail,Standard,,,£38.30,
Richard Cornish,2017-10-11,3 Days,Grantham/ Sheffied/ Nottingham,Depatmental Business,Rail,Standard,£164.05,,£398.79,
Richard Cornish,2017-10-16,1 Day,London,Depatmental Business,Rail,Standard,,,£38.30,
Richard Cornish,2017-10-17,1 Day,London,Departmental Business,Rail,Standard,,,£38.30,
Richard Cornish,2017-10-18,1 Day,Wood Green,Departmental Business,Rail,Standard,,,£51.60,
Richard Cornish,2017-10-19,1 Day,London,Departmental Business,Rail,Standard,,,£38.30,
Richard Cornish,2017-10-23,1 Day,London,Departmental Business,Rail,Standard,,,£38.30,
Richard Cornish,2017-10-24,1 Day,London,Departmental Business,Rail,Standard,,,£38.30,
Richard Cornish,2017-10-25,1 Day,London (Marylebone),Departmental Business,Rail,Standard,,,£44.10,
Richard Cornish,2017-10-31,2 Days,High Wycombe/Oldham,Departmental Business,Rail,Standard,£177.66,,£223.76,
Richard Cornish,2017-11-02,2 Days,Oldham/Ipswich,Departmental Business,Car,Standard,£79.86,,£140.35,
Richard Cornish,2017-11-06,1 Day,Birmingham,Departmental Business,Rail,Standard,,,£130.20,
Richard Cornish,2017-11-07,4 Days,Bristol/ Swansea,Depatmental Business,Rail,Standard,£232.23,,£537.21,
Richard Cornish,2017-11-14,1 Day,London,Departmental Business,Rail,Standard,,,£38.30,
Richard Cornish,2017-11-15,1 Day,High Wycombe,Departmental Business,Rail,Standard,,,£51.10,
Richard Cornish,2017-11-16,1 Day,London (Canary Wharf),Departmental Business,Rail,Standard,,,£51.50,
Richard Cornish,2017-11-17,1 Day,London,Departmental Business,Rail,Standard,,,£38.30,
Richard Cornish,2017-11-20,5 Days,Liverpool/Glasgow,Departmental Business,Rail,Standard,£200.35,,£542.69,
Richard Cornish,2017-11-27,1 Day,London,Departmental Business,Rail,Standard,£145.45,,£189.55,
Richard Cornish,2017-11-28,3 Days,Middlesborough,Departmental Business,Rail,Standard,£186.35,,£369.10,
