"Name (Firstname, Surname)",Start date of trip (DD/MM/YYYY),Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Mayank Prakash ,2017-12-08,1 day ,Leeds ,Departmental Business,rail ,Standard,Nil return,Nil return,£130.10,
Mayank Prakash ,2017-12-12,2 days ,Manchester ,Departmental Business,rail,Standard,£92.60,Nil return,£249.55,
,,,,,,,,,,
Susan Park,2017-10-01,1 day ,London,Departmental Business,rail ,standard,Nil return,Nil return,£18.90,
Susan Park,2017-10-03,2 days ,Blackpool,Departmental Business,Rail,standard,£106.99,Nil return,£360.04,
Susan Park,2017-10-13,1 day ,Glasgow ,Departmental Business,rail,standard,£4.30,Nil return,£38.20,
Susan Park,2017-10-27,1 day ,Ashford ,Departmental Business,Rail ,standard,£5.00,Nil return,£58.20,
Susan Park,2017-11-02,1 day ,Leeds ,Departmental Business,Rail ,standard,Nil return,Nil return,£211.00,
Susan Park,2017-11-13,2 days ,Glasgow,Departmental Business,Air / Rail,standard,£89.60,Nil return,£246.43,
Susan Park,2017-11-20,3 days ,Liverpool,Departmental Business,Rail,standard,£159.37,Nil return,£427.77,
Susan Park,2017-11-23,2 days ,Birmingham ,Departmental Business,rail,standard,£192.55,Nil return,£206.65,
Susan Park,2017-11-27,2 days ,York ,Departmental Business,rail,standard,£100.09,Nil return,£157.99,
Susan Park,2017-11-29,2 days ,Bath,Departmental Business,rail,standard,£118.40,Nil return,£284.20,
Susan Park,2017-12-01,1 day ,Ashford ,Departmental Business,rail,standard,£4.50,Nil return,£57.70,
Susan Park,2017-12-06,3 days ,Tallinn Estonia ,Departmental Business,Air / Rail,standard,£3.94,Nil return,£282.60,
Susan Park,2017-12-14,2 days ,Birmingham ,Departmental Business,rail ,standard,£109.89,Nil return,£236.89,
,,,,,,,,,,
Richard Judge,2017-10-03,3 days,Liverpool,Departmental Business,Rail,Standard,£286.97,Nil return,£397.37,
Richard Judge,2017-10-06,1 day,Bristol,Departmental Business,Car,Standard,£6.00,Nil return,£81.60,
Richard Judge,2017-10-09,1 day,Plymouth,Departmental Business,Car,Standard,£4.34,Nil return,£33.54,
Richard Judge,2017-10-10,2 days,London/ Liverpool,Departmental Business,Rail,Standard,£99.30,Nil return,£193.30,
Richard Judge,2017-10-17,3 days,Bedford/ Buxton,Departmental Business,Rail,Standard,£179.00,Nil return,£288.50,
Richard Judge,2017-10-30,3 days,Oxted/ Liverpool/ London,Departmental Business,Rail,Standard,£200.45,Nil return,£418.50,
Richard Judge,2017-11-07,2 days,London/ Liverpool/Buxton,Departmental Business,Rail,Standard,£111.45,Nil return,£296.85,
Richard Judge,2017-11-14,4 days,Carlisle/ Newcastle/ Leeds,Departmental Business,Rail,Standard,£236.15,Nil return,£414.55,
Richard Judge,2017-11-18,3 days,Birmingham/ Liverpool,Departmental Business,Rail,Standard,£107.00,Nil return,£248.50,
Richard Judge,2017-11-27,3 days,Liverpool/Manchester/Leeds,Departmental Business,Rail,Standard,£293.85,Nil return,£468.45,
Richard Judge,2017-12-04,1 day,London,Departmental Business,Rail,Standard,,Nil return,£2.75,
Richard Judge,2017-12-05,1 day,London/ Nottingham/ Norwich,Departmental Business,Rail,Standard,£128.16,Nil return,£301.76,
Richard Judge,2017-12-08,1 day,Bristol,Departmental Business,Car,Standard,Nil return,Nil return,£71.10,
Richard Judge,2017-12-12,3 days,London/ Liverpool,Departmental Business,Rail,Standard,£186.05,Nil return,£283.55,
Richard Judge,2017-12-18,2 days,Birmingham/ Liverpool,Departmental Business,Rail,Standard,£101.00,Nil return,£195.40,
,,,,,,,,,,
Sara Weller,2017-10-03,1 day ,London ,Departmental Business,rail/taxi ,standard ,Nil return,Nil return,£51.30,
Sara Weller,2017-10-12,1 day ,London ,Departmental Business,bus,standard ,Nil return,Nil return,£1.50,
Sara Weller,2017-10-17,1 day ,London ,Departmental Business,bus,standard ,Nil return,Nil return,£1.50,
Sara Weller,2017-10-18,1 day ,London ,Departmental Business,taxi ,standard ,Nil return,Nil return,£19.76,
Sara Weller,2017-10-24,1 day ,London ,Departmental Business,taxi/tube ,standard ,Nil return,Nil return,£18.20,
Sara Weller,2017-10-27,1 day ,London ,Departmental Business,train/ bus,standard ,Nil return,Nil return,£44.80,
Sara Weller,2017-11-01,1 day ,London ,Departmental Business,taxi ,standard ,Nil return,Nil return,£10.00,
Sara Weller,2017-11-22,1 day ,London ,Departmental Business,bus ,standard ,Nil return,Nil return,£1.50,
Sara Weller,2017-12-05,1 day ,London ,Departmental Business,train/tube,standard ,Nil return,Nil return,£42.70,
Sara Weller,2017-12-06,1 day ,London ,Departmental Business,train/bus,standard ,Nil return,Nil return,£41.80,
Sara Weller,2017-12-14,1 day ,London ,Departmental Business,train/tube,standard ,Nil return,Nil return,£45.10,
,,,,,,,,,,
Andrew Graham,2017-10-18,1 day,London ,Departmental Business ,Rail,Standard ,Nil return,Nil return,£57.50,
Andrew Graham,2017-11-16,1 day,London ,Departmental Business ,Rail,Standard ,Nil return,Nil return,£41.35,
,,,,,,,,,,
