Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Procurement Card?,Registration Number,Time Period for Grant,Purpose of Grant
Yorkshire Dales National Park Authority,07/01/2020,PCARD-2020/10,126.25,PREMIER INN,,Member Costs,Accomodation - Members,Y,,,
Yorkshire Dales National Park Authority,25/01/2020,PCARD-2020/10,152.88,FACEBOOK,,Tourism,Advertising,Y,,,
Yorkshire Dales National Park Authority,15/01/2020,PI140992,109.64,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,15/01/2020,PI140847,130.8,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,06/01/2020,PI140809,144.76,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,15/01/2020,PI140945,153.0,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,15/01/2020,PI140991,154.6,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,06/01/2020,PI140841,174.7,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,30/01/2020,PI141131,187.0,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,30/01/2020,PI141155,217.0,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,06/01/2020,PI140705,219.4,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,15/01/2020,PI140846,219.4,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,15/01/2020,PI140897,234.58,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,30/01/2020,PI141050,264.52,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,30/01/2020,PI141132,284.2,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,15/01/2020,PI140734,294.46,TMP (UK) LTD,S5155,Definitive Map,Advertising,,,,
Yorkshire Dales National Park Authority,15/01/2020,PI140793,300.08,TMP (UK) LTD,S5155,Definitive Map,Advertising,,,,
Yorkshire Dales National Park Authority,10/01/2020,Dec 19 TRANSACTIONS Vatable,75.0,BARCLAYS BANK PLC - DD,S3006,Retail Services O/H,Bank Charges,,,,
Yorkshire Dales National Park Authority,10/01/2020,Dec 19 TRANSACTIONS Exempt,206.23,BARCLAYS BANK PLC - DD,S3006,Retail Services O/H,Bank Charges,,,,
Yorkshire Dales National Park Authority,20/01/2020,PI140845,27.0,SAGE PAY DD,S4307,Retail Services O/H,Bank Charges,,,,
Yorkshire Dales National Park Authority,14/01/2020,PCARD-2020/10,74.32,SHOPIFY,S4518,Retail Services O/H,Bank Charges,Y,,,
Yorkshire Dales National Park Authority,14/01/2020,CARPARK CHGS - 14/01/20,39.36,SIX PAYMENT SERVICES LTD,S4524,Car Parks,Bank Charges,,,,
Yorkshire Dales National Park Authority,27/01/2020,CARPARK CHGS - 27/01/20,56.42,SIX PAYMENT SERVICES LTD,S4524,Car Parks,Bank Charges,,,,
Yorkshire Dales National Park Authority,21/01/2020,CARPARK CHGS - 21/01/20,63.77,SIX PAYMENT SERVICES LTD,S4524,Car Parks,Bank Charges,,,,
Yorkshire Dales National Park Authority,06/01/2020,CARPARK CHGS - 06/01/20,152.62,SIX PAYMENT SERVICES LTD,S4524,Car Parks,Bank Charges,,,,
Yorkshire Dales National Park Authority,30/01/2020,PI141087,1103.75,CIPFA BUSINESS LTD,S3369,Support Services,Books and Publications,,,,
Yorkshire Dales National Park Authority,15/01/2020,PI141028,5.75,DALES NEWSAGENTS,S0271,Office Accomodation,Books and Publications,,,,
Yorkshire Dales National Park Authority,15/01/2020,PI141027,37.35,DALES NEWSAGENTS,S0271,Office Accomodation,Books and Publications,,,,
Yorkshire Dales National Park Authority,15/01/2020,PI140916,55.85,HAWES NEWSAGENTS,S5289,Support Services,Books and Publications,,,,
Yorkshire Dales National Park Authority,30/01/2020,PI141192,11.05,H'S OF HELLIFIELD,S4344,Malham NPC,Books and Publications,,,,
Yorkshire Dales National Park Authority,06/01/2020,PI140911,3.25,SUMMERFIELD BOOKS,S3472,WMD 3.6 Celebrating and engaging,Books and Publications,,,,
Yorkshire Dales National Park Authority,06/01/2020,PI140911,14.3,SUMMERFIELD BOOKS,S3472,WMD 3.6 Celebrating and engaging,Books and Publications,,,,
Yorkshire Dales National Park Authority,15/01/2020,PI140939,11.0,CORNMILL TEAROOM,S0652,Member Costs,Catering (Internal),,,,
Yorkshire Dales National Park Authority,15/01/2020,PI140939,60.5,CORNMILL TEAROOM,S0652,Member Costs,Catering (Internal),,,,
Yorkshire Dales National Park Authority,15/01/2020,PI140939,66.0,CORNMILL TEAROOM,S0652,Member Costs,Catering (Internal),,,,
Yorkshire Dales National Park Authority,15/01/2020,PI140939,88.0,CORNMILL TEAROOM,S0652,Member Costs,Catering (Internal),,,,
Yorkshire Dales National Park Authority,15/01/2020,PI140959,30.05,DALES DAIRIES,S4895,Dales Countryside Museum,Catering (Internal),,,,
Yorkshire Dales National Park Authority,15/01/2020,PI140960,72.6,DALES DAIRIES,S4895,Support Services,Catering (Internal),,,,
Yorkshire Dales National Park Authority,15/01/2020,PI140924,2.48,DM & SL WHITE,S0664,Grassington NPC,Catering (Internal),,,,
Yorkshire Dales National Park Authority,15/01/2020,PI140923,72.57,DM & SL WHITE,S0664,Office Accomodation,Catering (Internal),,,,
Yorkshire Dales National Park Authority,30/01/2020,PI141187,34.52,ELIJAH ALLEN & SON,S0419,Dales Countryside Museum,Catering (Internal),,,,
Yorkshire Dales National Park Authority,31/01/2020,PCARD-2020/10,133.16,LYRECO,S1470,Support Services,Catering (Internal),Y,,,
