ï»¿Title,"All staff (excluding non-academic atypical) by academic contract marker, activity standard occupational classification, atypical marker, nationality, mode of employment and sex and academic year",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Location,UK,,,,,,
Academic years,2014/15 to 2018/19,,,,,,
Data source,HESA,,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb256/figure-2,,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb256/figure-2.csv,,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,,
Code page,Unicode UTF-8,,,,,,
Disclaimer,Please note that this data includes rounded totals. Caution must be taken when importing into a pivot table so as not to double count.,,,,,,
2014/15 non-atypical total,"403,835",,,,,,
2015/16 non-atypical total,"410,515",,,,,,
2016/17 non-atypical total,"419,710",,,,,,
2017/18 non-atypical total,"429,560",,,,,,
2018/19 non-atypical total,"439,955",,,,,,
2014/15 atypical total,"75,560",,,,,,
2015/16 atypical total,"72,020",,,,,,
2016/17 atypical total,"71,960",,,,,,
2017/18 atypical total,"68,845",,,,,,
2018/19 atypical total,"70,410",,,,,,
Last updated,Jan-20,,,,,,
,,,,,,,
,,,,,,,
Academic contract marker,Activity standard occupational classification,Mode of employment,Sex,Atypical marker,Nationality,Academic Year,Number
Academic contract,Professional occupations,Part-time,Other,Atypical,Other European Union,2015/16,0
Academic contract,Professional occupations,Part-time,Other,Atypical,Other European Union,2016/17,0
Academic contract,Professional occupations,Part-time,Other,Atypical,Other European Union,2017/18,0
Academic contract,Professional occupations,Part-time,Other,Atypical,Other European Union,2018/19,35
Academic contract,Professional occupations,Full-time,Female,Atypical,UK,2014/15,5
Academic contract,Professional occupations,Full-time,Female,Atypical,UK,2015/16,10
Academic contract,Professional occupations,Full-time,Female,Atypical,UK,2016/17,5
Academic contract,Professional occupations,Full-time,Female,Atypical,UK,2017/18,0
Academic contract,Professional occupations,Full-time,Female,Atypical,UK,2018/19,0
Academic contract,Professional occupations,Part-time,Female,Atypical,UK,2014/15,22245
Academic contract,Professional occupations,Part-time,Female,Atypical,UK,2015/16,21540
Academic contract,Professional occupations,Part-time,Female,Atypical,UK,2016/17,22170
Academic contract,Professional occupations,Part-time,Female,Atypical,UK,2017/18,21625
Academic contract,Professional occupations,Part-time,Female,Atypical,UK,2018/19,22335
Academic contract,Professional occupations,Full-time,Male,Atypical,UK,2014/15,5
Academic contract,Professional occupations,Full-time,Male,Atypical,UK,2015/16,15
Academic contract,Professional occupations,Full-time,Male,Atypical,UK,2016/17,5
Academic contract,Professional occupations,Full-time,Male,Atypical,UK,2017/18,5
Academic contract,Professional occupations,Full-time,Male,Atypical,UK,2018/19,5
Academic contract,Professional occupations,Part-time,Male,Atypical,UK,2014/15,24630
Academic contract,Professional occupations,Part-time,Male,Atypical,UK,2015/16,23485
Academic contract,Professional occupations,Part-time,Male,Atypical,UK,2016/17,23785
Academic contract,Professional occupations,Part-time,Male,Atypical,UK,2017/18,22590
Academic contract,Professional occupations,Part-time,Male,Atypical,UK,2018/19,23150
Academic contract,Professional occupations,Part-time,Other,Atypical,UK,2014/15,0
Academic contract,Professional occupations,Part-time,Other,Atypical,UK,2015/16,0
Academic contract,Professional occupations,Part-time,Other,Atypical,UK,2016/17,0
Academic contract,Professional occupations,Part-time,Other,Atypical,UK,2017/18,15
Academic contract,Professional occupations,Part-time,Other,Atypical,UK,2018/19,100
Academic contract,Professional occupations,Full-time,Female,Atypical,Unknown,2014/15,0
Academic contract,Professional occupations,Full-time,Female,Atypical,Unknown,2015/16,0
Academic contract,Professional occupations,Full-time,Female,Atypical,Unknown,2016/17,0
Academic contract,Professional occupations,Full-time,Female,Atypical,Unknown,2017/18,0
Academic contract,Professional occupations,Full-time,Female,Atypical,Unknown,2018/19,0
Academic contract,Professional occupations,Part-time,Female,Atypical,Unknown,2014/15,5260
Academic contract,Professional occupations,Part-time,Female,Atypical,Unknown,2015/16,4855
Academic contract,Professional occupations,Part-time,Female,Atypical,Unknown,2016/17,3890
Academic contract,Professional occupations,Part-time,Female,Atypical,Unknown,2017/18,3355
Academic contract,Professional occupations,Part-time,Female,Atypical,Unknown,2018/19,3175
Academic contract,Professional occupations,Full-time,Male,Atypical,Unknown,2014/15,0
Academic contract,Professional occupations,Full-time,Male,Atypical,Unknown,2015/16,0
Academic contract,Professional occupations,Full-time,Male,Atypical,Unknown,2016/17,0
Academic contract,Professional occupations,Full-time,Male,Atypical,Unknown,2017/18,0
Academic contract,Professional occupations,Full-time,Male,Atypical,Unknown,2018/19,0
Academic contract,Professional occupations,Part-time,Male,Atypical,Unknown,2014/15,6330
Academic contract,Professional occupations,Part-time,Male,Atypical,Unknown,2015/16,5460
Academic contract,Professional occupations,Part-time,Male,Atypical,Unknown,2016/17,4470
Academic contract,Professional occupations,Part-time,Male,Atypical,Unknown,2017/18,3795
Academic contract,Professional occupations,Part-time,Male,Atypical,Unknown,2018/19,3515
Academic contract,Professional occupations,Part-time,Other,Atypical,Unknown,2014/15,0
Academic contract,Professional occupations,Part-time,Other,Atypical,Unknown,2015/16,0
Academic contract,Professional occupations,Part-time,Other,Atypical,Unknown,2016/17,0
Academic contract,Professional occupations,Part-time,Other,Atypical,Unknown,2017/18,0
Academic contract,Professional occupations,Part-time,Other,Atypical,Unknown,2018/19,0
Academic contract,Professional occupations,Full-time,Female,Atypical,All,2014/15,5
Academic contract,Professional occupations,Full-time,Female,Atypical,All,2015/16,10
Academic contract,Professional occupations,Full-time,Female,Atypical,All,2016/17,10
Academic contract,Professional occupations,Full-time,Female,Atypical,All,2017/18,5
Academic contract,Professional occupations,Full-time,Female,Atypical,All,2018/19,0
Academic contract,Professional occupations,Part-time,Female,Atypical,All,2014/15,35470
Academic contract,Professional occupations,Part-time,Female,Atypical,All,2015/16,34195
Academic contract,Professional occupations,Part-time,Female,Atypical,All,2016/17,34540
Academic contract,Professional occupations,Part-time,Female,Atypical,All,2017/18,33420
Academic contract,Professional occupations,Part-time,Female,Atypical,All,2018/19,34150
Academic contract,Professional occupations,Full-time,Male,Atypical,All,2014/15,10
Academic contract,Professional occupations,Full-time,Male,Atypical,All,2015/16,15
Academic contract,Professional occupations,Full-time,Male,Atypical,All,2016/17,10
Academic contract,Professional occupations,Full-time,Male,Atypical,All,2017/18,5
Academic contract,Professional occupations,Full-time,Male,Atypical,All,2018/19,5
Academic contract,Professional occupations,Part-time,Male,Atypical,All,2014/15,39680
Academic contract,Professional occupations,Part-time,Male,Atypical,All,2015/16,37545
Academic contract,Professional occupations,Part-time,Male,Atypical,All,2016/17,37260
Academic contract,Professional occupations,Part-time,Male,Atypical,All,2017/18,35195
Academic contract,Professional occupations,Part-time,Male,Atypical,All,2018/19,35845
Academic contract,Professional occupations,Part-time,Other,Atypical,All,2014/15,0
Academic contract,Professional occupations,Part-time,Other,Atypical,All,2015/16,0
Academic contract,Professional occupations,Part-time,Other,Atypical,All,2016/17,0
Academic contract,Professional occupations,Part-time,Other,Atypical,All,2017/18,20
Academic contract,Professional occupations,Part-time,Other,Atypical,All,2018/19,175
Academic contract,Professional occupations,Full-time,All,Atypical,All,2014/15,15
Academic contract,Professional occupations,Full-time,All,Atypical,All,2015/16,30
Academic contract,Professional occupations,Full-time,All,Atypical,All,2016/17,20
Academic contract,Professional occupations,Full-time,All,Atypical,All,2017/18,10
Academic contract,Professional occupations,Full-time,All,Atypical,All,2018/19,5
Academic contract,Professional occupations,Full-time,All,Atypical,Non-European Union,2014/15,0
Academic contract,Professional occupations,Full-time,All,Atypical,Non-European Union,2015/16,0
Academic contract,Professional occupations,Full-time,All,Atypical,Non-European Union,2016/17,0
Academic contract,Professional occupations,Full-time,All,Atypical,Non-European Union,2017/18,0
Academic contract,Professional occupations,Full-time,All,Atypical,Non-European Union,2018/19,0
Academic contract,Professional occupations,Full-time,All,Atypical,Other European Union,2014/15,0
Academic contract,Professional occupations,Full-time,All,Atypical,Other European Union,2015/16,0
Academic contract,Professional occupations,Full-time,All,Atypical,Other European Union,2016/17,5
Academic contract,Professional occupations,Full-time,All,Atypical,Other European Union,2017/18,0
Academic contract,Professional occupations,Full-time,All,Atypical,Other European Union,2018/19,0
Academic contract,Professional occupations,Full-time,All,Atypical,UK,2014/15,10
Academic contract,Professional occupations,Full-time,All,Atypical,UK,2015/16,20
Academic contract,Professional occupations,Full-time,All,Atypical,UK,2016/17,10
Academic contract,Professional occupations,Full-time,All,Atypical,UK,2017/18,5
Academic contract,Professional occupations,Full-time,All,Atypical,UK,2018/19,5
Academic contract,Professional occupations,Full-time,All,Atypical,Unknown,2014/15,0
Academic contract,Professional occupations,Full-time,All,Atypical,Unknown,2015/16,0
Academic contract,Professional occupations,Full-time,All,Atypical,Unknown,2016/17,0
Academic contract,Professional occupations,Full-time,All,Atypical,Unknown,2017/18,0
Academic contract,Professional occupations,Full-time,All,Atypical,Unknown,2018/19,0
Academic contract,Professional occupations,Part-time,All,Atypical,All,2014/15,75150
Academic contract,Professional occupations,Part-time,All,Atypical,All,2015/16,71745
Academic contract,Professional occupations,Part-time,All,Atypical,All,2016/17,71800
Academic contract,Professional occupations,Part-time,All,Atypical,All,2017/18,68635
Academic contract,Professional occupations,Part-time,All,Atypical,All,2018/19,70170
Academic contract,Professional occupations,Part-time,All,Atypical,Non-European Union,2014/15,8800
Academic contract,Professional occupations,Part-time,All,Atypical,Non-European Union,2015/16,8710
Academic contract,Professional occupations,Part-time,All,Atypical,Non-European Union,2016/17,9220
Academic contract,Professional occupations,Part-time,All,Atypical,Non-European Union,2017/18,8970
Academic contract,Professional occupations,Part-time,All,Atypical,Non-European Union,2018/19,9470
Academic contract,Professional occupations,Part-time,All,Atypical,Other European Union,2014/15,7880
Academic contract,Professional occupations,Part-time,All,Atypical,Other European Union,2015/16,7690
Academic contract,Professional occupations,Part-time,All,Atypical,Other European Union,2016/17,8265
Academic contract,Professional occupations,Part-time,All,Atypical,Other European Union,2017/18,8280
Academic contract,Professional occupations,Part-time,All,Atypical,Other European Union,2018/19,8420
Academic contract,Professional occupations,Part-time,All,Atypical,UK,2014/15,46875
Academic contract,Professional occupations,Part-time,All,Atypical,UK,2015/16,45025
Academic contract,Professional occupations,Part-time,All,Atypical,UK,2016/17,45955
Academic contract,Professional occupations,Part-time,All,Atypical,UK,2017/18,44230
Academic contract,Professional occupations,Part-time,All,Atypical,UK,2018/19,45585
Academic contract,Professional occupations,Part-time,All,Atypical,Unknown,2014/15,11595
Academic contract,Professional occupations,Part-time,All,Atypical,Unknown,2015/16,10315
Academic contract,Professional occupations,Part-time,All,Atypical,Unknown,2016/17,8365
Academic contract,Professional occupations,Part-time,All,Atypical,Unknown,2017/18,7150
Academic contract,Professional occupations,Part-time,All,Atypical,Unknown,2018/19,6690
Academic contract,Professional occupations,All,All,Atypical,All,2014/15,75165
Academic contract,Professional occupations,All,All,Atypical,All,2015/16,71770
Academic contract,Professional occupations,All,All,Atypical,All,2016/17,71820
Academic contract,Professional occupations,All,All,Atypical,All,2017/18,68645
Academic contract,Professional occupations,All,All,Atypical,All,2018/19,70170
Academic contract,Professional occupations,All,Female,Atypical,All,2014/15,35475
Academic contract,Professional occupations,All,Female,Atypical,All,2015/16,34205
Academic contract,Professional occupations,All,Female,Atypical,All,2016/17,34550
Academic contract,Professional occupations,All,Female,Atypical,All,2017/18,33425
Academic contract,Professional occupations,All,Female,Atypical,All,2018/19,34150
Academic contract,Professional occupations,All,Male,Atypical,All,2014/15,39690
Academic contract,Professional occupations,All,Male,Atypical,All,2015/16,37565
Academic contract,Professional occupations,All,Male,Atypical,All,2016/17,37265
Academic contract,Professional occupations,All,Male,Atypical,All,2017/18,35200
Academic contract,Professional occupations,All,Male,Atypical,All,2018/19,35850
Academic contract,Professional occupations,All,Other,Atypical,All,2014/15,0
Academic contract,Professional occupations,All,Other,Atypical,All,2015/16,0
Academic contract,Professional occupations,All,Other,Atypical,All,2016/17,0
Academic contract,Professional occupations,All,Other,Atypical,All,2017/18,20
Academic contract,Professional occupations,All,Other,Atypical,All,2018/19,175
Academic contract,Professional occupations,All,All,Atypical,Non-European Union,2014/15,8805
Academic contract,Professional occupations,All,All,Atypical,Non-European Union,2015/16,8715
Academic contract,Professional occupations,All,All,Atypical,Non-European Union,2016/17,9220
Academic contract,Professional occupations,All,All,Atypical,Non-European Union,2017/18,8970
Academic contract,Professional occupations,All,All,Atypical,Non-European Union,2018/19,9470
Academic contract,Professional occupations,All,Female,Atypical,Non-European Union,2014/15,3975
Academic contract,Professional occupations,All,Female,Atypical,Non-European Union,2015/16,3890
Academic contract,Professional occupations,All,Female,Atypical,Non-European Union,2016/17,4215
Academic contract,Professional occupations,All,Female,Atypical,Non-European Union,2017/18,4170
Academic contract,Professional occupations,All,Female,Atypical,Non-European Union,2018/19,4325
Academic contract,Professional occupations,All,Male,Atypical,Non-European Union,2014/15,4830
Academic contract,Professional occupations,All,Male,Atypical,Non-European Union,2015/16,4820
Academic contract,Professional occupations,All,Male,Atypical,Non-European Union,2016/17,5005
Academic contract,Professional occupations,All,Male,Atypical,Non-European Union,2017/18,4800
Academic contract,Professional occupations,All,Male,Atypical,Non-European Union,2018/19,5105
Academic contract,Professional occupations,All,Other,Atypical,Non-European Union,2014/15,0
Academic contract,Professional occupations,All,Other,Atypical,Non-European Union,2015/16,0
Academic contract,Professional occupations,All,Other,Atypical,Non-European Union,2016/17,0
Academic contract,Professional occupations,All,Other,Atypical,Non-European Union,2017/18,0
Academic contract,Professional occupations,All,Other,Atypical,Non-European Union,2018/19,40
Academic contract,Professional occupations,All,All,Atypical,Other European Union,2014/15,7880
Academic contract,Professional occupations,All,All,Atypical,Other European Union,2015/16,7690
Academic contract,Professional occupations,All,All,Atypical,Other European Union,2016/17,8270
Academic contract,Professional occupations,All,All,Atypical,Other European Union,2017/18,8285
Academic contract,Professional occupations,All,All,Atypical,Other European Union,2018/19,8420
Academic contract,Professional occupations,All,Female,Atypical,Other European Union,2014/15,3985
Academic contract,Professional occupations,All,Female,Atypical,Other European Union,2015/16,3910
Academic contract,Professional occupations,All,Female,Atypical,Other European Union,2016/17,4265
Academic contract,Professional occupations,All,Female,Atypical,Other European Union,2017/18,4275
Academic contract,Professional occupations,All,Female,Atypical,Other European Union,2018/19,4310
Academic contract,Professional occupations,All,Male,Atypical,Other European Union,2014/15,3890
Academic contract,Professional occupations,All,Male,Atypical,Other European Union,2015/16,3780
Academic contract,Professional occupations,All,Male,Atypical,Other European Union,2016/17,4000
Academic contract,Professional occupations,All,Male,Atypical,Other European Union,2017/18,4005
Academic contract,Professional occupations,All,Male,Atypical,Other European Union,2018/19,4075
Academic contract,Professional occupations,All,Other,Atypical,Other European Union,2014/15,0
Academic contract,Professional occupations,All,Other,Atypical,Other European Union,2015/16,0
Academic contract,Professional occupations,All,Other,Atypical,Other European Union,2016/17,0
Academic contract,Professional occupations,All,Other,Atypical,Other European Union,2017/18,0
Academic contract,Professional occupations,All,Other,Atypical,Other European Union,2018/19,35
Academic contract,Professional occupations,All,All,Atypical,UK,2014/15,46890
Academic contract,Professional occupations,All,All,Atypical,UK,2015/16,45050
Academic contract,Professional occupations,All,All,Atypical,UK,2016/17,45965
Academic contract,Professional occupations,All,All,Atypical,UK,2017/18,44235
Academic contract,Professional occupations,All,All,Atypical,UK,2018/19,45590
Academic contract,Professional occupations,All,Female,Atypical,UK,2014/15,22250
Academic contract,Professional occupations,All,Female,Atypical,UK,2015/16,21550
Academic contract,Professional occupations,All,Female,Atypical,UK,2016/17,22175
Academic contract,Professional occupations,All,Female,Atypical,UK,2017/18,21625
Academic contract,Professional occupations,All,Female,Atypical,UK,2018/19,22340
Academic contract,Professional occupations,All,Male,Atypical,UK,2014/15,24635
Academic contract,Professional occupations,All,Male,Atypical,UK,2015/16,23500
Academic contract,Professional occupations,All,Male,Atypical,UK,2016/17,23790
Academic contract,Professional occupations,All,Male,Atypical,UK,2017/18,22595
Academic contract,Professional occupations,All,Male,Atypical,UK,2018/19,23150
Academic contract,Professional occupations,All,Other,Atypical,UK,2014/15,0
Academic contract,Professional occupations,All,Other,Atypical,UK,2015/16,0
Academic contract,Professional occupations,All,Other,Atypical,UK,2016/17,0
Academic contract,Professional occupations,All,Other,Atypical,UK,2017/18,15
Academic contract,Professional occupations,All,Other,Atypical,UK,2018/19,100
Academic contract,Professional occupations,All,All,Atypical,Unknown,2014/15,11595
Academic contract,Professional occupations,All,All,Atypical,Unknown,2015/16,10320
Academic contract,Professional occupations,All,All,Atypical,Unknown,2016/17,8365
Academic contract,Professional occupations,All,All,Atypical,Unknown,2017/18,7150
Academic contract,Professional occupations,All,All,Atypical,Unknown,2018/19,6690
Academic contract,Professional occupations,All,Female,Atypical,Unknown,2014/15,5260
Academic contract,Professional occupations,All,Female,Atypical,Unknown,2015/16,4855
Academic contract,Professional occupations,All,Female,Atypical,Unknown,2016/17,3890
Academic contract,Professional occupations,All,Female,Atypical,Unknown,2017/18,3355
Academic contract,Professional occupations,All,Female,Atypical,Unknown,2018/19,3175
Academic contract,Professional occupations,All,Male,Atypical,Unknown,2014/15,6330
Academic contract,Professional occupations,All,Male,Atypical,Unknown,2015/16,5465
Academic contract,Professional occupations,All,Male,Atypical,Unknown,2016/17,4470
Academic contract,Professional occupations,All,Male,Atypical,Unknown,2017/18,3795
Academic contract,Professional occupations,All,Male,Atypical,Unknown,2018/19,3515
Academic contract,Professional occupations,All,Other,Atypical,Unknown,2014/15,0
Academic contract,Professional occupations,All,Other,Atypical,Unknown,2015/16,0
Academic contract,Professional occupations,All,Other,Atypical,Unknown,2016/17,0
Academic contract,Professional occupations,All,Other,Atypical,Unknown,2017/18,0
Academic contract,Professional occupations,All,Other,Atypical,Unknown,2018/19,0
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,Non-European Union,2014/15,15
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,Non-European Union,2015/16,20
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,Non-European Union,2016/17,30
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,Non-European Union,2017/18,25
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,Non-European Union,2018/19,25
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,Non-European Union,2014/15,10
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,Non-European Union,2015/16,20
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,Non-European Union,2016/17,15
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,Non-European Union,2017/18,10
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,Non-European Union,2018/19,10
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,Non-European Union,2014/15,15
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,Non-European Union,2015/16,20
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,Non-European Union,2016/17,20
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,Non-European Union,2017/18,25
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,Non-European Union,2018/19,30
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,Non-European Union,2014/15,5
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,Non-European Union,2015/16,10
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,Non-European Union,2016/17,5
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,Non-European Union,2017/18,5
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,Non-European Union,2018/19,5
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,Other European Union,2014/15,35
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,Other European Union,2015/16,40
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,Other European Union,2016/17,40
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,Other European Union,2017/18,40
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,Other European Union,2018/19,50
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,Other European Union,2014/15,15
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,Other European Union,2015/16,25
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,Other European Union,2016/17,20
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,Other European Union,2017/18,10
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,Other European Union,2018/19,15
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,Other European Union,2014/15,40
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,Other European Union,2015/16,40
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,Other European Union,2016/17,60
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,Other European Union,2017/18,50
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,Other European Union,2018/19,45
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,Other European Union,2014/15,10
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,Other European Union,2015/16,5
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,Other European Union,2016/17,15
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,Other European Union,2017/18,10
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,Other European Union,2018/19,10
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,UK,2014/15,315
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,UK,2015/16,320
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,UK,2016/17,390
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,UK,2017/18,355
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,UK,2018/19,350
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,UK,2014/15,220
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,UK,2015/16,235
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,UK,2016/17,250
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,UK,2017/18,220
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,UK,2018/19,205
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,UK,2014/15,525
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,UK,2015/16,535
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,UK,2016/17,645
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,UK,2017/18,580
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,UK,2018/19,565
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,UK,2014/15,140
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,UK,2015/16,145
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,UK,2016/17,160
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,UK,2017/18,130
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,UK,2018/19,145
Academic contract,Associate professional and technical occupations,Part-time,Other,Non-atypical,UK,2014/15,0
Academic contract,Associate professional and technical occupations,Part-time,Other,Non-atypical,UK,2015/16,0
Academic contract,Associate professional and technical occupations,Part-time,Other,Non-atypical,UK,2016/17,0
Academic contract,Associate professional and technical occupations,Part-time,Other,Non-atypical,UK,2017/18,0
Academic contract,Associate professional and technical occupations,Part-time,Other,Non-atypical,UK,2018/19,0
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,Unknown,2014/15,0
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,Unknown,2015/16,5
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,Unknown,2016/17,0
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,Unknown,2017/18,0
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,Unknown,2018/19,0
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,Unknown,2014/15,5
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,Unknown,2015/16,5
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,Unknown,2016/17,0
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,Unknown,2017/18,0
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,Unknown,2018/19,5
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,Unknown,2014/15,5
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,Unknown,2015/16,0
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,Unknown,2016/17,5
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,Unknown,2017/18,5
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,Unknown,2018/19,5
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,Unknown,2014/15,5
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,Unknown,2015/16,5
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,Unknown,2016/17,5
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,Unknown,2017/18,5
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,Unknown,2018/19,0
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,All,2014/15,370
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,All,2015/16,385
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,All,2016/17,465
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,All,2017/18,425
Academic contract,Associate professional and technical occupations,Full-time,Female,Non-atypical,All,2018/19,425
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,All,2014/15,250
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,All,2015/16,280
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,All,2016/17,285
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,All,2017/18,245
Academic contract,Associate professional and technical occupations,Part-time,Female,Non-atypical,All,2018/19,230
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,All,2014/15,585
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,All,2015/16,595
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,All,2016/17,730
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,All,2017/18,660
Academic contract,Associate professional and technical occupations,Full-time,Male,Non-atypical,All,2018/19,640
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,All,2014/15,160
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,All,2015/16,165
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,All,2016/17,185
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,All,2017/18,150
Academic contract,Associate professional and technical occupations,Part-time,Male,Non-atypical,All,2018/19,165
Academic contract,Associate professional and technical occupations,Part-time,Other,Non-atypical,All,2014/15,0
Academic contract,Associate professional and technical occupations,Part-time,Other,Non-atypical,All,2015/16,0
Academic contract,Associate professional and technical occupations,Part-time,Other,Non-atypical,All,2016/17,0
Academic contract,Associate professional and technical occupations,Part-time,Other,Non-atypical,All,2017/18,0
Academic contract,Associate professional and technical occupations,Part-time,Other,Non-atypical,All,2018/19,0
Academic contract,Associate professional and technical occupations,Full-time,All,Non-atypical,All,2014/15,955
Academic contract,Associate professional and technical occupations,Full-time,All,Non-atypical,All,2015/16,980
Academic contract,Associate professional and technical occupations,Full-time,All,Non-atypical,All,2016/17,1190
Academic contract,Associate professional and technical occupations,Full-time,All,Non-atypical,All,2017/18,1080
