ï»¿Title,"All staff (excluding non-academic atypical) by academic contract marker, activity standard occupational classification, atypical marker, nationality, mode of employment and sex and academic year",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Location,UK,,,,,,
Academic years,2014/15 to 2018/19,,,,,,
Data source,HESA,,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb256/figure-2,,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb256/figure-2.csv,,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,,
Code page,Unicode UTF-8,,,,,,
Disclaimer,Please note that this data includes rounded totals. Caution must be taken when importing into a pivot table so as not to double count.,,,,,,
2014/15 non-atypical total,"403,835",,,,,,
2015/16 non-atypical total,"410,515",,,,,,
2016/17 non-atypical total,"419,710",,,,,,
2017/18 non-atypical total,"429,560",,,,,,
2018/19 non-atypical total,"439,955",,,,,,
2014/15 atypical total,"75,560",,,,,,
2015/16 atypical total,"72,020",,,,,,
2016/17 atypical total,"71,960",,,,,,
2017/18 atypical total,"68,845",,,,,,
2018/19 atypical total,"70,410",,,,,,
Last updated,Jan-20,,,,,,
,,,,,,,
,,,,,,,
Academic contract marker,Activity standard occupational classification,Mode of employment,Sex,Atypical marker,Nationality,Academic Year,Number
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,UK,2014/15,25
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,UK,2015/16,35
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,UK,2016/17,35
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,UK,2017/18,40
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,UK,2018/19,50
Academic contract,"Managers, directors and senior officials",Full-time,Male,Non-atypical,UK,2014/15,235
Academic contract,"Managers, directors and senior officials",Full-time,Male,Non-atypical,UK,2015/16,250
Academic contract,"Managers, directors and senior officials",Full-time,Male,Non-atypical,UK,2016/17,240
Academic contract,"Managers, directors and senior officials",Full-time,Male,Non-atypical,UK,2017/18,210
Academic contract,"Managers, directors and senior officials",Full-time,Male,Non-atypical,UK,2018/19,220
Academic contract,"Managers, directors and senior officials",Part-time,Male,Non-atypical,UK,2014/15,40
Academic contract,"Managers, directors and senior officials",Part-time,Male,Non-atypical,UK,2015/16,50
Academic contract,"Managers, directors and senior officials",Part-time,Male,Non-atypical,UK,2016/17,45
Academic contract,"Managers, directors and senior officials",Part-time,Male,Non-atypical,UK,2017/18,40
Academic contract,"Managers, directors and senior officials",Part-time,Male,Non-atypical,UK,2018/19,45
Academic contract,"Managers, directors and senior officials",Full-time,Female,Non-atypical,Unknown,2014/15,0
Academic contract,"Managers, directors and senior officials",Full-time,Female,Non-atypical,Unknown,2015/16,0
Academic contract,"Managers, directors and senior officials",Full-time,Female,Non-atypical,Unknown,2016/17,0
Academic contract,"Managers, directors and senior officials",Full-time,Female,Non-atypical,Unknown,2017/18,0
Academic contract,"Managers, directors and senior officials",Full-time,Female,Non-atypical,Unknown,2018/19,0
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,Unknown,2014/15,0
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,Unknown,2015/16,0
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,Unknown,2016/17,0
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,Unknown,2017/18,0
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,Unknown,2018/19,0
Academic contract,"Managers, directors and senior officials",Full-time,Male,Non-atypical,Unknown,2014/15,0
Academic contract,"Managers, directors and senior officials",Full-time,Male,Non-atypical,Unknown,2015/16,0
Academic contract,"Managers, directors and senior officials",Full-time,Male,Non-atypical,Unknown,2016/17,0
Academic contract,"Managers, directors and senior officials",Full-time,Male,Non-atypical,Unknown,2017/18,0
Academic contract,"Managers, directors and senior officials",Full-time,Male,Non-atypical,Unknown,2018/19,0
Academic contract,"Managers, directors and senior officials",Part-time,Male,Non-atypical,Unknown,2014/15,0
Academic contract,"Managers, directors and senior officials",Part-time,Male,Non-atypical,Unknown,2015/16,0
Academic contract,"Managers, directors and senior officials",Part-time,Male,Non-atypical,Unknown,2016/17,0
Academic contract,"Managers, directors and senior officials",Part-time,Male,Non-atypical,Unknown,2017/18,0
Academic contract,"Managers, directors and senior officials",Part-time,Male,Non-atypical,Unknown,2018/19,0
Academic contract,"Managers, directors and senior officials",Full-time,Female,Non-atypical,All,2014/15,160
Academic contract,"Managers, directors and senior officials",Full-time,Female,Non-atypical,All,2015/16,190
Academic contract,"Managers, directors and senior officials",Full-time,Female,Non-atypical,All,2016/17,185
Academic contract,"Managers, directors and senior officials",Full-time,Female,Non-atypical,All,2017/18,170
Academic contract,"Managers, directors and senior officials",Full-time,Female,Non-atypical,All,2018/19,195
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,All,2014/15,30
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,All,2015/16,40
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,All,2016/17,40
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,All,2017/18,45
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,All,2018/19,50
Academic contract,"Managers, directors and senior officials",Full-time,Male,Non-atypical,All,2014/15,260
Academic contract,"Managers, directors and senior officials",Full-time,Male,Non-atypical,All,2015/16,275
Academic contract,"Managers, directors and senior officials",Full-time,Male,Non-atypical,All,2016/17,270
Academic contract,"Managers, directors and senior officials",Full-time,Male,Non-atypical,All,2017/18,235
Academic contract,"Managers, directors and senior officials",Full-time,Male,Non-atypical,All,2018/19,245
Academic contract,"Managers, directors and senior officials",Part-time,Male,Non-atypical,All,2014/15,45
Academic contract,"Managers, directors and senior officials",Part-time,Male,Non-atypical,All,2015/16,55
Academic contract,"Managers, directors and senior officials",Part-time,Male,Non-atypical,All,2016/17,50
Academic contract,"Managers, directors and senior officials",Part-time,Male,Non-atypical,All,2017/18,45
Academic contract,"Managers, directors and senior officials",Part-time,Male,Non-atypical,All,2018/19,50
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,All,2014/15,420
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,All,2015/16,465
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,All,2016/17,455
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,All,2017/18,410
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,All,2018/19,435
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,Non-European Union,2014/15,20
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,Non-European Union,2015/16,20
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,Non-European Union,2016/17,15
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,Non-European Union,2017/18,20
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,Non-European Union,2018/19,20
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,Other European Union,2014/15,20
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,Other European Union,2015/16,20
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,Other European Union,2016/17,30
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,Other European Union,2017/18,25
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,Other European Union,2018/19,30
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,UK,2014/15,385
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,UK,2015/16,425
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,UK,2016/17,410
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,UK,2017/18,360
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,UK,2018/19,385
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,Unknown,2014/15,0
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,Unknown,2015/16,5
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,Unknown,2016/17,0
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,Unknown,2017/18,0
Academic contract,"Managers, directors and senior officials",Full-time,All,Non-atypical,Unknown,2018/19,0
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,All,2014/15,75
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,All,2015/16,95
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,All,2016/17,90
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,All,2017/18,90
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,All,2018/19,100
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,Non-European Union,2014/15,5
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,Non-European Union,2015/16,5
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,Non-European Union,2016/17,5
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,Non-European Union,2017/18,5
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,Non-European Union,2018/19,5
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,Other European Union,2014/15,5
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,Other European Union,2015/16,5
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,Other European Union,2016/17,5
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,Other European Union,2017/18,5
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,Other European Union,2018/19,5
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,UK,2014/15,65
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,UK,2015/16,85
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,UK,2016/17,80
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,UK,2017/18,85
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,UK,2018/19,90
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,Unknown,2014/15,0
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,Unknown,2015/16,0
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,Unknown,2016/17,0
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,Unknown,2017/18,0
Academic contract,"Managers, directors and senior officials",Part-time,All,Non-atypical,Unknown,2018/19,0
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,All,2014/15,495
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,All,2015/16,565
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,All,2016/17,540
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,All,2017/18,500
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,All,2018/19,540
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,All,2014/15,195
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,All,2015/16,235
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,All,2016/17,225
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,All,2017/18,220
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,All,2018/19,245
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,All,2014/15,305
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,All,2015/16,330
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,All,2016/17,315
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,All,2017/18,285
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,All,2018/19,295
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,Non-European Union,2014/15,25
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,Non-European Union,2015/16,25
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,Non-European Union,2016/17,20
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,Non-European Union,2017/18,25
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,Non-European Union,2018/19,25
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,Non-European Union,2014/15,10
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,Non-European Union,2015/16,10
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,Non-European Union,2016/17,5
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,Non-European Union,2017/18,10
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,Non-European Union,2018/19,15
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,Non-European Union,2014/15,15
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,Non-European Union,2015/16,15
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,Non-European Union,2016/17,10
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,Non-European Union,2017/18,15
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,Non-European Union,2018/19,10
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,Other European Union,2014/15,25
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,Other European Union,2015/16,25
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,Other European Union,2016/17,35
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,Other European Union,2017/18,30
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,Other European Union,2018/19,35
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,Other European Union,2014/15,10
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,Other European Union,2015/16,10
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,Other European Union,2016/17,20
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,Other European Union,2017/18,15
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,Other European Union,2018/19,20
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,Other European Union,2014/15,15
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,Other European Union,2015/16,15
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,Other European Union,2016/17,20
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,Other European Union,2017/18,15
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,Other European Union,2018/19,15
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,UK,2014/15,445
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,UK,2015/16,510
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,UK,2016/17,485
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,UK,2017/18,445
Academic contract,"Managers, directors and senior officials",All,All,Non-atypical,UK,2018/19,475
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,UK,2014/15,175
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,UK,2015/16,210
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,UK,2016/17,200
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,UK,2017/18,190
Academic contract,"Managers, directors and senior officials",All,Female,Non-atypical,UK,2018/19,215
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,UK,2014/15,275
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,UK,2015/16,295
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,UK,2016/17,285
Academic contract,"Managers, directors and senior officials",All,Male,Non-atypical,UK,2017/18,255
