ï»¿FSCL_YR,MINC,MINE,DepartmentNumber-NumÃ©ro-de-MinistÃ¨re,DEPT_EN_DESC,OBJ_CD,OBJ_EN_NM,AGRG_PYMT_AMT
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1211,Special industry machinery,84930.57
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1219,Other machinery and parts,347725.7
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1243,Meas.contr.lab.med.&opt.instr.& parts,115517.34
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1219,Other machinery and parts,18821.0
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1243,Meas.contr.lab.med.&opt.instr.& parts,17653.21
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1239,Other office equipment and parts,11603.5
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1211,Special industry machinery,211281.75
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1219,Other machinery and parts,2518689.22
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1243,Meas.contr.lab.med.&opt.instr.& parts,10455663.71
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1245,Safety & sanitat.equipment and parts,34974.47
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1249,Other equipment and parts,393877.81
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1243,Meas.contr.lab.med.&opt.instr.& parts,70902.96
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1289,Comm/networking Equipment,29223.39
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1223,Image/Video Communications Equip,126352.44
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1283,Computer Equip DCE desktop/pers/portable,12594.93
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1223,Image/Video Communications Equip,13200.0
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1282,Computer Equip Prod and Ops envir,94948.92
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1261,Road motor vehicles,2424050.46
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1264,Other vehicles,858596.22
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1264,Other vehicles,244308.38
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1212,"Tools, and implements",17314.17
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1219,Other machinery and parts,238019.27
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1223,Image/Video Communications Equip,2819.64
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1231,"Off.furn.&furnish.,incl. parts",5947.29
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1239,Other office equipment and parts,5390.0
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1241,"Plumbing equipment & fittings,incl parts",12331.17
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1242,"Elec.lighting,distr.&contr.equip.& parts",14608.56
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1243,Meas.contr.lab.med.&opt.instr.& parts,214913.8
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1245,Safety & sanitat.equipment and parts,11176.88
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1249,Other equipment and parts,58594.79
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1263,Road motor vehicles parts,1080.0
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1264,Other vehicles,8273.57
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1267,"Misc. vehic. parts, incl tires & tubes",16393.21
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1282,Computer Equip Prod and Ops envir,13499.33
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1283,Computer Equip DCE desktop/pers/portable,732.83
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1284,Client Software DCE,799.0
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1285,Aplicatn SW&Devlpmnt&Delivery Applicatn,682.32
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1212,"Tools, and implements",1075.94
2017/2018,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1219,Other machinery and parts,7568.7
